Chương 749: nhiện bảo tử kim
converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Bắc Phong nhìn một mảnh hỗn độn mặt đất, rồi sau đó đi theo những dấu vết này rời đi.
	Tộc người một phương tự nhiên cũng nghe được liền Phá Thiên Sát lời nói, nhất thời cũng không do dự nữa, rối rít thi triển thân pháp, ở vách đá lên xê dịch, hướng bầu trời phóng tới.

	Nguyên bản tất cả mọi người chờ ra mặt chim, nhưng nghe được lại có võ giả nhanh chân giành trước, nhất thời mọi người không vững vàng.

	Mọi người xông qua các loại nguy cơ đến nơi này, là vì cái gì? Không phải là tổ thuốc sao?

	Bây giờ nhưng tự mình nói, không hành động nữa tổ thuốc đều phải bị người luyện hóa xong.

	Vô số võ giả bay lên không, bằng vào lực lượng cũng là nhảy một cái mấy trăm mét.

	Mặc dù bị gọi là thiên kiêu, là bởi vì vì mọi phương diện cũng đi đang bình thường võ giả phía trước.

	Cho dù là ước chừng có thể vận dụng lực lượng, thực lực cũng không thua gì tầm thường ngàn năm vương đỉnh cấp.

	"Kêu kêu!"

	"Tìm tìm!"

	Vô số võ giả trực tiếp xê dịch, không hề thiếu võ giả trực tiếp đứng ở mạng nhện trên, hướng lên xê dịch, mà một hồi? o? o? @? @ thanh âm vang lên, vừa mới bắt đầu bất quá 1-2 tiếng, rồi sau đó càng ngày càng nhiều!

	Vô số tím kim chu cảm nhận được mạng nhện bị kích động, từ trên vách đá chỗ ẩn thân bò ra.

	Tất cả con nghé nhỏ lớn nhỏ tím kim chu ở trên mạng nhện nhanh chóng nhúc nhích, tốc độ nhanh, kinh người nghe.

	"Phốc xuy!"

	"Chết!"

	"Cút ngay!"

	Những thứ này con nghé lớn nhỏ tím kim chu thực lực sánh bằng ngàn năm vương, số lượng rậm rạp chằng chịt.

	Ước chừng một cái tiếp xúc, vô số tím kim chu bị hắn đánh chết, từ trên mạng nhện rơi xuống.

	Thậm chí một khi một đầu tím kim chu bị thương, vùng lân cận tím kim chu thì sẽ không chút do dự nhào tới phân thực.

	Những thứ này tím kim chu số lượng quá nhiều, còn ở liên tục không ngừng chạy tới.

	Trên mạng nhện đã rậm rạp chằng chịt đóng đầy tím kim chu, dõi mắt nhìn lại, liền đối đối tràn đầy yêu dã ánh sáng tím mắt kép chớp động, để cho da đầu tê dại.

	"À!"

	Tím kim chu một cái thực lực không bằng những ngày qua kiêu, nhưng là ở hắn khổng lồ số lượng hạ, chung quy có võ giả không địch lại, bị hắn cắn, hoặc bị hắn sắc bén lợi đủ xuyên thủng!

	Cái này tím kim độc nhện tính không đến nổi chết, nhưng là lại có thể để cho người cả người xốp giòn mềm, không đề được khí lực, đồng thời đi đôi với làm cho không người nào có thể nhẫn nại đau nhức.

	Đồng thời những thứ này tím kim chu cũng không có tại chỗ phân thực những thứ này không có sức phản kháng võ giả cùng Hoang tộc, mà là khạc ra mạng nhện, nghiêm nghiêm thật thật đem bọn họ gói lại, hết ở mạng nhện trên.

	"Tan biến!"

	Một võ giả rốt cuộc không nhịn được, trực tiếp vận dụng thần thông!

	Chu vi trăm mét bên trong, tất cả tím kim chu nhất thời bị thanh trừ sạch sẽ!

	Có người này dẫn đầu, đông đảo võ giả cũng là rối rít vận dụng thần thông, không để ý tiêu hao!

	Ở khí huyết bị giam cầm dưới tình huống, chỉ có thần thông không bị ảnh hưởng, còn có thể vận dụng, nhưng lại so tiêu hao khí huyết làm giá thi triển ra thần thông uy năng nhỏ rất nhiều, hơn nữa thần thông tiêu hao lớn hơn.

	Nhưng bây giờ dưới tình huống, mọi người cũng cố kỵ không được nhiều như vậy.

	Không thiếu võ giả xê dịch ở giữa, trực tiếp bị nhảy lên tím kim chu ngã nhào, rồi sau đó một đám tím kim chu chen nhau lên, lại cũng không có đứng lên.

	"À!"

	"Không muốn!"

	Từng đạo kêu rên cùng tràn đầy sợ hãi thanh âm đột ngột vang lên!

	Tràn đầy tuyệt vọng!

	Tất cả mọi người không khỏi hướng tiếng kêu thảm thiết truyền tới nhất thời từng cái da đầu nổ lên, sau lưng mồ hôi lạnh lập tức liền lưu chảy ra ngoài.

	Đây là một vị bị tím kim chu rót vào nọc độc võ giả, có thể là vội vàng bây giờ, tím kim chu cũng chưa hoàn toàn đem hắn thân thể bọc thành kén, mà là còn có một cái đầu lâu lộ ở bên ngoài.

	Lúc này người này vẻ kiêu ngạo kinh hoàng, biểu tình trên mặt đều là vặn vẹo, đối với con ngươi đỏ thẫm, tràn đầy nóng nảy bất an.

	"Nó muốn đi ra! Nó muốn đi ra!"

	Người này không ngừng tái diễn một câu nói này, để cho người không rõ ràng.

	"Ba!"

	Nhưng một khắc sau, mọi người biết hắn nói là có ý gì!

	Một đạo nhẹ vang, giống như bọt bị đâm phá thanh âm!

	Đang lúc mọi người nhìn soi mói, người này lộ ra bên ngoài đầu lâu trên, đột nhiên gồ lên tới một cái nhỏ túi, rồi sau đó một đoạn lợi đủ từ trong đó dò ra!

	Rồi sau đó trên trán nứt ra một đạo nhỏ bé chỗ rách, một chỉ bất quá đũa đầu lớn nhỏ tím kim chu từ vết thương chỗ chui ra!

	Giống như là đưa tới phản ứng dây chuyền vậy, một khắc sau, người này đầu lâu đột nhiên xuất hiện vô số oản chừng hạt đậu cổ túi, từ trong đó bò ra ngoài tất cả tím kim chu!

	Một cổ đâm mọi người linh hồn tiếng kêu thảm vang lên, người nọ còn chưa chết đi, lớn tiếng kêu rên!Chương 749: nhiện bảo tử kim
converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Bắc Phong nhìn một mảnh hỗn độn mặt đất, rồi sau đó đi theo những dấu vết này rời đi.

	Phá Thiên Sát đi ở phía trước, một đám người bất kể là tộc người vẫn là Hoang tộc đều là dè đặt, không dám cử động nữa can qua.

	"Còn bao lâu."

	Đế Nữ Huân thần sắc có chút mệt mỏi, lúc trước gặp phải một đầu to lớn độc oa, sau đại chiến mặc dù bị mình đánh giết, nhưng là tự thân tiêu hao cũng rất lớn.

	"Nhanh, lại trải qua qua một mảnh tím kim chu khu vực đã đến."

	Phá Thiên Sát đáp trả, thanh âm trong trẻo lạnh lùng.

	"Ngươi tốt nhất không có lừa gạt ta, nếu không. . ."

	Đế Nữ Huân con ngươi ở giữa khép mở, lộ ra thần mang, giống như một tôn Nữ đế.

	Phá Thiên Sát lơ đễnh, tổ thuốc tự nhiên là thật tồn tại, chỉ bất quá bây giờ còn dư lại nhiều ít cũng không biết.

	"Đến!"

	Phá Thiên Sát đột nhiên dừng bước, vẻ kiêu ngạo kiêng kỵ nhìn về phía đỉnh đầu.

	Thân thể đều là không nhịn được rùng mình một cái, rất khó tưởng tượng dạng gì trải qua có thể làm cho Phá Thiên Sát như vậy đã không úy kỵ người sống chết sợ đến như vậy.

	Đế Nữ Huân nhìn Phá Thiên Sát nhất cử nhất động, chân mày lá liễu khinh thiêu, nhìn về bầu trời.

	Bầu trời một mảnh mảnh con nhện to lớn lưới liên miên bất tuyệt, trực tiếp đem vực sâu bầu trời lối ra phong tỏa nghiêm nghiêm thật thật.

	Nhìn như một mảnh tường hòa, không có nguy cơ.

	Nhưng mơ hồ có thể thấy được bầu trời từng đạo bóng đen thoáng qua, ở trên mạng nhện xê dịch.

	Ở cả người khí huyết bị giam cầm dưới tình huống, ước chừng bằng vào thực lực còn không làm được phi hành.

	Nhiều lắm là chính là nhảy đủ cao, nhưng lại không thể thời gian dài dừng lại ở không trung.

	Lên không trung vô số mạng nhện chính là xê dịch ở giữa trở ngại lớn nhất.

	Trong chốc lát không người nào nguyện ý làm ra mặt chim, rối rít trầm mặc.

	"Có một cái tin tốt, cùng tin tức xấu, các người muốn nghe cái nào?"

	Phá Thiên Sát nhẹ giọng mở miệng.

	Mọi người có chút nghi ngờ, đưa ánh mắt đầu ở Phá Thiên Sát trên mình, muốn xem Phá Thiên Sát rốt cuộc muốn nói gì.

	"Tin tức tốt chính là tổ thuốc quả thật tồn tại, từ nơi này đi lên, ra vực sâu đã đến, tin tức xấu là trong thung lũng còn có một người loại võ giả, dựa theo hắn luyện hóa tốc độ, có thể tổ thuốc đã bị sử dụng 1 phần 3, nếu như không để ý căn cơ luyện hóa, có thể bây giờ chỉ còn lại một nửa tổ thuốc."

	Phá Thiên Sát cả người càng ngày càng lạnh yên tĩnh, giống như người bình thường cảm tình đang chậm rãi biến mất.

	Nhìn mọi người không có mở miệng hỏi thăm ý, Phá Thiên Sát cũng không thèm để ý, tự nói.

	"Đáng chết! Vì sao không còn sớm nói cho ta!"

	Đế Nữ Huân thần sắc có chút khó khăn xem, vẫy tay một kích hướng Phá Thiên Sát đi.

	"Phốc thông!"

	Phá Thiên Sát không có chút nào lực phản kháng, thân thể nặng nề đụng vào vách đá trong, miệng to ho ra máu, thân thể nứt nẻ.

	"Không tiếc bất cứ giá nào, lấy nhanh nhất tốc độ lao ra vực sâu!"

	Đế Nữ Huân không để ý đến Phá Thiên Sát, hướng bốn phía Hoang tộc phân phó.

	"Ừ!"

	Đông đảo Hoang tộc rối rít kêu.

	"Lại có người nhanh chân giành trước!"

	"Mau, lao ra vực sâu, rốt cuộc là ai lại có tốt như vậy cơ duyên!"

	Tộc người một phương tự nhiên cũng nghe được liền Phá Thiên Sát lời nói, nhất thời cũng không do dự nữa, rối rít thi triển thân pháp, ở vách đá lên xê dịch, hướng bầu trời phóng tới.

	Nguyên bản tất cả mọi người chờ ra mặt chim, nhưng nghe được lại có võ giả nhanh chân giành trước, nhất thời mọi người không vững vàng.

	Mọi người xông qua các loại nguy cơ đến nơi này, là vì cái gì? Không phải là tổ thuốc sao?

	Bây giờ nhưng tự mình nói, không hành động nữa tổ thuốc đều phải bị người luyện hóa xong.

	Vô số võ giả bay lên không, bằng vào lực lượng cũng là nhảy một cái mấy trăm mét.

	Mặc dù bị gọi là thiên kiêu, là bởi vì vì mọi phương diện cũng đi đang bình thường võ giả phía trước.

	Cho dù là ước chừng có thể vận dụng lực lượng, thực lực cũng không thua gì tầm thường ngàn năm vương đỉnh cấp.

	"Kêu kêu!"

	"Tìm tìm!"

	Vô số võ giả trực tiếp xê dịch, không hề thiếu võ giả trực tiếp đứng ở mạng nhện trên, hướng lên xê dịch, mà một hồi? o? o? @? @ thanh âm vang lên, vừa mới bắt đầu bất quá 1-2 tiếng, rồi sau đó càng ngày càng nhiều!

	Vô số tím kim chu cảm nhận được mạng nhện bị kích động, từ trên vách đá chỗ ẩn thân bò ra.

	Tất cả con nghé nhỏ lớn nhỏ tím kim chu ở trên mạng nhện nhanh chóng nhúc nhích, tốc độ nhanh, kinh người nghe.

	"Phốc xuy!"

	"Chết!"

	"Cút ngay!"

	Những thứ này con nghé lớn nhỏ tím kim chu thực lực sánh bằng ngàn năm vương, số lượng rậm rạp chằng chịt.

	Ước chừng một cái tiếp xúc, vô số tím kim chu bị hắn đánh chết, từ trên mạng nhện rơi xuống.

	Thậm chí một khi một đầu tím kim chu bị thương, vùng lân cận tím kim chu thì sẽ không chút do dự nhào tới phân thực.

	Những thứ này tím kim chu số lượng quá nhiều, còn ở liên tục không ngừng chạy tới.

	Trên mạng nhện đã rậm rạp chằng chịt đóng đầy tím kim chu, dõi mắt nhìn lại, liền đối đối tràn đầy yêu dã ánh sáng tím mắt kép chớp động, để cho da đầu tê dại.

	"À!"

	Tím kim chu một cái thực lực không bằng những ngày qua kiêu, nhưng là ở hắn khổng lồ số lượng hạ, chung quy có võ giả không địch lại, bị hắn cắn, hoặc bị hắn sắc bén lợi đủ xuyên thủng!

	Cái này tím kim độc nhện tính không đến nổi chết, nhưng là lại có thể để cho người cả người xốp giòn mềm, không đề được khí lực, đồng thời đi đôi với làm cho không người nào có thể nhẫn nại đau nhức.

	Đồng thời những thứ này tím kim chu cũng không có tại chỗ phân thực những thứ này không có sức phản kháng võ giả cùng Hoang tộc, mà là khạc ra mạng nhện, nghiêm nghiêm thật thật đem bọn họ gói lại, hết ở mạng nhện trên.

	"Tan biến!"

	Một võ giả rốt cuộc không nhịn được, trực tiếp vận dụng thần thông!

	Chu vi trăm mét bên trong, tất cả tím kim chu nhất thời bị thanh trừ sạch sẽ!

	Có người này dẫn đầu, đông đảo võ giả cũng là rối rít vận dụng thần thông, không để ý tiêu hao!

	Ở khí huyết bị giam cầm dưới tình huống, chỉ có thần thông không bị ảnh hưởng, còn có thể vận dụng, nhưng lại so tiêu hao khí huyết làm giá thi triển ra thần thông uy năng nhỏ rất nhiều, hơn nữa thần thông tiêu hao lớn hơn.

	Nhưng bây giờ dưới tình huống, mọi người cũng cố kỵ không được nhiều như vậy.

	Không thiếu võ giả xê dịch ở giữa, trực tiếp bị nhảy lên tím kim chu ngã nhào, rồi sau đó một đám tím kim chu chen nhau lên, lại cũng không có đứng lên.

	"À!"

	"Không muốn!"

	Từng đạo kêu rên cùng tràn đầy sợ hãi thanh âm đột ngột vang lên!

	Tràn đầy tuyệt vọng!

	Tất cả mọi người không khỏi hướng tiếng kêu thảm thiết truyền tới nhất thời từng cái da đầu nổ lên, sau lưng mồ hôi lạnh lập tức liền lưu chảy ra ngoài.

	Đây là một vị bị tím kim chu rót vào nọc độc võ giả, có thể là vội vàng bây giờ, tím kim chu cũng chưa hoàn toàn đem hắn thân thể bọc thành kén, mà là còn có một cái đầu lâu lộ ở bên ngoài.

	Lúc này người này vẻ kiêu ngạo kinh hoàng, biểu tình trên mặt đều là vặn vẹo, đối với con ngươi đỏ thẫm, tràn đầy nóng nảy bất an.

	"Nó muốn đi ra! Nó muốn đi ra!"

	Người này không ngừng tái diễn một câu nói này, để cho người không rõ ràng.

	"Ba!"

	Nhưng một khắc sau, mọi người biết hắn nói là có ý gì!

	Một đạo nhẹ vang, giống như bọt bị đâm phá thanh âm!

	Đang lúc mọi người nhìn soi mói, người này lộ ra bên ngoài đầu lâu trên, đột nhiên gồ lên tới một cái nhỏ túi, rồi sau đó một đoạn lợi đủ từ trong đó dò ra!

	Rồi sau đó trên trán nứt ra một đạo nhỏ bé chỗ rách, một chỉ bất quá đũa đầu lớn nhỏ tím kim chu từ vết thương chỗ chui ra!

	Giống như là đưa tới phản ứng dây chuyền vậy, một khắc sau, người này đầu lâu đột nhiên xuất hiện vô số oản chừng hạt đậu cổ túi, từ trong đó bò ra ngoài tất cả tím kim chu!

	Một cổ đâm mọi người linh hồn tiếng kêu thảm vang lên, người nọ còn chưa chết đi, lớn tiếng kêu rên!
