Chương 9: Đánh đi, đánh càng lợi hại càng tốt! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Thần đế, giới này thiên đạo hóa thân.
	Đáng sợ hương khói lực, đậm đà đến mức tận cùng, tạo thành màu tím biển mây, tràn đầy toàn bộ Thiên thần cung bầu trời!

	Bắc Phong một lời rơi xuống, vô chủ hương khói lực nhất thời lăn lộn, tạo thành to lớn cái phễu!

	Số lượng cao hương khói lực tràn vào Bắc Phong thân thể bên trong, bị Bắc Phong mạnh mẽ bản thể nơi tùy tiện trấn áp.

	Bạo động hương khói ôn thuận như miên dương, ở Bắc Phong thân thể bên trong dòng nước chảy, không ngừng bị luyện hóa, thúc đẩy cổ thân thể này thực lực không ngừng hướng lên!

	Ước chừng bốn phe thế lực, cương vực hàng tỷ bên trong, vô số tộc người hương khói lực hội tụ vào một chỗ, đủ để cho Bắc Phong có cạnh tranh Thiên đạo quyền bính tư cách!

	Chỉ là bởi vì bây giờ cũng không có trống ra vị cách, là lấy mới không thể nắm trong tay Thiên đạo quyền bính, thành là thần ma cảnh, cũng không phải là hương khói lực chưa đủ.

	Lấy đủ để cấp dưỡng một tôn thần ma cảnh cường giả hương khói, dùng để đề thăng lúc này tu vi, thật sự là đơn giản bất quá.

	Chẳng qua là hô hấp ở giữa, ở Bắc Phong bản thể trấn áp xuống, không có xuất hiện bất kỳ dị thường, nước chảy thành sông vậy thành tựu hương khói thần linh, đem rất nhiều đại đạo từng cái cùng tự thân dung luyện!

	Chẳng qua là Bắc Phong biết, giờ phút này có đại đạo, nhìn như cùng cổ thân thể này hoàn toàn dung hợp, dung luyện độ đạt tới 100%, có thể chỉ cần giới này Thiên đạo thời gian vừa niệm, là có thể đem toàn bộ tước đoạt!

	Hơn nữa còn không giống như là tước đoạt còn lại thần ma cảnh Thiên đạo như vậy cần phải trả giá thật lớn.

	"Trừ ta đã nắm trong tay đại đạo trọng hợp bộ phận, còn lại vượt qua năm trăm cái đại đạo là mới tinh."

	Bắc Phong hài lòng gật đầu một cái, chuyến đi này dù là cái khác cũng không có, chỉ là cái này hơn năm trăm cái đại đạo, cũng có thể tiết kiệm Bắc Phong năm tháng vô tận khổ tu!

	Dĩ nhiên, bây giờ Bắc Phong còn chưa rời đi, là lấy cái này đại đạo số lượng không hề bảo hiểm.

	"Muốn không dứt khoát rời đi tính?"

	Bắc Phong trong đầu nổi lên một cái ý niệm.

	Bây giờ chạy đường, có thể đạt được vượt qua năm trăm cái đại đạo, thu hoạch không thể bảo là không lớn!

	"Không được, đại đạo đối với ta thực lực cũng không thể tăng lên nhiều ít, hơn năm trăm cái đại đạo đối với ta tăng lên, vậy không sánh bằng một cái Thiên đạo!" Bắc Phong trầm ngâm chốc lát, lắc đầu một cái, chém chết liền cái ý niệm này.

	Nếu là không có đạt được vậy tin tức, Bắc Phong có lẽ sẽ rời đi.

	Nhưng nếu còn có cơ hội lấy được Thiên đạo,

	Không có đạo lý bây giờ liền rời đi.

	"Bỏ mặc như thế nào, đánh bạc một chút, có cái này hơn năm trăm cái đại đạo ở đây, dù là cuối cùng thất bại, vậy chưa đến nỗi không thu hoạch được gì."

	Bắc Phong quyết định.

	Ở thu phục Thiên thần cung nhóm thế lực sau đó, những thứ này thần linh cho biết liền Bắc Phong một đạo thần dụ.

	Chính là liên quan tới Tam Thể tinh.

	Muốn là thời kỳ hòa bình, một cái củ cà rốt một cái hố, thần ma cảnh không chết, Bắc Phong liền không có cơ hội lấy được Thiên đạo quyền bính.

	Nhưng bây giờ lại bất đồng, sắp bùng nổ đại chiến, Bắc Phong chẳng qua là hơi suy nghĩ một chút, cũng biết trong đó có đáng sợ dường nào nguy hiểm!

	Hai ngôi sao đại chiến, thần ma cảnh nhiều vô số kể, dù là Bắc Phong bản thể một cái sơ sẩy, cũng có thể chết!

	Nhưng giống nhau, vậy ý nghĩa ích lợi to lớn!

	Một khi có thần ma cảnh chết, như vậy giới này Thiên đạo thì sẽ đem ban cho đi ra quyền bính thu hồi, rồi sau đó lần nữa ban cho còn lại thần linh, để cho nó thành là thần ma cảnh!

	Có thể nói, Trấn Ma tinh khó dây dưa vô cùng!

	Nếu là không có thể một lần hành động đem đánh tan, như vậy thần ma cảnh số lượng liền một mực sẽ không thiếu!

	Muốn dây dưa trấn chết ma tinh, không thể nào!

	Chỉ có thể không cho Trấn Ma tinh bất kỳ cơ hội khôi phục, một lần hành động đem đánh tan, mới có thể làm cho thần ma cảnh hoàn toàn biến mất!

	Nếu không, cho dù chết một tôn thần ma cảnh, giới này Thiên đạo hoàn toàn có thể lần nữa tìm một tôn thần minh cảnh cường giả, ban thưởng quyền bính, đem cưỡng ép tăng lên tới thần ma cảnh!

	Trấn Ma tinh thượng, thần ma cảnh số lượng có hạn, nhưng là thần linh cảnh cường giả nhưng là nhiều không kể xiết!

	Không dưới một trăm ngàn!

	Như vậy khổng lồ thần linh cảnh cường giả, đều là thần ma cảnh hậu bổ!

	Mà hai ngôi sao đại chiến, ắt sẽ chết thần ma cảnh tồn tại, mà đây chính là Bắc Phong cơ hội!

	"Nhiều như vậy thần linh, trong đó không thiếu thần linh có có thể cung cấp dưỡng thần ma cảnh hương khói, cho dù có thần ma cảnh chết, giới này Thiên đạo khẳng định cũng là ưu tiên chọn có đầy đủ hương khói thần linh cảnh, ta bây giờ ưu thế còn chưa đủ!"

	Bắc Phong suy nghĩ.

	Nói trắng ra, thần ma cảnh giống như là đại địa chủ!

	Mà Bắc Phong bực này thần linh cảnh chính là chờ trước thừa kế đại địa chủ di sản người.

	Mà ở thừa kế di sản trong quá trình, cũng là sẽ phân ra người thừa kế thứ nhất, người thừa kế thứ hai.

	Mà Bắc Phong bây giờ có cương vực, cùng với vô tận hương khói, nhưng cũng không đủ để cho Bắc Phong thành là người thừa kế thứ nhất!

	Duy không hề ngừng mở rộng cương vực, có đầy đủ dân số, hội tụ càng nhiều hơn cương vực, mới có thể làm cho Bắc Phong thành là người thừa kế thứ nhất!

	Có thể ở một khi có thần ma cảnh cường giả chết, cái đầu tiên bị giới này Thiên đạo lựa chọn trong, đem Thiên đạo quyền bính ban cho mình!

	"Như vậy thì tiếp khuếch trương đi!"

	Bắc Phong hướng về phía hai mươi tới tôn thần minh hạ lệnh, để cho nó toàn lực bắt đầu khuếch trương địa bàn!

	Đạt được hương khói, theo lý thuyết có một nửa cần tiến cống cho thần ma cảnh, nhưng là Bắc Phong nhưng trực tiếp tiệt lưu!

	Còn lại thần linh cũng không có kinh ngạc, một vị thần tôn có như vậy tư cách cắt đứt, không cần hướng thần ma cảnh tiến cống hương khói.

	Bắc Phong đứng ở Thiên thần cung đỉnh, ánh mắt tựa hồ nhìn thấu vạn cổ, ánh chiếu ở Tam Thể tinh trên, "Đánh đi, đánh càng lợi hại càng tốt."

	Một tiếng nói nhỏ, theo gió rồi biến mất.Chương 9: Đánh đi, đánh càng lợi hại càng tốt! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Thần đế, giới này thiên đạo hóa thân.

	Lúc cần thiết, thậm chí sẽ cưỡng ép thu hồi còn lại thần ma cảnh nắm trong tay quyền bính, đem quyền sở hữu chuôi tập trung ở thần đế trên mình, để cho nó bùng nổ thực lực kinh khủng.

	Nhưng ở lúc bình thường, thần đế cũng cùng còn lại thần ma cảnh không có khác biệt, giống vậy chẳng qua là nắm trong tay một cái Thiên đạo.

	Chẳng qua là bởi vì là thần đế chính là Thiên đạo hóa thân, là lấy trên danh nghĩa còn lại thần ma cảnh đáp lời tôn xưng.

	Trừ thần đế bên ngoài, còn có một loại người, địa vị không kém gì thần đế, đó chính là thần tôn!

	Thần tôn, thần trong chí tôn!

	Chính là không dựa vào hương khói thành tựu thần linh, tự đi tìm hiểu ra một cái thiên đạo khủng bố tồn tại!

	Như vậy tồn tại, liền giới này Thiên đạo cũng phải liếc mắt!

	Một khi có thần tôn xuất hiện, như vậy thì đại biểu giới này Thiên đạo đem nhiều hơn một cái!

	Hơn nữa, ở thần tôn chết sau đó, hắn nắm trong tay Thiên đạo, cũng sẽ bị giới này chiếm đoạt!

	Đây đối với trời đất chính là công đức vô lượng việc lớn!

	Bất kỳ một tôn thần tôn, đều là thiên địa sủng nhi, giống như thiên mệnh chủ Sừng, khí vận ngút trời!

	Đây cũng là Thiên thần cung bên trong, cái này mấy tôn thần minh tại sao ngay cả động tay cũng không dám nguyên nhân!

	Không chỉ là bởi vì là thực lực sai biệt, lại là bởi vì là thần tôn vị cách!

	Cùng thần tôn đối nghịch, chính là cùng giới này Thiên đạo đối nghịch!

	Từ một loại ý nghĩa nào đó mà nói, thần tôn vị cách so với thần đế hơn nữa bị trời đất xem trọng!

	Nếu Thiên thần cung cũng không có phản kháng, Bắc Phong cũng không có ra tay, mà là giải quyết nơi này phiền toái sau đó, lần nữa chạy tới hạ một nơi.

	Nửa tháng sau đó, vượt qua hai mươi tôn thần minh, bốn phe thế lực đều là đưa vào Bắc Phong dưới quyền, thuận lợi phải nhường Bắc Phong đều là có chút bất ngờ.

	"Hôm nay hương khói lực đối với ta tạm thời vô dụng, đại đạo đã bão hòa, mà thiên đạo quyền bính có hạn, một cái củ cà rốt một cái hố, dù là ta có ngút trời hương khói, vậy không thay đổi được, không thể đem còn dư lại thần ma cảnh Thiên đạo quyền bính tước đoạt."

	Bắc Phong ở lại Thiên thần cung, lấy Thiên thần cung làm trung tâm, lực lượng hướng bốn phía phóng xạ.

	"Thần linh, thành!"

	Đáng sợ hương khói lực, đậm đà đến mức tận cùng, tạo thành màu tím biển mây, tràn đầy toàn bộ Thiên thần cung bầu trời!

	Bắc Phong một lời rơi xuống, vô chủ hương khói lực nhất thời lăn lộn, tạo thành to lớn cái phễu!

	Số lượng cao hương khói lực tràn vào Bắc Phong thân thể bên trong, bị Bắc Phong mạnh mẽ bản thể nơi tùy tiện trấn áp.

	Bạo động hương khói ôn thuận như miên dương, ở Bắc Phong thân thể bên trong dòng nước chảy, không ngừng bị luyện hóa, thúc đẩy cổ thân thể này thực lực không ngừng hướng lên!

	Ước chừng bốn phe thế lực, cương vực hàng tỷ bên trong, vô số tộc người hương khói lực hội tụ vào một chỗ, đủ để cho Bắc Phong có cạnh tranh Thiên đạo quyền bính tư cách!

	Chỉ là bởi vì bây giờ cũng không có trống ra vị cách, là lấy mới không thể nắm trong tay Thiên đạo quyền bính, thành là thần ma cảnh, cũng không phải là hương khói lực chưa đủ.

	Lấy đủ để cấp dưỡng một tôn thần ma cảnh cường giả hương khói, dùng để đề thăng lúc này tu vi, thật sự là đơn giản bất quá.

	Chẳng qua là hô hấp ở giữa, ở Bắc Phong bản thể trấn áp xuống, không có xuất hiện bất kỳ dị thường, nước chảy thành sông vậy thành tựu hương khói thần linh, đem rất nhiều đại đạo từng cái cùng tự thân dung luyện!

	Chẳng qua là Bắc Phong biết, giờ phút này có đại đạo, nhìn như cùng cổ thân thể này hoàn toàn dung hợp, dung luyện độ đạt tới 100%, có thể chỉ cần giới này Thiên đạo thời gian vừa niệm, là có thể đem toàn bộ tước đoạt!

	Hơn nữa còn không giống như là tước đoạt còn lại thần ma cảnh Thiên đạo như vậy cần phải trả giá thật lớn.

	"Trừ ta đã nắm trong tay đại đạo trọng hợp bộ phận, còn lại vượt qua năm trăm cái đại đạo là mới tinh."

	Bắc Phong hài lòng gật đầu một cái, chuyến đi này dù là cái khác cũng không có, chỉ là cái này hơn năm trăm cái đại đạo, cũng có thể tiết kiệm Bắc Phong năm tháng vô tận khổ tu!

	Dĩ nhiên, bây giờ Bắc Phong còn chưa rời đi, là lấy cái này đại đạo số lượng không hề bảo hiểm.

	"Muốn không dứt khoát rời đi tính?"

	Bắc Phong trong đầu nổi lên một cái ý niệm.

	Bây giờ chạy đường, có thể đạt được vượt qua năm trăm cái đại đạo, thu hoạch không thể bảo là không lớn!

	"Không được, đại đạo đối với ta thực lực cũng không thể tăng lên nhiều ít, hơn năm trăm cái đại đạo đối với ta tăng lên, vậy không sánh bằng một cái Thiên đạo!" Bắc Phong trầm ngâm chốc lát, lắc đầu một cái, chém chết liền cái ý niệm này.

	Nếu là không có đạt được vậy tin tức, Bắc Phong có lẽ sẽ rời đi.

	Nhưng nếu còn có cơ hội lấy được Thiên đạo,

	Không có đạo lý bây giờ liền rời đi.

	"Bỏ mặc như thế nào, đánh bạc một chút, có cái này hơn năm trăm cái đại đạo ở đây, dù là cuối cùng thất bại, vậy chưa đến nỗi không thu hoạch được gì."

	Bắc Phong quyết định.

	Ở thu phục Thiên thần cung nhóm thế lực sau đó, những thứ này thần linh cho biết liền Bắc Phong một đạo thần dụ.

	Chính là liên quan tới Tam Thể tinh.

	Muốn là thời kỳ hòa bình, một cái củ cà rốt một cái hố, thần ma cảnh không chết, Bắc Phong liền không có cơ hội lấy được Thiên đạo quyền bính.

	Nhưng bây giờ lại bất đồng, sắp bùng nổ đại chiến, Bắc Phong chẳng qua là hơi suy nghĩ một chút, cũng biết trong đó có đáng sợ dường nào nguy hiểm!

	Hai ngôi sao đại chiến, thần ma cảnh nhiều vô số kể, dù là Bắc Phong bản thể một cái sơ sẩy, cũng có thể chết!

	Nhưng giống nhau, vậy ý nghĩa ích lợi to lớn!

	Một khi có thần ma cảnh chết, như vậy giới này Thiên đạo thì sẽ đem ban cho đi ra quyền bính thu hồi, rồi sau đó lần nữa ban cho còn lại thần linh, để cho nó thành là thần ma cảnh!

	Có thể nói, Trấn Ma tinh khó dây dưa vô cùng!

	Nếu là không có thể một lần hành động đem đánh tan, như vậy thần ma cảnh số lượng liền một mực sẽ không thiếu!

	Muốn dây dưa trấn chết ma tinh, không thể nào!

	Chỉ có thể không cho Trấn Ma tinh bất kỳ cơ hội khôi phục, một lần hành động đem đánh tan, mới có thể làm cho thần ma cảnh hoàn toàn biến mất!

	Nếu không, cho dù chết một tôn thần ma cảnh, giới này Thiên đạo hoàn toàn có thể lần nữa tìm một tôn thần minh cảnh cường giả, ban thưởng quyền bính, đem cưỡng ép tăng lên tới thần ma cảnh!

	Trấn Ma tinh thượng, thần ma cảnh số lượng có hạn, nhưng là thần linh cảnh cường giả nhưng là nhiều không kể xiết!

	Không dưới một trăm ngàn!

	Như vậy khổng lồ thần linh cảnh cường giả, đều là thần ma cảnh hậu bổ!

	Mà hai ngôi sao đại chiến, ắt sẽ chết thần ma cảnh tồn tại, mà đây chính là Bắc Phong cơ hội!

	"Nhiều như vậy thần linh, trong đó không thiếu thần linh có có thể cung cấp dưỡng thần ma cảnh hương khói, cho dù có thần ma cảnh chết, giới này Thiên đạo khẳng định cũng là ưu tiên chọn có đầy đủ hương khói thần linh cảnh, ta bây giờ ưu thế còn chưa đủ!"

	Bắc Phong suy nghĩ.

	Nói trắng ra, thần ma cảnh giống như là đại địa chủ!

	Mà Bắc Phong bực này thần linh cảnh chính là chờ trước thừa kế đại địa chủ di sản người.

	Mà ở thừa kế di sản trong quá trình, cũng là sẽ phân ra người thừa kế thứ nhất, người thừa kế thứ hai.

	Mà Bắc Phong bây giờ có cương vực, cùng với vô tận hương khói, nhưng cũng không đủ để cho Bắc Phong thành là người thừa kế thứ nhất!

	Duy không hề ngừng mở rộng cương vực, có đầy đủ dân số, hội tụ càng nhiều hơn cương vực, mới có thể làm cho Bắc Phong thành là người thừa kế thứ nhất!

	Có thể ở một khi có thần ma cảnh cường giả chết, cái đầu tiên bị giới này Thiên đạo lựa chọn trong, đem Thiên đạo quyền bính ban cho mình!

	"Như vậy thì tiếp khuếch trương đi!"

	Bắc Phong hướng về phía hai mươi tới tôn thần minh hạ lệnh, để cho nó toàn lực bắt đầu khuếch trương địa bàn!

	Đạt được hương khói, theo lý thuyết có một nửa cần tiến cống cho thần ma cảnh, nhưng là Bắc Phong nhưng trực tiếp tiệt lưu!

	Còn lại thần linh cũng không có kinh ngạc, một vị thần tôn có như vậy tư cách cắt đứt, không cần hướng thần ma cảnh tiến cống hương khói.

	Bắc Phong đứng ở Thiên thần cung đỉnh, ánh mắt tựa hồ nhìn thấu vạn cổ, ánh chiếu ở Tam Thể tinh trên, "Đánh đi, đánh càng lợi hại càng tốt."

	Một tiếng nói nhỏ, theo gió rồi biến mất.
