Chương 46: Nếu không cạn nữa 1 phiếu?  
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Dực Tổ vỗ cánh, khuấy động chín tầng trời gió mạnh, đáng sợ gió mạnh như đao, xé không gian!
	Nhưng bây giờ nhìn lại, đơn giản là anh minh vô cùng!

	"Âm dương hai cách, luân hồi đại đạo!"

	Đông Hoàng Thái lạnh lẽo đẹp trai mặt mũi xuất hiện, trực tiếp như Thiên đạo ý chí vậy, đổ chiếu vào trên ngân hà!

	Vô tận linh khí nơi hội tụ, thần sắc lạnh lùng, cao cao tại thượng!

	Một lời rơi xuống, đúng mảnh ngân hà run run, rồi sau đó quỷ dị chuyện xuất hiện!

	Đúng mảnh ngân hà vào giờ khắc này đồng loạt run lên, rồi sau đó vô số tinh thần tan vỡ!

	Hóa là thuần túy nhất âm dương nhị khí!

	Âm dương nhị khí lẫn nhau dây dưa, bộc phát ra đáng sợ uy năng, mất đi hết thảy tồn tại!

	Âm dương nhị khí bắt đầu chia cách, xoay tròn!

	Đúng mảnh ngân hà ở một khắc điên đảo, trên dưới chia lìa!

	Đáng sợ như vậy uy năng, rất khó tưởng tượng là sức người tạo thành!

	Một lời dưới, vô số ngôi sao mất đi, trở về lúc ban đầu trạng thái.

	Âm dương nhị khí không ngừng xoay tròn, đúng mảnh ngân hà đều ở đây âm dương nhị khí xoay tròn dẫn dắt dưới, bắt đầu xoay tròn!

	Cuối cùng, cái này một mảnh ngân hà dâng lên vô số hỗn độn khí, tạo thành to lớn sương mù dày đặc, hoàn toàn đem một phe này thế giới bao phủ vào!

	Ba đạo thân ảnh đứng ở một đoàn đường kính trăm triệu vạn dặm sương mù ra, không chút kiêng kỵ tản ra hơi thở khổng lồ.

	Chỉ là đứng ở nơi đó, có thể cả người hơi thở kinh khủng, rung chuyển vô số ngôi sao, để cho trời trăng sao vây quanh ba người mà xoay tròn!

	"Ngươi nói, hắn phải bao lâu mới có thể phát hiện đúng không ?"

	Mông Điềm nhiều hứng thú đánh giá trước mắt sương mù dày đặc, hướng về phía đạo gia người vừa nói.

	Còn như Đông Hoàng Thái một, Mông Điềm nhìn một cái vậy lạnh lùng như sương lạnh mặt, không đi bị đuổi mà mắc cở.

	"Dầu gì cũng là một tôn bất hủ cảnh, coi như bọn ta ba người toàn lực ra tay, vậy lừa gạt không được bao lâu, muốn đến rất nhanh đối phương là có thể nhận ra được không được bình thường."

	Đạo gia người cười một tiếng, không hề nhận là mình ba người thủ đoạn có thể lừa gạt được cái này tôn bất hủ cảnh bao lâu.

	"Đây cũng là, coi như phát hiện cũng không dùng, còn phải đánh vỡ phong ấn mới được."

	Mông Điềm sờ cằm, trong mắt lóe lên vẻ kinh dị.

	Mông Điềm trong lòng không ý tốt, đang đang suy tư ý nghĩ này của mình có thể được tính.

	Mông Điềm vậy không nghĩ tới, một tôn bất hủ cảnh chỉ như vậy dễ như trở bàn tay liền bị mình ba người bắt được.

	Mặc dù cái này một tôn bất hủ cảnh thực lực không kém, nhưng Mông Điềm nhưng cảm giác cái này tôn bất hủ cảnh có chút thiếu lòng.

	Vốn là cũng chuẩn bị một trận đại chiến, tốn sức khí lực, mới có thể đem bắt, Mông Điềm cũng có bị thương chuẩn bị tâm tư, dù sao cũng là một tôn bất hủ cảnh, thật phải liều mạng, sợ rằng mình ba người cũng biết bỏ ra nhất định giá phải trả mới có thể đem phong ấn.

	Nhưng không nghĩ tới, lại có thể như vậy ung dung.

	Còn như Dực Tổ không có trêu chọc mình các người, ngược lại thì mình các người đánh Dực Tổ chủ ý, chuẩn bị tước đoạt Dực Tổ không mục nát căn nguyên, một điểm này bất kể là Mông Điềm, vẫn là Đông Hoàng Thái một cũng không có để ý.

	Không phải tộc ta, kỳ tâm tất dị!

	Còn nữa một cái, nhược nhục cường thực, thích người sinh tồn!

	Càng đứng ở Đông Hoàng Thái nhất đẳng người cảnh giới này, càng phát ra rõ ràng cái này một cái đạo lý.

	"Nếu không chúng ta tiếp theo làm một chuyến?"

	Mông Điềm có chút rục rịch, dò xét tính đề nghị, đây có thể so ngu mình tu hành mau hơn.

	Bị cúp điện, ngày mai 4 càng!

	Bị cúp điện, điện thoại di động máy vi tính cũng sắp hết pin, bên ngoài mưa hạ nhiệt, không muốn đi Internet.

	Ngày mai canh tư.Chương 46: Nếu không cạn nữa 1 phiếu?  
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Dực Tổ vỗ cánh, khuấy động chín tầng trời gió mạnh, đáng sợ gió mạnh như đao, xé không gian!

	Đưa hai tay ra, bắt lại Nguyệt Thiền thân thể, cao nhất sức mạnh to lớn bùng nổ, hai cánh chấn động, đánh nát không gian, mở ra một cái lối đi!

	Dực Tổ chuẩn bị bỏ chạy, hảo hán không ăn thua thiệt trước mắt.

	Lưu được núi xanh có ở đây không sợ không củi đốt!

	Nguyệt Thiền thân thể cao lớn tràn đầy không mục nát chói lọi, không có một tia một hào tổn thương, một thân huyết khí cùng năng lượng cũng không có tiêu tán, mà là ở trong cơ thể không ngừng tuần hoàn!

	Giống như là lâm vào ngủ say, tùy thời đều có thể lần nữa hồi phục vậy!

	Bắc Phong trong lòng cuống cuồng, nhưng cũng không có cách nào, bất lực không có sức, chỉ có thể trơ mắt nhìn Dực tộc rung chuyển Nguyệt Thiền thân thể, chuẩn bị bước vào hư không bên trong lối đi!

	"Cái này cũng không trách ta, là các người quá chậm." Bắc Phong lẩm bẩm, lần này Đông Hoàng Thái nhất đẳng người có thể nói là tiền mất tật mang.

	Hao phí tinh lực mở ra hư không lối đi không nói, tự thân hóa thân đều bị chém chết, không mục nát căn nguyên bị Dực Tổ đoạt.

	Cái này ba cái hóa thân bên trong không mục nát căn nguyên, đủ để chiếm cứ Đông Hoàng Thái nhất đẳng người có không mục nát bổn nguyên 20%!

	Tổn thất nhiều như vậy không mục nát căn nguyên, nếu là không có cơ duyên, sợ rằng cần đếm lấy một trăm ngàn năm kế, mới có thể khôi phục như cũ.

	Nhìn một cái sau lưng bể tan tành mặt kiếng, Bắc Phong thở dài một cái, không còn kịp rồi.

	Dực Tổ lập tức phải bước vào hư không lối đi, lấy bất hủ cảnh người thủ đoạn, đủ để bước ngang qua đi ra ngoài vô tận cương vực, xóa đi tự thân tung tích.

	Nếu không phải trước mặt bị chặn lại đến, giống nhau cảnh giới hạ, một tôn bất hủ cảnh muốn giấu giếm tự thân tung tích, cái khác bất hủ cảnh vậy rất khó tìm.

	Giống như trước khi Đông Hoàng Thái một, ở Bắc Phong cho biết Dực tộc tồn tại, Đông Hoàng Thái một lập tức liền cảm ứng được Dực Tổ.

	Nhưng cho dù là cảm ứng được, có thể ở Dực Tổ dưới quấy nhiễu, Đông Hoàng Thái một vậy là không thể làm gì.

	"Dám can đảm đánh chết bọn ta hóa thân, liền muốn đi như vậy sao?"

	Một giọng nói vang lên, vạn đạo đồng tình, truyền khắp toàn bộ ngân hà.

	Một tôn cao nhất tồn tại, từ bể tan tành mặt kiếng bên trong bước ra một bước, trên mặt không có quá nhiều diễn cảm, nhìn chằm chằm Dực Tổ vừa nói.

	Bất ngờ là Mông Điềm!

	Màu đen sát khí trùng tiêu, khuấy động ngân hà!

	Tạo thành một tôn vô cùng to lớn thần thánh pháp tướng, pháp tướng khổng lồ, ước chừng có thể so với còn chưa bể tan tành trước Bất Diệt tinh!

	Dực Tổ con ngươi co rúc một cái, không chút do dự ra tay!

	Là huyết đại đạo thay trời đổi đất, trực tiếp bài xích còn lại tất cả đại đạo, Thiên đạo, đem giới này trực tiếp hóa là đặc biệt tràng vực!

	Một cái khổng lồ như tinh thần dấu tay, hướng Mông Điềm một cái cầm hạ!

	Mà Dực Tổ chính là mang Nguyệt Thiền thân thể, cũng không quay đầu lại ghim vào hư không bên trong lối đi!

	Mông Điềm trơ mắt nhìn Huyết thủ ấn rơi xuống, không có đi chú ý rời đi Dực Tổ.

	Có thể so với Bất Diệt tinh pháp tướng động, lộ ra ngón tay, trên cao nhìn xuống, từ trên ngân hà, hướng Huyết thủ ấn nhấn xuống!

	Hư không ở nơi này một ngón tay hạ sụp đổ, không ngừng văng tung tóe!

	Ngón tay dưới, tựa hồ hình thành một cái hắc động, chiếm đoạt hết thảy!

	Huyết thủ ấn cùng ngón tay va chạm, không có kinh thiên động địa vang lớn, hai người một gặp phải, liền như nước với lửa vậy, mỗi người tan rã.

	Màu máu dấu tay cùng ngón tay khổng lồ mỗi người chiếm cứ trên dưới hai phương hướng, một lăn tăn rung động lan tràn, để cho vùng lân cận vô số hành tinh nhỏ nổ tung!

	Bước ra một bước, Mông Điềm biến mất ở Bắc Phong trước mắt.

	Mà bể tan tành mặt kiếng trong, vô cùng u ám, thỉnh thoảng có một đạo lưu quang chớp mắt rồi biến mất.

	Chẳng qua là bên trong, trừ Mông Điềm ra, không có người khác mới đi ra.

	"Không đúng à, chỉ có Mông Điềm tới sao? Đông Hoàng Thái một tại sao không có thấy?"

	Bắc Phong có chút suy nghĩ không ra, nhưng những thứ này cũng không phải là mình cần phải cân nhắc.

	Dù sao mình coi như là tận lực, vậy sáng tạo ra cơ hội này

	Nếu như vậy cũng để cho Dực Tổ chạy mất, Bắc Phong vậy không thể làm gì.

	. . .

	Dực Tổ bước vào hư không bên trong lối đi, mới thở phào nhẹ nhõm.

	"Thật là mạnh, tối thiểu là hoàn thành tứ chi, thậm chí là trừ đầu lâu bên ngoài, hoàn thành toàn thân không mục nát!

	Khó trách lũ lũ xuất rằng bổn tôn dự liệu, tới nhanh như vậy!

	Đây rốt cuộc là tới từ nơi nào thế lực, lại có thể không có nghe qua!"

	Dực Tổ có chút phát hoảng.

	Cái này tùy tiện đi ra một tôn bất hủ cảnh, chính là như vậy đáng sợ, so với mình còn mạnh hơn, vậy ngoài ra hai tôn hóa thân bản thể đâu ?

	"Cũng may lão tổ có trước thấy rõ ràng."

	Dực Tổ lòng vẫn còn sợ hãi, nguyên bản đối với mình buông tha luyện hóa Nguyệt Thiền thân thể còn có chút không cam lòng.

	Nhưng bây giờ nhìn lại, đơn giản là anh minh vô cùng!

	"Âm dương hai cách, luân hồi đại đạo!"

	Đông Hoàng Thái lạnh lẽo đẹp trai mặt mũi xuất hiện, trực tiếp như Thiên đạo ý chí vậy, đổ chiếu vào trên ngân hà!

	Vô tận linh khí nơi hội tụ, thần sắc lạnh lùng, cao cao tại thượng!

	Một lời rơi xuống, đúng mảnh ngân hà run run, rồi sau đó quỷ dị chuyện xuất hiện!

	Đúng mảnh ngân hà vào giờ khắc này đồng loạt run lên, rồi sau đó vô số tinh thần tan vỡ!

	Hóa là thuần túy nhất âm dương nhị khí!

	Âm dương nhị khí lẫn nhau dây dưa, bộc phát ra đáng sợ uy năng, mất đi hết thảy tồn tại!

	Âm dương nhị khí bắt đầu chia cách, xoay tròn!

	Đúng mảnh ngân hà ở một khắc điên đảo, trên dưới chia lìa!

	Đáng sợ như vậy uy năng, rất khó tưởng tượng là sức người tạo thành!

	Một lời dưới, vô số ngôi sao mất đi, trở về lúc ban đầu trạng thái.

	Âm dương nhị khí không ngừng xoay tròn, đúng mảnh ngân hà đều ở đây âm dương nhị khí xoay tròn dẫn dắt dưới, bắt đầu xoay tròn!

	Cuối cùng, cái này một mảnh ngân hà dâng lên vô số hỗn độn khí, tạo thành to lớn sương mù dày đặc, hoàn toàn đem một phe này thế giới bao phủ vào!

	Ba đạo thân ảnh đứng ở một đoàn đường kính trăm triệu vạn dặm sương mù ra, không chút kiêng kỵ tản ra hơi thở khổng lồ.

	Chỉ là đứng ở nơi đó, có thể cả người hơi thở kinh khủng, rung chuyển vô số ngôi sao, để cho trời trăng sao vây quanh ba người mà xoay tròn!

	"Ngươi nói, hắn phải bao lâu mới có thể phát hiện đúng không ?"

	Mông Điềm nhiều hứng thú đánh giá trước mắt sương mù dày đặc, hướng về phía đạo gia người vừa nói.

	Còn như Đông Hoàng Thái một, Mông Điềm nhìn một cái vậy lạnh lùng như sương lạnh mặt, không đi bị đuổi mà mắc cở.

	"Dầu gì cũng là một tôn bất hủ cảnh, coi như bọn ta ba người toàn lực ra tay, vậy lừa gạt không được bao lâu, muốn đến rất nhanh đối phương là có thể nhận ra được không được bình thường."

	Đạo gia người cười một tiếng, không hề nhận là mình ba người thủ đoạn có thể lừa gạt được cái này tôn bất hủ cảnh bao lâu.

	"Đây cũng là, coi như phát hiện cũng không dùng, còn phải đánh vỡ phong ấn mới được."

	Mông Điềm sờ cằm, trong mắt lóe lên vẻ kinh dị.

	Mông Điềm trong lòng không ý tốt, đang đang suy tư ý nghĩ này của mình có thể được tính.

	Mông Điềm vậy không nghĩ tới, một tôn bất hủ cảnh chỉ như vậy dễ như trở bàn tay liền bị mình ba người bắt được.

	Mặc dù cái này một tôn bất hủ cảnh thực lực không kém, nhưng Mông Điềm nhưng cảm giác cái này tôn bất hủ cảnh có chút thiếu lòng.

	Vốn là cũng chuẩn bị một trận đại chiến, tốn sức khí lực, mới có thể đem bắt, Mông Điềm cũng có bị thương chuẩn bị tâm tư, dù sao cũng là một tôn bất hủ cảnh, thật phải liều mạng, sợ rằng mình ba người cũng biết bỏ ra nhất định giá phải trả mới có thể đem phong ấn.

	Nhưng không nghĩ tới, lại có thể như vậy ung dung.

	Còn như Dực Tổ không có trêu chọc mình các người, ngược lại thì mình các người đánh Dực Tổ chủ ý, chuẩn bị tước đoạt Dực Tổ không mục nát căn nguyên, một điểm này bất kể là Mông Điềm, vẫn là Đông Hoàng Thái một cũng không có để ý.

	Không phải tộc ta, kỳ tâm tất dị!

	Còn nữa một cái, nhược nhục cường thực, thích người sinh tồn!

	Càng đứng ở Đông Hoàng Thái nhất đẳng người cảnh giới này, càng phát ra rõ ràng cái này một cái đạo lý.

	"Nếu không chúng ta tiếp theo làm một chuyến?"

	Mông Điềm có chút rục rịch, dò xét tính đề nghị, đây có thể so ngu mình tu hành mau hơn.

	Bị cúp điện, ngày mai 4 càng!

	Bị cúp điện, điện thoại di động máy vi tính cũng sắp hết pin, bên ngoài mưa hạ nhiệt, không muốn đi Internet.

	Ngày mai canh tư.
