Chương 139: Khai thiên tích địa thứ nhất pháp 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Một màn này quá mức đáng sợ, đủ để cho vô số bất hủ cảnh kinh hoàng!
	Bất kỳ một ngôi sao trong, đi ra một tôn cường giả, là có thể càn quét vô số thế lực!

	Trong đó lại là không hề mục nát cảnh tồn tại trấn giữ, hơn nữa không chỉ một tôn!

	Nhưng bây giờ hết thảy các thứ này cũng không có dùng, hết thảy tất cả, bao gồm toàn bộ mười sáu tầng không gian đều là bị vô tận tử khí nơi xâm nhiễm, hóa là một mảnh đường cùng.

	Vô tận tử khí thúc sanh ra số lượng cao quái vật, vô số chết yểu sinh linh tại không gian hóa là tử địa nháy mắt phát sinh dị biến, tạo thành chỉ có chân linh tồn tại, giống như ác quỷ giống vậy chủng tộc!

	Toàn bộ tầng thứ 16 bên trong không gian, không có một tia một chút nào sức sống, chỉ có làm người ta tuyệt vọng tử khí, coi như là bất hủ cảnh ở hết thảy các thứ này phát sinh lúc vậy không có thể tới kịp chạy trốn, nháy mắt chết, vô số thánh địa tan biến, hóa là quỷ quái chỗ vui chơi!

	Có thể nói, lần này dị biến, trực tiếp đem tầng thứ 16 không gian hoàn toàn phá hủy, sau này nếu là tầng thứ mười lăm không gian bên trong chủng tộc hay hoặc giả là sinh linh, đạt tới một người vô cùng giới hạn sau đó, trực tiếp sẽ vượt qua tầng thứ 16 không gian, tiến vào thứ tầng mười bảy không gian!

	Mà tầng thứ 16 không gian từ nay về sau, nhưng là một phương cấm địa, người chết chỗ vui chơi, người sống cấm địa!

	Mà hết thảy các thứ này vẻn vẹn chỉ là cái này một tôn quỷ dị trong cơ thể bộc phát ra tử khí cái gọi là, còn như cái này tôn quỷ dị tồn tại cuối cùng điên cuồng ra tay, thật ra thì chẳng qua là tăng nhanh cái này một cái quá trình, chân chính nguyên hung, vẫn là cái này vô tận tử khí!

	Đây là một tôn chí cường giả chết lúc từ trong cơ thể nộ sinh ra tử khí, loại này tử khí chất lượng cao, mơ hồ so với căn nguyên còn muốn càng cường đại hơn, dẫu sao cái này tôn chí cường giả cũng không biết bỏ mình nhiều ít vạn năm, cả người thần năng đều bị phai mờ, nhưng là ước chừng tàn lưu lại một cục xương, liền tạo cho một tôn có thể so với ba đạo cùng chứng cao nhất bất hủ!

	Như vậy tử khí, so với toàn bộ chư thiên vạn giới đi tới cuối, tan biến tản ra tử khí càng kinh khủng hơn, chỉ là vô cùng thiếu một số tử khí, trực tiếp đem toàn bộ mười sáu tầng không gian xâm nhiễm!

	"Ùng ùng!"

	Toàn bộ không gian đều run rẩy, không ngừng sụp đổ, nhưng là ở toàn bộ chư thiên vạn giới lực lượng hạ, nhưng không hề ngừng tu bổ, ở phá xấu xa cùng tu bổ bây giờ, một loại kỳ dị biến hóa bắt đầu xuất hiện.

	Thế giới càng thêm vững chắc, vô số vong linh giờ phút này tựa hồ đạt được chỉ dẫn, xông vào quỷ dị thân thể bên trong, liều mạng cắn xé cái này một tôn quỷ dị tồn tại hết thảy!

	Hủy diệt nguyên tầng không gian tội nghiệt thêm thân, trực tiếp để cho cái này một tôn quỷ dị bị chư thiên vạn giới đáng sợ ý chí để mắt tới, thiên khóc mưa máu!

	Từng đạo Xích Luyện phá vỡ thương khung, bùng nổ vô lượng thần quang, càn quét vạn giới!

	Đối với toàn bộ chư thiên vạn giới mà nói,

	Hôm nay cái này một tôn quỷ dị tồn tại chính là dị đoan, ung thư, nhất định phải đem giết chết!

	Vô tận vong linh xông vào cái này một tôn quỷ dị tồn tại thân thể bên trong, không ngừng mất đi trước cái này một tôn quỷ dị thần trí, để cho nó càng điên cuồng lên, đồng thời quanh thân tử khí ở vô số như bướm bay dập lửa vọt tới vong linh gia trì dưới, thiêu đốt càng phát ra sáng chói!

	"Không, bổn tôn làm sao biết chết!"Cái này tôn quỷ dị tồn tại cảm thấy chư thiên vạn giới sâu đậm ác ý, sắc mặt dữ tợn, ngửa mặt lên trời gào thét, " khai thiên tích địa thứ nhất pháp!"

	Vô lượng huyền quang bạo phát, một cổ vô thượng sức mạnh to lớn vượt qua vô tận thời gian dài sông, xuyên thủng chư thiên vạn giới, từ vực ngoại hạ xuống!

	Kinh khủng như vậy động tĩnh, hơn nữa toàn bộ chư thiên vạn giới giận dữ, tất cả cường giả cũng cảm ứng được dị biến, làm cái này một tôn quỷ dị tồn tại vận dụng khai thiên tích địa thứ nhất pháp, toàn bộ trong Chư thiên vạn giới, một tôn tôn lão quái vật từ trong ngủ mê bị thức tỉnh, có thể cảm giác được một cổ siêu thoát toàn bộ chư thiên vạn giới cao nhất hơi thở xuyên thủng vô tận thời gian cùng không gian, nháy mắt hạ xuống!

	Vực ngoại có lớn khủng bố, mạnh như Thủy Hoàng, vào lúc này vậy là không dám siêu thoát chư thiên vạn giới, bước vào vực ngoại.

	Thiên Ma giới chín đại chúa tể càng bị vực ngoại thế lực nắm trong tay, để cho hủy diệt thế giới vô tận, thu thập thế giới tan biến lúc sinh ra vậy một món hơi thở!

	Mà toàn bộ chư thiên vạn giới quá to lớn, cường đại như Thủy Hoàng, đang đối mặt chư thiên vạn giới, hiểu biết cũng không quá muối bỏ biển.

	Nếu có Thiên Ma giới chín đại chúa tể hạ xuống giới này, như vậy vô số vạn năm trong, cũng chỉ có cái này cửu tôn cao nhất Thiên Ma hạ xuống một phe này chư thiên vạn giới sao?

	Câu trả lời là phủ định, chư thiên vạn giới càng giống như là một mảnh cấm địa, vậy có thể nói là một cái lồng giam, người bên ngoài muốn đi vào, người ở bên trong nhưng muốn đi ra ngoài.

	Chín đại thiên Ma giới chúa tể chẳng qua là vực ngoại người thất bại, kể cả tộc quần vĩnh hằng thế giới cũng bị địch nhân đánh tàn phế, đưa đến chín đại chúa tể không thể không mang tàn phá thế giới cùng tộc nhân hạ xuống chư thiên vạn giới bên trong.

	Mà vô số vạn năm trong, tự nhiên không dứt chín đại chúa tể hạ xuống! Trước phủ xuống một ít lão quái vật cũng bởi vì là các loại các dạng nguyên nhân rơi vào trong giấc ngủ say, hôm nay nhưng là bị cái này cái gọi là khai thiên tích địa thứ nhất pháp sở kinh động!

	Nghiêm chỉnh mà nói, Thiên Ma giới chín đại chúa tể cùng tất cả ở không biết tên thời đại hạ xuống chư thiên vạn giới cao nhất cường giả đều là từ chém một đao, loại trạng thái này hạ, bọn họ mới có thể xuyên qua chư thiên ngoại giới ra bình phong che chở, tiến vào chư thiên vạn giới trong.

	Còn như Thủy Hoàng, nhưng là một cái đặc biệt, toàn bộ trong Chư thiên vạn giới, nguyên bản căn bản thì không thể để cho sinh linh đột phá đến Thủy Hoàng cái này một cảnh giới, nhưng là Thủy Hoàng nhưng là gắng gượng làm được, là lấy cứ việc đều ở đây cùng một trong cảnh giới, Thủy Hoàng chiến lực xa xa so với từ chém một đao chín đại thiên Ma giới chúa tể mạnh hơn.Chương 139: Khai thiên tích địa thứ nhất pháp 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Một màn này quá mức đáng sợ, đủ để cho vô số bất hủ cảnh kinh hoàng!

	Không gian từng tầng một hướng xuống, mỗi tầng 1 bên trong không gian cũng tồn tại một cái độc lập vũ trụ, càng mặt ngoài trong không gian tồn tại vũ trụ lại càng yếu, nhưng vậy vẻn vẹn chỉ là trong đó lực lượng hệ thống yếu, diện tích nhưng là không thay đổi chút nào!

	Vô số tầng không gian vòng quanh vòng quanh tương khấu, lẫn nhau bây giờ nhìn như không có liên lạc, nhưng thực thì nhưng lại là tức tức tương quan.

	Làm tầng thứ nhất trong không gian, có sinh linh một mình thực lực hay hoặc giả là đúng viên thế giới lột xác, như vậy sẽ tiến vào tầng thứ hai không gian!

	Mỗi tầng 1 không gian đối với lực lượng dễ dàng tha thứ là có thượng hạn, làm xuất hiện kinh khủng tồn tại, thế giới lực liền sẽ bắt đầu đem đối phương bài xích ra ngoài, để cho nó tiến vào hơn nữa sâu tầng thứ bên trong không gian.

	Nhưng là đây cũng chỉ là nhằm vào vốn trong không gian mới vừa sinh ra chủng tộc hoặc giả là sinh linh, như Bắc Phong bực này tồn tại, muốn hạ xuống tầng thấp không gian cứ việc cần phải bỏ ra nhất định giá phải trả, có thể cũng không phải quá mức phiền toái.

	Nhưng thế giới dễ dàng tha thứ nhưng cũng có hạn, nếu là Bắc Phong từ sâu tầng thứ bên trong không gian tiến vào bề ngoài cạn tầng bên trong không gian trắng trợn phá xấu xa, đúng tầng bên trong không gian vũ trụ lực thì sẽ cưỡng ép đem Bắc Phong đuổi.

	Mà hôm nay, Bắc Phong cùng cái này tôn quỷ dị tồn tại không gian nhưng là ở tầng thứ 16, đã coi như là chỗ sâu, dẫu sao càng về phía sau, thật ra thì không gian diện tích không thay đổi, nhưng là trong đó tinh thần lại càng thiếu, như Kim tự tháp vậy!

	Hôm nay Hắc Trạch tinh liền đứng ở nơi này một phương chư thiên vạn giới nơi có không gian nhất đỉnh cấp, ở vào thứ ba mươi tầng sau bên trong không gian!

	Tầng thứ 16 trong không gian, mặc dù không gian khổng lồ, nhưng là có thể tồn tại ở tầng thứ 16 không gian bên trong tinh thần, không một không phải cực kỳ kinh khủng!

	Bất kỳ một ngôi sao trong, đi ra một tôn cường giả, là có thể càn quét vô số thế lực!

	Trong đó lại là không hề mục nát cảnh tồn tại trấn giữ, hơn nữa không chỉ một tôn!

	Nhưng bây giờ hết thảy các thứ này cũng không có dùng, hết thảy tất cả, bao gồm toàn bộ mười sáu tầng không gian đều là bị vô tận tử khí nơi xâm nhiễm, hóa là một mảnh đường cùng.

	Vô tận tử khí thúc sanh ra số lượng cao quái vật, vô số chết yểu sinh linh tại không gian hóa là tử địa nháy mắt phát sinh dị biến, tạo thành chỉ có chân linh tồn tại, giống như ác quỷ giống vậy chủng tộc!

	Toàn bộ tầng thứ 16 bên trong không gian, không có một tia một chút nào sức sống, chỉ có làm người ta tuyệt vọng tử khí, coi như là bất hủ cảnh ở hết thảy các thứ này phát sinh lúc vậy không có thể tới kịp chạy trốn, nháy mắt chết, vô số thánh địa tan biến, hóa là quỷ quái chỗ vui chơi!

	Có thể nói, lần này dị biến, trực tiếp đem tầng thứ 16 không gian hoàn toàn phá hủy, sau này nếu là tầng thứ mười lăm không gian bên trong chủng tộc hay hoặc giả là sinh linh, đạt tới một người vô cùng giới hạn sau đó, trực tiếp sẽ vượt qua tầng thứ 16 không gian, tiến vào thứ tầng mười bảy không gian!

	Mà tầng thứ 16 không gian từ nay về sau, nhưng là một phương cấm địa, người chết chỗ vui chơi, người sống cấm địa!

	Mà hết thảy các thứ này vẻn vẹn chỉ là cái này một tôn quỷ dị trong cơ thể bộc phát ra tử khí cái gọi là, còn như cái này tôn quỷ dị tồn tại cuối cùng điên cuồng ra tay, thật ra thì chẳng qua là tăng nhanh cái này một cái quá trình, chân chính nguyên hung, vẫn là cái này vô tận tử khí!

	Đây là một tôn chí cường giả chết lúc từ trong cơ thể nộ sinh ra tử khí, loại này tử khí chất lượng cao, mơ hồ so với căn nguyên còn muốn càng cường đại hơn, dẫu sao cái này tôn chí cường giả cũng không biết bỏ mình nhiều ít vạn năm, cả người thần năng đều bị phai mờ, nhưng là ước chừng tàn lưu lại một cục xương, liền tạo cho một tôn có thể so với ba đạo cùng chứng cao nhất bất hủ!

	Như vậy tử khí, so với toàn bộ chư thiên vạn giới đi tới cuối, tan biến tản ra tử khí càng kinh khủng hơn, chỉ là vô cùng thiếu một số tử khí, trực tiếp đem toàn bộ mười sáu tầng không gian xâm nhiễm!

	"Ùng ùng!"

	Toàn bộ không gian đều run rẩy, không ngừng sụp đổ, nhưng là ở toàn bộ chư thiên vạn giới lực lượng hạ, nhưng không hề ngừng tu bổ, ở phá xấu xa cùng tu bổ bây giờ, một loại kỳ dị biến hóa bắt đầu xuất hiện.

	Thế giới càng thêm vững chắc, vô số vong linh giờ phút này tựa hồ đạt được chỉ dẫn, xông vào quỷ dị thân thể bên trong, liều mạng cắn xé cái này một tôn quỷ dị tồn tại hết thảy!

	Hủy diệt nguyên tầng không gian tội nghiệt thêm thân, trực tiếp để cho cái này một tôn quỷ dị bị chư thiên vạn giới đáng sợ ý chí để mắt tới, thiên khóc mưa máu!

	Từng đạo Xích Luyện phá vỡ thương khung, bùng nổ vô lượng thần quang, càn quét vạn giới!

	Đối với toàn bộ chư thiên vạn giới mà nói,

	Hôm nay cái này một tôn quỷ dị tồn tại chính là dị đoan, ung thư, nhất định phải đem giết chết!

	Vô tận vong linh xông vào cái này một tôn quỷ dị tồn tại thân thể bên trong, không ngừng mất đi trước cái này một tôn quỷ dị thần trí, để cho nó càng điên cuồng lên, đồng thời quanh thân tử khí ở vô số như bướm bay dập lửa vọt tới vong linh gia trì dưới, thiêu đốt càng phát ra sáng chói!

	"Không, bổn tôn làm sao biết chết!"Cái này tôn quỷ dị tồn tại cảm thấy chư thiên vạn giới sâu đậm ác ý, sắc mặt dữ tợn, ngửa mặt lên trời gào thét, " khai thiên tích địa thứ nhất pháp!"

	Vô lượng huyền quang bạo phát, một cổ vô thượng sức mạnh to lớn vượt qua vô tận thời gian dài sông, xuyên thủng chư thiên vạn giới, từ vực ngoại hạ xuống!

	Kinh khủng như vậy động tĩnh, hơn nữa toàn bộ chư thiên vạn giới giận dữ, tất cả cường giả cũng cảm ứng được dị biến, làm cái này một tôn quỷ dị tồn tại vận dụng khai thiên tích địa thứ nhất pháp, toàn bộ trong Chư thiên vạn giới, một tôn tôn lão quái vật từ trong ngủ mê bị thức tỉnh, có thể cảm giác được một cổ siêu thoát toàn bộ chư thiên vạn giới cao nhất hơi thở xuyên thủng vô tận thời gian cùng không gian, nháy mắt hạ xuống!

	Vực ngoại có lớn khủng bố, mạnh như Thủy Hoàng, vào lúc này vậy là không dám siêu thoát chư thiên vạn giới, bước vào vực ngoại.

	Thiên Ma giới chín đại chúa tể càng bị vực ngoại thế lực nắm trong tay, để cho hủy diệt thế giới vô tận, thu thập thế giới tan biến lúc sinh ra vậy một món hơi thở!

	Mà toàn bộ chư thiên vạn giới quá to lớn, cường đại như Thủy Hoàng, đang đối mặt chư thiên vạn giới, hiểu biết cũng không quá muối bỏ biển.

	Nếu có Thiên Ma giới chín đại chúa tể hạ xuống giới này, như vậy vô số vạn năm trong, cũng chỉ có cái này cửu tôn cao nhất Thiên Ma hạ xuống một phe này chư thiên vạn giới sao?

	Câu trả lời là phủ định, chư thiên vạn giới càng giống như là một mảnh cấm địa, vậy có thể nói là một cái lồng giam, người bên ngoài muốn đi vào, người ở bên trong nhưng muốn đi ra ngoài.

	Chín đại thiên Ma giới chúa tể chẳng qua là vực ngoại người thất bại, kể cả tộc quần vĩnh hằng thế giới cũng bị địch nhân đánh tàn phế, đưa đến chín đại chúa tể không thể không mang tàn phá thế giới cùng tộc nhân hạ xuống chư thiên vạn giới bên trong.

	Mà vô số vạn năm trong, tự nhiên không dứt chín đại chúa tể hạ xuống! Trước phủ xuống một ít lão quái vật cũng bởi vì là các loại các dạng nguyên nhân rơi vào trong giấc ngủ say, hôm nay nhưng là bị cái này cái gọi là khai thiên tích địa thứ nhất pháp sở kinh động!

	Nghiêm chỉnh mà nói, Thiên Ma giới chín đại chúa tể cùng tất cả ở không biết tên thời đại hạ xuống chư thiên vạn giới cao nhất cường giả đều là từ chém một đao, loại trạng thái này hạ, bọn họ mới có thể xuyên qua chư thiên ngoại giới ra bình phong che chở, tiến vào chư thiên vạn giới trong.

	Còn như Thủy Hoàng, nhưng là một cái đặc biệt, toàn bộ trong Chư thiên vạn giới, nguyên bản căn bản thì không thể để cho sinh linh đột phá đến Thủy Hoàng cái này một cảnh giới, nhưng là Thủy Hoàng nhưng là gắng gượng làm được, là lấy cứ việc đều ở đây cùng một trong cảnh giới, Thủy Hoàng chiến lực xa xa so với từ chém một đao chín đại thiên Ma giới chúa tể mạnh hơn.
