Chương 316: Trở về! 
 Converter Dzung Kiều cầu khen thưởng 

	Trong phòng rộng lớn, một lớn một nhỏ hai cái thân ảnh ngồi chung một chỗ.
	Không dám lại đi suy nghĩ nhiều, Bắc Phong nhìn về phía trong không gian giới chỉ còn dư lại vật phẩm.

	Ba chất đậu phộng rang lớn bằng hạt giống, một loại đen nhánh như ngọc trai vậy, một loại khác chính là xanh biếc, còn có một loại chính là đỏ thẫm.

	Ngoài ra cũng chỉ còn lại có một cái bắp đùi thịt, Bắc Phong ngược lại là muốn đem cái này một đầu Tề kéo thú cũng đựng ở trong không gian giới chỉ, nhưng là nhẫn không gian có hạn, chẳng qua là sắp xếp một khối lớn chân thịt thả nhập trong không gian giới chỉ.

	May là như vậy, một khối này bắp đùi thịt cũng chiếm cứ toàn bộ nhẫn không gian hơn phân nửa, còn lại trống không địa phương vốn là đựng linh dược, bây giờ đầy đủ không có.

	"Đáng tiếc à, sớm biết cái gì cũng phải đem Huyền Nguyệt trang bị không gian mượn tới."

	Bắc Phong có chút thương tiếc, nhưng hệ thống còn không có làm tuyệt, tối thiểu đem đầu này cấp 9 Tề kéo thú thịt lưu lại cho mình.

	Nhìn một cái mình dáng người, ước chừng 4m tới cao, nếu là chỉa vào như vậy thân cao đi ra ngoài, phỏng đoán sẽ đưa tới xôn xao.

	Nhìn một chút mình nhà vị trí, hẳn là ở trong núi sâu, vừa vặn lại tu hành một đoạn thời gian, ít nhất cũng phải có thể tự nhiên khống chế mình thân cao lúc lại đi ra.

	"Bây giờ cũng không biết trên trái đất đi qua thời gian bao lâu, nhìn dáng dấp đã là mùa hè, chính là không biết là ta đi năm ấy mùa hè, vẫn là năm thứ hai, năm thứ ba mùa hè!"

	Bắc Phong lộp bộp tự nói, sau đó bắt đầu tìm được một nơi hang núi, bắt đầu tu hành.

	Pháp thiên tướng địa bộ công pháp kia thật rất thần kỳ, tổng cộng chia làm làm người tương ba tầng, tương ba tầng, thiên tướng ba tầng! Pháp thiên tướng địa tầng 1

	Lúc này Bắc Phong liền thuộc về người tương tầng thứ nhất thành, thật không biết luyện đến đỉnh cấp lúc sẽ cường đại bao nhiêu!

	Bất quá Bắc Phong phỏng đoán tu hành đến tầng thứ nhất viên mãn lúc cần tài nguyên phỏng đoán tìm khắp nơi cầu cũng không nhất định có thể đủ!

	Đây chính là môn công pháp này chỗ kinh khủng, lấy Trái Đất thiên địa linh khí tiêu chuẩn tới, căn bản không nuôi nổi Bắc Phong tu hành!

	"Khối này hoang thú cấp 9 cùng kéo máu thịt hẳn có thể để cho ta tầng thứ nhất tu hành đến viên mãn, tầng thứ hai cần tài nguyên đến lúc đó lại đi, chân thực không được cũng chỉ có thể mạo hiểm."

	Bắc Phong suy nghĩ một chút đều cảm thấy khủng bố, công pháp này nhất định chính là một cái động không đáy!

	Thoáng một cái ba ngày trôi qua, Bắc Phong cũng rốt cuộc để cho mình thân xác khôi phục bình thường tiêu chuẩn, nhưng Bắc Phong thân cao nhưng vẫn là có 2m, đây cũng không phải là Bắc Phong tận lực làm, mà là Bắc Phong bây giờ chân thực thân cao.

	Bắc Phong nhanh chóng hướng núi rừng bên ngoài chạy đi, dưới chân nhẹ một chút mặt đất, bị điểm trúng địa phương nổ ra tới từng cái 2-3m lớn trong cái hố sâu!

	Một đầu tóc bạc bù xù ở sau lưng, ở ánh mặt trời chiếu xuống xán xán rực rỡ!

	Thân hình giống như quỷ mị vậy, chẳng qua là ngay tức thì liền biến mất ở trong rừng rậm.Chương 316: Trở về! 
 Converter Dzung Kiều cầu khen thưởng 

	Trong phòng rộng lớn, một lớn một nhỏ hai cái thân ảnh ngồi chung một chỗ.

	"Ừ ? Ngươi phải đi?"

	Hạ Cơ ngược lại là không nghĩ tới Bắc Phong xảy ra lời như vậy, khẽ cau mày chung một chỗ.

	Một cổ áp lực hơi thở bồng bềnh ở trong phòng, một khi bộc phát ra long trời lở đất.

	" Ừ, là thời điểm rời đi."

	Bắc Phong sắc mặt trầm ổn, không có động tĩnh.

	"Hề hề, ngươi cảm thấy ngươi có thể đi sao?"

	Hạ Cơ phát ra một tiếng cười khẽ, "Trước không ta có nhường hay không ngươi đi, chỉ một chẳng qua là Bằng thân vương nơi đó ngươi liền không qua ải!"

	"Vô dụng, ngươi không hiểu."

	Bắc Phong không có đi xuống ý niệm, xoay người rời đi.

	"Có ý tứ, ta đây muốn xem xem ngươi làm sao rời đi?"

	Hạ Cơ không cho là đúng cười một tiếng, muốn ném xuống mình lưu, truyền đi người khác nghĩ như thế nào?

	Bỏ mặc như thế nào, Bắc Phong đã là Hạ Quốc phò mã, thật nếu để cho Bắc Phong chạy mất, người khác sẽ định thế nào mình cái này công chúa?

	Hạ Cơ triệu tập Bình Nhi, nhẹ giọng liền đôi câu.

	"Cái gì? Hắn có thể lấy công chúa ngài đó là hắn thiên đại phúc phận, hắn lại còn muốn chạy! Nô tỳ cái này liền đi qua đem chân hắn cắt đứt, xem hắn chạy thế nào!"

	Bình Nhi nổi giận đùng đùng trước, là chủ tử nhà mình ôm bất bình.

	"Trở lại, coi trọng hắn là được, mặc dù hắn chẳng qua là Bằng thân vương con cờ, nhưng là cũng không thể rơi xuống Bằng thân vương mặt mũi, gần đây Bằng thân vương động tác càng ngày càng lớn."

	Hạ Cơ có chút buồn cười, gọi lại Bình Nhi, thật muốn đánh đứt Bắc Phong chân, mình sẽ hành động.

	"À."

	Bình Nhi lưu luyến không thôi đi trở về, trong lòng âm thầm tiếc rẻ.

	Nếu như mới vừa rồi Hạ Cơ không gọi ở Bình Nhi,

	Bình Nhi thật sẽ đi cắt đứt Bắc Phong chân, bao gồm chân thứ 3(con giun).

	Mà Bắc Phong đột nhiên đánh rùng mình một cái, cảm thấy chuyện gì không tốt tình muốn phát sinh.

	"Hệ thống, ta bây giờ tùy thời cũng có thể hồi tới Trái Đất sao?"

	Bắc Phong mở miệng hỏi đến.

	" Uhm, một ngày sau không trở lại đem coi là tự nguyện buông tha trở về."

	Hệ thống thanh âm vang lên.

	Bắc Phong đạt được chắc chắn câu trả lời sau đó thở phào nhẹ nhõm, nếu đã có thể trở về, vậy liền không có gì phải sợ.

	"Bất quá ở chỗ này trước, cũng không thể lãng phí tới cái thế giới này cơ duyên à!"

	Bắc Phong mang trên mặt nụ cười, sau đó xoay người đi phòng bếp.

	Bắc Phong bắt đầu còn lấy làm cho này bên trong sẽ có nhẫn không gian các loại bảo vật tồn tại, kết quả lại là thất vọng, là lấy Bắc Phong cũng không dám ở trước mặt người hiện ra mình ủng có nhẫn không gian.

	Muốn đi ra ngoài là không thể nào, nhưng là ở trong phủ vẫn là thông suốt không trở ngại.

	Phòng bếp rất lớn, lúc này không có người nào ở.

	Bắc Phong đi sau khi đi vào bắt đầu trắng trợn vơ vét trong đó nguyên liệu nấu ăn cùng dược liệu, nhìn tự cầm một điểm này đồ, Bắc Phong đều là lòng thương yêu không dứt, nhẫn không gian quá, rất nhiều thứ căn bản không chứa nổi à.

	Ra phòng bếp đi ngang qua lương đình lúc này nhìn sinh trưởng xanh um tươi tốt dược tiên hoa, Bắc Phong suy nghĩ một chút, cũng rút ra chừng mười bụi cây thả nhập trong không gian giới chỉ.

	"Hệ thống ta muốn trở lại Trái Đất!"

	Bắc Phong trong lòng mặc niệm.

	Sau đó một đạo màu đen vòng xoáy ở Bắc Phong lòng bàn chân xuất hiện, Bắc Phong bắt đầu một chút xíu chìm xuống.

	"Đáng tiếc, chung quy ta vẫn là phải trở lại thuộc về ta địa phương đi."

	Bắc Phong trong lòng có chút không thôi, dẫu sao chỗ này thế giới thật quá thích hợp võ giả.

	Tiến vào không gian ngay tức thì, Bắc Phong liền hôn mê đi.

	"Ve sầu, ve sầu!"

	Trời nắng chan chan, một nơi trong rừng núi vô số con ve ở kêu to.

	Bắc Phong chậm rãi tỉnh lại, sau đó thời gian đầu tiên chính là ý niệm nặng nhập trong không gian giới chỉ.

	"Tại sao có thể như vậy? !"

	Bắc Phong phát ra một tiếng rống giận, ở trong rừng núi truyền đi rất xa.

	"Hệ thống, ta trong không gian giới chỉ linh dược đâu ? !"

	Bắc Phong ở trong đầu yên lặng hỏi đến.

	"Đinh! Hệ thống chỗ sơ hở đã điền vào, là phòng ngừa lần sau kí chủ cố ý rơi vào trong giếng trắng trợn vơ vét linh dược, là lấy làm ra hạn chế! Tất cả dùng loại này phương pháp dẫn tới linh dược hết thảy hóa thành hạt giống, trong đó không thích hợp bản thế giới hạt giống trực tiếp mất đi!"

	Hệ thống thanh âm vang lên.

	Bắc Phong đè nén lửa giận trong lòng, "Ta lần sau tiến vào dị thế giới sau còn có thể hay không trở lại?"

	"Đinh! Có thể trở về tới, cần một triệu trị giá kinh nghiệm."

	Hệ thống giống như là mọi phương diện cũng cân nhắc đến, để cho Bắc Phong chặn trong lòng ý niệm.

	Bắc Phong bỗng nhiên lại chút lòng rung động, dường như theo thả câu người đẳng cấp tăng lên, hệ thống càng ngày càng thông minh!

	Không dám lại đi suy nghĩ nhiều, Bắc Phong nhìn về phía trong không gian giới chỉ còn dư lại vật phẩm.

	Ba chất đậu phộng rang lớn bằng hạt giống, một loại đen nhánh như ngọc trai vậy, một loại khác chính là xanh biếc, còn có một loại chính là đỏ thẫm.

	Ngoài ra cũng chỉ còn lại có một cái bắp đùi thịt, Bắc Phong ngược lại là muốn đem cái này một đầu Tề kéo thú cũng đựng ở trong không gian giới chỉ, nhưng là nhẫn không gian có hạn, chẳng qua là sắp xếp một khối lớn chân thịt thả nhập trong không gian giới chỉ.

	May là như vậy, một khối này bắp đùi thịt cũng chiếm cứ toàn bộ nhẫn không gian hơn phân nửa, còn lại trống không địa phương vốn là đựng linh dược, bây giờ đầy đủ không có.

	"Đáng tiếc à, sớm biết cái gì cũng phải đem Huyền Nguyệt trang bị không gian mượn tới."

	Bắc Phong có chút thương tiếc, nhưng hệ thống còn không có làm tuyệt, tối thiểu đem đầu này cấp 9 Tề kéo thú thịt lưu lại cho mình.

	Nhìn một cái mình dáng người, ước chừng 4m tới cao, nếu là chỉa vào như vậy thân cao đi ra ngoài, phỏng đoán sẽ đưa tới xôn xao.

	Nhìn một chút mình nhà vị trí, hẳn là ở trong núi sâu, vừa vặn lại tu hành một đoạn thời gian, ít nhất cũng phải có thể tự nhiên khống chế mình thân cao lúc lại đi ra.

	"Bây giờ cũng không biết trên trái đất đi qua thời gian bao lâu, nhìn dáng dấp đã là mùa hè, chính là không biết là ta đi năm ấy mùa hè, vẫn là năm thứ hai, năm thứ ba mùa hè!"

	Bắc Phong lộp bộp tự nói, sau đó bắt đầu tìm được một nơi hang núi, bắt đầu tu hành.

	Pháp thiên tướng địa bộ công pháp kia thật rất thần kỳ, tổng cộng chia làm làm người tương ba tầng, tương ba tầng, thiên tướng ba tầng! Pháp thiên tướng địa tầng 1

	Lúc này Bắc Phong liền thuộc về người tương tầng thứ nhất thành, thật không biết luyện đến đỉnh cấp lúc sẽ cường đại bao nhiêu!

	Bất quá Bắc Phong phỏng đoán tu hành đến tầng thứ nhất viên mãn lúc cần tài nguyên phỏng đoán tìm khắp nơi cầu cũng không nhất định có thể đủ!

	Đây chính là môn công pháp này chỗ kinh khủng, lấy Trái Đất thiên địa linh khí tiêu chuẩn tới, căn bản không nuôi nổi Bắc Phong tu hành!

	"Khối này hoang thú cấp 9 cùng kéo máu thịt hẳn có thể để cho ta tầng thứ nhất tu hành đến viên mãn, tầng thứ hai cần tài nguyên đến lúc đó lại đi, chân thực không được cũng chỉ có thể mạo hiểm."

	Bắc Phong suy nghĩ một chút đều cảm thấy khủng bố, công pháp này nhất định chính là một cái động không đáy!

	Thoáng một cái ba ngày trôi qua, Bắc Phong cũng rốt cuộc để cho mình thân xác khôi phục bình thường tiêu chuẩn, nhưng Bắc Phong thân cao nhưng vẫn là có 2m, đây cũng không phải là Bắc Phong tận lực làm, mà là Bắc Phong bây giờ chân thực thân cao.

	Bắc Phong nhanh chóng hướng núi rừng bên ngoài chạy đi, dưới chân nhẹ một chút mặt đất, bị điểm trúng địa phương nổ ra tới từng cái 2-3m lớn trong cái hố sâu!

	Một đầu tóc bạc bù xù ở sau lưng, ở ánh mặt trời chiếu xuống xán xán rực rỡ!

	Thân hình giống như quỷ mị vậy, chẳng qua là ngay tức thì liền biến mất ở trong rừng rậm.
