Chương 142: Cái đó ~ bảo vật bị câu đi. . . 
 Converter Dzung Kiều cầu khen thưởng 

	"Một ngàn linh thạch!"
	Cuối cùng ý đều giống nhau, chính là ta rất lợi hại, nhà ta tộc rất lợi hại, con trai ta cũng rất lợi hại, đan dược này nhất định phải để cho ta mua.

	"Ta ra một khối linh thạch, trúc cơ đan ta muốn!" Ở chúng gia tộc tranh đoạt mặt đỏ tới mang tai lúc đó, một cái thanh âm nhàn nhạt ở trong hội trường vang lên.

	Vốn là náo nhiệt như chợ bán thức ăn hội trường ngay tức thì yên tĩnh lại, tất cả gia tộc lớn đứng ở phòng riêng bên cạnh cửa sổ, nhìn xuống dưới.

	Phần phật!

	Ngay tức thì trong hội trường một nơi liền trống rỗng đi ra ngoài một vòng lớn người, lộ ra một cái lăn lộn thân bao phủ ở trong hắc bào bóng người.

	"Người này là ai? Kẻ ngu chứ ?"

	Một đám cách xa người đứng ở một bên xì xào bàn tán.

	"Không! Các người quên một chuyện chứ ? Linh thạch cũng phân là phẩm cấp, ai biết người này ra là một khối thượng phẩm linh thạch vẫn là cực phẩm linh thạch?"

	Một người đánh giá vậy nhìn như ung dung không vội vã người áo bào đen, đột nhiên nói một câu.

	Đúng vậy, một khối trung phẩm linh thạch tương đương với một trăm cái phẩm linh thạch, một khối thượng phẩm linh thạch chính là tương đương với một ngàn lần phẩm linh thạch, còn như cực phẩm linh thạch chính là tương đương với ba chục ngàn hạ phẩm linh thạch!

	Hơn nữa đây chẳng qua là cao phẩm cấp linh thạch dùng cho đại quy mô giao dịch định giá, nếu là muốn dùng phẩm chất thấp cấp linh thạch đi đổi cao phẩm cấp linh thạch, như vậy thì không phải cái giá cả này, rất có thể dùng một trăm hai ba chục khối hạ phẩm linh thạch mới có thể đổi đến một khối trung phẩm linh thạch!

	Nghĩ tới đây một chút, coi như là hai ba lầu trong phòng riêng các thế lực lớn cũng không khỏi thần sắc đông lại một cái.

	"Vị khách này, ngươi nói đúng một khối cực phẩm linh thạch?" Ông già nhìn người áo bào đen hỏi thăm.

	"Ha ha! Bổn tôn nói đúng một khối hạ phẩm linh thạch!" Người áo bào đen đứng dậy, liều lĩnh cười lớn, một cổ kinh người linh áp bao phủ toàn trường!

	"Trúc cơ kỳ tu sĩ!"

	Mọi người thân thể rối rít trầm xuống, không nhịn được kêu lên lối ra.

	"Đạo hữu là ý gì?"

	Cụ già hư híp mắt, nhìn chằm chằm vô căn cứ lập trên không trung người áo bào đen mở miệng nói.

	"Bổn tôn Ma La thượng nhân, một khối này linh thạch liền mua các người tất cả áp trục vật, giao ra đi, bổn tôn mua đồ vẫn là lần đầu tiên đưa tiền."

	Ma La thượng nhân cả người áo quần không gió mà lay, thần sắc không ai bì nổi.

	"Ngu si! Đây là từ cái đó trong hốc núi đi ra ngoài? Bế quan tu luyện đem đầu óc tu hư chứ ?"

	Không ngờ, nghe gặp cái này Ma La thượng nhân lời nói sau đó, mọi người tại đây ngược lại như thích mang nặng, giống như là xem người chết vậy nhìn Ma La thượng nhân.

	"Rất lâu không có gặp phải ngươi như vậy liều lĩnh tiểu tử, niệm tình ngươi tu hành không dễ, liền là ta Thiên Bảo các thủ ba mươi năm cửa đi." Cụ già áo gấm mở hai mắt ra, ngay tức thì một cổ vô cùng to lớn linh áp hướng Ma La thượng nhân nghiền ép đi!

	" Ầm!"

	"Phốc!"

	Ma La thượng nhân một mặt đờ đẫn, mình linh áp trực tiếp bị đối phương linh áp nghiền nát, phun ra một ngụm máu tươi, người từ nửa trống rỗng rớt xuống, nhìn giống vậy dựng thân giữa không trung cụ già kinh hô thành tiếng, "Giả đan tu sĩ!"

	Giả đan tu sĩ là kim đan cùng trúc cơ kỳ trung gian một cái đặc thù cảnh giới, giống như là vượt qua trúc cơ kỳ, nhưng lại kết đan thất bại tu sĩ.

	Tầm thường năm ba cái trúc cơ đỉnh cấp cũng không nhất định đánh thắng được một vị giả đan tu sĩ!

	Người các thế lực lớn chính là đang cười lạnh, chính là trúc cơ kỳ liền dám đến Thiên Bảo các đánh cướp, thật không biết ngươi là ngu đâu ? Vẫn là ngu!

	Trăm năm trước một vị kim đan tu sĩ ở Thiên Bảo các vung tay, đoạt đi một kiện chí bảo, nhưng bất quá ngày thứ hai, kim đan kia đại tu sĩ đầu lâu liền treo ở trước cửa Thiên Bảo các!

	"Xem ra là lão phu lâu không ra tay, cái gì yêu quái cũng nhô ra! Ta đây muốn xem xem còn có ai dám tới!"

	Ông già thô bạo vô cùng, thanh âm vang khắp toàn trường, nhưng một số người sắc mặt nhưng có chút cổ quái, ông già nhìn cái này một bộ phận người không nghĩ ra.

	"Cái đó ~ vật đấu giá bị câu đi. . ."

	Một cái yếu ớt thanh âm không biết từ chỗ nào truyền tới.

	Cụ già áo gấm ngẩn ngơ, mới vừa mình còn nói người nào dám ra đây, không nghĩ tới đảo mắt mặt đã bị đánh bóch bóch vang!Chương 142: Cái đó ~ bảo vật bị câu đi. . . 
 Converter Dzung Kiều cầu khen thưởng 

	"Một ngàn linh thạch!"

	"Một ngàn hai linh thạch!"

	"Một ngàn năm trăm linh thạch! Ta Mạc gia muốn!"

	Trong hội trường xuất hiện chốc lát yên tĩnh, sau đó chính là từng cái ra giá vang lên, tựa như đó không phải là mấy ngàn linh thạch, mà là một đống đá vậy.

	Riêng lớn trong hội trường, chỉ có lầu hai, lầu ba trong phòng riêng nhân vật lớn ở ra giá.

	Hai lầu ba phòng riêng áp đảo trong hội trường, chưa từng có người thực lực và bối cảnh không thể nào tiến vào trong đó!

	Trong hội trường ngồi mọi người ngược lại thì thành xem náo nhiệt, nhưng mọi người nhưng nhìn nói chuyện say sưa, trong ngày thường có thể xem không thấy nhiều như vậy gia tộc lớn xé ~ ép!

	Cuối cùng kiếm này phù bị một gia tộc lớn lấy ba ngàn linh thạch vỗ xuống, kiếm này phù hoàn toàn có thể làm vì gia tộc nội tình, ở sinh tử tồn vong đang lúc nói không thể liền dựa vào kiếm này phù ngăn cơn sóng dữ!

	Sau nửa trận bảo vật đều là ngoại giới khó gặp, may là lấy Thiên Bảo các lần bố trí long đồ hoàng triều thế lực to lớn cũng ước chừng làm cho này buổi đấu giá chuẩn bị mười năm!

	"Phía dưới mời ra chính là lần này hội đấu giá mười kiện áp trục bảo vật một trong! Trúc cơ đan!" Cụ già áo gấm thanh âm có chút rất nhiều chập chờn, nói tiếp, "Viên thuốc viên này chủ nhân uỷ thác Thiên Bảo các đấu giá, chỉ đổi lấy tăng lên luyện khí kỳ thực lực đan dược."

	Mà phía dưới mọi người toàn bộ đều đờ đẫn ở, mình nghe được cái gì? Trúc cơ đan à! Luyện khí đỉnh cấp ăn vào một viên trúc cơ đan đánh vào trúc cơ kỳ lúc có thể tăng lên 30% tỷ lệ thành công!

	Có thể đừng xem nhẹ cái này tầng ba tỷ lệ thành công, đây đã là rất cao!

	"Đây là đâu cái phá của đồ chơi, loại đan dược này cũng có thể lấy ra bán đấu giá?"

	Trong hội trường, một người tối tăm thầm mắng một câu, người khác có trúc cơ đan còn không giấu giếm, giữ lại cùng mình luyện khí tột cùng thời điểm lại uống, tên nầy đến tốt, trực tiếp lấy ra bán đấu giá.

	"Không nghĩ tới trúc cơ đan như vậy bảo vật cũng có, không hổ là Thiên Bảo các, không tiếc bất cứ giá nào bắt lại viên này trúc cơ đan! Có viên trúc cơ đan này, nói không thể lão tổ liền có thể đột phá đến trúc cơ kỳ!"

	Lầu ba trong một cái buồng, một người đàn ông trung niên mừng rỡ như điên, cái này Thiên Bảo các sau cùng mười kiện áp trục bảo vật từ trước đến giờ là không công bố, không có bắt đầu quay bán lúc đó, người ngoài cũng không biết có chút gì.

	Lúc này nghe lại có trúc cơ đan như vậy bảo vật xuất hiện, các thế lực lớn không thể bình tĩnh!

	Một viên trúc cơ đan rất có thể tạo ra được tới một vị trúc cơ kỳ cao thủ!

	Mà trúc cơ kỳ tuổi thọ có thể đạt tới hai trăm năm! Coi như chừng mười cái luyện khí đỉnh cấp ở trúc cơ kỳ tu sĩ trước mặt cũng là không chịu nổi một kích, ý nghĩa có một vị trúc cơ kỳ cao thủ trấn giữ, gia tộc sẽ đem vững như Thái Sơn, sẽ đem nghênh đón nhanh chóng phát triển!

	"Bây giờ có thể bắt đầu ra giá, nếu như cuối cùng giá sau cùng quá thấp, người bán có thể lựa chọn buông tha đổi chác." Lão nhân nói xong sau đó cũng không lên tiếng nữa, lặng lẽ đứng ở một bên.

	"Mười bình tinh khí hoàn!" Trong lầu hai, một gia tộc bắt đầu ra giá.

	"Mười bình tiên thiên đan!"

	"Mười lăm bình luyện khí đan!"

	"Vậy ta? 1. . ."

	Vô số gia tộc rối rít ra giá, thấy phía dưới trong hội trường mọi người âm thầm chắt lưỡi.

	Một người thở dài nói, "Tinh khí hoàn cũng được đi, chỉ đối với luyện khí kỳ sáu tầng trở xuống hữu dụng, thế nhưng tiên thiên đan cùng luyện khí đan nhưng có thể một mực dùng đến luyện khí đỉnh cấp! Những thứ này gia tộc lớn thật là ra tay thật lớn à!"

	"Không sai, mười lăm bình luyện khí đan giá trị vượt qua mười ngàn linh thạch!"

	Tranh đoạt đến phía sau, tất cả gia tộc lớn đều bắt đầu lấy thế lực gia tộc đè người, cái này nói ta là cái đó cái đó gia tộc, một người khác nói con trai mình là cái gì môn phái nào đệ tử.

	Cuối cùng ý đều giống nhau, chính là ta rất lợi hại, nhà ta tộc rất lợi hại, con trai ta cũng rất lợi hại, đan dược này nhất định phải để cho ta mua.

	"Ta ra một khối linh thạch, trúc cơ đan ta muốn!" Ở chúng gia tộc tranh đoạt mặt đỏ tới mang tai lúc đó, một cái thanh âm nhàn nhạt ở trong hội trường vang lên.

	Vốn là náo nhiệt như chợ bán thức ăn hội trường ngay tức thì yên tĩnh lại, tất cả gia tộc lớn đứng ở phòng riêng bên cạnh cửa sổ, nhìn xuống dưới.

	Phần phật!

	Ngay tức thì trong hội trường một nơi liền trống rỗng đi ra ngoài một vòng lớn người, lộ ra một cái lăn lộn thân bao phủ ở trong hắc bào bóng người.

	"Người này là ai? Kẻ ngu chứ ?"

	Một đám cách xa người đứng ở một bên xì xào bàn tán.

	"Không! Các người quên một chuyện chứ ? Linh thạch cũng phân là phẩm cấp, ai biết người này ra là một khối thượng phẩm linh thạch vẫn là cực phẩm linh thạch?"

	Một người đánh giá vậy nhìn như ung dung không vội vã người áo bào đen, đột nhiên nói một câu.

	Đúng vậy, một khối trung phẩm linh thạch tương đương với một trăm cái phẩm linh thạch, một khối thượng phẩm linh thạch chính là tương đương với một ngàn lần phẩm linh thạch, còn như cực phẩm linh thạch chính là tương đương với ba chục ngàn hạ phẩm linh thạch!

	Hơn nữa đây chẳng qua là cao phẩm cấp linh thạch dùng cho đại quy mô giao dịch định giá, nếu là muốn dùng phẩm chất thấp cấp linh thạch đi đổi cao phẩm cấp linh thạch, như vậy thì không phải cái giá cả này, rất có thể dùng một trăm hai ba chục khối hạ phẩm linh thạch mới có thể đổi đến một khối trung phẩm linh thạch!

	Nghĩ tới đây một chút, coi như là hai ba lầu trong phòng riêng các thế lực lớn cũng không khỏi thần sắc đông lại một cái.

	"Vị khách này, ngươi nói đúng một khối cực phẩm linh thạch?" Ông già nhìn người áo bào đen hỏi thăm.

	"Ha ha! Bổn tôn nói đúng một khối hạ phẩm linh thạch!" Người áo bào đen đứng dậy, liều lĩnh cười lớn, một cổ kinh người linh áp bao phủ toàn trường!

	"Trúc cơ kỳ tu sĩ!"

	Mọi người thân thể rối rít trầm xuống, không nhịn được kêu lên lối ra.

	"Đạo hữu là ý gì?"

	Cụ già hư híp mắt, nhìn chằm chằm vô căn cứ lập trên không trung người áo bào đen mở miệng nói.

	"Bổn tôn Ma La thượng nhân, một khối này linh thạch liền mua các người tất cả áp trục vật, giao ra đi, bổn tôn mua đồ vẫn là lần đầu tiên đưa tiền."

	Ma La thượng nhân cả người áo quần không gió mà lay, thần sắc không ai bì nổi.

	"Ngu si! Đây là từ cái đó trong hốc núi đi ra ngoài? Bế quan tu luyện đem đầu óc tu hư chứ ?"

	Không ngờ, nghe gặp cái này Ma La thượng nhân lời nói sau đó, mọi người tại đây ngược lại như thích mang nặng, giống như là xem người chết vậy nhìn Ma La thượng nhân.

	"Rất lâu không có gặp phải ngươi như vậy liều lĩnh tiểu tử, niệm tình ngươi tu hành không dễ, liền là ta Thiên Bảo các thủ ba mươi năm cửa đi." Cụ già áo gấm mở hai mắt ra, ngay tức thì một cổ vô cùng to lớn linh áp hướng Ma La thượng nhân nghiền ép đi!

	" Ầm!"

	"Phốc!"

	Ma La thượng nhân một mặt đờ đẫn, mình linh áp trực tiếp bị đối phương linh áp nghiền nát, phun ra một ngụm máu tươi, người từ nửa trống rỗng rớt xuống, nhìn giống vậy dựng thân giữa không trung cụ già kinh hô thành tiếng, "Giả đan tu sĩ!"

	Giả đan tu sĩ là kim đan cùng trúc cơ kỳ trung gian một cái đặc thù cảnh giới, giống như là vượt qua trúc cơ kỳ, nhưng lại kết đan thất bại tu sĩ.

	Tầm thường năm ba cái trúc cơ đỉnh cấp cũng không nhất định đánh thắng được một vị giả đan tu sĩ!

	Người các thế lực lớn chính là đang cười lạnh, chính là trúc cơ kỳ liền dám đến Thiên Bảo các đánh cướp, thật không biết ngươi là ngu đâu ? Vẫn là ngu!

	Trăm năm trước một vị kim đan tu sĩ ở Thiên Bảo các vung tay, đoạt đi một kiện chí bảo, nhưng bất quá ngày thứ hai, kim đan kia đại tu sĩ đầu lâu liền treo ở trước cửa Thiên Bảo các!

	"Xem ra là lão phu lâu không ra tay, cái gì yêu quái cũng nhô ra! Ta đây muốn xem xem còn có ai dám tới!"

	Ông già thô bạo vô cùng, thanh âm vang khắp toàn trường, nhưng một số người sắc mặt nhưng có chút cổ quái, ông già nhìn cái này một bộ phận người không nghĩ ra.

	"Cái đó ~ vật đấu giá bị câu đi. . ."

	Một cái yếu ớt thanh âm không biết từ chỗ nào truyền tới.

	Cụ già áo gấm ngẩn ngơ, mới vừa mình còn nói người nào dám ra đây, không nghĩ tới đảo mắt mặt đã bị đánh bóch bóch vang!
