Chương 207: Minh Thế Lễ tính toán 
 Converter Dzung Kiều cầu phiếu 

	Tô Lâm 2 cha con cũng sắp khóc, cmn không mang theo chơi như vậy.
	Tô Lâm cái biệt khuất đó à, là ai cũng dám tới đạp mình một cước, mình nói thế nào đi nữa cũng là phó thị trưởng à!

	"Ba ta nhưng mà phó thị trưởng! Ngươi dám đem chúng ta đuổi đi hạ núi Long Hổ ta ngày mai sẽ dẫn người tới phong sơn!"

	Nhìn một miệng là máu, chính ở chỗ này lải nhải không ngừng Tô Bách, Dương Tàm cũng là cười, "Minh Trạch, thượng nhân làm sao dạy ngươi, ngươi liền làm sao đi làm, xảy ra chuyện tình còn có thượng nhân cho ngươi chỗ dựa, loại đãi ngộ này đó là có thể gặp mà không thể cầu à."

	Minh Trạch cặp mắt sáng lên, sau đó tiến lên liền hướng về phía Tô Bách đánh, từng trận tiếng kêu thảm thiết quanh quẩn, thấy Minh Thế Lễ khóe miệng giật một cái vừa kéo, thằng nhóc này ra tay thật ác độc à, còn vẫn đối với mặt đánh.

	"Cái này đều là người nào à, không là nói nhà tâm cảnh ôn hòa sao, làm sao bây giờ nhô ra hai người nóng nảy làm sao cũng như thế không tốt đâu ? Con trai mình ở trong hoàn cảnh như vậy sẽ sẽ không biến thành bạo lực cuồng?"

	Minh Thế Lễ có chút lo âu, nhưng lại không có nói lời phản đối, cũng cảm thấy cái này 2 cha con nên bị đánh, chẳng qua là ngại với mình thân phận, không tốt nói thêm cái gì thôi.

	Tô Lâm chính là nhìn con mình bị đánh, không nói gì, "Để cho thằng nhóc này nói càn mà nói, bị đánh một trận để cho tỉnh trưởng làm bớt giận cũng tốt."

	Cùng tiểu đạo sĩ Minh Trạch sau khi dừng lại, Tô Bách nguyên bản gương mặt đẹp trai đã sưng cùng đầu heo vậy.

	"Đừng nói ba ngươi là phó thị trưởng, tỉnh trưởng ở chỗ này, ngươi hỏi một chút tỉnh trưởng có dám hay không phong ta núi Long Hổ! Thứ không biết chết sống, cút."

	Dương Tàm giọng lạnh lùng, ngày hôm nay nếu không phải núi Long Hổ ngày vui, cái này hai người cũng không có như vậy ung dung rời đi.

	"Đúng rồi, nói cho Đan Hà Tử một tiếng, ta liền cáo từ trước, có thời gian ta lại tới núi Long Hổ ngồi một chút."

	Bắc Phong mặt mang nụ cười, hướng về phía Dương Tàm nói.

	Không thể Dương Tàm nói thêm cái gì, Bắc Phong mũi chân nhẹ nhàng điểm một cái mặt đất, xuất hiện ở mười mấy mét ra, hai ba lần sau liền biến mất không gặp bóng dáng.

	"Đạo trưởng, vị này là?"

	Minh Thế Lễ sững sốt một chút, người trẻ tuổi này cũng là một đại cao thủ à, cha mình lớn tuổi, Minh Thế Lễ cũng không muốn lại mệt nhọc lão nhân gia ông ta, nhưng bên cạnh mình lại không thể không có một cái cường đại hộ vệ, bây giờ nhìn lại người trẻ tuổi này rất phù hợp yêu cầu mà!

	"Thu hồi ngươi về điểm kia tính toán nhỏ nhặt, ngươi không trả nổi giá biểu."

	Nhìn Minh Thế Lễ nhìn chằm chằm Bắc Phong rời đi phương hướng như có điều suy nghĩ, Minh Thế Lễ thản nhiên nói.

	Tên nầy đánh cái gì chủ ý mình lại không rõ lắm, Minh Thế Lễ cũng không có thiếu đánh mình chủ ý, chẳng qua là bị Dương Tàm lời nói kiên định từ chối.

	"Không thừ một chút làm sao biết? Ta cũng không tin một bụi ngàn năm phân hoàng tinh vẫn không thể đánh động hắn!"

	Minh Thế Lễ đối với mình vẫn là rất tự tin, lập tức tựa như trong lòng đã có dự tính nói.

	"Ha ha, ngươi bụi cây này ngàn năm hoàng tinh hay là cho Minh Trạch giữ lại, một bụi ngàn năm hoàng tinh liền muốn mời được một vị tiên thiên thượng nhân một mực hộ vệ ngươi, ngươi dự định để cho hắn hộ vệ ngươi mấy năm vẫn là mấy chục năm?"

	Nghe nói như vậy Dương Tàm bật cười, nhiều hứng thú hỏi ngược lại.

	"5 năm! Ta chỉ đổi lấy hắn hộ vệ ta 5 năm là đủ rồi, còn như Minh Trạch ta chỉ cầu hắn khỏe mạnh là được."

	Minh Thế Lễ trầm giọng nói, nhưng cảm giác Dương Tàm có chút cổ quái.

	"Ta nói cho ngươi, một bụi ngàn năm hoàng tinh chỉ có thể mời mới vừa rồi vị kia thượng nhân một lần cơ hội ra tay, hơn nữa ngươi còn muốn cùng người khác có giao tình mới được, nếu không lớn hơn kết quả là ngươi liền cửa cũng còn chưa đi đến nhập, liền bị người đánh văng ra ngoài!"

	Dương Tàm lắc đầu một cái, muốn dùng một bụi ngàn năm hoàng tinh đổi lấy một vị tiên thiên thượng nhân hộ vệ 5 năm? Đùa gì thế, có chuyện tốt như vậy chính ta cũng muốn thuê một vị tiên thiên thượng nhân.

	"Làm sao có thể? ! Hắn chẳng lẽ cũng không động tâm sao? Đây chính là ngàn năm hoàng tinh đời nơi hiếm thấy à!"

	Minh Thế Lễ lộp bộp lẩm bẩm, tựa như là không thể tiếp nhận sự thật này, một bụi ngàn năm hoàng tinh hoàn toàn là có giá cả vô giá, đối với tông sư cũng có rất lớn tác dụng.

	Nói thật liền liền Dương Tàm đều có chút rất nhiều động tâm, nếu không phải Minh Thế Lễ yêu cầu thời gian qua dài, lại thêm chi mình đang là có đột phá thời khắc mấu chốt, có lẽ mình cũng biết đồng ý.

	"Ngươi hồi đi hỏi một chút Khổng đạo hữu, vì sao vì tiên thiên thượng nhân, ngươi liền biết rõ."

	Dương Tàm lắc đầu một cái, xoay người rời đi, không quấy rầy nữa hai cha con nói chuyện cũ.

	"Nếu là giống vậy tiên thiên thượng nhân, có lẽ xem ở ngàn năm hoàng tinh phân thượng vì Minh Thế Lễ ra tay một lần, nhưng cái này người cũng không phải là giống vậy tiên thiên thượng nhân người!

	Đó là một kiếm giết một vị tiên thiên người tàn nhẫn, hơn nữa người khác cũng không thiếu ngươi một buội này linh dược à."

	Dương Tàm yên lặng suy nghĩ, phải biết lần này núi Long Hổ nhận được nhất lễ vật quý trọng, có lẽ chính là Bắc Phong đưa ngàn năm hàn nhân sâm!

	Dược liệu không phải qua nghìn năm đều là linh dược cấp 2, giống như là hoàng tinh loại này, cũng chỉ có thể coi như là linh dược cấp 1 thôi.

	Liền cấp 2 linh dược cũng có thể tùy ý lấy ra tặng quà người, sẽ để ý chính là một bụi ngàn năm hoàng tinh sao?Chương 207: Minh Thế Lễ tính toán 
 Converter Dzung Kiều cầu phiếu 

	Tô Lâm 2 cha con cũng sắp khóc, cmn không mang theo chơi như vậy.

	"Tỉnh trưởng, ngài nghe ta nói chuyện này chính là một hiểu lầm!"

	Tô Lâm vội vàng bồi không phải, nhất là suy nghĩ mới vừa rồi con trai mình một hớp một cái tiểu súc sinh, Tô Lâm liền muốn chết, tỉnh trưởng nhà công tử đều là tiểu súc sinh, kia há chẳng phải là liền tỉnh trưởng cũng cho mắng sao?

	Đây nếu là bị ghi lại , cho mình xuyên cái giày nhỏ, vậy sau này mình cũng không có ngày tốt qua, đặc biệt là mình cái mông còn không làm sạch sẽ, cấm không dậy nổi tra, tra một cái xui xẻo.

	Minh Thế Lễ không thể hay không đưa, nhưng cũng đã đem cái này hai cha con nhớ.

	"Người tuổi trẻ, con trai ta còn chưa tới phiên ngươi tới dạy dỗ."

	Minh Thế Lễ quay đầu hướng Bắc Phong nói.

	"Đã xảy ra chuyện gì?"

	Dương Tàm đi tới hỏi thăm, nơi này ồn ào bị một tiểu đạo sĩ thấy được, bởi vì vì tới hôm nay đều là khách quý, tiểu đạo sĩ cũng không tốt làm quyết định, cho nên hồi báo cho Dương Tàm.

	Làm thấy được Bắc Phong, cùng núp ở Tô Lâm sau lưng Tô Bách, Dương Tàm có chút khóc cười không thể, cái này không sẽ lại là ở dạy học trò mình đánh người?

	"Đạo trưởng."

	"Sư phụ! Thượng nhân đang dạy ta đồ."

	Tiểu đạo sĩ Minh Trạch khôn khéo chạy đến Dương Tàm thân trước thi lễ một cái, Minh Thế Lễ cũng cung kính thi lễ một cái, đối với Dương Tàm cũng rất quen thuộc, vị này đạo trưởng công giúp tạo hóa, chính là Minh Trạch ân nhân cứu mạng, đối với minh nhà có đại ân.

	" Ừ."

	Dương Tàm dửng dưng xử chi, gật đầu một cái, không một chút nịnh nọt vẻ.

	Dương Tàm không có quá nhiều để ý tới Minh Thế Lễ, hướng Bắc Phong tới, thân vì nửa bước tiên thiên võ giả cùng dựa lưng vào núi Long Hổ cây đại thụ này, Dương Tàm có loại này sức.

	"Gặp qua thượng nhân, thượng nhân ngược lại là thật hăng hái, không có ở đây bên trong trong điện dùng cơm nhưng tới nơi này dạy dỗ Minh Trạch, thật là đứa nhỏ này phúc phận."

	Dương Tàm đến gần Bắc Phong bên người thi lễ một cái, rồi sau đó khách sáo nói.

	"Đã ăn rồi, đi ra tản bộ vừa vặn thấy được cái này hai cha con hùng hổ dọa người, nhìn không được thôi."

	Bắc Phong khóe miệng giật một cái, tại sao lại bị bắt tại chỗ.

	"Đạo trưởng gọi thế nào một người tuổi trẻ thượng nhân? Hơn nữa giống như là rất bộ dáng cung kính? Hẳn là ảo giác. "

	Bởi vì vì Bắc Phong hai người cách có đoạn khoảng cách, chỉ mơ hồ nghe thượng nhân hai chữ, cùng Dương Tàm thi lễ, Minh Thế Lễ âm thầm nghĩ.

	"Các người hai người mình đi xuống."

	Tông sư trí nhớ cũng thật không tệ, nhìn Tô Bách dáng vẻ, Dương Tàm chính là khóe miệng giật một cái, phải, không cần phải nói cũng biết chắc lại là bị mình tiểu đồ đệ đánh.

	Tô Lâm cái biệt khuất đó à, là ai cũng dám tới đạp mình một cước, mình nói thế nào đi nữa cũng là phó thị trưởng à!

	"Ba ta nhưng mà phó thị trưởng! Ngươi dám đem chúng ta đuổi đi hạ núi Long Hổ ta ngày mai sẽ dẫn người tới phong sơn!"

	Nhìn một miệng là máu, chính ở chỗ này lải nhải không ngừng Tô Bách, Dương Tàm cũng là cười, "Minh Trạch, thượng nhân làm sao dạy ngươi, ngươi liền làm sao đi làm, xảy ra chuyện tình còn có thượng nhân cho ngươi chỗ dựa, loại đãi ngộ này đó là có thể gặp mà không thể cầu à."

	Minh Trạch cặp mắt sáng lên, sau đó tiến lên liền hướng về phía Tô Bách đánh, từng trận tiếng kêu thảm thiết quanh quẩn, thấy Minh Thế Lễ khóe miệng giật một cái vừa kéo, thằng nhóc này ra tay thật ác độc à, còn vẫn đối với mặt đánh.

	"Cái này đều là người nào à, không là nói nhà tâm cảnh ôn hòa sao, làm sao bây giờ nhô ra hai người nóng nảy làm sao cũng như thế không tốt đâu ? Con trai mình ở trong hoàn cảnh như vậy sẽ sẽ không biến thành bạo lực cuồng?"

	Minh Thế Lễ có chút lo âu, nhưng lại không có nói lời phản đối, cũng cảm thấy cái này 2 cha con nên bị đánh, chẳng qua là ngại với mình thân phận, không tốt nói thêm cái gì thôi.

	Tô Lâm chính là nhìn con mình bị đánh, không nói gì, "Để cho thằng nhóc này nói càn mà nói, bị đánh một trận để cho tỉnh trưởng làm bớt giận cũng tốt."

	Cùng tiểu đạo sĩ Minh Trạch sau khi dừng lại, Tô Bách nguyên bản gương mặt đẹp trai đã sưng cùng đầu heo vậy.

	"Đừng nói ba ngươi là phó thị trưởng, tỉnh trưởng ở chỗ này, ngươi hỏi một chút tỉnh trưởng có dám hay không phong ta núi Long Hổ! Thứ không biết chết sống, cút."

	Dương Tàm giọng lạnh lùng, ngày hôm nay nếu không phải núi Long Hổ ngày vui, cái này hai người cũng không có như vậy ung dung rời đi.

	"Đúng rồi, nói cho Đan Hà Tử một tiếng, ta liền cáo từ trước, có thời gian ta lại tới núi Long Hổ ngồi một chút."

	Bắc Phong mặt mang nụ cười, hướng về phía Dương Tàm nói.

	Không thể Dương Tàm nói thêm cái gì, Bắc Phong mũi chân nhẹ nhàng điểm một cái mặt đất, xuất hiện ở mười mấy mét ra, hai ba lần sau liền biến mất không gặp bóng dáng.

	"Đạo trưởng, vị này là?"

	Minh Thế Lễ sững sốt một chút, người trẻ tuổi này cũng là một đại cao thủ à, cha mình lớn tuổi, Minh Thế Lễ cũng không muốn lại mệt nhọc lão nhân gia ông ta, nhưng bên cạnh mình lại không thể không có một cái cường đại hộ vệ, bây giờ nhìn lại người trẻ tuổi này rất phù hợp yêu cầu mà!

	"Thu hồi ngươi về điểm kia tính toán nhỏ nhặt, ngươi không trả nổi giá biểu."

	Nhìn Minh Thế Lễ nhìn chằm chằm Bắc Phong rời đi phương hướng như có điều suy nghĩ, Minh Thế Lễ thản nhiên nói.

	Tên nầy đánh cái gì chủ ý mình lại không rõ lắm, Minh Thế Lễ cũng không có thiếu đánh mình chủ ý, chẳng qua là bị Dương Tàm lời nói kiên định từ chối.

	"Không thừ một chút làm sao biết? Ta cũng không tin một bụi ngàn năm phân hoàng tinh vẫn không thể đánh động hắn!"

	Minh Thế Lễ đối với mình vẫn là rất tự tin, lập tức tựa như trong lòng đã có dự tính nói.

	"Ha ha, ngươi bụi cây này ngàn năm hoàng tinh hay là cho Minh Trạch giữ lại, một bụi ngàn năm hoàng tinh liền muốn mời được một vị tiên thiên thượng nhân một mực hộ vệ ngươi, ngươi dự định để cho hắn hộ vệ ngươi mấy năm vẫn là mấy chục năm?"

	Nghe nói như vậy Dương Tàm bật cười, nhiều hứng thú hỏi ngược lại.

	"5 năm! Ta chỉ đổi lấy hắn hộ vệ ta 5 năm là đủ rồi, còn như Minh Trạch ta chỉ cầu hắn khỏe mạnh là được."

	Minh Thế Lễ trầm giọng nói, nhưng cảm giác Dương Tàm có chút cổ quái.

	"Ta nói cho ngươi, một bụi ngàn năm hoàng tinh chỉ có thể mời mới vừa rồi vị kia thượng nhân một lần cơ hội ra tay, hơn nữa ngươi còn muốn cùng người khác có giao tình mới được, nếu không lớn hơn kết quả là ngươi liền cửa cũng còn chưa đi đến nhập, liền bị người đánh văng ra ngoài!"

	Dương Tàm lắc đầu một cái, muốn dùng một bụi ngàn năm hoàng tinh đổi lấy một vị tiên thiên thượng nhân hộ vệ 5 năm? Đùa gì thế, có chuyện tốt như vậy chính ta cũng muốn thuê một vị tiên thiên thượng nhân.

	"Làm sao có thể? ! Hắn chẳng lẽ cũng không động tâm sao? Đây chính là ngàn năm hoàng tinh đời nơi hiếm thấy à!"

	Minh Thế Lễ lộp bộp lẩm bẩm, tựa như là không thể tiếp nhận sự thật này, một bụi ngàn năm hoàng tinh hoàn toàn là có giá cả vô giá, đối với tông sư cũng có rất lớn tác dụng.

	Nói thật liền liền Dương Tàm đều có chút rất nhiều động tâm, nếu không phải Minh Thế Lễ yêu cầu thời gian qua dài, lại thêm chi mình đang là có đột phá thời khắc mấu chốt, có lẽ mình cũng biết đồng ý.

	"Ngươi hồi đi hỏi một chút Khổng đạo hữu, vì sao vì tiên thiên thượng nhân, ngươi liền biết rõ."

	Dương Tàm lắc đầu một cái, xoay người rời đi, không quấy rầy nữa hai cha con nói chuyện cũ.

	"Nếu là giống vậy tiên thiên thượng nhân, có lẽ xem ở ngàn năm hoàng tinh phân thượng vì Minh Thế Lễ ra tay một lần, nhưng cái này người cũng không phải là giống vậy tiên thiên thượng nhân người!

	Đó là một kiếm giết một vị tiên thiên người tàn nhẫn, hơn nữa người khác cũng không thiếu ngươi một buội này linh dược à."

	Dương Tàm yên lặng suy nghĩ, phải biết lần này núi Long Hổ nhận được nhất lễ vật quý trọng, có lẽ chính là Bắc Phong đưa ngàn năm hàn nhân sâm!

	Dược liệu không phải qua nghìn năm đều là linh dược cấp 2, giống như là hoàng tinh loại này, cũng chỉ có thể coi như là linh dược cấp 1 thôi.

	Liền cấp 2 linh dược cũng có thể tùy ý lấy ra tặng quà người, sẽ để ý chính là một bụi ngàn năm hoàng tinh sao?
