Chương 867: Hồi nội tông 
 Converter Dzung Kiều cầu phiếu 

	Bắc Phong sờ cằm, nghiêm túc suy nghĩ.
	Cái này một tòa thần kiếm đỉnh quá to lớn, trong đó cuộc sống mấy triệu ngoại tông đệ tử.

	Trung tâm nhất chỗ tạo dựng lên một tòa thành trì thật to, lui tới đều là võ đạo cường giả.

	Trong thành không chỉ có cuộc sống Vạn Cổ thiên tông đệ tử, càng có vô số người phàm, hoặc là thấp cảnh giới võ giả vì mấy triệu ngoại tông đệ tử phục vụ.

	Lại là hấp dẫn vô số từ bên ngoài đến thương hội vào ở, trong thành cửa hàng san sát.

	Bắc Phong cùng nhau đi tới, mắt nhìn thẳng, hướng trung tâm thành đi tới.

	Trung tâm thành mọc như rừng một tòa đen nhánh kiến trúc, cao đến trăm trượng.

	Chiến trường mấy trăm mẫu!

	Lui tới đệ tử không ngừng qua lại, có người từ trong đó đi ra, cũng có như Bắc Phong như vậy tiến vào trong đó.

	Kiến trúc này trong truyền tống trận san sát, ước chừng đếm lấy vạn kế!

	Thông hướng các địa vực!

	Thậm chí có thể khóa giới, truyền tống đến còn lại trong Thông Thiên tháp thế giới nhỏ.

	Vô số đệ tử nhận nhiệm vụ, hay hoặc là về nhà thăm người thân, truyền tống trận chính là cần thiết chọn.

	Bắc Phong nộp chi phí, ở một người hầu dưới sự hướng dẫn đi tới một nơi trong phòng.

	Bên trong căn phòng sớm có mấy chục người chờ, trai gái đều có.

	Bắc Phong sau khi đến không có đưa tới chú ý, dẫu sao ngoại tông quá nhiều học trò, mỗi người có riêng mình vòng nhỏ, không có người có thể nhớ mấy triệu đệ tử.

	Đây cũng là cùng Bắc Phong danh tiếng không hiện có liên quan, dẫu sao ngoại tông lớn như vậy, không có chút danh tiếng ai biết ngươi là ai à.

	Bắc Phong cũng không có thà trao đổi ý, tự mình ngồi ở trên bồ đoàn, nhắm mắt dưỡng thần.

	"Ai, thật hâm mộ đệ tử nòng cốt à, đãi ngộ không phải ngoại tông có thể so sánh."

	"Không có biện pháp, đệ tử nòng cốt quá hiếm hoi, cùng ngoại tông mấy triệu đệ tử so với bất quá là muối bỏ biển, đệ tử nòng cốt hưởng thụ tài nguyên quá ưu việt."

	"Cường giả càng mạnh, người yếu càng yếu."

	Không thiếu đệ tử xì xào bàn tán, lời nói ở giữa tràn đầy hướng tới.

	Bắc Phong khẽ lắc đầu một cái, đệ tử nòng cốt đãi ngộ quả thật so với ngoại tông đệ tử tốt lắm quá nhiều.

	Có thể giống nhau, bỏ ra nhiều ít, mới được nhiều ít.

	Ở Bắc Phong xem ra, đệ tử nòng cốt trải qua tàn khốc cũng xa xa không phải ngoại tông đệ tử có thể so.

	Những thứ này ngoại tông đệ tử cứ việc thiên phú có thể nói không tệ, nhưng so với đệ tử nòng cốt xa xa không bằng.

	Phải biết nhiều như vậy trong đệ tử nồng cốt đồ cũng không tránh được chết, huống chi là những thứ này trung đẳng chi tư ngoại tông đệ tử.

	Thật muốn đổi thành ngoại tông đệ tử, dù là hưởng thụ giống nhau tài nguyên, có thể kết quả sau cùng cũng không biết là đệ tử nòng cốt đối thủ.

	Đã như vậy, tông môn vì sao không đem tài nguyên tập trung ở chân chính thiên chi kiêu tử trên mình.

	Mấy triệu ngoại tông đệ tử, có lẽ trong đó không hề thiếu thực lực cường đại, thiên kiêu tuyệt thế đệ tử, có thể chung sẽ là số ít.

	Trung đẳng chi tư võ giả có thể cuối cùng tu hành đến đỉnh cấp cuối cùng là số ít.

	Cứ việc có chút tàn nhẫn, nhưng vẫn là không thể không nói, thiên tài là trong 1% thiên phú cộng thêm 99% cố gắng.

	Có thể đại đa số dưới tình huống một phần trăm này thiên phú so với 99% cố gắng càng trọng yếu hơn.

	Thời gian kế tiếp, phòng khách bên ngoài lục tục có đệ tử đến.

	Cho đến đầy một trăm người sau đó, cửa ầm ầm đóng cửa, một cả người tràn đầy màu xanh đậm yêu khí trung niên chẳng biết lúc nào xuất hiện ở mọi người trước người.

	Không nói lời nào, mang mọi người đi về phía thiền điện.

	Thiền điện mở ra, vô số đường vân khắc bức tranh trên mặt đất, dưới đất chôn giấu tài liệu quý giá, giá trị kinh người.

	Truyền tống trận chi phí kinh người, đặc biệt là truyền tống khoảng cách càng xa, xây truyền tống trận chi phí lại càng lớn!

	Mà giống nhau truyền tống trận chi phí kinh người, truyền tống một lần cũng là giá trị không rẻ, Bắc Phong chỉ là từ ngoại tông truyền tống đến nội tông, liền ước chừng bỏ ra 50 nghìn cực phẩm linh thạch!

	Đông đảo đệ tử thành thói quen, đứng ở truyền tống trận trên, chờ đợi truyền tống.

	Bắc Phong nhiều hứng thú đánh giá, bất quá nhìn chỉ chốc lát sau, Bắc Phong liền thu hồi ánh mắt.

	Truyền tống trận quá mức phức tạp, vô số đường vân quấn quanh, nhìn lâu để cho Bắc Phong có dũng khí muốn ói cảm giác.

	"Ông!"

	Cả người tản ra màu xanh đậm yêu khí trung niên cẩn thận ở trận pháp bên bờ khảm nạm vào một viên ngân bạch tinh thể, đúng cái truyền tống trận một chút bị kích hoạt.

	Đậm đà hư không lực truyền tới, để cho cả tòa trong phòng cảnh sắc vặn vẹo, nhưng lại không có phá xấu xa tính.

	Trước mắt một đạo chói mắt ánh sáng trắng lóe mạnh rồi biến mất, lần nữa mở mắt ra, Bắc Phong đã đến nội tông sơn môn ra.

	Chỗ sơn môn một đầu bụi đất phác phác tượng đá cao vút, một hơi một tí.

	Tượng đá có chút quái dị, giống như là mấy chục loại yêu thú hợp lại tụm lại vậy.

	Bắc Phong đoàn người hướng Vạn Cổ thiên tông bên trong đi tới, đi ngang qua tượng đá, mọi người đều là mũi nhọn ở gánh, da đầu tê dại, bị lớn khủng bố bao phủ.

	Bắc Phong không nhịn được quay đầu nhìn về phía tượng đá, nhưng gặp hắn lỗ mũi co rút hai cái.

	Lập tức Bắc Phong trong lòng run lên, đây là một con yêu thú, không phải tượng đá!

	Chẳng qua là bởi vì hắn quanh thân không có sinh cơ chút nào, cũng không có bất kỳ nhiệt độ, nhìn như cùng tượng đá độc nhất vô nhị.

	Nhưng lúc này Bắc Phong nhưng là hiểu ra, cái này con yêu thú chính là Vạn Cổ thiên tông cửa chùa trấn sơn thú!

	Mới vừa sở dĩ mọi người sẽ cảm giác được rợn cả tóc gáy, đều là bởi vì cái này con yêu thú đang đang xác định mọi người thân phận!

	Cùng nhau đi tới, không thiếu đệ tử cùng Bắc Phong phân tới, đi nơi khác.

	Mà cùng Bắc Phong cùng chung đi cống hiến điện còn có mấy người.

	"Đây chính là nội tông à, thiên địa linh khí đậm đà vô cùng, còn kèm theo một cổ đặc thù lực lượng."

	"Trong hoàn cảnh như vậy bản thân tu hành cũng nhanh, hơn nữa nội tông các loại đất lành, muốn không mạnh đều khó."

	Mấy người nhìn như khá làm tướng quen thuộc, cùng nhau đi tới xì xào bàn tán.

	"Đúng vậy, lần trước ngoại tông chư vị sư huynh nhưng mà hung hăng vì ngoại tông tranh một cái khí, trực tiếp nửa số đệ tử nòng cốt đều bị kiếp lấy."

	Một anh tuấn mặt mũi chàng trai mang trên mặt nụ cười ấm áp.

	"Nghe nói sư huynh cùng Vũ Đàm sư huynh là bạn tốt, không biết có thể hay không vì chúng ta tiến cử một chút."

	Một mặt cho dáng đẹp, vóc người xuất chúng nữ đệ tử trong mắt lóe lên thành tựu xuất sắc, tỉnh rụi hỏi thăm.

	"Cái này ta cũng không có thể bảo đảm, dẫu sao Vũ Đàm sư huynh đắt vì đệ tử nòng cốt, phải chăng có thời gian, ta cũng không biết."

	Mặt mũi anh tuấn chàng trai thần sắc có chút do dự, rồi sau đó vừa nói.

	Còn lại mấy vị đệ tử nhìn về phía anh tuấn chàng trai trong mắt đều tràn đầy kinh ngạc.

	Mà mặt mũi anh tuấn chàng trai cũng hết sức hưởng thụ thứ ánh mắt này.

	Rồi sau đó đảo mắt thấy được Bắc Phong, đối phương hình như là không có nghe được vậy, để cho mặt mũi anh tuấn chàng trai có chút không thoải mái.

	"Vị này sư đệ, ngươi là lần thứ nhất tới nội tông sao? Nội tông ta đã tới rất nhiều hồi, không phải sư huynh từ khen, nội tông ta quen thuộc, ngươi muốn đi đâu?"

	Chu Dịch hướng về phía Bắc Phong vừa nói, trên mặt mang nụ cười ấm áp.

	"Đa tạ ý tốt, nội tông ta cũng rất quen."

	Bắc Phong cười một tiếng, từ chối khéo Chu Dịch.

	Dẫu sao đưa tay không đánh người mặt tươi cười, đối phương cũng không có cái gì ác ý, chỉ là muốn lấy le một chút thôi.

	"Nếu sư đệ quen thuộc, ngược lại là sư huynh xen vào việc của người khác."

	Trên mặt khó chịu vẻ chớp mắt rồi biến mất, rồi sau đó trêu ghẹo vậy vừa nói.

	Quay đầu tiếp tục cùng mấy vị đồng bạn trò chuyện.

	Sơn môn khoảng cách cống hiến điện vẫn là có rất dài một khoảng cách, Bắc Phong tốc độ chậm không chậm, khá vì nhàn nhã.

	Từng cổ một linh khí tràn vào Bắc Phong trong cơ thể, lại là có từng luồng vô cùng vì năng lượng đặc thù tràn vào Bắc Phong trong máu thịt.

	"Đây là long khí đi, mặc dù không phải là chân long khí, nhưng cũng khá vì bất phàm."

	Bắc Phong cảm thụ biến hóa trong cơ thể, toàn bộ Vạn Cổ thiên tông chính là xây ở một cái vượt qua lớn long mạch trên.

	Mặc dù đây là sơn xuyên long mạch, có thể tràn ra từng luồng long khí cũng là có thể biến đổi ngầm tăng cường một cái võ giả thân thể.

	Mà đối với Bắc Phong loại này máu rồng hậu duệ mà nói, loại này long khí lại là vô cùng trân quý, tác dụng to lớn.

	Ty ty lũ lũ long mạch hơi thở bay lên, tiến vào Bắc Phong trong cơ thể, bắt đầu kích thích Bắc Phong huyết mạch chỗ sâu gông xiềng, để cho Bắc Phong toàn thân đều là xốp xốp ma ma, cả người tỏ ra có chút lười biếng.Chương 867: Hồi nội tông 
 Converter Dzung Kiều cầu phiếu 

	Bắc Phong sờ cằm, nghiêm túc suy nghĩ.

	Thiên đế trúc sau khi chín, mỗi ngày từ trong hư không hấp thu năng lượng đủ để cung cấp một cái tông môn lớn sử dụng, lại là có thể kết ra thiên đế quả.

	Thiên đế quả vô cùng trân quý, thế gian ít có.

	Giá trị lớn, không thể lường được.

	Có thể Bắc Phong trong tay một buội này thiên đế trúc chống đỡ chết cũng chỉ sáu ngàn năm tuổi tác, xa xa không tới kết quả thời điểm.

	Muốn để cho sáu ngàn năm thiên đế trúc trưởng thành đến kết quả, yêu cầu thời gian quá khá dài.

	Mà nộp lên cho tông môn, mình đem có số lượng cao điểm cống hiến.

	Mà tông môn bỏ ra giá thật lớn, đủ để cho thiên đế trúc tăng nhanh sinh trưởng.

	Mà lúc này thiên đế trúc đặt ở trong tay mình cũng không có chỗ hữu dụng.

	Bắc Phong trầm ngâm chốc lát, trong lòng đã làm ra quyết định.

	"Vì lại nữa vì điểm cống hiến mà phiền não, nộp lên thiên đế trúc!"

	Bắc Phong tàn nhẫn lòng, thiên đế trúc lúc này chỉ có thể xem không thể dùng, đặt ở trong tay mình không phát huy ra được lớn nhất giá trị, có các loại thiên đế trúc thành thục vậy một cái thời gian, mình đã sớm lợi hại thiên đế trúc đổi lấy đến tài nguyên tăng lên tới cảnh giới cao hơn.

	Bắc Phong quyết định, không do dự nữa, xoay người đẩy cửa phòng ra.

	Bắc Phong lững thững đi ra chiến thuyền, bốn phía yên tĩnh, không có bóng người.

	Vòng thứ nhất khảo hạch kết thúc, trừ Bắc Phong ra, những đệ tử còn lại trên căn bản đều bị hạn chế phạm vi hoạt động.

	Bắt chặt thời gian khổ tu, dẫu sao vòng thứ nhất khảo hạch máu tanh bị dọa sợ không ít người.

	Bắc Phong một đường đi ra trại lính, cũng không có người ngăn trở.

	Thỉnh thoảng gặp phải một vị Thanh thiên vệ, đối phương cũng là ném tới kính sợ cùng ánh mắt tò mò.

	Dẫu sao không ít người đều là thấy qua Bắc Phong cùng Tử Ma đánh giết, những thứ này Thanh thiên vệ đều là cùng cấp trong siêu quần xuất chúng hạng người, có thể ở Bắc Phong cùng Tử Ma đánh giết trong, mọi người phát hiện liền hai người giao thủ dư âm đều đủ để dễ như trở bàn tay xóa bỏ mình, tự nhiên bị Bắc Phong nơi khuất phục.

	"Đây chính là ngươi nói lấy vạn năm tôn cảnh giới phát huy ra phong hoàng cường giả chiến lực người?"

	Một Thanh thiên vệ ở Bắc Phong thân thể rời đi sau đó, hướng về phía bên cạnh đồng bạn hỏi thăm.

	"Không sai, thật sự là quá đả kích người, ngươi đi xem xem cháu cảnh, chính là bởi vì nhìn hai người này đánh giết sau đó, đạo tâm bể tan tành, tu vi cũng sụp đổ."

	Bên cạnh người nọ nhìn về phía Bắc Phong rời đi phương hướng, trong con ngươi thoáng qua kính sợ.

	Thật quá đả kích người, có thể tiến vào Thanh thiên vệ, bản thân liền là cùng đời ở giữa người xuất sắc, ăn không biết nhiều ít đau khổ.

	Kết quả đụng tới Bắc Phong một cái quái thai như vậy, tuổi còn trẻ liền có vạn năm tôn cảnh giới, chiến lực lại là kinh người.

	Vậy cháu cảnh đạo tâm tan vỡ, chính là nhìn Bắc Phong hai người đánh giết sau đó, đối với mình tu hành võ đạo sinh ra hoài nghi, từ đó tâm ma quấy phá, con đường võ đạo đoạn tuyệt.

	Đối với hết thảy các thứ này Bắc Phong dĩ nhiên là không biết, cho dù biết, cũng không có bất kỳ cảm giác áy náy, mình võ đạo không đủ kiên định, trách ta hả?

	Bắc Phong một lộ ra trại lính, rồi sau đó bước ra chỗ hòn này thế giới nhỏ.

	Ngựa không ngừng vó đến ngoại tông trung tâm.

	Cái này một tòa thần kiếm đỉnh quá to lớn, trong đó cuộc sống mấy triệu ngoại tông đệ tử.

	Trung tâm nhất chỗ tạo dựng lên một tòa thành trì thật to, lui tới đều là võ đạo cường giả.

	Trong thành không chỉ có cuộc sống Vạn Cổ thiên tông đệ tử, càng có vô số người phàm, hoặc là thấp cảnh giới võ giả vì mấy triệu ngoại tông đệ tử phục vụ.

	Lại là hấp dẫn vô số từ bên ngoài đến thương hội vào ở, trong thành cửa hàng san sát.

	Bắc Phong cùng nhau đi tới, mắt nhìn thẳng, hướng trung tâm thành đi tới.

	Trung tâm thành mọc như rừng một tòa đen nhánh kiến trúc, cao đến trăm trượng.

	Chiến trường mấy trăm mẫu!

	Lui tới đệ tử không ngừng qua lại, có người từ trong đó đi ra, cũng có như Bắc Phong như vậy tiến vào trong đó.

	Kiến trúc này trong truyền tống trận san sát, ước chừng đếm lấy vạn kế!

	Thông hướng các địa vực!

	Thậm chí có thể khóa giới, truyền tống đến còn lại trong Thông Thiên tháp thế giới nhỏ.

	Vô số đệ tử nhận nhiệm vụ, hay hoặc là về nhà thăm người thân, truyền tống trận chính là cần thiết chọn.

	Bắc Phong nộp chi phí, ở một người hầu dưới sự hướng dẫn đi tới một nơi trong phòng.

	Bên trong căn phòng sớm có mấy chục người chờ, trai gái đều có.

	Bắc Phong sau khi đến không có đưa tới chú ý, dẫu sao ngoại tông quá nhiều học trò, mỗi người có riêng mình vòng nhỏ, không có người có thể nhớ mấy triệu đệ tử.

	Đây cũng là cùng Bắc Phong danh tiếng không hiện có liên quan, dẫu sao ngoại tông lớn như vậy, không có chút danh tiếng ai biết ngươi là ai à.

	Bắc Phong cũng không có thà trao đổi ý, tự mình ngồi ở trên bồ đoàn, nhắm mắt dưỡng thần.

	"Ai, thật hâm mộ đệ tử nòng cốt à, đãi ngộ không phải ngoại tông có thể so sánh."

	"Không có biện pháp, đệ tử nòng cốt quá hiếm hoi, cùng ngoại tông mấy triệu đệ tử so với bất quá là muối bỏ biển, đệ tử nòng cốt hưởng thụ tài nguyên quá ưu việt."

	"Cường giả càng mạnh, người yếu càng yếu."

	Không thiếu đệ tử xì xào bàn tán, lời nói ở giữa tràn đầy hướng tới.

	Bắc Phong khẽ lắc đầu một cái, đệ tử nòng cốt đãi ngộ quả thật so với ngoại tông đệ tử tốt lắm quá nhiều.

	Có thể giống nhau, bỏ ra nhiều ít, mới được nhiều ít.

	Ở Bắc Phong xem ra, đệ tử nòng cốt trải qua tàn khốc cũng xa xa không phải ngoại tông đệ tử có thể so.

	Những thứ này ngoại tông đệ tử cứ việc thiên phú có thể nói không tệ, nhưng so với đệ tử nòng cốt xa xa không bằng.

	Phải biết nhiều như vậy trong đệ tử nồng cốt đồ cũng không tránh được chết, huống chi là những thứ này trung đẳng chi tư ngoại tông đệ tử.

	Thật muốn đổi thành ngoại tông đệ tử, dù là hưởng thụ giống nhau tài nguyên, có thể kết quả sau cùng cũng không biết là đệ tử nòng cốt đối thủ.

	Đã như vậy, tông môn vì sao không đem tài nguyên tập trung ở chân chính thiên chi kiêu tử trên mình.

	Mấy triệu ngoại tông đệ tử, có lẽ trong đó không hề thiếu thực lực cường đại, thiên kiêu tuyệt thế đệ tử, có thể chung sẽ là số ít.

	Trung đẳng chi tư võ giả có thể cuối cùng tu hành đến đỉnh cấp cuối cùng là số ít.

	Cứ việc có chút tàn nhẫn, nhưng vẫn là không thể không nói, thiên tài là trong 1% thiên phú cộng thêm 99% cố gắng.

	Có thể đại đa số dưới tình huống một phần trăm này thiên phú so với 99% cố gắng càng trọng yếu hơn.

	Thời gian kế tiếp, phòng khách bên ngoài lục tục có đệ tử đến.

	Cho đến đầy một trăm người sau đó, cửa ầm ầm đóng cửa, một cả người tràn đầy màu xanh đậm yêu khí trung niên chẳng biết lúc nào xuất hiện ở mọi người trước người.

	Không nói lời nào, mang mọi người đi về phía thiền điện.

	Thiền điện mở ra, vô số đường vân khắc bức tranh trên mặt đất, dưới đất chôn giấu tài liệu quý giá, giá trị kinh người.

	Truyền tống trận chi phí kinh người, đặc biệt là truyền tống khoảng cách càng xa, xây truyền tống trận chi phí lại càng lớn!

	Mà giống nhau truyền tống trận chi phí kinh người, truyền tống một lần cũng là giá trị không rẻ, Bắc Phong chỉ là từ ngoại tông truyền tống đến nội tông, liền ước chừng bỏ ra 50 nghìn cực phẩm linh thạch!

	Đông đảo đệ tử thành thói quen, đứng ở truyền tống trận trên, chờ đợi truyền tống.

	Bắc Phong nhiều hứng thú đánh giá, bất quá nhìn chỉ chốc lát sau, Bắc Phong liền thu hồi ánh mắt.

	Truyền tống trận quá mức phức tạp, vô số đường vân quấn quanh, nhìn lâu để cho Bắc Phong có dũng khí muốn ói cảm giác.

	"Ông!"

	Cả người tản ra màu xanh đậm yêu khí trung niên cẩn thận ở trận pháp bên bờ khảm nạm vào một viên ngân bạch tinh thể, đúng cái truyền tống trận một chút bị kích hoạt.

	Đậm đà hư không lực truyền tới, để cho cả tòa trong phòng cảnh sắc vặn vẹo, nhưng lại không có phá xấu xa tính.

	Trước mắt một đạo chói mắt ánh sáng trắng lóe mạnh rồi biến mất, lần nữa mở mắt ra, Bắc Phong đã đến nội tông sơn môn ra.

	Chỗ sơn môn một đầu bụi đất phác phác tượng đá cao vút, một hơi một tí.

	Tượng đá có chút quái dị, giống như là mấy chục loại yêu thú hợp lại tụm lại vậy.

	Bắc Phong đoàn người hướng Vạn Cổ thiên tông bên trong đi tới, đi ngang qua tượng đá, mọi người đều là mũi nhọn ở gánh, da đầu tê dại, bị lớn khủng bố bao phủ.

	Bắc Phong không nhịn được quay đầu nhìn về phía tượng đá, nhưng gặp hắn lỗ mũi co rút hai cái.

	Lập tức Bắc Phong trong lòng run lên, đây là một con yêu thú, không phải tượng đá!

	Chẳng qua là bởi vì hắn quanh thân không có sinh cơ chút nào, cũng không có bất kỳ nhiệt độ, nhìn như cùng tượng đá độc nhất vô nhị.

	Nhưng lúc này Bắc Phong nhưng là hiểu ra, cái này con yêu thú chính là Vạn Cổ thiên tông cửa chùa trấn sơn thú!

	Mới vừa sở dĩ mọi người sẽ cảm giác được rợn cả tóc gáy, đều là bởi vì cái này con yêu thú đang đang xác định mọi người thân phận!

	Cùng nhau đi tới, không thiếu đệ tử cùng Bắc Phong phân tới, đi nơi khác.

	Mà cùng Bắc Phong cùng chung đi cống hiến điện còn có mấy người.

	"Đây chính là nội tông à, thiên địa linh khí đậm đà vô cùng, còn kèm theo một cổ đặc thù lực lượng."

	"Trong hoàn cảnh như vậy bản thân tu hành cũng nhanh, hơn nữa nội tông các loại đất lành, muốn không mạnh đều khó."

	Mấy người nhìn như khá làm tướng quen thuộc, cùng nhau đi tới xì xào bàn tán.

	"Đúng vậy, lần trước ngoại tông chư vị sư huynh nhưng mà hung hăng vì ngoại tông tranh một cái khí, trực tiếp nửa số đệ tử nòng cốt đều bị kiếp lấy."

	Một anh tuấn mặt mũi chàng trai mang trên mặt nụ cười ấm áp.

	"Nghe nói sư huynh cùng Vũ Đàm sư huynh là bạn tốt, không biết có thể hay không vì chúng ta tiến cử một chút."

	Một mặt cho dáng đẹp, vóc người xuất chúng nữ đệ tử trong mắt lóe lên thành tựu xuất sắc, tỉnh rụi hỏi thăm.

	"Cái này ta cũng không có thể bảo đảm, dẫu sao Vũ Đàm sư huynh đắt vì đệ tử nòng cốt, phải chăng có thời gian, ta cũng không biết."

	Mặt mũi anh tuấn chàng trai thần sắc có chút do dự, rồi sau đó vừa nói.

	Còn lại mấy vị đệ tử nhìn về phía anh tuấn chàng trai trong mắt đều tràn đầy kinh ngạc.

	Mà mặt mũi anh tuấn chàng trai cũng hết sức hưởng thụ thứ ánh mắt này.

	Rồi sau đó đảo mắt thấy được Bắc Phong, đối phương hình như là không có nghe được vậy, để cho mặt mũi anh tuấn chàng trai có chút không thoải mái.

	"Vị này sư đệ, ngươi là lần thứ nhất tới nội tông sao? Nội tông ta đã tới rất nhiều hồi, không phải sư huynh từ khen, nội tông ta quen thuộc, ngươi muốn đi đâu?"

	Chu Dịch hướng về phía Bắc Phong vừa nói, trên mặt mang nụ cười ấm áp.

	"Đa tạ ý tốt, nội tông ta cũng rất quen."

	Bắc Phong cười một tiếng, từ chối khéo Chu Dịch.

	Dẫu sao đưa tay không đánh người mặt tươi cười, đối phương cũng không có cái gì ác ý, chỉ là muốn lấy le một chút thôi.

	"Nếu sư đệ quen thuộc, ngược lại là sư huynh xen vào việc của người khác."

	Trên mặt khó chịu vẻ chớp mắt rồi biến mất, rồi sau đó trêu ghẹo vậy vừa nói.

	Quay đầu tiếp tục cùng mấy vị đồng bạn trò chuyện.

	Sơn môn khoảng cách cống hiến điện vẫn là có rất dài một khoảng cách, Bắc Phong tốc độ chậm không chậm, khá vì nhàn nhã.

	Từng cổ một linh khí tràn vào Bắc Phong trong cơ thể, lại là có từng luồng vô cùng vì năng lượng đặc thù tràn vào Bắc Phong trong máu thịt.

	"Đây là long khí đi, mặc dù không phải là chân long khí, nhưng cũng khá vì bất phàm."

	Bắc Phong cảm thụ biến hóa trong cơ thể, toàn bộ Vạn Cổ thiên tông chính là xây ở một cái vượt qua lớn long mạch trên.

	Mặc dù đây là sơn xuyên long mạch, có thể tràn ra từng luồng long khí cũng là có thể biến đổi ngầm tăng cường một cái võ giả thân thể.

	Mà đối với Bắc Phong loại này máu rồng hậu duệ mà nói, loại này long khí lại là vô cùng trân quý, tác dụng to lớn.

	Ty ty lũ lũ long mạch hơi thở bay lên, tiến vào Bắc Phong trong cơ thể, bắt đầu kích thích Bắc Phong huyết mạch chỗ sâu gông xiềng, để cho Bắc Phong toàn thân đều là xốp xốp ma ma, cả người tỏ ra có chút lười biếng.
