Chương 21: Khóa yêu tháp rách! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Ngắn ngủi chốc lát, Tông Trường Dạ cùng Đệ Nhất Tổ trực tiếp bị trấn giết tại chỗ!
	Khóa yêu tháp thủ đoạn mạnh nhất chính là phong trấn lực, hôm nay khóa yêu tháp còn xa xa không có thể khôi phục nguyên khí, chỉ có thể khó khăn lắm chống cự Trích Tinh lâu.

	"Nếu là ngươi thời kỳ toàn thịnh còn không sai biệt lắm, nhưng bây giờ vậy vọng tưởng ngất trời?"

	Bắc Phong cảm giác được bốn phía phong trấn lực, hừ lạnh một tiếng, trực tiếp hướng hai mươi bốn vầng trăng sáng chỉ một cái!

	Hai mươi bốn vầng trăng sáng bắt đầu chậm rãi chuyển động, bên bờ tản ra động trời mũi nhọn hơi thở!

	Mỗi một vầng trăng sáng bên trong cũng tựa như dựng dục một tòa thế giới, giờ phút này hai mươi bốn vầng trăng sáng chuyển động, bắt đầu lẫn nhau hấp dẫn, tổ hợp chung một chỗ!

	Do hai mươi bốn vầng trăng sáng hình thành tựa như một vòng viên hoàn, mỏng như cánh ve, chẳng qua là cũng không đầu đuôi giáp nhau, cũng không phải là hoàn chỉnh tròn!

	Kinh thiên phong mang bùng nổ, hư không trực tiếp ở một tua này Minh Nguyệt chuyển động hạ bị cắt ra!

	Rồi sau đó ngay lập tức ở giữa phá vỡ trời đất, tựa như thuấn di vậy, vượt qua hư không Trường Hà, xuất hiện ở khóa yêu tháp phía trước!

	"Băng!"

	Từng tầng một phòng vệ trực tiếp bị cái này luân phiên hơn ngàn trượng khổng lồ Minh Nguyệt cắt ra!

	Khóa yêu tháp trực tiếp bị chém trúng!

	Kêu!

	Chói tai kim loại cắt tiếng vang lên, đi đôi với mảng lớn sao hoả bắn ra bốn phía!

	Cả tòa khóa yêu tháp bị chém ra đi mấy trăm ngàn trượng xa, vô số tia lửa bắn tán loạn rơi vào phía dưới đất đai, lưu lại trước mắt cảnh tan hoang trên vùng đất một đạo lan tràn hướng chân trời màu đen tro tàn; .

	Minh Nguyệt chuyển động, tốc độ nhanh đến mức tận cùng, ngược lại để cho người nhìn một cái không cảm giác được, nhưng bây giờ Minh Nguyệt khảm nạm ở khóa yêu tháp thân tháp trên, là có thể thấy Minh Nguyệt tựa như một vòng răng cưa, không ngừng cắt khóa yêu tháp thân tháp!

	Khóa yêu tháp ở nơi này một cổ dưới cự lực không ngừng lui về phía sau, đụng phá hư không!

	Bắc Phong không có nương tay, ngang nhiên tiến lên, đỉnh đầu Đông Hoàng chung, hướng khóa yêu tháp phóng tới!

	"Đông!"

	Đông Hoàng chung chấn động, không ngừng tự minh!

	Quỷ dị chính là khóa yêu tháp cũng là theo tiết tấu chấn động một cái, trên thân tháp đánh mất mấy mảnh đồng xanh rỉ.

	Theo Đông Hoàng chung không ngừng tự minh, khóa yêu tháp run rẩy càng ngày càng lợi hại, rốt cuộc Đông Hoàng chung một lần nữa tự minh dưới, khóa yêu tháp ngay tức thì nổ bể ra từng cái cường tráng kẽ hở!

	"Ha ha ha, bản lão tổ rốt cuộc thoát khốn!"

	"Vạn Cổ thiên tông!"

	"Sát sát sát!"

	Khóa yêu tháp thân tháp tan vỡ ra khe hở, đưa đến bị trấn áp tại khóa yêu tháp chỗ sâu một ít yêu ma quỷ quái tìm được cơ hội, trực tiếp từ trong khe chui ra!

	Những thứ này còn có thể sống sót người, hoặc là yêu thú không một không phải bá chủ một phương, dưới mắt thoát khốn, rối rít bùng nổ kinh thời tiết tức!

	Chẳng qua là một khắc sau, Bắc Phong xuất hiện ở trong đó một con yêu thú thân còn lại mới trốn ra được yêu ma rối rít sững sốt một chút.

	"Người tuổi trẻ bây giờ thực lực cũng mạnh như vậy sao?"

	"Ta đột nhiên nghĩ phải đi về!"

	Còn lại mấy vị đại ma đầu khô miệng khô lưỡi.

	Mới vừa vậy bị một kích đánh chết yêu thú đỉnh cấp lúc có thể nói là hung uy ngút trời, thực lực ở đại năng giả trong cũng là đứng đầu tồn tại!

	Cứ việc bị tống giam liền vô số năm, có thể như thế nào đi nữa, lạc đà gầy lớn so với ngựa!

	Cái này con yêu thú cả người thực lực vậy đủ để kích không giết chết cảnh võ giả, có thể bây giờ là thế đấy chết!

	Mấy vị đại ma đầu cảm giác được nồng nặc ác ý, nhìn người trẻ tuổi kia tiện tay đánh chết yêu thú sau đó hướng mình các người vọt tới, mấy vị đại ma đầu đều là trong lòng máy động!

	"Đáng chết, không phải là đánh chết triệu tộc người, chút chuyện nhỏ này lại có thể liền đem lão tổ ta tống giam ở khóa yêu bên trong tháp mấy trăm ngàn năm, cuộc sống như thế qua đủ rồi, hôm nay chính là chết ở chỗ này, ta cũng không sẽ lại trở lại vậy u ám ẩm ướt tù bên trong!"

	"Không sai, cùng người này liều mạng!"

	Một khắc sau, mấy vị đại ma đầu cắn răng nghiến lợi, tức giận bất bình!

	Mấy vị tộc người đại ma đầu rối rít bùng nổ cả người thực lực, mang hữu tử vô sanh chi chí hướng trước Bắc Phong phóng tới!

	Làm đến nửa đường, trong đó ba người đột nhiên lui về phía sau, thậm chí thiêu đốt cả người khí huyết!

	"Các người lên trước, chúng ta đoạn hậu!"

	Ba vị đại ma đầu vừa kêu kêu, một bên cháy khí huyết, chỉ vì tốc độ có thể lại nhanh một chút!

	Ba vị này lui về phía sau đại ma đầu không có lựa chọn hướng nơi khác chạy trốn, mà là liều mạng hướng khóa yêu bên trong tháp chui vào!

	Còn lại mấy vị đại ma đầu mang cả người hữu tử vô sanh khí tức thê thảm nghênh hướng Bắc Phong.Chương 21: Khóa yêu tháp rách! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Ngắn ngủi chốc lát, Tông Trường Dạ cùng Đệ Nhất Tổ trực tiếp bị trấn giết tại chỗ!

	Lấy hôm nay Bắc Phong thực lực, hai người căn bản lật không dậy nổi bao lớn đợt sóng.

	Nếu không phải vì thí nghiệm một chút tự thân huyết mạch, cùng với xác nhận lúc này mình cả người lực lượng, trực tiếp một đầu ngón tay là có thể điểm chết hai người!

	Thu thập hết hai người sau đó, Bắc Phong trong lòng không có bất kỳ gánh vác.

	Ai bảo Vạn Cổ thiên tông quy củ chính là như vậy, giao ra đệ tử phần lớn cũng là một ít vừa chính vừa tà hạng người.

	Sẽ không giống là chánh đạo người trong như vậy bảo thủ.

	Bắc Phong vốn là không nợ Vạn Cổ thiên tông, hai người bây giờ càng giống như là một loại đổi chác.

	Bắc Phong ngay cả là ở Vạn Cổ thiên tông bên trong ẩn núp, đánh hạ vững chắc cơ sở, có thể đó cũng là Bắc Phong dùng một kiện kiện kỳ trân dị bảo hướng Vạn Cổ thiên tông đổi mà đến!

	Huống chi những năm này mình không có ở đây, Lữ Bố các người nhưng mà không có thiếu bị Lý Hà hai người lấn áp.

	Tông môn nhưng là chẳng ngó ngàng gì tới, Bắc Phong tự nhiên động tới tay cũng không có gánh vác.

	Xa xa, hai toà tháp đang không ngừng va chạm, Trích Tinh lâu không ngừng bộc phát ra từng cổ một kinh Thiên Sát phạt lực, công phạt trước khóa yêu tháp!

	Bắc Phong ngay tức thì ra tay, Hình ý quyền bá đạo vô cùng, trực tiếp một quyền rơi vào trên khóa yêu tháp, đem đánh lui!

	Đang!

	Quả đấm ở khóa yêu tháp màu đồng xanh thân tháp trên để lại một đạo dấu, hoa văn rõ ràng có thể gặp!

	"Hai mươi bốn cầu Minh Nguyệt Dạ!"

	Bắc Phong nắm trong tay Trích Tinh lâu, ngay tức thì đem cả người lực lượng quán chú tiến vào Trích Tinh lâu bên trong, kích hoạt Trích Tinh lâu hiện giai đoạn mạnh nhất sát phạt lực một trong!

	"Ông!"

	Trích Tinh lâu toàn thân bộc phát ra tinh huy, từng vòng lan truyền, rung chuyển trời đất!

	Có người chấp chưởng Trích Tinh lâu cùng không có ai chấp chưởng Trích Tinh lâu có thể nói là khác xa lắc xa lơ!

	Trích Tinh lâu đột nhiên bành trướng, đỉnh thiên lập địa, quanh thân tản mát ra từng luồng vô thượng hơi thở, tràn ngập chư thiên!

	Vô hình trận pháp thay trời đổi đất, trực tiếp đem bầu trời bao trùm, trời đất một mảnh đen nhánh!

	Đáng sợ giam cầm lực hóa là thực chất, đúng mảnh không gian vào giờ khắc này hóa là vô tận mạng nhện vậy, đem khóa yêu tháp giam ở trong đó!

	Một vòng luân phiên hình thái không đồng nhất Minh Nguyệt bắt đầu rút mây gặp sương mù, bốc lên!

	Màu bạc trắng ánh trăng chiếu khắp đất đai, ánh trăng giá rét như sương!

	Không gian bắt đầu đóng băng, rắc rắc vang dội!

	Một tầng băng màu xanh khí lạnh chỗ đi qua, vạn vật đều là bị đông cứng!

	Trong không gian hơi nước ngưng kết thành từng viên một đầu ngón tay bụng lớn nhỏ băng châu.

	Từng hạt tròn băng châu từ bầu trời thấp, đập nhập đất đai trên!

	"Rắc rắc!"

	Viên thứ nhất băng châu đánh mất ở Vạn Cổ thiên tông một nơi trên ngọn núi, nặng như vạn quân, đem đỉnh núi tan vỡ một góc!

	Rồi sau đó một cổ đáng sợ dòng nước lạnh từ trong hố bùng nổ, ngay tức thì cuốn sạch bát phương!

	Trong nháy mắt chu vi mấy trượng liền bị băng châu tản mát ra khí lạnh đông, hóa là băng thiên tuyết địa!

	Cái này chỉ là vừa mới bắt đầu, nhiều băng châu không ngừng hạ xuống, rơi vào đất đai trên!

	Toàn bộ Vạn Cổ thiên tông địa vực chiếm cứ chu vi vạn dặm, ở nơi này dư âm hạ, vượt qua 1 phần 3 khu vực trực tiếp bị đóng băng!

	Vạn vật câu tịch, bất kể là người, thú, cỏ cây đều là bị đóng băng!

	Trên bầu trời, khóa yêu tháp đối mặt cái này một cổ khí lạnh cũng là bộc phát!

	Khí linh trực tiếp đem khóa yêu tháp trận pháp vận chuyển tới trình độ cao nhất, lực lượng mãnh liệt trút xuống ra, trực tiếp đem trời đất trấn áp!

	Dòng nước lạnh gắng gượng dừng tại chỗ, không thể tiến thêm!

	Khóa yêu tháp thủ đoạn mạnh nhất chính là phong trấn lực, hôm nay khóa yêu tháp còn xa xa không có thể khôi phục nguyên khí, chỉ có thể khó khăn lắm chống cự Trích Tinh lâu.

	"Nếu là ngươi thời kỳ toàn thịnh còn không sai biệt lắm, nhưng bây giờ vậy vọng tưởng ngất trời?"

	Bắc Phong cảm giác được bốn phía phong trấn lực, hừ lạnh một tiếng, trực tiếp hướng hai mươi bốn vầng trăng sáng chỉ một cái!

	Hai mươi bốn vầng trăng sáng bắt đầu chậm rãi chuyển động, bên bờ tản ra động trời mũi nhọn hơi thở!

	Mỗi một vầng trăng sáng bên trong cũng tựa như dựng dục một tòa thế giới, giờ phút này hai mươi bốn vầng trăng sáng chuyển động, bắt đầu lẫn nhau hấp dẫn, tổ hợp chung một chỗ!

	Do hai mươi bốn vầng trăng sáng hình thành tựa như một vòng viên hoàn, mỏng như cánh ve, chẳng qua là cũng không đầu đuôi giáp nhau, cũng không phải là hoàn chỉnh tròn!

	Kinh thiên phong mang bùng nổ, hư không trực tiếp ở một tua này Minh Nguyệt chuyển động hạ bị cắt ra!

	Rồi sau đó ngay lập tức ở giữa phá vỡ trời đất, tựa như thuấn di vậy, vượt qua hư không Trường Hà, xuất hiện ở khóa yêu tháp phía trước!

	"Băng!"

	Từng tầng một phòng vệ trực tiếp bị cái này luân phiên hơn ngàn trượng khổng lồ Minh Nguyệt cắt ra!

	Khóa yêu tháp trực tiếp bị chém trúng!

	Kêu!

	Chói tai kim loại cắt tiếng vang lên, đi đôi với mảng lớn sao hoả bắn ra bốn phía!

	Cả tòa khóa yêu tháp bị chém ra đi mấy trăm ngàn trượng xa, vô số tia lửa bắn tán loạn rơi vào phía dưới đất đai, lưu lại trước mắt cảnh tan hoang trên vùng đất một đạo lan tràn hướng chân trời màu đen tro tàn; .

	Minh Nguyệt chuyển động, tốc độ nhanh đến mức tận cùng, ngược lại để cho người nhìn một cái không cảm giác được, nhưng bây giờ Minh Nguyệt khảm nạm ở khóa yêu tháp thân tháp trên, là có thể thấy Minh Nguyệt tựa như một vòng răng cưa, không ngừng cắt khóa yêu tháp thân tháp!

	Khóa yêu tháp ở nơi này một cổ dưới cự lực không ngừng lui về phía sau, đụng phá hư không!

	Bắc Phong không có nương tay, ngang nhiên tiến lên, đỉnh đầu Đông Hoàng chung, hướng khóa yêu tháp phóng tới!

	"Đông!"

	Đông Hoàng chung chấn động, không ngừng tự minh!

	Quỷ dị chính là khóa yêu tháp cũng là theo tiết tấu chấn động một cái, trên thân tháp đánh mất mấy mảnh đồng xanh rỉ.

	Theo Đông Hoàng chung không ngừng tự minh, khóa yêu tháp run rẩy càng ngày càng lợi hại, rốt cuộc Đông Hoàng chung một lần nữa tự minh dưới, khóa yêu tháp ngay tức thì nổ bể ra từng cái cường tráng kẽ hở!

	"Ha ha ha, bản lão tổ rốt cuộc thoát khốn!"

	"Vạn Cổ thiên tông!"

	"Sát sát sát!"

	Khóa yêu tháp thân tháp tan vỡ ra khe hở, đưa đến bị trấn áp tại khóa yêu tháp chỗ sâu một ít yêu ma quỷ quái tìm được cơ hội, trực tiếp từ trong khe chui ra!

	Những thứ này còn có thể sống sót người, hoặc là yêu thú không một không phải bá chủ một phương, dưới mắt thoát khốn, rối rít bùng nổ kinh thời tiết tức!

	Chẳng qua là một khắc sau, Bắc Phong xuất hiện ở trong đó một con yêu thú thân còn lại mới trốn ra được yêu ma rối rít sững sốt một chút.

	"Người tuổi trẻ bây giờ thực lực cũng mạnh như vậy sao?"

	"Ta đột nhiên nghĩ phải đi về!"

	Còn lại mấy vị đại ma đầu khô miệng khô lưỡi.

	Mới vừa vậy bị một kích đánh chết yêu thú đỉnh cấp lúc có thể nói là hung uy ngút trời, thực lực ở đại năng giả trong cũng là đứng đầu tồn tại!

	Cứ việc bị tống giam liền vô số năm, có thể như thế nào đi nữa, lạc đà gầy lớn so với ngựa!

	Cái này con yêu thú cả người thực lực vậy đủ để kích không giết chết cảnh võ giả, có thể bây giờ là thế đấy chết!

	Mấy vị đại ma đầu cảm giác được nồng nặc ác ý, nhìn người trẻ tuổi kia tiện tay đánh chết yêu thú sau đó hướng mình các người vọt tới, mấy vị đại ma đầu đều là trong lòng máy động!

	"Đáng chết, không phải là đánh chết triệu tộc người, chút chuyện nhỏ này lại có thể liền đem lão tổ ta tống giam ở khóa yêu bên trong tháp mấy trăm ngàn năm, cuộc sống như thế qua đủ rồi, hôm nay chính là chết ở chỗ này, ta cũng không sẽ lại trở lại vậy u ám ẩm ướt tù bên trong!"

	"Không sai, cùng người này liều mạng!"

	Một khắc sau, mấy vị đại ma đầu cắn răng nghiến lợi, tức giận bất bình!

	Mấy vị tộc người đại ma đầu rối rít bùng nổ cả người thực lực, mang hữu tử vô sanh chi chí hướng trước Bắc Phong phóng tới!

	Làm đến nửa đường, trong đó ba người đột nhiên lui về phía sau, thậm chí thiêu đốt cả người khí huyết!

	"Các người lên trước, chúng ta đoạn hậu!"

	Ba vị đại ma đầu vừa kêu kêu, một bên cháy khí huyết, chỉ vì tốc độ có thể lại nhanh một chút!

	Ba vị này lui về phía sau đại ma đầu không có lựa chọn hướng nơi khác chạy trốn, mà là liều mạng hướng khóa yêu bên trong tháp chui vào!

	Còn lại mấy vị đại ma đầu mang cả người hữu tử vô sanh khí tức thê thảm nghênh hướng Bắc Phong.
