Chương 193: 1 kiếm nhẹ thiên hạ! 
 Converter Dzung Kiều cầu phiếu 

	Tô Bách các người thấy sửng sốt một chút, đây là từ nơi nào tìm tới không bình thường?
	Bắc Phong cũng nghiêm túc, cái này hai người mặc dù đối với mình bây giờ mà nói không có uy hiếp chút nào, nhưng Bắc Phong không thừa nhận cũng không được mình cùng cảnh giới dưới không phải hai người đối thủ!

	"Thật là tinh thuần ý niệm, tốt kiên định tín niệm!"

	Nhìn Thương Lan, Bắc Phong yên lặng không nói, để tay lên ngực tự hỏi mình có thể hay không làm được như Thương Lan vậy yêu kiếm như mạng.

	"Ta không làm được, vũ khí ở trong mắt mình chẳng qua là công cụ, ta lại làm sao có thể yêu công cụ vượt qua yêu mình đây."

	Bắc Phong lắc đầu một cái, đối với Thương Lan vẫn là rất hâm mộ, chẳng qua là đạo bất đồng bất tương vi mưu thôi, nhưng không ảnh hưởng Bắc Phong đáp lời thưởng thức.

	Như vậy tín niệm kiên định cùng thuần túy người bất kể là tiến vào vậy một phải, cũng đủ có thể đạt được thành công!

	Người không được kiếm đi trước, kiếm chỉ lòng.

	Tựa như sao rơi, kiếm mang vừa qua người đã bất tỉnh!

	Không cách nào hình dung một kiếm này thật là nhanh! Thương Lan thân thể như là động, vừa tựa như không động.

	"Tranh!"

	"Keng!"

	Một tiếng ra khỏi vỏ tiếng vang lên, là như vậy dễ nghe cùng êm tai, trong đó hung hiểm không người ngửi!

	"Ta đánh bại!"

	Thương Lan sâu đậm nhìn Cao Li một cái, giống như là muốn nhớ Cao Li dáng vẻ, sau đó từng bước một hướng đi ra ngoài điện.

	"Tí tách! Tí tách!"

	Từng giọt máu đánh mất ở trên tấm đá xanh, chia năm xẻ bảy, toát ra nhiều đóa máu tươi chi hoa.

	"Kiếm thật là nhanh!"

	Cao Li liền lùi lại bảy tám bước, ngừng thế lui sau đó, nhìn mình cầm kiếm tay, gan bàn tay đã văng tung tóe mở, từng giọt máu tươi không ngừng nhỏ xuống.

	"Chuyện gì xảy ra? Cái này thì kết thúc?"

	Một đám người tuổi trẻ không sờ tới đầu óc, cảm giác cuộc tỷ thí này mình hoàn toàn xem không hiểu.

	"Mới vừa rồi xuất kiếm sao?"

	Một đám hậu bối đều là mặt đầy mơ hồ, hỏi thăm tới người ngoài, kết quả phát hiện những người khác tất cả đều là một mặt mơ hồ.

	"Hậu sinh khả úy à!"

	Một vị tông sư cảm thán, những cái kia hậu bối không thấy rõ, nhưng mình những thứ này tông sư nhưng là thấy rõ ràng, chính là thấy rõ ràng, cho nên mới không nhịn được cảm thán.

	Thương Lan một kiếm kia sắp đến vượt qua thanh âm truyền bá tốc độ, rút kiếm ra khỏi vỏ lại sau khi thu trở về, mọi người mới nghe được rút kiếm thanh!

	Nhưng chính là kinh người này một kiếm, lại bị Cao Li đỡ được!

	Tại chỗ tông sư giao dịch đất chỗ, để tay lên ngực tự hỏi nếu là đổi thành mình có thể ngăn được một kiếm này sao?

	Chẳng qua là hơi suy nghĩ một chút, ngay tức thì thì có một thành tông sư sắc mặt biến thành màu đen, không ngăn được à!

	Ngoài ra 50% tông sư sắc mặt cũng không tốt xem, chính diện giao chiến còn có thể ngăn được, nếu không phải là có thể tránh thoát, nhưng nếu như bị đánh lén, nhưng là không phản ứng kịp.

	Đây vẫn chỉ là một vị nửa bước tông sư hậu bối mà thôi, cũng đã có thể cùng mình chìa khóa mở ốc cổ tay.

	"Thương gia cùng Cao gia thật là ra Kỳ Lân con a, cái này 2 hậu bối lớn lên, sợ là không có chúng ta những ông già này chuyện gì."

	Mọi người hướng Cao gia cùng Thương gia tông sư nịnh.

	"Mới vừa rồi đó là giả chứ ?"

	Tô Bách nuốt nước miếng một cái, cương qua đầu hướng về phía Ngô Tiểu Lỵ hỏi thăm.

	"Hẳn. . . Hẳn là giả đi."

	Ngô Tiểu Lỵ cương nghiêm mặt, không xác định lộp bộp tự nói.

	Mới vừa rồi một kiếm kia mặc dù không phải là hướng về phía mình các người, nhưng Tô Bách nhưng là có một loại một kiếm kia chính là hướng mình đâm tới ảo giác vậy.

	Sau lưng đã bị mồ hôi lạnh thấm ướt, hỏi Ngô Tiểu Lỵ lời này, cũng chẳng qua là vì giảm bớt cái loại đó trong lòng kiềm chế mà thôi.

	Trong sân hai người lui ra, Cổ Lan cùng Chu Đan Hồng hai cô gái ra sân.

	Thấy đông đảo tiểu Nhất bối không khỏi tức cười, đây quả thực là 2 loại cực đoan, một cô gái như gió ở giữa hoa lan, lan trong rừng vắng, mà Chu Đan Hồng chính là sưng vù cùng vụng về hóa thân.

	"Như thế nào? Cháu gái ta như thế nào? Nhà ai có thể lấy được nhà ta cháu gái, thật là sửa tám đời công đức, các người nhà ai có thích hợp thằng nhóc, chúng ta kết cái sui gia."

	Chu Vẫn cười lớn hướng đông đảo tông sư nói.

	"Gì đó Chu huynh, ngài cái này cháu gái thật đúng là dị bẩm thiên phú à."

	Một đám tông sư nghe lời nói này sau liền cười nói, đây không phải là sửa tám đời công đức, đây là ngã tám đời môi à!

	Hai cô gái chào lẫn nhau sau đó, Chu Đan Hồng xách hai cái lớn đồng đấm liền hướng Cổ Lan vọt tới, to lớn đồng đấm mang hô hô tiếng gió, hướng Cổ Lan đè xuống!

	Cổ Lan dưới chân nhẹ một chút, tay lộn một cái, 2 chuôi như Minh Nguyệt vậy loan đao xuất hiện ở trong tay, một chuôi mỏng như cánh ve, một chuôi như ngà voi tròn trịa, chỉ có nhận miệng lóe lên sợi tóc vậy sắc bén.

	"Đông!"

	"Đinh!"

	Một cái lớn đồng đấm đập trên mặt đất, tấm đá xanh ngay tức thì liền chia năm xẻ bảy mở, thấy một đám tiểu đạo sĩ đau lòng không thôi.

	Cổ Lan biết mình ưu thế, không cùng Chu Đan Hồng chính diện đụng nhau, mà là không ngừng đi lại.

	3 phút sau đó, Cổ Lan sắc mặt biến đổi.

	"Nguy rồi!"

	Cổ Lan đã bất tri bất giác bị Chu Đan Hồng dồn đến xó xỉnh, Cổ Lan chỉ nghĩ tới một tấc ngắn, một tấc hiểm!

	Nhưng không nghĩ tới một tấc dài, một tấc mạnh!

	Cùng kịp phản ứng sau đó, mình hai cây loan đao đã không thi triển được, khắp nơi bị hạn chế!

	"Đinh!"

	Một cái đồng đấm như thái sơn áp đỉnh, xuất hiện ở Cổ Lan đỉnh đầu, Cổ Lan không thể tránh né, chỉ có thể dùng song đao đường chéo hướng phía trên vừa đỡ, nhưng loan đao như thế nào chống đỡ được sức nặng kinh người đồng đấm? Hai cây loan đao rơi xuống đất, phát ra tiếng vang lanh lãnh.

	Một cái lớn đồng đấm ngừng ở Cổ Lan phía trên đỉnh đầu, khoảng cách đầu chỉ kém mấy cm!

	Nặng như vậy đồng đấm do động ngay tức thì hóa yên tĩnh, đầy đủ biểu hiện Chu Đan Hồng vậy muốn gì được nấy lực khống chế.Chương 193: 1 kiếm nhẹ thiên hạ! 
 Converter Dzung Kiều cầu phiếu 

	Tô Bách các người thấy sửng sốt một chút, đây là từ nơi nào tìm tới không bình thường?

	"Đây là tên ngu ngốc nào đạo diễn quay phim? Tìm một cái như vậy cô gái không phải đem cả bộ phim cấp bậc cũng gắng gượng kéo xuống không thiếu sao?"

	Nhìn vậy cao lớn thô kệch cô gái, Tô Bách không nhịn được khóe miệng co quắp.

	Còn lại ba người tức chất phác hình tượng đều là làm hết, kết quả đụng tới một cái không bình thường, ngay tức thì liền liên quan đem còn lại ba người phân cũng kéo xuống.

	"Bất quá cô gái này thật là đẹp à, khí chất dung mạo đều là cao cấp!"

	Tô Bách nuốt nước miếng một cái, trong lòng suy nghĩ một ít chuyện xấu xa, ở hắn xem ra, loại này mới xuất đạo nữ diễn viên xài chừng 100k tuyệt đối có thể 1 thân dung nhan.

	"Ta chỉ biết một kiếm, cũng chỉ ra một kiếm!"

	Thương Lan nhìn Cao Li nghiêm túc nói, cả người như cùng một cây không ra khỏi vỏ cổ kiếm!

	"Mời!"

	Cao Li thần sắc ngưng trọng, Thương gia người đời đời đơn truyền, một người chính là nhà giàu có!

	Thương gia người ở Cao Li xem ra cũng là một đám chân chính người điên! Vì kiếm sinh, vì kiếm chết!

	Một chiêu nát vụn phố lớn rút kiếm thuật nhưng là trở thành Thương gia tất sát kỹ! Một kiếm nhẹ thiên hạ!

	Cao Li lần đầu tiên coi trọng, chậm rãi rút ra một cái mang hiện lên kiểm tra lam quang cổ kiếm!

	Kiếm dài ba thước, ly long vì chuôi kiếm, miệng nạp lưỡi kiếm!

	Thân kiếm trung không, thẳng đến mũi kiếm 3 điểm chỗ, vô cùng sắc bén!

	Thương Lan chậm rãi rút kiếm ra giống như đối đãi người yêu như vậy dè đặt, lạnh lùng mũi kiếm bức người, đây là một chuôi như vậy bình thường kiếm, màu đen trên thân kiếm không có bất kỳ trang sức gì dùng đồ.

	Cái này cũng rất nhiều chính là chuyên vì giết hại mà chế tạo ra kiếm, cho dù cách xa như vậy, Cao Li cũng có thể cảm giác được thanh kiếm kia nơi tản mát ra khiếp người sát khí.

	Thương Lan kiếm là như vậy chói mắt, trên thân kiếm giăng đầy từng tia nhỏ không thể nhận ra đường vân, những văn lộ này có thể để cho kiếm cùng không khí tiếp xúc lúc lực cản giảm đến thấp nhất!

	Vạn cổ không thay đổi chi hàn băng, tràn đầy sâu đậm cô quạnh, trong trẻo lạnh lùng kiếm quang giống như chiếm đoạt sinh mạng cự thú!

	Bắc Phong cũng nghiêm túc, cái này hai người mặc dù đối với mình bây giờ mà nói không có uy hiếp chút nào, nhưng Bắc Phong không thừa nhận cũng không được mình cùng cảnh giới dưới không phải hai người đối thủ!

	"Thật là tinh thuần ý niệm, tốt kiên định tín niệm!"

	Nhìn Thương Lan, Bắc Phong yên lặng không nói, để tay lên ngực tự hỏi mình có thể hay không làm được như Thương Lan vậy yêu kiếm như mạng.

	"Ta không làm được, vũ khí ở trong mắt mình chẳng qua là công cụ, ta lại làm sao có thể yêu công cụ vượt qua yêu mình đây."

	Bắc Phong lắc đầu một cái, đối với Thương Lan vẫn là rất hâm mộ, chẳng qua là đạo bất đồng bất tương vi mưu thôi, nhưng không ảnh hưởng Bắc Phong đáp lời thưởng thức.

	Như vậy tín niệm kiên định cùng thuần túy người bất kể là tiến vào vậy một phải, cũng đủ có thể đạt được thành công!

	Người không được kiếm đi trước, kiếm chỉ lòng.

	Tựa như sao rơi, kiếm mang vừa qua người đã bất tỉnh!

	Không cách nào hình dung một kiếm này thật là nhanh! Thương Lan thân thể như là động, vừa tựa như không động.

	"Tranh!"

	"Keng!"

	Một tiếng ra khỏi vỏ tiếng vang lên, là như vậy dễ nghe cùng êm tai, trong đó hung hiểm không người ngửi!

	"Ta đánh bại!"

	Thương Lan sâu đậm nhìn Cao Li một cái, giống như là muốn nhớ Cao Li dáng vẻ, sau đó từng bước một hướng đi ra ngoài điện.

	"Tí tách! Tí tách!"

	Từng giọt máu đánh mất ở trên tấm đá xanh, chia năm xẻ bảy, toát ra nhiều đóa máu tươi chi hoa.

	"Kiếm thật là nhanh!"

	Cao Li liền lùi lại bảy tám bước, ngừng thế lui sau đó, nhìn mình cầm kiếm tay, gan bàn tay đã văng tung tóe mở, từng giọt máu tươi không ngừng nhỏ xuống.

	"Chuyện gì xảy ra? Cái này thì kết thúc?"

	Một đám người tuổi trẻ không sờ tới đầu óc, cảm giác cuộc tỷ thí này mình hoàn toàn xem không hiểu.

	"Mới vừa rồi xuất kiếm sao?"

	Một đám hậu bối đều là mặt đầy mơ hồ, hỏi thăm tới người ngoài, kết quả phát hiện những người khác tất cả đều là một mặt mơ hồ.

	"Hậu sinh khả úy à!"

	Một vị tông sư cảm thán, những cái kia hậu bối không thấy rõ, nhưng mình những thứ này tông sư nhưng là thấy rõ ràng, chính là thấy rõ ràng, cho nên mới không nhịn được cảm thán.

	Thương Lan một kiếm kia sắp đến vượt qua thanh âm truyền bá tốc độ, rút kiếm ra khỏi vỏ lại sau khi thu trở về, mọi người mới nghe được rút kiếm thanh!

	Nhưng chính là kinh người này một kiếm, lại bị Cao Li đỡ được!

	Tại chỗ tông sư giao dịch đất chỗ, để tay lên ngực tự hỏi nếu là đổi thành mình có thể ngăn được một kiếm này sao?

	Chẳng qua là hơi suy nghĩ một chút, ngay tức thì thì có một thành tông sư sắc mặt biến thành màu đen, không ngăn được à!

	Ngoài ra 50% tông sư sắc mặt cũng không tốt xem, chính diện giao chiến còn có thể ngăn được, nếu không phải là có thể tránh thoát, nhưng nếu như bị đánh lén, nhưng là không phản ứng kịp.

	Đây vẫn chỉ là một vị nửa bước tông sư hậu bối mà thôi, cũng đã có thể cùng mình chìa khóa mở ốc cổ tay.

	"Thương gia cùng Cao gia thật là ra Kỳ Lân con a, cái này 2 hậu bối lớn lên, sợ là không có chúng ta những ông già này chuyện gì."

	Mọi người hướng Cao gia cùng Thương gia tông sư nịnh.

	"Mới vừa rồi đó là giả chứ ?"

	Tô Bách nuốt nước miếng một cái, cương qua đầu hướng về phía Ngô Tiểu Lỵ hỏi thăm.

	"Hẳn. . . Hẳn là giả đi."

	Ngô Tiểu Lỵ cương nghiêm mặt, không xác định lộp bộp tự nói.

	Mới vừa rồi một kiếm kia mặc dù không phải là hướng về phía mình các người, nhưng Tô Bách nhưng là có một loại một kiếm kia chính là hướng mình đâm tới ảo giác vậy.

	Sau lưng đã bị mồ hôi lạnh thấm ướt, hỏi Ngô Tiểu Lỵ lời này, cũng chẳng qua là vì giảm bớt cái loại đó trong lòng kiềm chế mà thôi.

	Trong sân hai người lui ra, Cổ Lan cùng Chu Đan Hồng hai cô gái ra sân.

	Thấy đông đảo tiểu Nhất bối không khỏi tức cười, đây quả thực là 2 loại cực đoan, một cô gái như gió ở giữa hoa lan, lan trong rừng vắng, mà Chu Đan Hồng chính là sưng vù cùng vụng về hóa thân.

	"Như thế nào? Cháu gái ta như thế nào? Nhà ai có thể lấy được nhà ta cháu gái, thật là sửa tám đời công đức, các người nhà ai có thích hợp thằng nhóc, chúng ta kết cái sui gia."

	Chu Vẫn cười lớn hướng đông đảo tông sư nói.

	"Gì đó Chu huynh, ngài cái này cháu gái thật đúng là dị bẩm thiên phú à."

	Một đám tông sư nghe lời nói này sau liền cười nói, đây không phải là sửa tám đời công đức, đây là ngã tám đời môi à!

	Hai cô gái chào lẫn nhau sau đó, Chu Đan Hồng xách hai cái lớn đồng đấm liền hướng Cổ Lan vọt tới, to lớn đồng đấm mang hô hô tiếng gió, hướng Cổ Lan đè xuống!

	Cổ Lan dưới chân nhẹ một chút, tay lộn một cái, 2 chuôi như Minh Nguyệt vậy loan đao xuất hiện ở trong tay, một chuôi mỏng như cánh ve, một chuôi như ngà voi tròn trịa, chỉ có nhận miệng lóe lên sợi tóc vậy sắc bén.

	"Đông!"

	"Đinh!"

	Một cái lớn đồng đấm đập trên mặt đất, tấm đá xanh ngay tức thì liền chia năm xẻ bảy mở, thấy một đám tiểu đạo sĩ đau lòng không thôi.

	Cổ Lan biết mình ưu thế, không cùng Chu Đan Hồng chính diện đụng nhau, mà là không ngừng đi lại.

	3 phút sau đó, Cổ Lan sắc mặt biến đổi.

	"Nguy rồi!"

	Cổ Lan đã bất tri bất giác bị Chu Đan Hồng dồn đến xó xỉnh, Cổ Lan chỉ nghĩ tới một tấc ngắn, một tấc hiểm!

	Nhưng không nghĩ tới một tấc dài, một tấc mạnh!

	Cùng kịp phản ứng sau đó, mình hai cây loan đao đã không thi triển được, khắp nơi bị hạn chế!

	"Đinh!"

	Một cái đồng đấm như thái sơn áp đỉnh, xuất hiện ở Cổ Lan đỉnh đầu, Cổ Lan không thể tránh né, chỉ có thể dùng song đao đường chéo hướng phía trên vừa đỡ, nhưng loan đao như thế nào chống đỡ được sức nặng kinh người đồng đấm? Hai cây loan đao rơi xuống đất, phát ra tiếng vang lanh lãnh.

	Một cái lớn đồng đấm ngừng ở Cổ Lan phía trên đỉnh đầu, khoảng cách đầu chỉ kém mấy cm!

	Nặng như vậy đồng đấm do động ngay tức thì hóa yên tĩnh, đầy đủ biểu hiện Chu Đan Hồng vậy muốn gì được nấy lực khống chế.
