Chương 48: Y học nhà 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Cho nên nói, đầu óc là đồ tốt, hy vọng ngươi cũng có thể có."
	Từ vừa mới bắt đầu, ở Dực Tổ còn không biết dưới tình huống, cũng đã bị làm là hàng hóa vậy, bị qua phân một sạch sẽ.

	"Ta phải nói, các người Âm Dương gia vậy nhãi con vậy chưa dùng tới không mục nát căn nguyên, không bằng đổi chác cho ta binh gia."

	Mông Điềm lắm mồm bể lải nhải, ở Đông Hoàng Thái một mặt trước vừa nói.

	Đây cũng là Mông Điềm lời thật lòng, Mông Điềm cũng không nhận là một thành không mục nát căn nguyên đối với một tôn vẫn là thần ma cảnh Âm Dương gia nhãi con có ích lợi gì.

	Tháng này thiền cùng Dực Tổ hai tôn bất hủ cảnh thân thể bên trong đề luyện ra không mục nát căn nguyên, một thành cũng là một cái không nhỏ số lượng.

	"Ừ ? Các người tốt nhất không muốn có ý gì, nếu không đừng trách ta đánh lên cửa."

	Đông Hoàng Thái một dừng bước lại, trong đôi mắt tràn đầy lạnh lùng cùng cao ngạo, nhìn chăm chú Mông Điềm cả người không được tự nhiên.

	"Ta nói cũng không sai, không mục nát căn nguyên đối với thần ma cảnh võ giả mà nói, cũng không có ích lợi gì, một thành không mục nát căn nguyên, nếu là giao cho một tôn bất hủ cảnh, đủ để cho thực lực tăng cường không thiếu."

	Mông Điềm không sợ chút nào, nhìn thẳng Đông Hoàng Thái một, mở miệng vừa nói.

	"Đi về trước đi, không mục nát căn nguyên đã phân phối, nên làm như thế nào, đó cũng là bọn họ Âm Dương gia chuyện mình."

	Trong đạo gia năm nhìn hai người bây giờ bầu không khí khẩn trương, không khỏi đi ra giảng hòa.

	Bắc Phong cũng không biết Mông Điềm hàng này lại muốn sắp tối hết mình không mục nát căn nguyên.

	Nếu là biết, thiếu không thể cầm nhỏ bản bản nhớ kỹ, Thu sau tính sổ.

	Trước có lẽ Bắc Phong đúng không mục nát căn nguyên còn ôm thái độ thờ ơ, nhưng bây giờ biết được con đường của mình sau đó, không mục nát căn nguyên vậy chính là mình mạng!

	"Cũng không biết bắt không có, đây nếu là chưa bắt được, vậy ta coi như uổng phí thời gian."

	Bắc Phong ánh mắt trông về phía xa, nhìn về phía tinh thần ra, âm thầm nghĩ.

	Mới vừa nghĩ tới đây, liền thấy Đông Hoàng Thái nhất đẳng người xuất hiện ở trước mặt.

	"Bái kiến Đông Hoàng đại nhân, bái kiến hai vị tiền bối."

	Bắc Phong đối với ba người thi lễ một cái, vậy không không biết xấu hổ mở miệng hỏi Dực Tổ bắt không có.

	"Không sai, lần này nhờ có ngươi, ngươi vậy một thành không mục nát căn nguyên qua một đoạn thời gian sẽ đưa đến trong tay ngươi."

	Đông Hoàng Thái vừa thấy được Bắc Phong, mặt lạnh lùng sắc thoáng hòa tan, nhếch miệng lên.

	"Đây là thân là Âm Dương gia đệ tử phải làm."

	Bắc Phong đi theo Đông Hoàng Thái cả người sau đó, cung kính đáp trả.

	Đây cũng là Bắc Phong lời nói xuất phát từ đáy lòng, bình tâm mà nói, Âm Dương gia đối với mình thật không tệ, nếu bản thân có năng lực, như vậy hồi báo Âm Dương gia cũng là phải.

	"Như vậy đệ tử ta binh gia làm sao cũng chưa có, nhãi con, nếu không ngươi tới dưới trướng đi."

	Mông Điềm có chút chua chát vừa nói.

	Nhưng vậy đúng là bởi vì là Bắc Phong năng lực, đối với Bắc Phong nhìn với cặp mắt khác xưa.

	Bắc Phong ở Âm Dương gia địa vị cũng không thấp, chính là tám mạch tinh chủ một trong, từ Bắc Phong tiếp nhận tinh chủ, cũng đã vào còn lại Bách Gia Chư Tử mắt.

	Trong thời gian ngắn ngủi, tu vi đột nhiên tăng mạnh, mặt đối mặt dưới tình huống, tự nhiên không gạt được Mông Điềm.

	Lúc này mới bao lâu, tu vi lại có thể cũng đã là nắm trong tay vượt qua hai trăm cái thiên đạo thần ma cảnh.

	Lại là có gan cùng năng lực, ám toán một tôn bất hủ cảnh.

	Càng xem càng là thích, Mông Điềm không khỏi ném ra cành ô liu.

	Dĩ nhiên, vậy chỉ là để cho Bắc Phong tới hắn dưới trướng, gia nhập quân đội, cũng không phải là gia nhập binh gia.

	Cái này ý nghĩa lại bất đồng, gia nhập trại lính không có vấn đề, Bách Gia Chư Tử không thiếu đệ tử, thậm chí cao tầng, đều có trong quân đội hoặc là triều đình người.

	Nhưng nếu để cho Bắc Phong gia nhập binh gia, đó chính là ngay trước Đông Hoàng Thái một mặt đào chân tường, đào vẫn là tám mạch tinh chủ một trong, phỏng đoán Đông Hoàng Thái một lập tức thì phải trở mặt.

	Như vậy chuyện, cho dù là bể bể lải nhải, thần kinh lớn cái Mông Điềm vậy không làm được.

	"Đa tạ tướng quân ý tốt, chẳng qua là vãn bối thực lực chưa đủ, còn cần nhiều hơn lịch luyện."

	Bắc Phong không có suy nghĩ nhiều, trực tiếp cự tuyệt.

	Mình ngu mới có thể ở bây giờ gia nhập trại lính, mình thực lực đang đứng ở lên cao kỳ, không ngừng hạ xuống còn lại thế giới thu hoạch Thiên đạo mới là đường chánh.
