Chương 132: Gió nổi lên! 
 Converter Dzung Kiều cầu khen thưởng 

	"Tin tức này rốt cuộc là ai phát! Tự đứng ra, còn có thể tranh thủ xử lý khoan hồng!"
	Lần này bọn họ nhiệm vụ chính là coi chừng những thứ này đại thế lực người, để cho bọn họ không được làm mưa làm gió.

	Thôn Thanh Lĩnh ở giữa thôn dân nhìn từng chiếc một xe sang tới, rối rít chắt lưỡi.

	"Đây là cái gì làm ăn lớn? Lại có thể nhiều đại nhân vật như vậy tới?"

	"Quá đẹp, những xe này tùy tiện một chiếc cũng giá trị triệu!"

	"Xem, bọn họ toàn bộ đều hướng một phương hướng đi, xem ra là có cái gì xảy ra chuyện lớn, chúng ta theo sau xem xem náo nhiệt. "

	Một đám người đi theo tất cả gia tộc lớn phía sau, có chút sợ hãi không dám cùng quá gần.

	Hang đá chung quanh chu vi ngàn mét đều bị cảnh giới tuyến vây lại, cách chừng 10m thì có một người cảnh sát trông chừng.

	"Ngươi tốt, ta là Thanh Thành nhật báo ký giả, xin hỏi bên trong là không phải phát hiện một bụi thành tinh cổ thụ? Có phải hay không còn chết 2 người?"

	Một cái người hưng phấn hỏi đến, nhìn Thanh Thành báo xã ký giả cũng chỉ có tự mình một người tới, trong lòng khỏi phải nói cao hứng biết bao, đây chính là một cái tin tức lớn à.

	Đến lúc đó mình cái này tin tức một khi phát hình, thăng chức tăng lương không phải là mộng à!

	" Xin lỗi, không thể trả lời."

	Chu vi ngàn mét đều bị kéo theo cảnh giới tuyến, một cảnh sát đứng đang đề phòng tuyến bên trong mặt không cảm giác nói.

	"Vậy để cho chúng ta vào đi tìm hiểu tình huống một chút đi."

	Một đám ký giả vác trường thương đoản pháo, liền muốn vượt qua cảnh giới tuyến.

	"Người không phận sự không cho phép vào bên trong!"

	Rất nhanh một đám cảnh sát nhỏ chạy tới, ngăn cản các ký giả.

	"Chúng ta nhưng mà ký giả! Chúng ta có quyền biết!"

	Một đám ký giả không làm, mình các người đi tới chỗ nào đi không phải là bị nhiệt tình chiêu đãi.

	"Nói không cho phép chính là không cho phép, dám xông tới liền chuẩn bị để cho công ty các ngươi tới bảo vệ các người đi ra ngoài đi!"

	Cầm đầu cảnh sát cũng là nhức đầu, phía trên phân phó, mình chỉ có thể làm theo.

	"Ai? Ai? Tại sao bọn họ có thể tiến vào?" Một cái người chỉ cách đó không xa nối đuôi mà vào một đám người bất mãn nói.

	"Bọn họ là liên can nhân sự!" Cầm đầu cảnh sát da mặt đều ở đây nóng lên, nhưng vẫn là nhắm mắt nói một câu.

	Đông đảo ký giả ngẩn ngơ, cái này nhìn còn thật đàng hoàng cảnh sát làm sao da mặt dầy như vậy? Đều không mang đỏ mặt.

	Vòng ngoài một vòng lớn người ở trước bàn chân nhọn xem náo nhiệt, muốn biết chuyện gì xảy ra.

	Bắc Phong đang từ sườn núi chỗ xuống, về nhà ăn mực ngọc Tuyết Long vương huyết thịt chế tạo thành lát cá sống, bên cạnh để một tô, chén bên trong đựng trước màu hổ phách rượu.

	Một mực lát cá sống, uống một hớp nhỏ rượu ngon, cái này cuộc sống gia đình tạm ổn không được qua quá dễ chịu.

	Ăn Không No cùng Ăn Nhiều 2 đứa nhỏ người chính là tại đối phó trước mình trong khay mực ngọc Tuyết Long vương nội tạng, chẳng qua là ăn một chút xíu, 2 đứa nhỏ người liền bị chống đỡ lăn lộn đầy đất.

	Cuối cùng là mực ngọc Tuyết Long vương cấp bậc đối với 2 đứa nhỏ người mà nói quá cao, chẳng qua là ăn một chút liền bị thịt cá trong năng lượng ẩn chứa chống.

	Để cho người máy tê liệt trông nhà, có người xông vào trực tiếp đánh ngất xỉu, cùng mình sau khi trở lại giải quyết.

	Bắc Phong đi từ từ ra nhà, chuẩn bị mua một chiếc xe thay đi bộ, nếu không ra vào quá không tiện.

	"Ừ ? Phía trước đã xảy ra chuyện gì? Nhiều như vậy cảnh sát?"

	Bắc Phong sững sốt một chút, nhìn về phía trước phạm vi lớn bị kéo cảnh giới tuyến, còn có đông đảo ký giả, không khỏi buồn bực suy nghĩ.

	Tống Văn cùng Tống Thanh hai người một mặt táo bón diễn cảm, lần này thật sự là thua thiệt lớn, cái gì rể cây cũng không có đào được, kết quả còn chết một người, lúc này không có một 80-100k giải quyết không xuống.

	"Trời ạ! Thằng nhóc này lại có thể cũng ở nơi đây?"

	Tống Thanh nhìn cách đó không xa Bắc Phong sững sốt một chút, sau đó giận đùng đùng liền chạy tới.

	"Thằng nhóc! Ngươi có phải hay không lắc lư chúng ta? Ngươi rể cây là ở chỗ này đào?"

	Tống Thanh khí không đánh vừa ra tới, ngón tay đều bị đâm đến Bắc Phong trên lỗ mũi.

	"Không sai, ta chính là ở chỗ này đào được, ngoài ra đem tay ngươi buông xuống." Bắc Phong thanh âm không có bất cứ ba động gì, cứ như vậy bình tĩnh nhìn Tống Thanh.

	Tống Thanh sững sốt một chút, mặc dù Bắc Phong không có bất kỳ biểu lộ gì, nhưng là Tống Thanh nhưng cảm giác từng trận cảm giác bị áp bách truyền tới, không khỏi để tay xuống chỉ.

	Tống Thanh nhưng là không biết đây là thuộc về bản chất sinh mạng chênh lệch quá xa chèn ép, "Ông nội ta nghe ngươi lời nói để cho người tới đào, kết quả chết! Bị một cây rể cây giết chết!"

	Tống Thanh cảm thấy hết thảy các thứ này đều là Bắc Phong sai, nếu không phải hắn nói cho Tống Văn là ở chỗ này đào được, ông nội mình làm sao sẽ mang người tới đào? Không mang theo người tới đào người cũng sẽ không chết.

	"Dính ta chuyện gì?" Bắc Phong nói một câu, xoay người từ từ rời đi.

	Cũng không phải là ta để cho các người đào, xảy ra chuyện tới chỉ trích mình? Cười nhạo!

	"Ừ ? Những người này thật là mạnh khí huyết chập chờn!"

	Bắc Phong đi hai bước, ánh mắt nhìn về phía cảnh giới tuyến bên trong một đám người, híp mắt lộp bộp tự nói.

	Những người này mỗi một người đều không yếu, toàn bộ tụ tập chung một chỗ sau đó ở Bắc Phong trong mắt chính là một đại đoàn cây đuốc ở trong bóng tối vậy chói mắt!

	"Trước. . . Thiên thần cây "

	Thanh âm đứt quảng truyền tới, bởi vì cách nhau quá xa, Bắc Phong cũng không nghe quá rõ, nhưng Bắc Phong hứng thú.

	"Ừ ? Thằng nhóc này cũng ở nơi đây?" Ngô Trung Hưng mang một đám Niếp gia cao thủ hướng lối đi đi tới, vừa vặn nhìn thấy Bắc Phong đứng ở bên cạnh.

	"Đứa nhỏ, nơi này cũng không phải là đất lành, rời đi nơi này đi." Ngô Trung Hưng hướng về phía Bắc Phong nói.

	"Ừ ?"

	"Ta rõ ràng."

	Bắc Phong hướng về phía cụ già gật đầu một cái.

	Bắc Phong nhìn lần trước đi theo Niếp Vân sau lưng cụ già lại có thể cũng tới, xem ra liên tưởng đến mới vừa nghe được Tống Thanh nói rể cây giết người, còn có tiên thiên thần thụ các loại, Bắc Phong hứng thú càng ngày càng cao, nhóm người này khí huyết vượt qua xa thường nhân đoàn người rõ ràng liền là hướng về phía cái này cái gì tiên thiên thần thụ tới!

	"Không muốn tới trên Trái Đất lại có thể cũng sẽ có thiên tài địa bảo? Cũng vậy, dù sao cũng là lớn như vậy một cái tinh cầu, có cũng không kỳ quái, ta cũng muốn biết một chút về cái gọi là tiên thiên thần mộc là cấp mấy thiên tài địa bảo."

	Bắc Phong quyết định xen vào một cước, chủ yếu nhất là Bắc Phong không cảm thấy những người này so mình mạnh đi nơi nào.Chương 132: Gió nổi lên! 
 Converter Dzung Kiều cầu khen thưởng 

	"Tin tức này rốt cuộc là ai phát! Tự đứng ra, còn có thể tranh thủ xử lý khoan hồng!"

	Trong cục công an thành phố Thanh Thành, cục trưởng lạnh lùng nhìn chằm chằm phía dưới mọi người, ngón tay nhẹ nhàng gõ bàn.

	Đám người một hồi xôn xao, sau đó một cái cảnh sát trẻ tuổi đứng dậy, "Là ta phát, nhưng là ta thật không có nghĩ đến sẽ đưa tới lớn như vậy hậu quả, ta không phải cố ý."

	"Rất tốt, ngươi có thể đi, ngày mai không cần tới đi làm!"

	Cục trưởng mặt đầy xanh mét, cắn răng nghiến lợi nói.

	Chính là bởi vì làm cho này cái thằng nhóc, tối nay mình đã sắp xếp trong một đêm cháu.

	Ở cái tin tức này bị tất cả gia tộc lớn phát hiện sau đó, cục công an thành phố Thanh Thành điện thoại đều sắp bị đánh bể.

	Đầu tiên là sở công an tỉnh sở trưởng gọi điện thoại tới rầy mình một lần, không để cho mình nếu lại đi quản chuyện này, tăng thêm cảnh lực phong tỏa vậy một phiến khu vực, tránh có người bình thường xông vào trong đó.

	Nói trắng ra liền chính là một cái giữ cửa, là những cái kia tất cả người của đại gia tộc ra sân xóa bỏ một ít chướng ngại.

	Mình dầu gì cũng là đường đường cục công an thành phố người đứng đầu, lúc nào chật vật như vậy qua? Nhưng những người này tới đầu một người so với một người lớn, căn bản không chọc nổi à!

	Ngày thứ hai, vô số gia tộc lớn cùng công ty lớn người liền chạy tới Thanh Thành, do người của cục công an mang đi mục tiêu.

	Sở công an tỉnh ngành đặc biệt cũng khẩn cấp triệu tập nhân viên, do 2 người hóa cảnh tông sư dẫn đội, hướng thôn Thanh Lĩnh chạy tới.

	Mỗi thành phố đều có minh ám 2 cổ lực lượng tồn tại, minh dĩ nhiên chính là cục công an, ngầm chính là một cái đặc thù ngành, do thân ôm tuyệt kỹ người gia nhập tạo thành, cùng quốc gia tương đương với thuê quan hệ.

	Một khi có không giải quyết được sự việc, liền do bọn họ ra mặt, sau khi hoàn thành dựa theo độ khó dành cho tiền huê hồng.

	Lần này bọn họ nhiệm vụ chính là coi chừng những thứ này đại thế lực người, để cho bọn họ không được làm mưa làm gió.

	Thôn Thanh Lĩnh ở giữa thôn dân nhìn từng chiếc một xe sang tới, rối rít chắt lưỡi.

	"Đây là cái gì làm ăn lớn? Lại có thể nhiều đại nhân vật như vậy tới?"

	"Quá đẹp, những xe này tùy tiện một chiếc cũng giá trị triệu!"

	"Xem, bọn họ toàn bộ đều hướng một phương hướng đi, xem ra là có cái gì xảy ra chuyện lớn, chúng ta theo sau xem xem náo nhiệt. "

	Một đám người đi theo tất cả gia tộc lớn phía sau, có chút sợ hãi không dám cùng quá gần.

	Hang đá chung quanh chu vi ngàn mét đều bị cảnh giới tuyến vây lại, cách chừng 10m thì có một người cảnh sát trông chừng.

	"Ngươi tốt, ta là Thanh Thành nhật báo ký giả, xin hỏi bên trong là không phải phát hiện một bụi thành tinh cổ thụ? Có phải hay không còn chết 2 người?"

	Một cái người hưng phấn hỏi đến, nhìn Thanh Thành báo xã ký giả cũng chỉ có tự mình một người tới, trong lòng khỏi phải nói cao hứng biết bao, đây chính là một cái tin tức lớn à.

	Đến lúc đó mình cái này tin tức một khi phát hình, thăng chức tăng lương không phải là mộng à!

	" Xin lỗi, không thể trả lời."

	Chu vi ngàn mét đều bị kéo theo cảnh giới tuyến, một cảnh sát đứng đang đề phòng tuyến bên trong mặt không cảm giác nói.

	"Vậy để cho chúng ta vào đi tìm hiểu tình huống một chút đi."

	Một đám ký giả vác trường thương đoản pháo, liền muốn vượt qua cảnh giới tuyến.

	"Người không phận sự không cho phép vào bên trong!"

	Rất nhanh một đám cảnh sát nhỏ chạy tới, ngăn cản các ký giả.

	"Chúng ta nhưng mà ký giả! Chúng ta có quyền biết!"

	Một đám ký giả không làm, mình các người đi tới chỗ nào đi không phải là bị nhiệt tình chiêu đãi.

	"Nói không cho phép chính là không cho phép, dám xông tới liền chuẩn bị để cho công ty các ngươi tới bảo vệ các người đi ra ngoài đi!"

	Cầm đầu cảnh sát cũng là nhức đầu, phía trên phân phó, mình chỉ có thể làm theo.

	"Ai? Ai? Tại sao bọn họ có thể tiến vào?" Một cái người chỉ cách đó không xa nối đuôi mà vào một đám người bất mãn nói.

	"Bọn họ là liên can nhân sự!" Cầm đầu cảnh sát da mặt đều ở đây nóng lên, nhưng vẫn là nhắm mắt nói một câu.

	Đông đảo ký giả ngẩn ngơ, cái này nhìn còn thật đàng hoàng cảnh sát làm sao da mặt dầy như vậy? Đều không mang đỏ mặt.

	Vòng ngoài một vòng lớn người ở trước bàn chân nhọn xem náo nhiệt, muốn biết chuyện gì xảy ra.

	Bắc Phong đang từ sườn núi chỗ xuống, về nhà ăn mực ngọc Tuyết Long vương huyết thịt chế tạo thành lát cá sống, bên cạnh để một tô, chén bên trong đựng trước màu hổ phách rượu.

	Một mực lát cá sống, uống một hớp nhỏ rượu ngon, cái này cuộc sống gia đình tạm ổn không được qua quá dễ chịu.

	Ăn Không No cùng Ăn Nhiều 2 đứa nhỏ người chính là tại đối phó trước mình trong khay mực ngọc Tuyết Long vương nội tạng, chẳng qua là ăn một chút xíu, 2 đứa nhỏ người liền bị chống đỡ lăn lộn đầy đất.

	Cuối cùng là mực ngọc Tuyết Long vương cấp bậc đối với 2 đứa nhỏ người mà nói quá cao, chẳng qua là ăn một chút liền bị thịt cá trong năng lượng ẩn chứa chống.

	Để cho người máy tê liệt trông nhà, có người xông vào trực tiếp đánh ngất xỉu, cùng mình sau khi trở lại giải quyết.

	Bắc Phong đi từ từ ra nhà, chuẩn bị mua một chiếc xe thay đi bộ, nếu không ra vào quá không tiện.

	"Ừ ? Phía trước đã xảy ra chuyện gì? Nhiều như vậy cảnh sát?"

	Bắc Phong sững sốt một chút, nhìn về phía trước phạm vi lớn bị kéo cảnh giới tuyến, còn có đông đảo ký giả, không khỏi buồn bực suy nghĩ.

	Tống Văn cùng Tống Thanh hai người một mặt táo bón diễn cảm, lần này thật sự là thua thiệt lớn, cái gì rể cây cũng không có đào được, kết quả còn chết một người, lúc này không có một 80-100k giải quyết không xuống.

	"Trời ạ! Thằng nhóc này lại có thể cũng ở nơi đây?"

	Tống Thanh nhìn cách đó không xa Bắc Phong sững sốt một chút, sau đó giận đùng đùng liền chạy tới.

	"Thằng nhóc! Ngươi có phải hay không lắc lư chúng ta? Ngươi rể cây là ở chỗ này đào?"

	Tống Thanh khí không đánh vừa ra tới, ngón tay đều bị đâm đến Bắc Phong trên lỗ mũi.

	"Không sai, ta chính là ở chỗ này đào được, ngoài ra đem tay ngươi buông xuống." Bắc Phong thanh âm không có bất cứ ba động gì, cứ như vậy bình tĩnh nhìn Tống Thanh.

	Tống Thanh sững sốt một chút, mặc dù Bắc Phong không có bất kỳ biểu lộ gì, nhưng là Tống Thanh nhưng cảm giác từng trận cảm giác bị áp bách truyền tới, không khỏi để tay xuống chỉ.

	Tống Thanh nhưng là không biết đây là thuộc về bản chất sinh mạng chênh lệch quá xa chèn ép, "Ông nội ta nghe ngươi lời nói để cho người tới đào, kết quả chết! Bị một cây rể cây giết chết!"

	Tống Thanh cảm thấy hết thảy các thứ này đều là Bắc Phong sai, nếu không phải hắn nói cho Tống Văn là ở chỗ này đào được, ông nội mình làm sao sẽ mang người tới đào? Không mang theo người tới đào người cũng sẽ không chết.

	"Dính ta chuyện gì?" Bắc Phong nói một câu, xoay người từ từ rời đi.

	Cũng không phải là ta để cho các người đào, xảy ra chuyện tới chỉ trích mình? Cười nhạo!

	"Ừ ? Những người này thật là mạnh khí huyết chập chờn!"

	Bắc Phong đi hai bước, ánh mắt nhìn về phía cảnh giới tuyến bên trong một đám người, híp mắt lộp bộp tự nói.

	Những người này mỗi một người đều không yếu, toàn bộ tụ tập chung một chỗ sau đó ở Bắc Phong trong mắt chính là một đại đoàn cây đuốc ở trong bóng tối vậy chói mắt!

	"Trước. . . Thiên thần cây "

	Thanh âm đứt quảng truyền tới, bởi vì cách nhau quá xa, Bắc Phong cũng không nghe quá rõ, nhưng Bắc Phong hứng thú.

	"Ừ ? Thằng nhóc này cũng ở nơi đây?" Ngô Trung Hưng mang một đám Niếp gia cao thủ hướng lối đi đi tới, vừa vặn nhìn thấy Bắc Phong đứng ở bên cạnh.

	"Đứa nhỏ, nơi này cũng không phải là đất lành, rời đi nơi này đi." Ngô Trung Hưng hướng về phía Bắc Phong nói.

	"Ừ ?"

	"Ta rõ ràng."

	Bắc Phong hướng về phía cụ già gật đầu một cái.

	Bắc Phong nhìn lần trước đi theo Niếp Vân sau lưng cụ già lại có thể cũng tới, xem ra liên tưởng đến mới vừa nghe được Tống Thanh nói rể cây giết người, còn có tiên thiên thần thụ các loại, Bắc Phong hứng thú càng ngày càng cao, nhóm người này khí huyết vượt qua xa thường nhân đoàn người rõ ràng liền là hướng về phía cái này cái gì tiên thiên thần thụ tới!

	"Không muốn tới trên Trái Đất lại có thể cũng sẽ có thiên tài địa bảo? Cũng vậy, dù sao cũng là lớn như vậy một cái tinh cầu, có cũng không kỳ quái, ta cũng muốn biết một chút về cái gọi là tiên thiên thần mộc là cấp mấy thiên tài địa bảo."

	Bắc Phong quyết định xen vào một cước, chủ yếu nhất là Bắc Phong không cảm thấy những người này so mình mạnh đi nơi nào.
