Chương 131: Tiên thiên thần thụ? 
 Converter Dzung Kiều cầu phiếu 

	"Tí tách! Tí tách!"
	Lúc này Tống Văn cùng Tống Thanh đang một nhà nông gia nhạc trong đang ăn cơm, gặp đã trễ thế này vậy ba người vẫn chưa về, Tống Văn không khỏi cảm khái một câu, "Cái này ba người thật thật không tệ, như thế chuyên nghiệp!"

	"Nói không chừng vậy ba người đang nằm ngủ đây." Tống Thanh kẹp một khối xào con vịt bỏ vào trong miệng, lẩm bẩm.

	"Đạp đạp!"

	" Ầm!"

	Một hồi tiếng bước chân dồn dập vang lên, cửa phòng bị người trực tiếp bạo lực đẩy ra!

	"Ai? Các người có hiểu hay không chuyện? Không biết gõ cửa sao?" Tống Thanh nhìn ngoài cửa thở hỗn hển hai người mặt đầy chán ghét nói.

	"Ra. . . Xảy ra chuyện lớn!"

	Lô Dương thở không ra hơi nói.

	"Đại sự gì? Đào được bảo bối?" Tống Thanh cặp mắt sáng lên.

	"Ột ột ột!" Lô Dương tiến lên trực tiếp cầm lên ly nước trên bàn miệng to uống nước, chậm một cái khí nói, "Đại Tráng chết!"

	"Đại Tráng? Ai cái gì là Đại Tráng? Để ý chuyện ta làm gì?" Tống Thanh không nhịn được, trực tiếp vỗ bàn lên nổi giận.

	Hai cái nhà quê này ré bất ngờ, thô bạo đẩy cửa ra, còn không trải qua mình cho phép liền động mình ly nước, bây giờ lại nói gì Đại Tráng chết, ai đặc biệt biết là không phải con mèo, con chó các loại.

	" Ầm!"

	"Lão đầu! Ngươi rốt cuộc muốn đào cái gì!"

	Tống Thanh nổi cáu, Lô Dương cùng Lục Gia Quý cũng nổi cáu, trực tiếp vỗ bàn chỉ Tống Văn chất vấn!

	Tống Văn trong lòng giật mình, tổng cộng ba người, bây giờ chỉ tới hai cái, người chết kia không phải là kêu Đại Tráng chứ ?

	"Đừng nóng, có lời thật tốt nói, ta chính là để cho các người đi đào một đoạn rể cây, muốn làm một tay chuỗi mà thôi, rốt cuộc đã xảy ra chuyện gì, ngươi từ từ nói." Tống Thanh sắc mặt có chút nặng nề.

	Lô Dương từ từ nói trước chuyện đi qua, làm Tống Văn nghe được Đại Tráng lại có thể bị đột nhiên từ lỗ thủng trong nhô ra rể cây cắm thời điểm chết, Tống Văn cùng Tống Thanh mặt đầy không tin, còn đột nhiên nhô ra? Ngươi nha tại sao không nói cây này cây thành tinh đâu ?

	Nhưng nghe đến Lô Dương hai người thề thành khẩn bảo đảm, trước khi đi là tuyệt đối không có đào được rể cây, nhưng bây giờ tình huống nhưng là rể cây nhô ra cắm chết Đại Tráng!

	Tống Văn cùng Tống Thanh gương mặt dòm ngó, ngựa báo lên cảnh, cùng cảnh sát sau khi đến, cùng nhau đi hiện trường.

	Đến hiện trường sau đó, cảnh sát bắt đầu phái người tiến vào trong huyệt động tra xem tình huống.

	"Đội trưởng, bên trong chỉ có một cổ thi thể ngã xuống đất, phán đoán ban đầu là bị đồ sắc bén xuyên qua hốc mắt mà chết, nhưng cũng không có phát hiện cái gì rể cây."

	Rất nhanh một cái tới tuổi hai mươi cảnh sát từ trong huyệt động đi ra, hướng về phía một mặt chữ quốc người trung niên hồi báo tình huống.

	"Không thể nào! Chúng ta rõ ràng là thấy được một cây rể cây từ một đứa bé sơ sinh lớn nhỏ lỗ thủng trong dò ra, khác một đoạn cắm vào Đại Tráng hốc mắt!"

	Lô Dương cùng Lục Gia Quý không thể tin nói.

	Đồng thời hướng động bộ đi, cảnh sát trẻ tuổi muốn ngăn ở bọn họ, nhưng người đàn ông trung niên lắc đầu một cái, tỏ ý thả bọn họ đi vào.

	Hang động dài 3-4m cỡ đó, chiều rộng 2m, hang động trên vách đá tràn đầy rộng lượng mới mẻ tạc vết.

	"Làm sao có thể!"

	Lô Dương cùng Lục Gia Quý không thể tin kêu lên, bên trong nguyên bản tư thế đứng Đại Tráng ngã xuống đất, trẻ sơ sinh lớn nhỏ lỗ hang trong vậy còn có cái gì rể cây dấu vết.

	"Xem kìa, các người miêu tả rể cây giết loại người không có gì cả."

	Cảnh sát trẻ tuổi dùng ánh mắt hoài nghi nhìn Lục Gia Quý cùng Lô Dương hai người.

	"Các người chắc chắn không có nhìn lầm?" Người trung niên nhíu mày một cái, nhìn về phía Lô Dương hai người hỏi.

	"Không thể nào! Chúng ta tuyệt đối không có nhìn lầm!"

	Lô Dương hai người miệng đồng thanh nói.

	"Được, tiểu Hà ngươi mang 2 người hướng bên trong tiếp tục đào!"

	Thiết Chung Quắc hướng về phía sau lưng 2 cảnh sát nói.

	2 cảnh sát một mặt mơ hồ, việc này nhưng có chút khó khăn à!

	Nhưng trước hay là đem Đại Tráng thi thể mang đi ra ngoài, sau đó nhận lấy Lô Dương đám người công cụ bắt đầu ở vách đá trước mặt đục, những người còn lại chính là chờ ở bên ngoài trước.

	"Đây đều là những chuyện gì à, lại có thể thành thợ đá! Muốn ta xem à bên ngoài hai người kia nhất định là có trọng đại hiềm nghi gây án, còn rể cây giết người, ta xem chính là dùng vật này giết người."

	Tiểu Hà nhìn trong tay cái đục hướng còn lại hai người oán trách.

	"Ha ha, mau làm việc đi, nói không chừng thật vẫn là rể cây giết người đâu ?"

	Còn lại hai người trêu ghẹo nói.

	"Ta xem xem cái này lỗ thủng rốt cuộc sâu bao nhiêu?"

	Tiểu Hà đánh đèn pin, hướng lỗ thủng bên trong nhìn.

	Một cây đen thui rể cây đột nhiên bắn đi ra, trực tiếp xuyên thấu tiểu Hà đầu lâu!

	5 phút sau đó, một cái khác cảnh sát bất mãn nói, "Tiểu Hà ngươi nghỉ ngơi lâu như vậy, còn không mau một chút làm việc?"

	Không có người trả lời, nhìn đứng yên bất động tiểu Hà, hai người khác hai mắt nhìn nhau một cái, hướng tiểu Hà nhìn.

	"À!"

	"À! Thật sự là rể cây giết người à! Có yêu quái!"

	Hai cái

	Bên ngoài chờ mọi người gương mặt dòm ngó, Thiết Chung Quắc biết sự việc chuyện lớn, vội vàng phong bế hiện trường, hướng lên cấp xin phép.

	Nhưng không biết là tại chỗ vậy một người gởi một cái thiệp, tựa đề là cổ thụ thành tinh, hai người bị giết! Đồng thời hợp với toan tính miếng, cùng địa điểm!

	Mặc dù chỉ ở trên mạng phát bố trí đi ra hơn một giờ liền bị thủ tiêu, nhưng là lượt nhấn tính nhưng đạt tới trên một triệu!

	Đầu năm nay mọi người lòng hiếu kỳ nhưng mà rất mạnh, nhìn cái này tựa đề còn có phối đồ rối rít điểm đi vào.

	"Gia chủ! Có chưa rõ tiên thiên thần thụ hiện thế!"

	"Trưởng lão! Núi Thanh Lĩnh có chưa rõ thần thụ xuất thế!"

	"Ha ha, thật là may mắn đạo! Mau lập tức chạy tới Thanh Thành!"

	Tương tự như vậy đối thoại ở tất cả cái địa phương diễn ra, vô số thế lực lớn hướng Thanh Thành chạy tới!

	Tầng 1 vô hình dòng nước ngầm dần dần bắt đầu ở Thanh Thành trào động lực, chờ đợi bùng nổ một khắc kia!Chương 131: Tiên thiên thần thụ? 
 Converter Dzung Kiều cầu phiếu 

	"Tí tách! Tí tách!"

	Bên trong động yên tĩnh, chỉ có từng giọt giọt nước nhỏ giọt xuống thanh âm. Trên nóc lại nhỏ

	Lô Dương sững sốt một chút, động này bên trong khô ráo vô cùng, nơi đó truyền tới tiếng nước chảy?

	"Đại Tráng, còn đang mè nheo cái gì, đi trở về."

	Gặp Đại Tráng không có phản ứng chút nào, Lô Dương tiến lên vỗ một cái Đại Tráng bả vai.

	Lô Dương cảm giác trên tay nhớp nhúa, không khỏi giơ tay lên, trên tay bất ngờ tất cả đều là máu tươi!

	"À!"

	Lô Dương một tiếng hét thảm, chuyển đến bên cạnh mới phát hiện một rể cây từ lỗ thủng kia trong dò ra, đâm vào Đại Tráng hốc mắt!

	"Dương Tử ngươi quỷ gào gì?" Bên ngoài một người nghe được bên trong động truyền tới tiếng kêu thảm thiết vội vàng vọt vào, nhìn Lô Dương tê liệt ngồi dưới đất, không khỏi hỏi.

	"Khanh khách! Đại Tráng, Đại Tráng. . ."

	Lô Dương răng đánh lạnh run, chỉ Đại Tráng đứt quảng vừa nói, nhưng lại quanh đi quẩn lại chỉ có mấy chữ này.

	Lục Gia Quý không khỏi sững sốt một chút, "Đại Tráng thế nào? Ngươi ngược lại là nói à!" Gặp Lô Dương vẫn là tê liệt ngồi ở, không khỏi trực tiếp đi tới Đại Tráng bên cạnh nhìn một cái.

	"À!"

	"Đạp đạp đạp!"

	Một tiếng hét thảm vang lên lần nữa, Lục Gia Quý trực tiếp trực tiếp bị dọa đến thụt lùi hai bước, rương dụng cụ cũng rơi trên mặt đất, sau đó xoay người chạy!

	"Trời ạ, ngươi ngược lại là...đợi ta một chút à!"

	Lô Dương hướng Lục Gia Quý hô đến, chân mình cũng hù doạ mềm nhũn, căn bản không lên nổi.

	"Đạp đạp đạp!"

	Chẳng qua là ba mươi giây sau, Lục Gia Quý lại chạy trở lại, cùng Lô Dương mắt lớn trừng mắt nhỏ.

	"Người này ngày thường làm việc trộm gian giở thủ đoạn, không nghĩ tới thời khắc mấu chốt thật nói nghĩa khí!" Lô Dương cảm động cũng sắp khóc, trong lòng yên lặng suy nghĩ, ngày thường không đáng tin cậy không sao cả, thời khắc mấu chốt dựa được là được!

	"Ngươi còn không chạy à!"

	Không đợi Lô Dương nghĩ nhiều nữa, Lục Gia Quý nhặt lên trên đất rương dụng cụ như một làn khói liền chạy, vừa chạy một bên hướng Lô Dương mắng.

	"Cmn, cái đầu ngươi!"

	Lô Dương đưa ra tay cứ như vậy giằng co ở giữa không trung, ngẩn ra sau đó, mắng to một câu, hai chân run rẩy, cũng chạy ra ngoài.

	Lúc này Tống Văn cùng Tống Thanh đang một nhà nông gia nhạc trong đang ăn cơm, gặp đã trễ thế này vậy ba người vẫn chưa về, Tống Văn không khỏi cảm khái một câu, "Cái này ba người thật thật không tệ, như thế chuyên nghiệp!"

	"Nói không chừng vậy ba người đang nằm ngủ đây." Tống Thanh kẹp một khối xào con vịt bỏ vào trong miệng, lẩm bẩm.

	"Đạp đạp!"

	" Ầm!"

	Một hồi tiếng bước chân dồn dập vang lên, cửa phòng bị người trực tiếp bạo lực đẩy ra!

	"Ai? Các người có hiểu hay không chuyện? Không biết gõ cửa sao?" Tống Thanh nhìn ngoài cửa thở hỗn hển hai người mặt đầy chán ghét nói.

	"Ra. . . Xảy ra chuyện lớn!"

	Lô Dương thở không ra hơi nói.

	"Đại sự gì? Đào được bảo bối?" Tống Thanh cặp mắt sáng lên.

	"Ột ột ột!" Lô Dương tiến lên trực tiếp cầm lên ly nước trên bàn miệng to uống nước, chậm một cái khí nói, "Đại Tráng chết!"

	"Đại Tráng? Ai cái gì là Đại Tráng? Để ý chuyện ta làm gì?" Tống Thanh không nhịn được, trực tiếp vỗ bàn lên nổi giận.

	Hai cái nhà quê này ré bất ngờ, thô bạo đẩy cửa ra, còn không trải qua mình cho phép liền động mình ly nước, bây giờ lại nói gì Đại Tráng chết, ai đặc biệt biết là không phải con mèo, con chó các loại.

	" Ầm!"

	"Lão đầu! Ngươi rốt cuộc muốn đào cái gì!"

	Tống Thanh nổi cáu, Lô Dương cùng Lục Gia Quý cũng nổi cáu, trực tiếp vỗ bàn chỉ Tống Văn chất vấn!

	Tống Văn trong lòng giật mình, tổng cộng ba người, bây giờ chỉ tới hai cái, người chết kia không phải là kêu Đại Tráng chứ ?

	"Đừng nóng, có lời thật tốt nói, ta chính là để cho các người đi đào một đoạn rể cây, muốn làm một tay chuỗi mà thôi, rốt cuộc đã xảy ra chuyện gì, ngươi từ từ nói." Tống Thanh sắc mặt có chút nặng nề.

	Lô Dương từ từ nói trước chuyện đi qua, làm Tống Văn nghe được Đại Tráng lại có thể bị đột nhiên từ lỗ thủng trong nhô ra rể cây cắm thời điểm chết, Tống Văn cùng Tống Thanh mặt đầy không tin, còn đột nhiên nhô ra? Ngươi nha tại sao không nói cây này cây thành tinh đâu ?

	Nhưng nghe đến Lô Dương hai người thề thành khẩn bảo đảm, trước khi đi là tuyệt đối không có đào được rể cây, nhưng bây giờ tình huống nhưng là rể cây nhô ra cắm chết Đại Tráng!

	Tống Văn cùng Tống Thanh gương mặt dòm ngó, ngựa báo lên cảnh, cùng cảnh sát sau khi đến, cùng nhau đi hiện trường.

	Đến hiện trường sau đó, cảnh sát bắt đầu phái người tiến vào trong huyệt động tra xem tình huống.

	"Đội trưởng, bên trong chỉ có một cổ thi thể ngã xuống đất, phán đoán ban đầu là bị đồ sắc bén xuyên qua hốc mắt mà chết, nhưng cũng không có phát hiện cái gì rể cây."

	Rất nhanh một cái tới tuổi hai mươi cảnh sát từ trong huyệt động đi ra, hướng về phía một mặt chữ quốc người trung niên hồi báo tình huống.

	"Không thể nào! Chúng ta rõ ràng là thấy được một cây rể cây từ một đứa bé sơ sinh lớn nhỏ lỗ thủng trong dò ra, khác một đoạn cắm vào Đại Tráng hốc mắt!"

	Lô Dương cùng Lục Gia Quý không thể tin nói.

	Đồng thời hướng động bộ đi, cảnh sát trẻ tuổi muốn ngăn ở bọn họ, nhưng người đàn ông trung niên lắc đầu một cái, tỏ ý thả bọn họ đi vào.

	Hang động dài 3-4m cỡ đó, chiều rộng 2m, hang động trên vách đá tràn đầy rộng lượng mới mẻ tạc vết.

	"Làm sao có thể!"

	Lô Dương cùng Lục Gia Quý không thể tin kêu lên, bên trong nguyên bản tư thế đứng Đại Tráng ngã xuống đất, trẻ sơ sinh lớn nhỏ lỗ hang trong vậy còn có cái gì rể cây dấu vết.

	"Xem kìa, các người miêu tả rể cây giết loại người không có gì cả."

	Cảnh sát trẻ tuổi dùng ánh mắt hoài nghi nhìn Lục Gia Quý cùng Lô Dương hai người.

	"Các người chắc chắn không có nhìn lầm?" Người trung niên nhíu mày một cái, nhìn về phía Lô Dương hai người hỏi.

	"Không thể nào! Chúng ta tuyệt đối không có nhìn lầm!"

	Lô Dương hai người miệng đồng thanh nói.

	"Được, tiểu Hà ngươi mang 2 người hướng bên trong tiếp tục đào!"

	Thiết Chung Quắc hướng về phía sau lưng 2 cảnh sát nói.

	2 cảnh sát một mặt mơ hồ, việc này nhưng có chút khó khăn à!

	Nhưng trước hay là đem Đại Tráng thi thể mang đi ra ngoài, sau đó nhận lấy Lô Dương đám người công cụ bắt đầu ở vách đá trước mặt đục, những người còn lại chính là chờ ở bên ngoài trước.

	"Đây đều là những chuyện gì à, lại có thể thành thợ đá! Muốn ta xem à bên ngoài hai người kia nhất định là có trọng đại hiềm nghi gây án, còn rể cây giết người, ta xem chính là dùng vật này giết người."

	Tiểu Hà nhìn trong tay cái đục hướng còn lại hai người oán trách.

	"Ha ha, mau làm việc đi, nói không chừng thật vẫn là rể cây giết người đâu ?"

	Còn lại hai người trêu ghẹo nói.

	"Ta xem xem cái này lỗ thủng rốt cuộc sâu bao nhiêu?"

	Tiểu Hà đánh đèn pin, hướng lỗ thủng bên trong nhìn.

	Một cây đen thui rể cây đột nhiên bắn đi ra, trực tiếp xuyên thấu tiểu Hà đầu lâu!

	5 phút sau đó, một cái khác cảnh sát bất mãn nói, "Tiểu Hà ngươi nghỉ ngơi lâu như vậy, còn không mau một chút làm việc?"

	Không có người trả lời, nhìn đứng yên bất động tiểu Hà, hai người khác hai mắt nhìn nhau một cái, hướng tiểu Hà nhìn.

	"À!"

	"À! Thật sự là rể cây giết người à! Có yêu quái!"

	Hai cái

	Bên ngoài chờ mọi người gương mặt dòm ngó, Thiết Chung Quắc biết sự việc chuyện lớn, vội vàng phong bế hiện trường, hướng lên cấp xin phép.

	Nhưng không biết là tại chỗ vậy một người gởi một cái thiệp, tựa đề là cổ thụ thành tinh, hai người bị giết! Đồng thời hợp với toan tính miếng, cùng địa điểm!

	Mặc dù chỉ ở trên mạng phát bố trí đi ra hơn một giờ liền bị thủ tiêu, nhưng là lượt nhấn tính nhưng đạt tới trên một triệu!

	Đầu năm nay mọi người lòng hiếu kỳ nhưng mà rất mạnh, nhìn cái này tựa đề còn có phối đồ rối rít điểm đi vào.

	"Gia chủ! Có chưa rõ tiên thiên thần thụ hiện thế!"

	"Trưởng lão! Núi Thanh Lĩnh có chưa rõ thần thụ xuất thế!"

	"Ha ha, thật là may mắn đạo! Mau lập tức chạy tới Thanh Thành!"

	Tương tự như vậy đối thoại ở tất cả cái địa phương diễn ra, vô số thế lực lớn hướng Thanh Thành chạy tới!

	Tầng 1 vô hình dòng nước ngầm dần dần bắt đầu ở Thanh Thành trào động lực, chờ đợi bùng nổ một khắc kia!
