Chương 438: Tai nạn 
 Converter Dzung Kiều cầu khen thưởng 

	Bắc Phong đoàn người thầm mắng người điên, nhưng lại một cái chạy so một cái mau.
	Nhưng là vòng bảo vệ càng lớn, phòng ngự diện tích càng rộng, chịu lực diện tích cũng lại càng lớn, vẫn còn ở Bắc Phong khí huyết vượt qua xa người thường.

	Một liền 2-3 phút đã qua, phía sau yên tĩnh lại, giống như là đã khôi phục bình tĩnh.

	Nhưng là mọi người không chỉ không có cao hứng, ngược lại là sắc mặt nặng hơn, trong lối đi tràn ngập một cổ to lớn áp lực, giống như là bão táp đến khúc nhạc dạo!

	Phía trước đã là khóa long tỉnh phía dưới hố trời, mọi người sinh ra một cổ hy vọng, hai mắt nhìn nhau một cái, tất cả mọi người không có quản hay không, đem hết toàn lực đem chân khí huyết khí toàn bộ ngưng tụ đang lúc mọi người sau lưng trên lối đi.

	Rồi sau đó nhanh chóng bay lên không, hướng phía trên bay đi.

	Không có tiếng nổ, cũng không có lối đi văng tung tóe thanh âm, không tiếng động, một cổ kinh khủng năng lượng ba động, mang một cổ chích nhiệt vô cùng nhiệt độ cao sóng trùng kích càn quét tới!

	Lối đi trực tiếp sụp đổ, rồi sau đó hòn đá trực tiếp hòa tan, nhỏ giọt xuống đất!

	Như vậy uy lực kinh khủng, coi như là thần thông cảnh giới võ giả cũng biết cảm giác được phiền toái, thậm chí nếu như đang nổ trung tâm, coi như là thần thông cảnh giới võ giả cũng phải bổ nhào.

	Đoàn người khoảng cách lao ra khóa long tỉnh đã bất quá gần hai trăm mét, phía dưới một cổ cường đại sóng trùng kích ngay tức thì chọc thủng mọi người liên thủ bố trí tới phòng ngự.

	Rồi sau đó hung hăng đụng vào trên vách đá, rồi sau đó hoàn toàn thực tâm vách đá trực tiếp xuất hiện một đạo không biết bao sâu lối đi, động đạo trên vách một chút xíu hòa tan hòn đá là nổi bật như vậy.

	Một phần khác đánh tới liền vách đá bơm phồng ba chính là theo phía trên chỗ lối đi vọt tới, tốc độ nhanh, cái kế tiếp ngay tức thì liền đuổi kịp Bắc Phong các người!

	Cái này cổ sóng trùng kích cũng đã là nỏ hết đà, không có lúc trước kinh khủng kia uy lực, nhưng là Bắc Phong các người cũng không dám xem nhẹ.

	Rối rít ra tay, trực tiếp bày từng đạo phòng ngự, rồi sau đó ầm một tiếng, khóa long tỉnh chỗ chỗ trực tiếp nổ tung!

	Ngoại giới đang đang bảo vệ tiên thiên các võ giả rối rít trợn mắt hốc mồm, không hề thiếu còn dùng tay dụi mắt một cái, xem xem mình có phải hay không xem hoa mắt.

	Nguyên bản đều là võ đạo giới còn sống thần thoại, tất cả đại gia tộc lão tổ tông, lúc này giống như là bắp nổ vậy, trực tiếp bị nổ bay đầy trời! Còn chưa phản ứng kịp, ngay tức thì dưới chân như nước vậy sóng gió nổi lên, không ít người liền phản ứng lại thời gian cũng không có, đất đai trực tiếp nứt ra từng đạo kẽ hở, trực tiếp rơi đi xuống.

	Còn lại một đám người bỏ mặc tam thất hai mươi mốt, nhanh chân chạy!

	Chu vi 10km, trực tiếp bắt đầu sóng gió nổi lên, đất đai xuất hiện từng đạo kẽ hở, rồi sau đó sụp đổ.

	Bắc Phong đoàn người ổn định thân hình, nhìn phía dưới mình các người một tay tạo thành tai nạn có chút không đành lòng, nhưng một lát sau, xoay người rời đi.

	Toàn bộ dưới đất không gian đều bị kinh khủng nổ cho nổ sụp, mà duy nhất phía trên kiến trúc cũng trực tiếp đi đôi với vùng đất sụp đổ mà mai một.

	Không lâu sau, chu vi 10km trực tiếp biến thành một vùng nóng bỏng nham thạch nóng chảy hồ, nóng bỏng nhiệt độ để cho khu vực này phía trên không gian đều có chút vặn vẹo.

	Ngoại ô, một nơi to lớn hồ nhân tạo bên cạnh, một cái nhà cổ kính nhà dựa vào núi, ở cạnh sông, trước viện môn một xếp 1-2 người ôm hết to cây liễu theo gió đung đưa.

	Trong đại sảnh, một đám bão đan võ giả đơn giản xử lý mình thương thế sau đó liền tụ tập với nhau, thần sắc nặng nề.

	Lúc này mọi người có chút vui mừng, dưới đất không gian diện tích rộng lớn vô cùng, chẳng qua là 10km sụp đổ, nếu là dưới đất không gian toàn bộ sụp đổ, mọi người sau khi suy nghĩ một chút quả cũng là không dám tưởng tượng.

	Khi đó phỏng đoán TQ trực tiếp dám cầm vũ khí nguyên tử đuổi theo mình các người khắp thế giới chạy, không chết không thôi.

	"Chuẩn bị chảy máu nhiều đi."

	Yên lặng chốc lát, Lăng Hư vẻ kiêu ngạo bất đắc dĩ đứng lên nói.

	Phía dưới bão đan võ giả gật đầu một cái, không có ai phản đối, nhưng từ khóe miệng co rúc độ cong tới xem, tất cả mọi người là có chút đau lòng.

	Nhưng là trời mới biết phía dưới bố trí trận pháp này người chính là một người điên, nếu không phải trận pháp lâu năm không sửa sang, xuất hiện hư hại, phỏng đoán mọi người một cái cũng chạy không thoát, mà chìm mặt đất cũng không chỉ 10km.

	Bố trí trận pháp này người, căn bản cũng không có dự định để cho người sống đi ra ngoài!

	"Đây là tù rồng liên, ở ta gỡ xuống tù rồng liên lúc này dị biến liền xảy ra, xem ra món đồ này là cả dưới đất không gian trận pháp trung tâm."

	Bắc Phong đứng ra, cầm trong tay tù rồng liên lấy ra, hướng Côn Luân thập nhị yêu phương hướng ném tới.

	Không biết cái này Côn Luân thập nhị yêu rốt cuộc biết nhiều ít sự việc, diêm rơi trực tiếp đưa tay liền bắt được tù rồng liên, xem ra nó đã sớm biết tù rồng liên cần tinh thần lực bao trùm ở trong tay mới có thể bắt được.

	"Đoạn này thời gian, tạm thời khiêm tốn, chúng ta quốc nội kế hoạch đã an bài xong thành, chờ đi, chờ nước ngoài tin tức đi."

	Lăng Hư giống như là đang đối với trong sân mọi người nói chuyện, hoặc như là đang lầm bầm lầu bầu.

	Mọi người gật đầu một cái, ai về nhà nấy, thật sự là tiếng gió chặt, nếu không chạy mọi người thật sợ một viên nhỏ tấn lượng vũ khí hạt nhân trực tiếp ở đỉnh đầu mọi người rơi xuống.

	Lần này vượt qua 10km trên đất diện tích chìm nghỉm, không biết chết bao nhiêu người, cũng may cái này một phiến khu vực không phải phố buôn bán, nhưng coi như là như vậy, mất mạng ở lần này trong sự kiện người cũng không biết có nhiều ít!

	Nhưng là cũng chỉ là mọi người áy náy mà thôi, bồi thường cũng tự nhiên sẽ không rơi xuống, muốn là muốn cho mình các người đền mạng, vậy không thể nào.

	Đám người này đều là điên rồi, rõ ràng phía trên còn có cảnh giới cao hơn, càng đã lâu sinh mạng, nhưng chính là không đột phá nổi, phí thời gian năm tháng, bây giờ làm tất cả mọi chuyện cũng là vì không tiếc bất cứ giá nào tìm được vậy cái thoát khỏi gông xiềng đường, không phải là vì hơn nữa đã lâu sinh mạng sao?Chương 438: Tai nạn 
 Converter Dzung Kiều cầu khen thưởng 

	Bắc Phong đoàn người thầm mắng người điên, nhưng lại một cái chạy so một cái mau.

	"Ùng ùng!"

	Phía sau bắt đầu nổ, một cổ hủy diệt sóng trùng kích ngay tức thì từ phía sau đuổi theo, may là mọi người đã chạy rất nhanh, nhưng là cũng vẫn là không có dùng, chỉ có thể chống cự!

	Bắc Phong lăn lộn thân khí huyết bộc phát, tạo thành một cái cường đại vòng bảo vệ, đem Huyền Nhất chó ba đầu các người cùng nhau kéo vào trong đó.

	Mà một vị khác thực lực bản thân chỉ có tiên thiên, dựa vào 8 cánh ve sầu mới có bão đan chiến lực bà lão sau lưng trực tiếp xuất hiện một đạo đạo kim sắc sợi tơ, rồi sau đó đem bà lão cả người cũng bao ở trong đó.

	" Ầm!"

	"Phốc!"

	Đạo này sóng trùng kích đã qua, tất cả mọi người giống như là trong bão táp thuyền cá nhỏ vậy, ngay tức thì bị cái này sóng trùng kích xa xa hướng bay ra ngoài.

	Không thiếu thực lực yếu bão đan võ giả đều là lăn lộn thân chân khí tán loạn, rối rít phun một ngụm máu tươi đi ra.

	"Rắc rắc!"

	Toàn bộ dưới đất không gian cũng đang kịch liệt chập chờn, mảng lớn nham thạch rớt xuống, nhìn dáng dấp toàn bộ dưới đất không gian muốn không được bao lâu thì sẽ sụp đổ.

	Bất đồng mọi người nghỉ một hơi, lại một đạo sóng trùng kích ngay tức thì đuổi kịp mọi người, mọi người có một lần bị hung hăng đánh bay ra ngoài.

	Mặc dù chân khí phòng ngự tuyệt đại đa số uy lực, nhưng là cái loại đó đánh vào sinh ra tác dụng ngược lại lực cũng chính là chấn động nhưng là không thể tránh khỏi xâm nhập đông đảo bão đan võ giả trong thân thể.

	Nhìn ở bên cạnh mình khổ khổ chống đỡ Tần Vô Pháp, Bắc Phong nhướng mày một cái, ngay tức thì đem vòng bảo vệ bao phủ phạm vi mở rộng, lập tức đem Tần Vô Pháp bao phủ đi vào.

	Tần Vô Pháp giật giật môi, cuối cùng vẫn là không có nói gì.

	Bắc Phong lúc này khí huyết tiêu hao rất lớn, nếu như là chỉ chỉ lo đạt tới mình chu đầy đủ, vậy cũng được không có gì.

	Nhưng là vòng bảo vệ càng lớn, phòng ngự diện tích càng rộng, chịu lực diện tích cũng lại càng lớn, vẫn còn ở Bắc Phong khí huyết vượt qua xa người thường.

	Một liền 2-3 phút đã qua, phía sau yên tĩnh lại, giống như là đã khôi phục bình tĩnh.

	Nhưng là mọi người không chỉ không có cao hứng, ngược lại là sắc mặt nặng hơn, trong lối đi tràn ngập một cổ to lớn áp lực, giống như là bão táp đến khúc nhạc dạo!

	Phía trước đã là khóa long tỉnh phía dưới hố trời, mọi người sinh ra một cổ hy vọng, hai mắt nhìn nhau một cái, tất cả mọi người không có quản hay không, đem hết toàn lực đem chân khí huyết khí toàn bộ ngưng tụ đang lúc mọi người sau lưng trên lối đi.

	Rồi sau đó nhanh chóng bay lên không, hướng phía trên bay đi.

	Không có tiếng nổ, cũng không có lối đi văng tung tóe thanh âm, không tiếng động, một cổ kinh khủng năng lượng ba động, mang một cổ chích nhiệt vô cùng nhiệt độ cao sóng trùng kích càn quét tới!

	Lối đi trực tiếp sụp đổ, rồi sau đó hòn đá trực tiếp hòa tan, nhỏ giọt xuống đất!

	Như vậy uy lực kinh khủng, coi như là thần thông cảnh giới võ giả cũng biết cảm giác được phiền toái, thậm chí nếu như đang nổ trung tâm, coi như là thần thông cảnh giới võ giả cũng phải bổ nhào.

	Đoàn người khoảng cách lao ra khóa long tỉnh đã bất quá gần hai trăm mét, phía dưới một cổ cường đại sóng trùng kích ngay tức thì chọc thủng mọi người liên thủ bố trí tới phòng ngự.

	Rồi sau đó hung hăng đụng vào trên vách đá, rồi sau đó hoàn toàn thực tâm vách đá trực tiếp xuất hiện một đạo không biết bao sâu lối đi, động đạo trên vách một chút xíu hòa tan hòn đá là nổi bật như vậy.

	Một phần khác đánh tới liền vách đá bơm phồng ba chính là theo phía trên chỗ lối đi vọt tới, tốc độ nhanh, cái kế tiếp ngay tức thì liền đuổi kịp Bắc Phong các người!

	Cái này cổ sóng trùng kích cũng đã là nỏ hết đà, không có lúc trước kinh khủng kia uy lực, nhưng là Bắc Phong các người cũng không dám xem nhẹ.

	Rối rít ra tay, trực tiếp bày từng đạo phòng ngự, rồi sau đó ầm một tiếng, khóa long tỉnh chỗ chỗ trực tiếp nổ tung!

	Ngoại giới đang đang bảo vệ tiên thiên các võ giả rối rít trợn mắt hốc mồm, không hề thiếu còn dùng tay dụi mắt một cái, xem xem mình có phải hay không xem hoa mắt.

	Nguyên bản đều là võ đạo giới còn sống thần thoại, tất cả đại gia tộc lão tổ tông, lúc này giống như là bắp nổ vậy, trực tiếp bị nổ bay đầy trời! Còn chưa phản ứng kịp, ngay tức thì dưới chân như nước vậy sóng gió nổi lên, không ít người liền phản ứng lại thời gian cũng không có, đất đai trực tiếp nứt ra từng đạo kẽ hở, trực tiếp rơi đi xuống.

	Còn lại một đám người bỏ mặc tam thất hai mươi mốt, nhanh chân chạy!

	Chu vi 10km, trực tiếp bắt đầu sóng gió nổi lên, đất đai xuất hiện từng đạo kẽ hở, rồi sau đó sụp đổ.

	Bắc Phong đoàn người ổn định thân hình, nhìn phía dưới mình các người một tay tạo thành tai nạn có chút không đành lòng, nhưng một lát sau, xoay người rời đi.

	Toàn bộ dưới đất không gian đều bị kinh khủng nổ cho nổ sụp, mà duy nhất phía trên kiến trúc cũng trực tiếp đi đôi với vùng đất sụp đổ mà mai một.

	Không lâu sau, chu vi 10km trực tiếp biến thành một vùng nóng bỏng nham thạch nóng chảy hồ, nóng bỏng nhiệt độ để cho khu vực này phía trên không gian đều có chút vặn vẹo.

	Ngoại ô, một nơi to lớn hồ nhân tạo bên cạnh, một cái nhà cổ kính nhà dựa vào núi, ở cạnh sông, trước viện môn một xếp 1-2 người ôm hết to cây liễu theo gió đung đưa.

	Trong đại sảnh, một đám bão đan võ giả đơn giản xử lý mình thương thế sau đó liền tụ tập với nhau, thần sắc nặng nề.

	Lúc này mọi người có chút vui mừng, dưới đất không gian diện tích rộng lớn vô cùng, chẳng qua là 10km sụp đổ, nếu là dưới đất không gian toàn bộ sụp đổ, mọi người sau khi suy nghĩ một chút quả cũng là không dám tưởng tượng.

	Khi đó phỏng đoán TQ trực tiếp dám cầm vũ khí nguyên tử đuổi theo mình các người khắp thế giới chạy, không chết không thôi.

	"Chuẩn bị chảy máu nhiều đi."

	Yên lặng chốc lát, Lăng Hư vẻ kiêu ngạo bất đắc dĩ đứng lên nói.

	Phía dưới bão đan võ giả gật đầu một cái, không có ai phản đối, nhưng từ khóe miệng co rúc độ cong tới xem, tất cả mọi người là có chút đau lòng.

	Nhưng là trời mới biết phía dưới bố trí trận pháp này người chính là một người điên, nếu không phải trận pháp lâu năm không sửa sang, xuất hiện hư hại, phỏng đoán mọi người một cái cũng chạy không thoát, mà chìm mặt đất cũng không chỉ 10km.

	Bố trí trận pháp này người, căn bản cũng không có dự định để cho người sống đi ra ngoài!

	"Đây là tù rồng liên, ở ta gỡ xuống tù rồng liên lúc này dị biến liền xảy ra, xem ra món đồ này là cả dưới đất không gian trận pháp trung tâm."

	Bắc Phong đứng ra, cầm trong tay tù rồng liên lấy ra, hướng Côn Luân thập nhị yêu phương hướng ném tới.

	Không biết cái này Côn Luân thập nhị yêu rốt cuộc biết nhiều ít sự việc, diêm rơi trực tiếp đưa tay liền bắt được tù rồng liên, xem ra nó đã sớm biết tù rồng liên cần tinh thần lực bao trùm ở trong tay mới có thể bắt được.

	"Đoạn này thời gian, tạm thời khiêm tốn, chúng ta quốc nội kế hoạch đã an bài xong thành, chờ đi, chờ nước ngoài tin tức đi."

	Lăng Hư giống như là đang đối với trong sân mọi người nói chuyện, hoặc như là đang lầm bầm lầu bầu.

	Mọi người gật đầu một cái, ai về nhà nấy, thật sự là tiếng gió chặt, nếu không chạy mọi người thật sợ một viên nhỏ tấn lượng vũ khí hạt nhân trực tiếp ở đỉnh đầu mọi người rơi xuống.

	Lần này vượt qua 10km trên đất diện tích chìm nghỉm, không biết chết bao nhiêu người, cũng may cái này một phiến khu vực không phải phố buôn bán, nhưng coi như là như vậy, mất mạng ở lần này trong sự kiện người cũng không biết có nhiều ít!

	Nhưng là cũng chỉ là mọi người áy náy mà thôi, bồi thường cũng tự nhiên sẽ không rơi xuống, muốn là muốn cho mình các người đền mạng, vậy không thể nào.

	Đám người này đều là điên rồi, rõ ràng phía trên còn có cảnh giới cao hơn, càng đã lâu sinh mạng, nhưng chính là không đột phá nổi, phí thời gian năm tháng, bây giờ làm tất cả mọi chuyện cũng là vì không tiếc bất cứ giá nào tìm được vậy cái thoát khỏi gông xiềng đường, không phải là vì hơn nữa đã lâu sinh mạng sao?
