Chương 868: Ngươi kêu ta sư đệ? 
 Converter Dzung Kiều cầu khen thưởng 

	Bắc Phong cả người đều là truyền tới từng trận ấm áp, giống như ngâm ở nước suối trong vậy.
	Bắc Phong thần sắc có chút quái dị, ngừng bước chân, người này thật đúng là phiền à, mình cũng đi ra ngoài chừng mười bước, lại còn bị gọi lại.

	"Dĩ nhiên, không phải sư huynh ta nói ngươi, tôn trọng tối thiểu sư huynh phải có chứ ? Còn chưa tới mau tới đây."

	Chu Dịch một bộ qua người tới hình dáng hướng về phía Bắc Phong giảng đạo trước.

	"Không thú vị."

	Bắc Phong phất phất tay, cũng không quay đầu lại rời đi.

	"Đứng lại! Ngươi đây là thái độ gì!"

	Chu Dịch gặp Bắc Phong không chút do dự rời đi, trên mặt có chút không nén giận được.

	Mặc dù mấy vị sư đệ sư muội cùng Vũ Đàm cũng không có lộ xảy ra cái gì vẻ kinh dị, nhưng lúc này Chu Dịch nhưng cảm thấy mọi người nhìn về phía mình ánh mắt quái dị.

	Lập tức Chu Dịch hướng Bắc Phong rầy, thân thể xuất hiện ở Bắc Phong trước người.

	"Không biết sống chết, lui ra!"

	Bắc Phong nhướng mày một cái, hơi thở khổng lồ ngay tức thì phá thể ra.

	"Phốc!"

	Bắc Phong hôm nay cả người thực lực kinh khủng bực nào, mà Chu Dịch bất quá chẳng qua là vạn năm tôn đỉnh cấp, vẻn vẹn chỉ là cả người hơi thở sẽ để cho hắn bị thương nặng.

	"Ngươi!"

	Chu Dịch thân thể rơi xuống đất, nâng lên cánh tay chỉ Bắc Phong, há miệng một cái muốn nói điều gì, nhưng nhìn Bắc Phong con ngươi không khỏi trong lòng run lên.

	Đó là thế nào con ngươi à, bình tĩnh như nước, tràn đầy không thèm chú ý đến.

	"Ừ ?"

	Nơi này động tĩnh bị Vũ Đàm các người thấy được, Vũ Đàm nhướng mày một cái, sắc mặt khó chịu.

	Mà đi theo Chu Dịch tới trước mấy người chính là vội vả chạy tới, gặp Chu Dịch không có gì đáng ngại sau đó, rối rít mở miệng chỉ trích Bắc Phong.

	"Ngươi người này tại sao như vậy à, chu Dịch sư huynh một phen ý tốt ngươi không cảm kích thì thôi, lại còn động thủ đả thương chu Dịch sư huynh."

	Một nữ đệ tử hướng Bắc Phong làm khó dễ.

	"Đúng vậy, thật cho rằng mình không dậy nổi, liền tôn trọng cũng không biết."

	Còn lại mấy người cũng là rối rít mở miệng phụ họa.

	"Vị này sư đệ, ngươi quá phận, hướng Chu Dịch nói lời xin lỗi đi."

	Vũ Đàm mở miệng nói một câu, mình cùng Chu Dịch quen thuộc hơn, tự nhiên cũng hướng Chu Dịch, nói sau Vũ Đàm không có cho rằng Chu Dịch làm sai chỗ nào.

	"Ngươi kêu ta sư đệ?"

	Bắc Phong thần sắc cổ quái, cười mỉa nhìn Vũ Đàm.

	"Chuyện gì xảy ra?"

	"Không biết, ngoại tông trong hàng đệ tử nổi lên điểm mâu thuẫn đi."

	Trước cùng Vũ Đàm ở chung với nhau mấy vị đệ tử nòng cốt cũng đưa ánh mắt nhìn về phía Bắc Phong đoàn người.

	"Ừ ? Chắc nhìn lầm rồi, hẳn là nhìn lầm rồi, người nọ hẳn không ở nơi này."

	Lâm Dược cũng ngẩng đầu nhìn một cái, ngay tức thì mí mắt không ngừng nhảy, tự mình lẩm bẩm.

	"Sư huynh? Cái gì người nọ?"

	Lâm Dược bên cạnh mấy vị nồng cốt không kiềm được hỏi một câu.

	"Không việc gì, người nọ phạm xuống lớn hơn, lúc này hẳn sẽ không nhanh như vậy trở lại, đi thôi, chúng ta lại xem, Vũ Đàm cũng vậy, thân vì đệ tử nòng cốt, cùng ngoại tông đệ tử so đo, bỗng dưng mất thân phận."

	Lâm Dược hướng về phía mấy người còn lại vừa nói.

	Đoàn người hướng xa xa Bắc Phong đoàn người đi tới.

	Nhiệm vụ trước cửa điện người trên quảng trường người đâu đi, vô cùng náo nhiệt, tự nhiên có người chú ý tới nơi này phát sinh mâu thuẫn, đã có không ít người dừng chân ngừng lại.

	"Vũ Đàm sư huynh kêu ngươi sư đệ có lỗi gì sao?"

	"Đúng vậy, không biết trời cao đất rộng."

	"Lại là một cái dựa vào mình tuổi còn trẻ cho rằng mình chính là trời kiêu người."

	Lúc này Chu Dịch mang tới mấy người rối rít mở miệng.Chương 868: Ngươi kêu ta sư đệ? 
 Converter Dzung Kiều cầu khen thưởng 

	Bắc Phong cả người đều là truyền tới từng trận ấm áp, giống như ngâm ở nước suối trong vậy.

	Từng luồng long mạch khí tràn vào Bắc Phong trong cơ thể, để cho Bắc Phong cả người tế bào đều ở đây miệng to nuốt.

	Từng tia tinh thuần vô cùng khí huyết từ Bắc Phong cả người trên dưới mỗi một viên tế bào chỗ sâu xông ra, rồi sau đó hội tụ đến Bắc Phong đỉnh đầu.

	Cái này từng luồng khí huyết chất lượng vô cùng kinh khủng, mang một cổ trấn áp vạn cổ Bất Hủ hơi thở.

	Thần uy như ngục!

	Cứ việc số lượng vô cùng thưa thớt, có thể ẩn chứa trong đó lực lượng tầng thứ nhưng là cực cao!

	Toàn thân cao thấp xông ra cái này từng tia huyết dịch chính là bên trong thân thể bổn nguyên nhất huyết mạch!

	Từng tia hội tụ đến Bắc Phong đỉnh đầu trong, tràn vào da đầu bề ngoài lượng viên trống nhỏ túi trong để dành.

	"Long mạch khí lại còn có như vậy tác dụng, đáng tiếc số lượng quá thiếu, thời gian rất dài mới có thể ngưng tụ ra một giọt máu."

	Bắc Phong tính toán một chút, dựa theo như vậy trình độ, sợ rằng mấy năm thời gian mới có thể ngưng tụ ra một giọt phản tổ huyết dịch.

	Còn như nói mượn con rồng này mạch tán tràn ra long mạch khí để cho Bắc Phong hoàn thành phản tổ càng là không thể nào chuyện.

	Bắc Phong cũng không có để ở trong lòng, cái này ngưng tụ tốc độ quá chậm, đối với mình thực lực tăng lên có hạn.

	Nhưng thân ở với trong hoàn cảnh như vậy, để cho Bắc Phong cảm thấy thư thích, điểm này ngược lại không tệ.

	Đoàn người hướng cống hiến điện chạy tới, tốc độ không phải rất nhanh, cũng không có vội vội vàng vàng.

	Ngoại tông đệ tử có thể tại nội tông hàng năm có thể tới 3 lần, mỗi một cái nhiều nhất có thể đợi một tháng, là lấy không cần đuổi thời gian.

	Coi như một mực tại nội tông cũng không phải không được, rất đơn giản, chỉ muốn chọn trở thành một vị đệ tử nòng cốt người hầu là được.

	Nội tông trong hôm nay đệ tử nòng cốt hơn ngàn người, mà thường trú ngoại tông đệ tử đủ có mấy chục ngàn!

	Cái này mấy chục ngàn đệ tử đều là đệ tử nòng cốt người hầu, còn như lui tới nội tông đệ tử lại là đông đảo.

	Vạn Cổ thiên tông bên trong nhưng mà còn có nhiệm vụ điện, đệ tử nòng cốt số người chỉ có nhiều như vậy, tự nhiên không thể nào bao lãm nhiệm vụ điện tất cả nhiệm vụ.

	Mà nội tông nhiệm vụ trong điện nhiệm vụ so với ngoại tông nhiệm vụ điện nhiệm vụ thù lao hơn nữa phong phú, có thể giống nhau tính nguy hiểm cũng càng tăng cường!

	Lại là có rất nhiều ngoại tông chấp sự cùng với đại chấp sự mới có thể tiếp lấy nhiệm vụ!

	Đi cống hiến điện phải đi qua nhiệm vụ điện, lúc này Chu Dịch sững sốt một chút, rồi sau đó bước nhanh về phía trước, hướng về phía đoàn người thi lễ.

	"Gặp qua chư vị sư huynh, gặp qua Vũ Đàm sư huynh."

	Chu Dịch trong lòng có chút suy đoán bất an, đừng xem đang cùng mấy cái sư đệ sư muội trong thổi phồng mình cùng Vũ Đàm sư huynh là bạn tốt, nhưng thực cũng bất quá là gặp mấy lần mà thôi.

	Lúc này Chu Dịch không biết đối phương hay không còn biết mình.

	" Ừ, là Chu Dịch à, lần này tới nội tông có chuyện gì không?"

	Vũ Đàm vóc người có chút thấp bé, tướng mạo nhìn như có chút âm nhu, lúc này gật đầu một cái, suy nghĩ một hồi mới nhớ tới người trước mắt.

	Còn như mấy người còn lại, chẳng qua là nhìn Chu Dịch một cái liền quay đầu đi chỗ khác, tự mình trò chuyện với nhau.

	"Sư huynh, gặp phải một vị bên ngoài tông lúc làm quen đệ tử, chờ một chút."

	Vũ Đàm hướng về phía bên người một người áy náy cười một tiếng.

	"Không sao."

	Người nọ gật đầu một cái, không có lại để ý tới.

	"Vũ Đàm sư huynh, lần này tới nội tông chủ yếu là mang mấy vị sư đệ sư muội khai mở nhãn giới."

	"Các người còn chưa lên gặp qua Vũ Đàm sư huynh, Vũ Đàm sư huynh bên ngoài tông lúc cũng đã là thiên chi kiêu tử, hôm nay lại là một lần hành động thông qua thi đấu, đứng hàng đệ tử nòng cốt."

	Chu Dịch có chút kích động, không nghĩ tới đối phương còn nhớ mình, rồi sau đó hướng về phía mấy cái sư đệ sư muội vừa nói.

	"Gặp qua Vũ Đàm sư huynh."

	Chu Dịch mấy người sau lưng đàng hoàng tiến lên làm lễ, có chút sợ hãi.

	"Ai? Người đó? Còn không qua đây gặp qua Vũ Đàm sư huynh, phải biết Vũ Đàm sư huynh nhưng mà đệ tử nòng cốt, thực lực cường đại, tùy ý chỉ điểm hai ngươi chiêu cũng đủ ngươi hưởng thụ!"

	Chu Dịch tâm tình không tệ, lần này trở về ngoại môn mình lại có khoác lác.

	Mà nhìn cùng mình một đường đồng hành mà đến Bắc Phong tự mình về phía trước đi tới, Chu Dịch chính là sững sốt một chút, rồi sau đó vội vàng gọi lại Bắc Phong.

	"Ngươi kêu ta?"

	Bắc Phong thần sắc có chút quái dị, ngừng bước chân, người này thật đúng là phiền à, mình cũng đi ra ngoài chừng mười bước, lại còn bị gọi lại.

	"Dĩ nhiên, không phải sư huynh ta nói ngươi, tôn trọng tối thiểu sư huynh phải có chứ ? Còn chưa tới mau tới đây."

	Chu Dịch một bộ qua người tới hình dáng hướng về phía Bắc Phong giảng đạo trước.

	"Không thú vị."

	Bắc Phong phất phất tay, cũng không quay đầu lại rời đi.

	"Đứng lại! Ngươi đây là thái độ gì!"

	Chu Dịch gặp Bắc Phong không chút do dự rời đi, trên mặt có chút không nén giận được.

	Mặc dù mấy vị sư đệ sư muội cùng Vũ Đàm cũng không có lộ xảy ra cái gì vẻ kinh dị, nhưng lúc này Chu Dịch nhưng cảm thấy mọi người nhìn về phía mình ánh mắt quái dị.

	Lập tức Chu Dịch hướng Bắc Phong rầy, thân thể xuất hiện ở Bắc Phong trước người.

	"Không biết sống chết, lui ra!"

	Bắc Phong nhướng mày một cái, hơi thở khổng lồ ngay tức thì phá thể ra.

	"Phốc!"

	Bắc Phong hôm nay cả người thực lực kinh khủng bực nào, mà Chu Dịch bất quá chẳng qua là vạn năm tôn đỉnh cấp, vẻn vẹn chỉ là cả người hơi thở sẽ để cho hắn bị thương nặng.

	"Ngươi!"

	Chu Dịch thân thể rơi xuống đất, nâng lên cánh tay chỉ Bắc Phong, há miệng một cái muốn nói điều gì, nhưng nhìn Bắc Phong con ngươi không khỏi trong lòng run lên.

	Đó là thế nào con ngươi à, bình tĩnh như nước, tràn đầy không thèm chú ý đến.

	"Ừ ?"

	Nơi này động tĩnh bị Vũ Đàm các người thấy được, Vũ Đàm nhướng mày một cái, sắc mặt khó chịu.

	Mà đi theo Chu Dịch tới trước mấy người chính là vội vả chạy tới, gặp Chu Dịch không có gì đáng ngại sau đó, rối rít mở miệng chỉ trích Bắc Phong.

	"Ngươi người này tại sao như vậy à, chu Dịch sư huynh một phen ý tốt ngươi không cảm kích thì thôi, lại còn động thủ đả thương chu Dịch sư huynh."

	Một nữ đệ tử hướng Bắc Phong làm khó dễ.

	"Đúng vậy, thật cho rằng mình không dậy nổi, liền tôn trọng cũng không biết."

	Còn lại mấy người cũng là rối rít mở miệng phụ họa.

	"Vị này sư đệ, ngươi quá phận, hướng Chu Dịch nói lời xin lỗi đi."

	Vũ Đàm mở miệng nói một câu, mình cùng Chu Dịch quen thuộc hơn, tự nhiên cũng hướng Chu Dịch, nói sau Vũ Đàm không có cho rằng Chu Dịch làm sai chỗ nào.

	"Ngươi kêu ta sư đệ?"

	Bắc Phong thần sắc cổ quái, cười mỉa nhìn Vũ Đàm.

	"Chuyện gì xảy ra?"

	"Không biết, ngoại tông trong hàng đệ tử nổi lên điểm mâu thuẫn đi."

	Trước cùng Vũ Đàm ở chung với nhau mấy vị đệ tử nòng cốt cũng đưa ánh mắt nhìn về phía Bắc Phong đoàn người.

	"Ừ ? Chắc nhìn lầm rồi, hẳn là nhìn lầm rồi, người nọ hẳn không ở nơi này."

	Lâm Dược cũng ngẩng đầu nhìn một cái, ngay tức thì mí mắt không ngừng nhảy, tự mình lẩm bẩm.

	"Sư huynh? Cái gì người nọ?"

	Lâm Dược bên cạnh mấy vị nồng cốt không kiềm được hỏi một câu.

	"Không việc gì, người nọ phạm xuống lớn hơn, lúc này hẳn sẽ không nhanh như vậy trở lại, đi thôi, chúng ta lại xem, Vũ Đàm cũng vậy, thân vì đệ tử nòng cốt, cùng ngoại tông đệ tử so đo, bỗng dưng mất thân phận."

	Lâm Dược hướng về phía mấy người còn lại vừa nói.

	Đoàn người hướng xa xa Bắc Phong đoàn người đi tới.

	Nhiệm vụ trước cửa điện người trên quảng trường người đâu đi, vô cùng náo nhiệt, tự nhiên có người chú ý tới nơi này phát sinh mâu thuẫn, đã có không ít người dừng chân ngừng lại.

	"Vũ Đàm sư huynh kêu ngươi sư đệ có lỗi gì sao?"

	"Đúng vậy, không biết trời cao đất rộng."

	"Lại là một cái dựa vào mình tuổi còn trẻ cho rằng mình chính là trời kiêu người."

	Lúc này Chu Dịch mang tới mấy người rối rít mở miệng.
