Chương 98: Thiên tai nhân họa hồ! 
 Converter Dzung Kiều cầu khen thưởng 

	"Đông đông!"
	Chỉ còn lại trống rỗng lưỡi câu thỏng xuống, vừa vặn móc vào Hồ Hán Dân giấu ở sau lưng tay!

	"Trời ạ! Câu được người làm thế nào?"

	Bắc Phong sững sốt một chút, dựa theo kinh nghiệm của dĩ vãng tới xem, chỉ có 2 cái phương pháp mới có thể thoát khỏi lưỡi câu, phương pháp thứ nhất là lực lượng cũng khá lớn!

	Phương pháp thứ hai cho mình đem thả câu đến vật phẩm kéo lên, sau đó mình gỡ xuống lưỡi câu.

	"Chẳng lẽ ta phải đem hàng này câu được tới, sau đó sẽ một cước đá hồi dị thế giới?"

	Bắc Phong khổ não suy nghĩ, tốt như vậy có chết hay không liền câu người ở đâu ?

	"Loảng xoảng!"

	"Tê! Thật là đau!"

	Hồ Hán Dân đã chạm tới hồ ly nhỏ lông, đột nhiên cảm giác trên cổ tay giống như là bị cái gì đinh một cái vậy, ngay tức thì cầm không vững thái đao, rơi xuống đất phát ra một hồi tiếng vang.

	Không có ai phát hiện là, một đạo quỷ dị ánh sáng màu đen từ hồ ly nhỏ da lông ở trên truyền đến Hồ Hán Dân ngón tay trong.

	Hồ ly nhỏ sững sốt một chút, sau đó liền chạy về một hướng khác.

	"Đáng chết, con cá này câu cùng dây câu là từ đâu ra?"

	Hồ Hán Dân nhìn câu vào cổ tay lưỡi câu, hùng hùng hổ hổ đem lưỡi câu lấy xuống, ném ở một bên.

	Bắc Phong có thể thấy rõ ràng lấy lưỡi câu làm trung tâm, chu vi 5m cảnh tượng, tự nhiên thấy được Hồ Hán Dân lại có thể hoàn toàn không chịu lưỡi câu thần kỳ lực lượng áp chế, lại có thể hoạt động tự nhiên, hơn nữa còn đem lưỡi câu lấy xuống!

	"Chuyện gì xảy ra? ! Người này chính là một người bình thường mà thôi, làm sao có thể tránh thoát lưỡi câu trói buộc? !"

	Bắc Phong lộp bộp tự nói, không nghĩ ra.

	Liền liền biến dị đại nghê khổng lồ như vậy dáng người, bị lưỡi câu câu lên cũng chỉ có bó tay chịu trói, người này lại có thể không bị ảnh hưởng chút nào!

	Phòng bếp cứ như vậy lớn, Hồ Hán Dân lúc đi vào lại đóng kỹ cửa lại, cửa sổ trên mái nhà lại quá cao, hồ ly nhỏ cũng chẳng qua là từ một chỗ chạy đến một địa phương khác ngây ngô.

	Hồ Hán Dân trong phòng bếp thật để cho con chuột nhìn đều phải rơi lệ,

	Trừ một cái hũ gạo, một đống củi đốt ra, cũng chưa có cái gì khác, hồ ly nhỏ liền núp ở hũ gạo phía sau.

	Hồ Hán Dân ném đi lưỡi câu, liền muốn đi bắt ở hồ ly nhỏ, nhưng mới vừa một bước đi ra, Hồ Hán Dân cũng cảm giác choáng váng đầu ánh mắt, "Trời ạ! Lưỡi câu trên có độc!"

	"Ùm!"

	Hồ Hán Dân nói xong cũng ngã trên đất, bất tỉnh nhân sự.

	Nhưng là một điểm cuối cùng khói mê hồn đã ở bên trong phòng bếp khuếch tán ra, không chỉ có Hồ Hán Dân, liền liền hồ ly nhỏ cũng không thể may mắn tránh khỏi, cũng ngủ thật say, nhưng hai móng thiếu ước chừng ôm một viên trái cây không buông ra.

	Nhìn để cho con chuột cũng có thể rơi lệ phòng bếp, Bắc Phong lộp bộp lẩm bẩm, "3 ngày có thể thả câu một lần, không thể tay không mà về à, thôi, chính là ngươi!"

	Bắc Phong tới lui cần câu, dị thế giới lưỡi câu cũng đi theo đung đưa, sau đó móc vào hồ ly nhỏ lỗ tai, bay lên không!

	Hồ Hán Dân nhà cách vách, một đứa nhỏ đang bên cạnh đống lửa chơi đùa, mong đợi nhìn mình nướng thức ăn.

	Một trận gió thổi tới, mấy giờ sao hoả bị mang bồng bềnh rời đi, theo Hồ Hán Dân phòng bếp cửa sổ trên mái nhà rớt xuống.

	Tốt có chết hay không vừa vặn rơi vào củi chất trong, tí ti cọng luồng khói xanh từ từ dâng lên.

	Chỉ chốc lát liền bốc cháy, bằng gỗ nhà trở thành tốt nhất nhiên liệu, chỉ chốc lát ánh lửa đại thịnh, cách thật xa cũng có thể thấy được!

	Trong chốc lát trong thôn vội vàng chạy tới cứu hỏa, ngắn ngủi nửa giờ, thế lửa bị dập tắt, nhưng Hồ Hán Dân nhà đã hóa thành một mảnh phế tích.

	Một người đánh bạo đi vào trong đó, không tới 2 phút lập tức vọt ra, dùng sức nôn mửa.

	Hồ Hán Dân di thể bị phát hiện, đã bị đốt khuôn mặt khác hoàn toàn, phòng bếp vị trí tản ra từng tia quái dị mùi thịt.

	Bắc Phong câu được liền hồ ly nhỏ, nhìn vậy xinh xắn nhanh nhẹn thân thể, bóng loáng tựa như tơ lụa da lông, cũng là yêu thích không buông tay phủ sờ soạng một cái.

	"Đinh! Thả câu đến vật phẩm cấp 5, thiên tai nhân họa hồ! (thiên tính thuần lương, có ân phải trả, hiểu tính người, có rất mạnh bắt chước năng lực, quỷ dị nhất hồ ly, có năng lực không thể tưởng tượng nổi, có thể nói là mạnh nhất, cũng có thể nói là yếu nhất yêu thú, mạnh nhất có thể khắc chết thần thú, yếu nhất có thể bị người bình thường giết chết!

	Năng lực phân vì 3 loại, thứ một loại năng lực, nhân họa!

	Loại thứ hai năng lực, thiên tai!

	Loại thứ 3 năng lực, thiên tai nhân họa!

	Năng lực phát động phương thức, thông tiếp xúc qua phát động! )

	Thả câu kinh nghiệm gia tăng 26,600! Khoảng cách thăng cấp người thả câu cấp 3 còn thiếu bảy chục ngàn lẻ ba trăm trị giá kinh nghiệm!"

	"Đinh! Thả câu đến vật phẩm cấp 1, gạo Bạch giang! (gạo linh một loại, vô cùng thiếu tỷ lệ có thể biến dị, ba tháng một thành quen thuộc, ẩn chứa một tia yếu ớt thiên địa linh khí, dùng lâu dài có thể cường thân kiện thể, kéo dài tuổi thọ! )

	Thả câu kinh nghiệm gia tăng ba trăm! Khoảng cách thăng cấp người thả câu cấp 3 còn thiếu bảy chục ngàn trị giá kinh nghiệm!"

	Bắc Phong sững sốt một chút, sau đó chính là mừng như điên, cái này nhìn như tầm thường hồ ly nhỏ lại còn là yêu thú cấp 5! Hơn nữa trọng yếu nhất chính là tiểu hồ ly này còn không có yêu thú cấp 5 hung mãnh, mình không cần lo lắng không chế phục được nó, còn vì mình cung cấp nhiều như vậy kinh nghiệm!

	Đột nhiên Bắc Phong sắc mặt đại biến, giống như thấy quỷ vậy, quanh thân tóc gáy dựng lên, "Trời ạ, chẳng lẽ ta cũng trúng chiêu chứ ? !"Chương 98: Thiên tai nhân họa hồ! 
 Converter Dzung Kiều cầu khen thưởng 

	"Đông đông!"

	Bên trong phòng bếp truyền ra một hồi thanh âm, để cho đi tới cửa Hồ Hán Dân vui mừng thầm nói, "Có triển vọng!"

	Nhẹ nhàng đẩy ra khép hờ cửa phòng bếp, Hồ Hán Dân lời kịch cũng nghĩ xong, nhưng trước mắt một màn này lại để cho Hồ Hán Dân trợn tròn mắt.

	"Cái này đặc biệt nói xong hồ ly tinh, nói xong người đẹp đâu ?"

	Hồ Hán Dân cảm giác mình bị lừa, phòng bếp này bên trong nào có cái gì hồ ly tinh? Hồ ly nhỏ ngược lại là có một cái.

	Hồ ly nhỏ giống như là đột nhiên nhô ra người hù dọa, co rúc ở góc tường, run lẩy bẩy.

	Hồ Hán Dân đem bếp cửa phòng đóng lại, đi tới trước lò bếp, nhìn trên tấm thớt để chừng mười viên lớn chừng quả trứng gà trái cây, trong đó một viên trái cây đã chia làm hai nửa, một ít chừng hạt gạo thịt quả bắn rơi vào trên tấm thớt, nhìn thật giống như là từng viên gạo vậy.

	"Chẳng lẽ cái này liền là mỗi sáng sớm ta uống cháo?"

	Hồ Hán Dân có chút ngạc nhiên, mình tại sao cho tới bây giờ không có gặp qua loại trái này.

	"Bóch!"

	Hồ Hán Dân nhặt lên một viên gạo giống vậy thịt quả, bỏ vào trong miệng cắn bể.

	Một cổ nồng nặc mùi thơm liền truyền ra, mặc dù bây giờ vẫn là lạnh, nhưng mùi vị cùng mình trước kia uống cháo không sai biệt lắm!

	" Được rồi, hồ ly tinh không vui, nhưng loại trái này hẳn có thể bán nhiều tiền! Còn có tiểu hồ ly này da lông cũng không tệ, trong thành người quý phụ khẳng định không luyến tiếc bỏ ra số tiền lớn!

	Vận khí tốt, nói không chừng cái này bán ra tiền đã đủ ta mua một người vợ."

	Hồ Hán Dân lộp bộp tự nói, sau đó món ăn đao đừng ở sau lưng, cười híp mắt nhìn góc hồ ly nhỏ.

	"Hồ ly nhỏ à hồ ly nhỏ, nếu ta cứu ngươi một mạng, vậy bây giờ liền nên là ngươi báo ân lúc, mượn ngươi cả người da dùng một chút!"

	Hồ Hán Dân giơ đao, từng bước một hướng hồ ly nhỏ đến gần.

	Hồ ly nhỏ cũng giống là bị sợ choáng váng, trong tay ôm một viên trái cây không dám nhúc nhích.

	Đang lúc ấy thì, một đạo dây câu từ trên trời hạ xuống, trực tiếp từ phòng bếp cửa sổ trên mái nhà rớt đi vào, một cổ màu xanh nhạt khói mù tràn ngập ở trong phòng bếp, khói mê hồn hoàn toàn cháy hết.

	Chỉ còn lại trống rỗng lưỡi câu thỏng xuống, vừa vặn móc vào Hồ Hán Dân giấu ở sau lưng tay!

	"Trời ạ! Câu được người làm thế nào?"

	Bắc Phong sững sốt một chút, dựa theo kinh nghiệm của dĩ vãng tới xem, chỉ có 2 cái phương pháp mới có thể thoát khỏi lưỡi câu, phương pháp thứ nhất là lực lượng cũng khá lớn!

	Phương pháp thứ hai cho mình đem thả câu đến vật phẩm kéo lên, sau đó mình gỡ xuống lưỡi câu.

	"Chẳng lẽ ta phải đem hàng này câu được tới, sau đó sẽ một cước đá hồi dị thế giới?"

	Bắc Phong khổ não suy nghĩ, tốt như vậy có chết hay không liền câu người ở đâu ?

	"Loảng xoảng!"

	"Tê! Thật là đau!"

	Hồ Hán Dân đã chạm tới hồ ly nhỏ lông, đột nhiên cảm giác trên cổ tay giống như là bị cái gì đinh một cái vậy, ngay tức thì cầm không vững thái đao, rơi xuống đất phát ra một hồi tiếng vang.

	Không có ai phát hiện là, một đạo quỷ dị ánh sáng màu đen từ hồ ly nhỏ da lông ở trên truyền đến Hồ Hán Dân ngón tay trong.

	Hồ ly nhỏ sững sốt một chút, sau đó liền chạy về một hướng khác.

	"Đáng chết, con cá này câu cùng dây câu là từ đâu ra?"

	Hồ Hán Dân nhìn câu vào cổ tay lưỡi câu, hùng hùng hổ hổ đem lưỡi câu lấy xuống, ném ở một bên.

	Bắc Phong có thể thấy rõ ràng lấy lưỡi câu làm trung tâm, chu vi 5m cảnh tượng, tự nhiên thấy được Hồ Hán Dân lại có thể hoàn toàn không chịu lưỡi câu thần kỳ lực lượng áp chế, lại có thể hoạt động tự nhiên, hơn nữa còn đem lưỡi câu lấy xuống!

	"Chuyện gì xảy ra? ! Người này chính là một người bình thường mà thôi, làm sao có thể tránh thoát lưỡi câu trói buộc? !"

	Bắc Phong lộp bộp tự nói, không nghĩ ra.

	Liền liền biến dị đại nghê khổng lồ như vậy dáng người, bị lưỡi câu câu lên cũng chỉ có bó tay chịu trói, người này lại có thể không bị ảnh hưởng chút nào!

	Phòng bếp cứ như vậy lớn, Hồ Hán Dân lúc đi vào lại đóng kỹ cửa lại, cửa sổ trên mái nhà lại quá cao, hồ ly nhỏ cũng chẳng qua là từ một chỗ chạy đến một địa phương khác ngây ngô.

	Hồ Hán Dân trong phòng bếp thật để cho con chuột nhìn đều phải rơi lệ,

	Trừ một cái hũ gạo, một đống củi đốt ra, cũng chưa có cái gì khác, hồ ly nhỏ liền núp ở hũ gạo phía sau.

	Hồ Hán Dân ném đi lưỡi câu, liền muốn đi bắt ở hồ ly nhỏ, nhưng mới vừa một bước đi ra, Hồ Hán Dân cũng cảm giác choáng váng đầu ánh mắt, "Trời ạ! Lưỡi câu trên có độc!"

	"Ùm!"

	Hồ Hán Dân nói xong cũng ngã trên đất, bất tỉnh nhân sự.

	Nhưng là một điểm cuối cùng khói mê hồn đã ở bên trong phòng bếp khuếch tán ra, không chỉ có Hồ Hán Dân, liền liền hồ ly nhỏ cũng không thể may mắn tránh khỏi, cũng ngủ thật say, nhưng hai móng thiếu ước chừng ôm một viên trái cây không buông ra.

	Nhìn để cho con chuột cũng có thể rơi lệ phòng bếp, Bắc Phong lộp bộp lẩm bẩm, "3 ngày có thể thả câu một lần, không thể tay không mà về à, thôi, chính là ngươi!"

	Bắc Phong tới lui cần câu, dị thế giới lưỡi câu cũng đi theo đung đưa, sau đó móc vào hồ ly nhỏ lỗ tai, bay lên không!

	Hồ Hán Dân nhà cách vách, một đứa nhỏ đang bên cạnh đống lửa chơi đùa, mong đợi nhìn mình nướng thức ăn.

	Một trận gió thổi tới, mấy giờ sao hoả bị mang bồng bềnh rời đi, theo Hồ Hán Dân phòng bếp cửa sổ trên mái nhà rớt xuống.

	Tốt có chết hay không vừa vặn rơi vào củi chất trong, tí ti cọng luồng khói xanh từ từ dâng lên.

	Chỉ chốc lát liền bốc cháy, bằng gỗ nhà trở thành tốt nhất nhiên liệu, chỉ chốc lát ánh lửa đại thịnh, cách thật xa cũng có thể thấy được!

	Trong chốc lát trong thôn vội vàng chạy tới cứu hỏa, ngắn ngủi nửa giờ, thế lửa bị dập tắt, nhưng Hồ Hán Dân nhà đã hóa thành một mảnh phế tích.

	Một người đánh bạo đi vào trong đó, không tới 2 phút lập tức vọt ra, dùng sức nôn mửa.

	Hồ Hán Dân di thể bị phát hiện, đã bị đốt khuôn mặt khác hoàn toàn, phòng bếp vị trí tản ra từng tia quái dị mùi thịt.

	Bắc Phong câu được liền hồ ly nhỏ, nhìn vậy xinh xắn nhanh nhẹn thân thể, bóng loáng tựa như tơ lụa da lông, cũng là yêu thích không buông tay phủ sờ soạng một cái.

	"Đinh! Thả câu đến vật phẩm cấp 5, thiên tai nhân họa hồ! (thiên tính thuần lương, có ân phải trả, hiểu tính người, có rất mạnh bắt chước năng lực, quỷ dị nhất hồ ly, có năng lực không thể tưởng tượng nổi, có thể nói là mạnh nhất, cũng có thể nói là yếu nhất yêu thú, mạnh nhất có thể khắc chết thần thú, yếu nhất có thể bị người bình thường giết chết!

	Năng lực phân vì 3 loại, thứ một loại năng lực, nhân họa!

	Loại thứ hai năng lực, thiên tai!

	Loại thứ 3 năng lực, thiên tai nhân họa!

	Năng lực phát động phương thức, thông tiếp xúc qua phát động! )

	Thả câu kinh nghiệm gia tăng 26,600! Khoảng cách thăng cấp người thả câu cấp 3 còn thiếu bảy chục ngàn lẻ ba trăm trị giá kinh nghiệm!"

	"Đinh! Thả câu đến vật phẩm cấp 1, gạo Bạch giang! (gạo linh một loại, vô cùng thiếu tỷ lệ có thể biến dị, ba tháng một thành quen thuộc, ẩn chứa một tia yếu ớt thiên địa linh khí, dùng lâu dài có thể cường thân kiện thể, kéo dài tuổi thọ! )

	Thả câu kinh nghiệm gia tăng ba trăm! Khoảng cách thăng cấp người thả câu cấp 3 còn thiếu bảy chục ngàn trị giá kinh nghiệm!"

	Bắc Phong sững sốt một chút, sau đó chính là mừng như điên, cái này nhìn như tầm thường hồ ly nhỏ lại còn là yêu thú cấp 5! Hơn nữa trọng yếu nhất chính là tiểu hồ ly này còn không có yêu thú cấp 5 hung mãnh, mình không cần lo lắng không chế phục được nó, còn vì mình cung cấp nhiều như vậy kinh nghiệm!

	Đột nhiên Bắc Phong sắc mặt đại biến, giống như thấy quỷ vậy, quanh thân tóc gáy dựng lên, "Trời ạ, chẳng lẽ ta cũng trúng chiêu chứ ? !"
