Chương 75: Mỹ Sinh Hoa khiếp sợ! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Đồ đằng xuất hiện, để cho cổ nguyên giới người trên tộc có lực phản kháng.
	Thời gian vừa quá, tự thân sẽ lâm vào yếu ớt, nếu là cưỡng ép cử động nữa dùng một chút đi, tự thân cũng biết bị hút khô.

	Mỹ Sinh Hoa đưa tay một chiêu, vờn quanh ở bên cạnh viên luân nhất thời ông ông tác hưởng, cắt ra không gian, hướng Chu Hà rơi xuống!

	"Ta cho dù chết, cũng sẽ không để cho ngươi khỏe qua!"

	Chu Hà cũng là một cái người tàn nhẫn, ở viên luân gào thét tới, đột nhiên một chút ấn đường!

	"Tê!"

	Ba Xà đồ đằng lần nữa hiện lên, bất đồng chính là giờ khắc này toàn bộ hóa là màu đỏ như máu, lân mảnh cùng không gian va chạm, đem không gian cắt đi ra từng luồng kẽ hở!

	"Keng!"

	Ở Chu Hà chuẩn bị liều mạng, một bóng người xuất hiện ở Chu Hà trước người, chặn lại Mỹ Sinh Hoa một kích này!

	"Phốc!"

	Bóng người ngăn trở một kích này, thân thể bị một cổ to lớn lực đạo đánh bay ra ngoài, dưới chân ở trên vùng đất cày ra tới một cái thật sâu rãnh!

	"Người này ta muốn, vừa vặn bên người thiếu một cái sai sử."

	Bắc Phong cau mày, nhìn mình trên cánh xuất hiện vết thương, ngẩng đầu nhìn về phía trời cao, trong trẻo lạnh lùng thanh âm vang lên.

	"Ô Mộc Hằng? Không thể nào, Ô Mộc Hằng làm sao biết như thế mạnh!"

	Mỹ Sinh Hoa giận dữ, nhưng thấy rõ bóng người sau đó, cả người đều là rơi vào đờ đẫn.

	"Đây là nhà ta tiểu thư sự việc, không tới phiên ngươi tới nhúng tay!"

	Lão bộc người bộ mặt tức giận, đứng dậy, hơi thở hướng Bắc Phong đè xuống.

	Bắc Phong đều là ngẩn ngơ, trong ánh mắt mang mê muội, lão này sợ không phải một người ngu chứ ?

	"Im miệng!"

	"Tiểu thư. . ."

	"Phốc!"

	Mỹ Sinh Hoa thần sắc phức tạp nhìn về phía Bắc Phong, hướng lão bộc rầy, lão bộc há miệng, còn muốn nói gì, nhưng trực tiếp bị Mỹ Sinh Hoa một đạo kình lực bị thương nặng, lúc này không dám nói nữa tiếng nói.

	"Ta là thật không có nghĩ đến, ngoại giới tin đồn là phế vật, huyết mạch xung đột Ô Mộc Hằng lại có thể ẩn núp sâu như vậy."

	Mỹ Sinh Hoa hít sâu một hơi, chậm rãi mở miệng.

	"Không có biện pháp, Ô gia tình huống ngươi hẳn so ta rõ ràng hơn, muốn còn sống, tự nhiên cần phải giấu giếm."

	Bắc Phong cười một tiếng, cho ra một cái giải thích.

	Đồng thời trong lòng nhảy lên, trong lơ đãng liếc về hướng thương đội trong.

	"Không biết là cái gì, lại có thể đưa tới ta có linh cảm, tuyệt đối là trọng bảo, chẳng qua là thực lực bây giờ còn chưa đủ để, đáng tiếc, nếu không nơi nào cần nói nhảm nhiều như vậy, trực tiếp đem đám này Dực tộc giết đoạt lại."

	Bắc Phong cúi thấp đầu lô, lặng lẽ suy nghĩ.

	"Chuyện hôm nay, đến đây chấm dứt, chúng ta đi!"

	Thật sâu nhìn Bắc Phong một cái, Mỹ Sinh Hoa trở lại thương đội, rồi sau đó đi xa.

	"Nguyên lai chỉ có ta mới là nhất ngu cái đó, lực lượng, duy có lực lượng mới có thể tránh thoát gông xiềng, quyết định người mình sinh!"

	Bắc Phong mang cho Mỹ Sinh Hoa vô tận rung động, đây là đáng sợ dường nào tâm cơ, ẩn núp nhiều năm như vậy.

	Tất cả mọi người, thậm chí bao gồm mình ở bên trong, đều bị ẩn giấu đi!

	Mai kia triển lộ ra thực lực, để cho Mỹ Sinh Hoa chấn động!

	Mỹ Sinh Hoa trong lòng dâng lên dã tâm, đối với thực lực trước đó chưa từng có khát vọng!

	Làm Mỹ Sinh Hoa đoàn người sau khi rời đi, Bắc Phong cũng là phun ra một ngụm máu tươi, đặt mông ngồi dưới đất.

	Không có cách nào, cổ thân thể này thực lực vẫn là quá kém.

	Cấp hai huyết mạch, để cho Bắc Phong có thể phát huy ra bất diệt cảnh thực lực, nhưng chống cự hạ Mỹ Sinh Hoa một kích, vẫn là đem hết toàn lực!

	Cái này còn là bởi vì là Bắc Phong bản thể chính là cảnh giới thánh nhân, lại là nắm trong tay mười mấy cái đại đạo lực, lúc này mới có thể biết rõ một kích này nhược điểm!

	Đổi thành một cái bình thường thực lực bất diệt cảnh võ giả, mới vừa rồi một kích kia hạ hẳn phải chết không thể nghi ngờ!

	"Người chi anh hùng ta thù khấu, có thể chặn một kích này, ngươi thực lực rất mạnh, tương lai chưa chắc không thể thành thánh làm tổ, mặc dù rất cảm kích ngươi cứu ta một mạng, nhưng là bây giờ ai tới cứu ngươi?"

	Một bên thanh âm sâu kín vang lên, Chu Hà thần sắc phức tạp nhìn về phía Bắc Phong, trên thân thể một cái Ba Xà quấn quanh, một viên Ba Xà đầu lâu từ Chu Hà cổ bên chui ra, phụt ra phụt vô hạnh tử, là máu nhìn về phía Bắc Phong.

	Chu Hà lúc này đều có chút chưa tỉnh hồn lại, đây là tình huống gì?

	Vốn lấy là ngày hôm nay mình hẳn phải chết không thể nghi ngờ, kết quả không nghĩ tới nhưng là bị một cái Dực tộc cứu một mạng, mỹ nhà người phụ nữ kia vậy đi.

	Chỉ để lại mình cùng người bị thương nặng một vị Dực tộc?

	Chu Hà đối với cái này một vị Dực tộc tràn đầy cảm kích, hồi báo phương pháp chính là chuẩn bị đưa cái này một tôn Dực tộc xuống địa ngục!

	Như vậy thiên tài lớn lên, đối với tộc người mà nói là tai nạn!Chương 75: Mỹ Sinh Hoa khiếp sợ! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Đồ đằng xuất hiện, để cho cổ nguyên giới người trên tộc có lực phản kháng.

	Cứ việc vẫn như cũ là chỉ có thể núp ở u ám trong xó xỉnh, nhưng lại có một đường sinh cơ!

	Chu Hà, Ba Xà nhất mạch người thừa kế, lấy toàn bộ Ba Xà nhất tộc khí vận, đúc ra đồ đằng!

	Để cho Chu Hà ở ngắn ngủi mấy trăm năm trong tu hành tới không xấu xa cảnh đỉnh cấp, lại là bởi vì là có đồ đằng lực, để cho thực lực so với một ít đại năng giả mạnh hơn!

	"Lòng tham không đáy!"

	Chu Hà cảm giác được nguy cơ sinh tử, không chút do dự mưu đồ đằng lực thêm thân, đột nhiên hóa là một đầu Ba Xà, ngửa mặt lên trời một nuốt!

	"Rắc rắc!"

	Không gian ở Ba Xà chi tương hạ phá tổn, đáng sợ hút kéo lực để cho thương đội ở giữa hộ vệ không khỏi mình rơi vào Ba Xà trong miệng, trực tiếp bị mất đi!

	Một đám đi theo Chu Hà mà đến trộm cướp cũng là kinh nghi bất định, nhìn về phía Chu Hà trong ánh mắt tràn đầy ác ý!

	Bỏ mặc Chu Hà đối với những thứ này dưới quyền như thế nào, lúc trước không có bại lộ, những thứ này dưới quyền đều là trung thành có bảo đảm, cho dù là gặp phải đồng tộc, giết cũng là không chút do dự.

	Nhưng bây giờ Chu Hà bộc lộ ra tàn dư thân phận, nhất thời để cho những thứ này dưới quyền xao động lên!

	Đối với Dực tộc mà nói, đối với loài người căm ghét chính là vẫy không ra, hai người bây giờ có sống chết thù!

	Năm đó Dực tộc hạ xuống, cùng cổ nguyên giới lên dĩ nhiên tộc người đại chiến.

	Không chỉ là tộc người cường giả bị chém chết không còn một mống, Dực tộc vậy không tốt hơn chỗ nào!

	Trước dực tộc nhân khẩu có chừng trăm tỉ, nhưng một trận sau đại chiến, cứ việc đánh tan tộc người, nhưng Dực tộc cũng là tổn thương nguyên khí nặng nề, chết hơn một nửa!

	Từ Dực tộc ra đời bắt đầu, trong nhà trưởng bối dạy dỗ, hoặc là hoàn cảnh chung quanh ảnh hưởng, cũng để cho những thứ này Dực tộc đối với tộc người tràn đầy căm thù.

	Bây giờ những thứ này trộm cướp nhưng biết mình một mực ở là một cái hèn hạ tộc người dốc sức, nhất thời cảm giác được giận dữ!

	"Giết hắn!"

	"Đánh chết hắn!"

	Một đám trộm cướp gào khóc, mấy ngàn Dực tộc hướng Chu Hà vọt tới.

	"Không biết tự lượng sức mình, thật là một đám phế vật, đàng hoàng làm không biết không được sao?"

	Chu Hà hóa thân Ba Xà mang hung ác, cái đuôi ngay tức thì hoa phá hư không, ầm ầm rơi xuống!

	Một đám trộm cướp chết thảm trọng, còn dư lại trộm cướp tỉnh hồn lại, vội vàng hướng núi rừng bên trong bỏ chạy.

	"Keng!"

	Những thứ này trộm cướp vẫn là kềm chế Chu Hà trong nháy mắt, để cho Mỹ Sinh Hoa nắm lấy cơ hội, một chiêu đem Chu Hà bị thương nặng!

	Đối với cánh ở Mỹ Sinh Hoa sau lưng mở rộng đi ra, vô cùng vô tận sương máu tràn ngập, thổi phồng nửa bầu trời!

	Giờ khắc này Mỹ Sinh Hoa như thần nữ xuống trần, cao quý, lạnh lùng, một lời nhưng quyết sống chết!

	"Buông ra tinh thần, để cho ta trồng con dấu, thành là ta nô lệ, ta có thể tha cho ngươi một mạng!"

	Mỹ Sinh Hoa thanh âm từ bầu trời truyền tới, như thần dụ vậy không cho phép nghi ngờ.

	Mỹ Sinh Hoa nhếch miệng lên, loại này lực lượng thật là đẹp hay, thật là mạnh mẽ!

	"Xí, ta chính là chết trận, cũng không biết vứt tổ tiên vinh quang!"

	Chu Hà đập xuống ở trên vùng đất, phun nhả máu loãng, mặt coi thường.

	"Vậy ngươi đi ngay chết đi!"

	Mỹ Sinh Hoa không có nói nhiều, cái này thánh người thủ đoạn cứ để cho mình giờ phút này thực lực chợt tăng, nhưng vậy không phải là không có hạn chế.

	Thời gian vừa quá, tự thân sẽ lâm vào yếu ớt, nếu là cưỡng ép cử động nữa dùng một chút đi, tự thân cũng biết bị hút khô.

	Mỹ Sinh Hoa đưa tay một chiêu, vờn quanh ở bên cạnh viên luân nhất thời ông ông tác hưởng, cắt ra không gian, hướng Chu Hà rơi xuống!

	"Ta cho dù chết, cũng sẽ không để cho ngươi khỏe qua!"

	Chu Hà cũng là một cái người tàn nhẫn, ở viên luân gào thét tới, đột nhiên một chút ấn đường!

	"Tê!"

	Ba Xà đồ đằng lần nữa hiện lên, bất đồng chính là giờ khắc này toàn bộ hóa là màu đỏ như máu, lân mảnh cùng không gian va chạm, đem không gian cắt đi ra từng luồng kẽ hở!

	"Keng!"

	Ở Chu Hà chuẩn bị liều mạng, một bóng người xuất hiện ở Chu Hà trước người, chặn lại Mỹ Sinh Hoa một kích này!

	"Phốc!"

	Bóng người ngăn trở một kích này, thân thể bị một cổ to lớn lực đạo đánh bay ra ngoài, dưới chân ở trên vùng đất cày ra tới một cái thật sâu rãnh!

	"Người này ta muốn, vừa vặn bên người thiếu một cái sai sử."

	Bắc Phong cau mày, nhìn mình trên cánh xuất hiện vết thương, ngẩng đầu nhìn về phía trời cao, trong trẻo lạnh lùng thanh âm vang lên.

	"Ô Mộc Hằng? Không thể nào, Ô Mộc Hằng làm sao biết như thế mạnh!"

	Mỹ Sinh Hoa giận dữ, nhưng thấy rõ bóng người sau đó, cả người đều là rơi vào đờ đẫn.

	"Đây là nhà ta tiểu thư sự việc, không tới phiên ngươi tới nhúng tay!"

	Lão bộc người bộ mặt tức giận, đứng dậy, hơi thở hướng Bắc Phong đè xuống.

	Bắc Phong đều là ngẩn ngơ, trong ánh mắt mang mê muội, lão này sợ không phải một người ngu chứ ?

	"Im miệng!"

	"Tiểu thư. . ."

	"Phốc!"

	Mỹ Sinh Hoa thần sắc phức tạp nhìn về phía Bắc Phong, hướng lão bộc rầy, lão bộc há miệng, còn muốn nói gì, nhưng trực tiếp bị Mỹ Sinh Hoa một đạo kình lực bị thương nặng, lúc này không dám nói nữa tiếng nói.

	"Ta là thật không có nghĩ đến, ngoại giới tin đồn là phế vật, huyết mạch xung đột Ô Mộc Hằng lại có thể ẩn núp sâu như vậy."

	Mỹ Sinh Hoa hít sâu một hơi, chậm rãi mở miệng.

	"Không có biện pháp, Ô gia tình huống ngươi hẳn so ta rõ ràng hơn, muốn còn sống, tự nhiên cần phải giấu giếm."

	Bắc Phong cười một tiếng, cho ra một cái giải thích.

	Đồng thời trong lòng nhảy lên, trong lơ đãng liếc về hướng thương đội trong.

	"Không biết là cái gì, lại có thể đưa tới ta có linh cảm, tuyệt đối là trọng bảo, chẳng qua là thực lực bây giờ còn chưa đủ để, đáng tiếc, nếu không nơi nào cần nói nhảm nhiều như vậy, trực tiếp đem đám này Dực tộc giết đoạt lại."

	Bắc Phong cúi thấp đầu lô, lặng lẽ suy nghĩ.

	"Chuyện hôm nay, đến đây chấm dứt, chúng ta đi!"

	Thật sâu nhìn Bắc Phong một cái, Mỹ Sinh Hoa trở lại thương đội, rồi sau đó đi xa.

	"Nguyên lai chỉ có ta mới là nhất ngu cái đó, lực lượng, duy có lực lượng mới có thể tránh thoát gông xiềng, quyết định người mình sinh!"

	Bắc Phong mang cho Mỹ Sinh Hoa vô tận rung động, đây là đáng sợ dường nào tâm cơ, ẩn núp nhiều năm như vậy.

	Tất cả mọi người, thậm chí bao gồm mình ở bên trong, đều bị ẩn giấu đi!

	Mai kia triển lộ ra thực lực, để cho Mỹ Sinh Hoa chấn động!

	Mỹ Sinh Hoa trong lòng dâng lên dã tâm, đối với thực lực trước đó chưa từng có khát vọng!

	Làm Mỹ Sinh Hoa đoàn người sau khi rời đi, Bắc Phong cũng là phun ra một ngụm máu tươi, đặt mông ngồi dưới đất.

	Không có cách nào, cổ thân thể này thực lực vẫn là quá kém.

	Cấp hai huyết mạch, để cho Bắc Phong có thể phát huy ra bất diệt cảnh thực lực, nhưng chống cự hạ Mỹ Sinh Hoa một kích, vẫn là đem hết toàn lực!

	Cái này còn là bởi vì là Bắc Phong bản thể chính là cảnh giới thánh nhân, lại là nắm trong tay mười mấy cái đại đạo lực, lúc này mới có thể biết rõ một kích này nhược điểm!

	Đổi thành một cái bình thường thực lực bất diệt cảnh võ giả, mới vừa rồi một kích kia hạ hẳn phải chết không thể nghi ngờ!

	"Người chi anh hùng ta thù khấu, có thể chặn một kích này, ngươi thực lực rất mạnh, tương lai chưa chắc không thể thành thánh làm tổ, mặc dù rất cảm kích ngươi cứu ta một mạng, nhưng là bây giờ ai tới cứu ngươi?"

	Một bên thanh âm sâu kín vang lên, Chu Hà thần sắc phức tạp nhìn về phía Bắc Phong, trên thân thể một cái Ba Xà quấn quanh, một viên Ba Xà đầu lâu từ Chu Hà cổ bên chui ra, phụt ra phụt vô hạnh tử, là máu nhìn về phía Bắc Phong.

	Chu Hà lúc này đều có chút chưa tỉnh hồn lại, đây là tình huống gì?

	Vốn lấy là ngày hôm nay mình hẳn phải chết không thể nghi ngờ, kết quả không nghĩ tới nhưng là bị một cái Dực tộc cứu một mạng, mỹ nhà người phụ nữ kia vậy đi.

	Chỉ để lại mình cùng người bị thương nặng một vị Dực tộc?

	Chu Hà đối với cái này một vị Dực tộc tràn đầy cảm kích, hồi báo phương pháp chính là chuẩn bị đưa cái này một tôn Dực tộc xuống địa ngục!

	Như vậy thiên tài lớn lên, đối với tộc người mà nói là tai nạn!
