Chương 602: Tế bào trí nhớ! 
 converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Bắc Phong nhìn trước mắt đây giống như thiên nghiêng vậy cảnh tượng, tạm thời bây giờ dừng bước.
	Chu vi mấy trăm cây số hết thảy đều bị 2 tôn yêu thú đánh nát, mặt đất sụp đổ, từng đạo trong suốt như nước nham thạch nóng chảy thỉnh thoảng từ bể tan tành mặt đất phóng tới!

	Bắc Phong nhìn tràng diện này, cả người đều là tràn đầy mong đợi, một ngày nào đó mình cũng sẽ đạt tới như vậy đến nước, vẫy tay ở giữa núi sông bể tan tành!

	Từng giọt huyết dịch màu vàng tản ra mênh mông uy áp, dù là chỉ có chừng mười giọt máu, nhưng là để cho Bắc Phong cảm giác đối mặt là một vị ngàn năm vương đỉnh cấp!

	"Huyết dịch màu vàng! Là bản thân huyết mạch bất phàm, vẫn là do ngày mốt chuyển tiên thiên, đề luyện ra thuần dương khí huyết?"

	Bắc Phong nhìn từng giọt màu vàng huyết dịch giống như một quả mặt trời nhỏ vậy, mỗi một viên cũng chừng người lớn cỡ quả đấm, xán xán rực rỡ.

	Những huyết dịch này từ trời cao bắn tung tóe tới mặt đất, khoảng cách cao như vậy rơi xuống, lại không có để cho những huyết dịch này chia năm xẻ bảy.

	Một giọt khí huyết sẽ để cho Bắc Phong như lâm đại địch, thần sắc trịnh trọng.

	Quan sát tỉ mỉ một phen cái này huyết dịch màu vàng, Bắc Phong có chút không đoán ra, khí huyết này nhìn giống như là mình trong cơ thể thuần dương khí huyết, nhưng cũng như là mà không phải là.

	"Ông!"

	Bắc Phong linh hồn chỗ sâu, một giọt tím huyết dịch màu vàng đang chìm nổi, lúc này giống như là bị kích thích vậy, do giọt máu trạng hóa vì một cái mini Thương Long, đang không tiếng động gầm thét.

	"Đây là huyết mạch cộng hưởng! Đây là một tôn thú rồng huyết dịch, chẳng lẽ vậy một đầu quái dị con rùa đen bộ dáng yêu thú là một đầu long quy? !"

	Bắc Phong cảm giác được mình linh hồn chỗ sâu khác thường, nhất thời sững sốt một chút, có câu nói một núi không thể chứa hai cọp, chớ nói chi là long!

	Rồng, cao quý, thần bí, mạnh mẽ, mỗi một tôn rồng đều là phải trời đất vận may thai nghén mà sống, sinh thần thánh!

	Thường thường rất nhiều cái thế giới lớn cũng sẽ không xảy ra một đầu rồng, nhưng có rồng huyết mạch yêu thú số lượng cũng không thiếu, những thứ yêu thú này trong đó người xuất sắc được gọi là long thú!

	Huyết mạch đã bắt đầu phản tổ, chưa chắc không có hóa rồng ngày hôm đó!

	Lúc này ở Bắc Phong trong cảm giác, mình trong linh hồn vậy một đầu đến từ Thương Long hồn máu tản ra một cổ nhàn nhạt uy áp, mà trên mặt đất nguyên bản yên lặng chừng mười giọt máu cũng là xảy ra dị biến!

	Ở Bắc Phong nhìn soi mói, cái này chừng mười giọt huyết dịch màu vàng ánh sáng càng ngày càng sáng chói, tản mát ra năng lượng ba động cũng càng ngày càng mạnh!

	Rồi sau đó mười mấy giọt huyết dịch màu vàng trực tiếp bay lên trời, trực tiếp dung hợp làm một thể, rồi sau đó huyết dịch màu vàng đoàn không ngừng biến đổi hình dáng, cuối cùng tại chỗ xuất hiện một tôn dài đầu rồng long quy!

	Cả người hơi thở mạnh, không kém chút nào với 80% khí huyết dung hợp ngàn năm vương đỉnh cấp võ giả!

	Lúc này đầu này ánh vàng rực rỡ thú rồng đang mặt không cảm giác nhìn Bắc Phong, lăn lộn người hơi thở ùn ùn kéo đến hướng Bắc Phong đè ép tới!

	"Lần này có chút khó làm, lấy ta bây giờ cực hạn, nhiều nhất cùng 70% khí huyết dung hợp võ giả sống chết đánh giết, nhưng đối mặt 80% khí huyết dung hợp võ giả ta lại không không phải là đối thủ."

	Bắc Phong thần sắc ngưng trọng, trong lòng yên lặng suy nghĩ.

	"Ừ ? Không đúng, cái này tôn yêu thú quả thật rất mạnh, chỉ là nhỏ giọt xuống chừng mười giọt máu cũng đủ để sánh bằng ngàn năm vương đỉnh cấp, nhưng là cái này chừng mười giọt máu huyễn hóa ra tới đầu này mini long quy lại cũng không có thể như bản thể vậy có hoàn chỉnh linh trí!"

	Bắc Phong lập tức nghĩ tới mấu chốt, coi như đầu này long quy bản thể như thế nào đi nữa mạnh mẽ, nhưng là cũng không khả năng mỗi một giọt máu cũng hàm chứa đầu này long quy nguyên vẹn trí nhớ chứ ?

	Nghĩ tới đây, Bắc Phong lần nữa cẩn thận quan sát trước mắt cái này một tôn mini long quy, cái này vừa thấy, quả nhiên phát hiện bất đồng.

	"Ta là bị trước lên tiếng áp đảo người, nhìn một màn này quá mức rung động, cho tới không có thời gian đầu tiên phát hiện vấn đề, đầu này mini long quy lăn lộn thân hơi thở là mạnh, nhưng lại giống như là ít đi linh hồn, đúng ! Không sai, chính là ít đi linh hồn!"

	Bắc Phong nhanh chóng phân tích, ra được kết luận sau đó, Bắc Phong cũng là thở phào nhẹ nhõm.

	Lập tức Bắc Phong không do dự nữa, trước mắt cái này một đầu mini long quy bất quá là căn cứ bản năng làm việc thôi, đang bị mình trong cơ thể thú rồng huyết mạch khiêu khích, tự chủ bắt đầu phản kích.

	"Tinh thần hóa kiếm!"

	Bắc Phong không có trực tiếp cùng đầu này mini long quy liều mạng, có đơn giản hơn phương thức, cần gì phải bỏ gần cầu xa.

	Mà tinh thần này hóa kiếm chính là một loại đối với tinh thần lực nông cạn khống chế phương thức thôi, Bắc Phong tinh thần lực khổng lồ, nhưng là cũng không biết vận dụng, nhưng đương lượng cùng thế chấp đạt tới tài nghệ nhất định sau đó, cái gọi là tinh thần hóa kiếm một cách tự nhiên tự học.

	Bắc Phong vô cùng to lớn tinh thần lực phá thể ra, ở Bắc Phong trước mặt, nhiều tinh thần lực tụ tập chung một chỗ, bắt đầu áp súc, cuối cùng một cái màu trắng bạc, nửa trong suốt tựa như tùy thời có thể tiêu tán kiếm xuất hiện ở Bắc Phong trong tay!

	Thanh kiếm này không thể nói xinh đẹp, nhưng là nhưng ở phát hiện sát vậy thì sẽ hấp dẫn tất cả mọi người ánh mắt, tu vi thấp một chút võ giả chỉ cần liếc mắt nhìn, cũng sẽ bị thanh kiếm này gây thương tích!

	Nhẹ nhõm giống như trẻ con mới vừa học kiếm, qua loa chém xuống một kiếm, một đạo vô hình rung động khuếch tán ra, nháy mắt ảnh hưởng đến không trung mini long quy!

	"Ngang!"

	Một khi mặc dù yếu ớt, nhưng là nhưng ở trong xương tràn đầy cao ngạo thanh âm vang lên, lúc này đầu này mini long quy thân thể run lên, do máu tươi ngưng tụ ra thân thể đều có chút không yên.

	Giống như là tùy thời đều có thể bể tan tành thành lúc đầu dáng vẻ, nhưng là Bắc Phong cũng không có cho đầu này mini long quy cơ hội phản kích.

	Làm một kiếm rơi xuống lúc đó, Bắc Phong là có thể cảm giác được đối phương yếu ớt không thiếu, trong máu lưu lại thuộc về long quy tin tức đang bị xóa bỏ!

	Tế bào giống vậy có thể để dành một chút xíu trí nhớ, đặc biệt là long quy loại này bá chủ yêu thú, trong cơ thể tế bào hoàn mỹ vô cùng, có thể trí nhớ tin tức cũng càng nhiều!

	Mà cứ như vậy, cái gọi là giọt máu sống lại cảnh giới, chính là khí huyết khủng bố đến trình độ nhất định sau đó, cả người mỗi một cái tế bào cũng cường đại đến có thể hoàn mỹ trí nhớ ở bổn tôn hết thảy tất cả!

	Mà giọt máu sau khi sống lại, vốn là tế bào ở phỏng chế thời điểm cũng biết đem cái này một phần liên quan tới bổn tôn trí nhớ truyền cho còn lại tế bào!

	Mà bây giờ Bắc Phong trực tiếp vận dụng tinh thần công kích, vì chính là phai mờ những huyết dịch này trong ẩn chứa các loại tin tức!

	Ở Bắc Phong một liền ba chém tới hạ, đầu này mini thú rồng trong mắt đã không có bất kỳ ba động, cũng không có bất kỳ bản năng, rồi sau đó ầm ầm tan vỡ, chừng mười giọt huyết dịch màu vàng trôi lơ lửng trên không trung.

	Ở Bắc Phong đưa tay một chiêu dưới, rơi vào Bắc Phong trong tay, tạo thành một viên so bóng rỗ còn lớn hơn màu vàng kim quả cầu.

	Ý niệm động một cái, Bắc Phong đem cái này một đoàn huyết dịch thu nhập nhẫn không gian, bây giờ lúc này cũng không phải là dọ thám biết, hoặc là dùng thời điểm.

	Chân trời 2 con yêu thú thẳng lên thanh minh, đánh chu vi mấy ngàn dặm đám mây đều biến mất không gặp, rõ ràng là ban ngày, nhưng là 2 tôn yêu thú đối chiến chi trên đất trống tinh thần nhưng là nhìn rõ ràng.

	Rõ ràng là ban đêm mới xuất hiện ánh sao nhưng vào lúc này đã xuất hiện, từng hạt tròn ánh sao ảm đạm, chớp mắt chớp mắt, tựa như muốn cùng mặt trời sánh vai!

	Một đường xuống, Bắc Phong cùng lưu manh thỏ Cổ Kỳ cũng không biết chạy bao lâu đường, nhưng thu hoạch cũng rất phong phú, lúc này ước chừng hai luồng huyết dịch yên lặng đặt ở Bắc Phong trong không gian giới chỉ.

	Hai luồng huyết dịch đều có một chiếc xe ngựa lớn nhỏ, tản ra kinh khủng chập chờn, một loại là long quy màu vàng, còn có một loại chính là đỏ rực như lửa huyết dịch, mơ hồ giống như là có thể thấy được trong máu vậy vô số đóa ngọn lửa!

	"Ầm!"

	"Phốc xuy!"

	Nhìn về phía trước vậy một mảnh 2 loại huyết dịch đan vào một chỗ, tạo thành một hớp nhỏ cái ao giống vậy huyết dịch, Bắc Phong đôi mắt đăm đăm, mình may mắn hạnh khổ đắng mới thu thập được xe ngựa lớn nhỏ hai luồng huyết dịch, nhưng lúc này cái này một mảnh đất trũng ở giữa huyết dịch nhưng là so với mình trong không gian giới chỉ huyết dịch nhiều hơn gấp mấy chục lần!

	Bất đồng Bắc Phong tiến lên, phương xa trên trời cao, một đạo màu xích kim năng lượng nháy mắt hạ xuống.

	"Ùng ùng!"

	"Vèo vèo!"

	Giống như cấp 10 động đất, mặt đất cũng giống như là như nước vậy ba động, đạo này công kích đúng lúc là rơi vào Bắc Phong cái phương hướng này!

	Mặc dù khoảng cách Bắc Phong còn có mấy mười cây số, nhưng là theo sát mà đến dư âm cũng trực tiếp giống như gió thu quét lá rụng vậy, để cho Bắc Phong trực tiếp bị sóng trùng kích đánh bay!

	Người còn trên không trung, Bắc Phong sau lưng chính là xuất hiện đối với thùy thiên chi dực, toàn thân đen nhánh, cây cái lông chim lẫn nhau ở giữa va chạm ở giữa đinh đinh vang dội, bắn tán loạn ra một điểm điểm hỏa tinh, theo Bắc Phong động tác, cái này đối với thùy thiên chi dực trực tiếp từ Bắc Phong sau lưng mở rộng ra tới, rồi sau đó đem Bắc Phong bao ở trong đó!

	Nhưng may là như vậy, Bắc Phong cũng là ở sóng trùng kích đến ngay tức thì liền bị thương nặng, thùy thiên chi dực đối mặt cái này cổ sợ rằng sóng trùng kích, chỉ kiên trì không tới hai cái hô hấp thời gian liền trực tiếp bể tan tành, mảng lớn lông chim màu đen từ trên trời hạ xuống.

	Làm những thứ này lông chim rớt xuống đất, trực tiếp giống như là tuyết đọng gặp mặt trời nóng rực, trực tiếp hòa tan!

	Mà ngay sau đó, Bắc Phong thân thể trên không trung lắc một cái, gắng gượng quay người lại tử, rồi sau đó hai tay kết ấn, một tôn gấu ngựa pháp tướng liền xuất hiện ở Bắc Phong sau lưng, cùng Bắc Phong hoàn mỹ trọng hợp chung một chỗ.

	"Hám sơn kích!"

	Lợi dụng đến thùy thiên chi dực tranh thủ được thời gian, Bắc Phong kịp phản ứng, cái này cổ sóng trùng kích tốc độ quá nhanh, cơ hồ chính là ở trên trời một đạo công đánh rớt xuống sau đó hủy thiên diệt địa sóng trùng kích cũng đã cuốn tới!Chương 602: Tế bào trí nhớ! 
 converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Bắc Phong nhìn trước mắt đây giống như thiên nghiêng vậy cảnh tượng, tạm thời bây giờ dừng bước.

	Trước mắt cái này 2 con yêu thú tùy ý một đầu cũng có thể dễ như trở bàn tay đánh chết mình, chỉ là dư âm cũng không phải mình có thể ngăn trở.

	Đây nếu là đột nhiên phóng vào đi, bị cái này 2 con yêu thú giữa chiến đấu ảnh hưởng đến, đó mới là xui xẻo.

	"Cầu giàu sang trong nguy hiểm! Cái này 2 con yêu thú mặc dù mạnh mẽ, nhưng là ta vừa không có nghĩ tới cái này 2 con yêu thú lấy mạng đổi mạng bị mình nhặt xác, ta muốn vẻn vẹn chỉ muốn cái này 2 đầu dáng người vô cùng to lớn yêu thú trên mình vậy không đáng kể một ít máu tươi, chỉ cần ta không dựa vào quá gần, hẳn là an toàn."

	Bắc Phong suy nghĩ một chút, sau đó cắn răng một cái, tốc độ không giảm mà lại tăng!

	Nháy mắt tức thì đi ra ngoài đếm hơn trăm ngàn mét xa, từ vừa mới bắt đầu Bắc Phong liền cho mình xác định vị trí rất rõ ràng, bằng vào mình thực lực, cho dù là cái này 2 con yêu thú lưỡng bại câu thương, nhưng chỉ cần cái này 2 con yêu thú còn có một tia lực lượng, đó cũng không phải là mình có thể ngăn cản!

	"Ột ột ột!"

	Lưu manh thỏ Cổ Kỳ ngược lại là biểu hiện không có tim không có phổi, tóm lại đi theo Bắc Phong lăn lộn vậy đúng rồi.

	Một người một yêu nhanh chóng hướng 2 con yêu thú địa phương chiến đấu chạy tới, 2 đầu yêu chiến trung tâm, mảng lớn rừng trực tiếp mất đi. Biến mất không gặp.

	Lộ ra thông thường đất bùn hạ tầng kia màu xám trắng mỏ sắt, nhìn dáng dấp đúng ngọn núi lửa đều là do loại này mỏ sắt hình thành.

	Chu vi mấy trăm cây số hết thảy đều bị 2 tôn yêu thú đánh nát, mặt đất sụp đổ, từng đạo trong suốt như nước nham thạch nóng chảy thỉnh thoảng từ bể tan tành mặt đất phóng tới!

	Bắc Phong nhìn tràng diện này, cả người đều là tràn đầy mong đợi, một ngày nào đó mình cũng sẽ đạt tới như vậy đến nước, vẫy tay ở giữa núi sông bể tan tành!

	Từng giọt huyết dịch màu vàng tản ra mênh mông uy áp, dù là chỉ có chừng mười giọt máu, nhưng là để cho Bắc Phong cảm giác đối mặt là một vị ngàn năm vương đỉnh cấp!

	"Huyết dịch màu vàng! Là bản thân huyết mạch bất phàm, vẫn là do ngày mốt chuyển tiên thiên, đề luyện ra thuần dương khí huyết?"

	Bắc Phong nhìn từng giọt màu vàng huyết dịch giống như một quả mặt trời nhỏ vậy, mỗi một viên cũng chừng người lớn cỡ quả đấm, xán xán rực rỡ.

	Những huyết dịch này từ trời cao bắn tung tóe tới mặt đất, khoảng cách cao như vậy rơi xuống, lại không có để cho những huyết dịch này chia năm xẻ bảy.

	Một giọt khí huyết sẽ để cho Bắc Phong như lâm đại địch, thần sắc trịnh trọng.

	Quan sát tỉ mỉ một phen cái này huyết dịch màu vàng, Bắc Phong có chút không đoán ra, khí huyết này nhìn giống như là mình trong cơ thể thuần dương khí huyết, nhưng cũng như là mà không phải là.

	"Ông!"

	Bắc Phong linh hồn chỗ sâu, một giọt tím huyết dịch màu vàng đang chìm nổi, lúc này giống như là bị kích thích vậy, do giọt máu trạng hóa vì một cái mini Thương Long, đang không tiếng động gầm thét.

	"Đây là huyết mạch cộng hưởng! Đây là một tôn thú rồng huyết dịch, chẳng lẽ vậy một đầu quái dị con rùa đen bộ dáng yêu thú là một đầu long quy? !"

	Bắc Phong cảm giác được mình linh hồn chỗ sâu khác thường, nhất thời sững sốt một chút, có câu nói một núi không thể chứa hai cọp, chớ nói chi là long!

	Rồng, cao quý, thần bí, mạnh mẽ, mỗi một tôn rồng đều là phải trời đất vận may thai nghén mà sống, sinh thần thánh!

	Thường thường rất nhiều cái thế giới lớn cũng sẽ không xảy ra một đầu rồng, nhưng có rồng huyết mạch yêu thú số lượng cũng không thiếu, những thứ yêu thú này trong đó người xuất sắc được gọi là long thú!

	Huyết mạch đã bắt đầu phản tổ, chưa chắc không có hóa rồng ngày hôm đó!

	Lúc này ở Bắc Phong trong cảm giác, mình trong linh hồn vậy một đầu đến từ Thương Long hồn máu tản ra một cổ nhàn nhạt uy áp, mà trên mặt đất nguyên bản yên lặng chừng mười giọt máu cũng là xảy ra dị biến!

	Ở Bắc Phong nhìn soi mói, cái này chừng mười giọt huyết dịch màu vàng ánh sáng càng ngày càng sáng chói, tản mát ra năng lượng ba động cũng càng ngày càng mạnh!

	Rồi sau đó mười mấy giọt huyết dịch màu vàng trực tiếp bay lên trời, trực tiếp dung hợp làm một thể, rồi sau đó huyết dịch màu vàng đoàn không ngừng biến đổi hình dáng, cuối cùng tại chỗ xuất hiện một tôn dài đầu rồng long quy!

	Cả người hơi thở mạnh, không kém chút nào với 80% khí huyết dung hợp ngàn năm vương đỉnh cấp võ giả!

	Lúc này đầu này ánh vàng rực rỡ thú rồng đang mặt không cảm giác nhìn Bắc Phong, lăn lộn người hơi thở ùn ùn kéo đến hướng Bắc Phong đè ép tới!

	"Lần này có chút khó làm, lấy ta bây giờ cực hạn, nhiều nhất cùng 70% khí huyết dung hợp võ giả sống chết đánh giết, nhưng đối mặt 80% khí huyết dung hợp võ giả ta lại không không phải là đối thủ."

	Bắc Phong thần sắc ngưng trọng, trong lòng yên lặng suy nghĩ.

	"Ừ ? Không đúng, cái này tôn yêu thú quả thật rất mạnh, chỉ là nhỏ giọt xuống chừng mười giọt máu cũng đủ để sánh bằng ngàn năm vương đỉnh cấp, nhưng là cái này chừng mười giọt máu huyễn hóa ra tới đầu này mini long quy lại cũng không có thể như bản thể vậy có hoàn chỉnh linh trí!"

	Bắc Phong lập tức nghĩ tới mấu chốt, coi như đầu này long quy bản thể như thế nào đi nữa mạnh mẽ, nhưng là cũng không khả năng mỗi một giọt máu cũng hàm chứa đầu này long quy nguyên vẹn trí nhớ chứ ?

	Nghĩ tới đây, Bắc Phong lần nữa cẩn thận quan sát trước mắt cái này một tôn mini long quy, cái này vừa thấy, quả nhiên phát hiện bất đồng.

	"Ta là bị trước lên tiếng áp đảo người, nhìn một màn này quá mức rung động, cho tới không có thời gian đầu tiên phát hiện vấn đề, đầu này mini long quy lăn lộn thân hơi thở là mạnh, nhưng lại giống như là ít đi linh hồn, đúng ! Không sai, chính là ít đi linh hồn!"

	Bắc Phong nhanh chóng phân tích, ra được kết luận sau đó, Bắc Phong cũng là thở phào nhẹ nhõm.

	Lập tức Bắc Phong không do dự nữa, trước mắt cái này một đầu mini long quy bất quá là căn cứ bản năng làm việc thôi, đang bị mình trong cơ thể thú rồng huyết mạch khiêu khích, tự chủ bắt đầu phản kích.

	"Tinh thần hóa kiếm!"

	Bắc Phong không có trực tiếp cùng đầu này mini long quy liều mạng, có đơn giản hơn phương thức, cần gì phải bỏ gần cầu xa.

	Mà tinh thần này hóa kiếm chính là một loại đối với tinh thần lực nông cạn khống chế phương thức thôi, Bắc Phong tinh thần lực khổng lồ, nhưng là cũng không biết vận dụng, nhưng đương lượng cùng thế chấp đạt tới tài nghệ nhất định sau đó, cái gọi là tinh thần hóa kiếm một cách tự nhiên tự học.

	Bắc Phong vô cùng to lớn tinh thần lực phá thể ra, ở Bắc Phong trước mặt, nhiều tinh thần lực tụ tập chung một chỗ, bắt đầu áp súc, cuối cùng một cái màu trắng bạc, nửa trong suốt tựa như tùy thời có thể tiêu tán kiếm xuất hiện ở Bắc Phong trong tay!

	Thanh kiếm này không thể nói xinh đẹp, nhưng là nhưng ở phát hiện sát vậy thì sẽ hấp dẫn tất cả mọi người ánh mắt, tu vi thấp một chút võ giả chỉ cần liếc mắt nhìn, cũng sẽ bị thanh kiếm này gây thương tích!

	Nhẹ nhõm giống như trẻ con mới vừa học kiếm, qua loa chém xuống một kiếm, một đạo vô hình rung động khuếch tán ra, nháy mắt ảnh hưởng đến không trung mini long quy!

	"Ngang!"

	Một khi mặc dù yếu ớt, nhưng là nhưng ở trong xương tràn đầy cao ngạo thanh âm vang lên, lúc này đầu này mini long quy thân thể run lên, do máu tươi ngưng tụ ra thân thể đều có chút không yên.

	Giống như là tùy thời đều có thể bể tan tành thành lúc đầu dáng vẻ, nhưng là Bắc Phong cũng không có cho đầu này mini long quy cơ hội phản kích.

	Làm một kiếm rơi xuống lúc đó, Bắc Phong là có thể cảm giác được đối phương yếu ớt không thiếu, trong máu lưu lại thuộc về long quy tin tức đang bị xóa bỏ!

	Tế bào giống vậy có thể để dành một chút xíu trí nhớ, đặc biệt là long quy loại này bá chủ yêu thú, trong cơ thể tế bào hoàn mỹ vô cùng, có thể trí nhớ tin tức cũng càng nhiều!

	Mà cứ như vậy, cái gọi là giọt máu sống lại cảnh giới, chính là khí huyết khủng bố đến trình độ nhất định sau đó, cả người mỗi một cái tế bào cũng cường đại đến có thể hoàn mỹ trí nhớ ở bổn tôn hết thảy tất cả!

	Mà giọt máu sau khi sống lại, vốn là tế bào ở phỏng chế thời điểm cũng biết đem cái này một phần liên quan tới bổn tôn trí nhớ truyền cho còn lại tế bào!

	Mà bây giờ Bắc Phong trực tiếp vận dụng tinh thần công kích, vì chính là phai mờ những huyết dịch này trong ẩn chứa các loại tin tức!

	Ở Bắc Phong một liền ba chém tới hạ, đầu này mini thú rồng trong mắt đã không có bất kỳ ba động, cũng không có bất kỳ bản năng, rồi sau đó ầm ầm tan vỡ, chừng mười giọt huyết dịch màu vàng trôi lơ lửng trên không trung.

	Ở Bắc Phong đưa tay một chiêu dưới, rơi vào Bắc Phong trong tay, tạo thành một viên so bóng rỗ còn lớn hơn màu vàng kim quả cầu.

	Ý niệm động một cái, Bắc Phong đem cái này một đoàn huyết dịch thu nhập nhẫn không gian, bây giờ lúc này cũng không phải là dọ thám biết, hoặc là dùng thời điểm.

	Chân trời 2 con yêu thú thẳng lên thanh minh, đánh chu vi mấy ngàn dặm đám mây đều biến mất không gặp, rõ ràng là ban ngày, nhưng là 2 tôn yêu thú đối chiến chi trên đất trống tinh thần nhưng là nhìn rõ ràng.

	Rõ ràng là ban đêm mới xuất hiện ánh sao nhưng vào lúc này đã xuất hiện, từng hạt tròn ánh sao ảm đạm, chớp mắt chớp mắt, tựa như muốn cùng mặt trời sánh vai!

	Một đường xuống, Bắc Phong cùng lưu manh thỏ Cổ Kỳ cũng không biết chạy bao lâu đường, nhưng thu hoạch cũng rất phong phú, lúc này ước chừng hai luồng huyết dịch yên lặng đặt ở Bắc Phong trong không gian giới chỉ.

	Hai luồng huyết dịch đều có một chiếc xe ngựa lớn nhỏ, tản ra kinh khủng chập chờn, một loại là long quy màu vàng, còn có một loại chính là đỏ rực như lửa huyết dịch, mơ hồ giống như là có thể thấy được trong máu vậy vô số đóa ngọn lửa!

	"Ầm!"

	"Phốc xuy!"

	Nhìn về phía trước vậy một mảnh 2 loại huyết dịch đan vào một chỗ, tạo thành một hớp nhỏ cái ao giống vậy huyết dịch, Bắc Phong đôi mắt đăm đăm, mình may mắn hạnh khổ đắng mới thu thập được xe ngựa lớn nhỏ hai luồng huyết dịch, nhưng lúc này cái này một mảnh đất trũng ở giữa huyết dịch nhưng là so với mình trong không gian giới chỉ huyết dịch nhiều hơn gấp mấy chục lần!

	Bất đồng Bắc Phong tiến lên, phương xa trên trời cao, một đạo màu xích kim năng lượng nháy mắt hạ xuống.

	"Ùng ùng!"

	"Vèo vèo!"

	Giống như cấp 10 động đất, mặt đất cũng giống như là như nước vậy ba động, đạo này công kích đúng lúc là rơi vào Bắc Phong cái phương hướng này!

	Mặc dù khoảng cách Bắc Phong còn có mấy mười cây số, nhưng là theo sát mà đến dư âm cũng trực tiếp giống như gió thu quét lá rụng vậy, để cho Bắc Phong trực tiếp bị sóng trùng kích đánh bay!

	Người còn trên không trung, Bắc Phong sau lưng chính là xuất hiện đối với thùy thiên chi dực, toàn thân đen nhánh, cây cái lông chim lẫn nhau ở giữa va chạm ở giữa đinh đinh vang dội, bắn tán loạn ra một điểm điểm hỏa tinh, theo Bắc Phong động tác, cái này đối với thùy thiên chi dực trực tiếp từ Bắc Phong sau lưng mở rộng ra tới, rồi sau đó đem Bắc Phong bao ở trong đó!

	Nhưng may là như vậy, Bắc Phong cũng là ở sóng trùng kích đến ngay tức thì liền bị thương nặng, thùy thiên chi dực đối mặt cái này cổ sợ rằng sóng trùng kích, chỉ kiên trì không tới hai cái hô hấp thời gian liền trực tiếp bể tan tành, mảng lớn lông chim màu đen từ trên trời hạ xuống.

	Làm những thứ này lông chim rớt xuống đất, trực tiếp giống như là tuyết đọng gặp mặt trời nóng rực, trực tiếp hòa tan!

	Mà ngay sau đó, Bắc Phong thân thể trên không trung lắc một cái, gắng gượng quay người lại tử, rồi sau đó hai tay kết ấn, một tôn gấu ngựa pháp tướng liền xuất hiện ở Bắc Phong sau lưng, cùng Bắc Phong hoàn mỹ trọng hợp chung một chỗ.

	"Hám sơn kích!"

	Lợi dụng đến thùy thiên chi dực tranh thủ được thời gian, Bắc Phong kịp phản ứng, cái này cổ sóng trùng kích tốc độ quá nhanh, cơ hồ chính là ở trên trời một đạo công đánh rớt xuống sau đó hủy thiên diệt địa sóng trùng kích cũng đã cuốn tới!
