Chương 794: Vị trí trống không 
 Converter Dzung Kiều cầu khen thưởng 

	Không thiếu đệ tử nòng cốt đều là có chút lo âu, đối với mình cũng không có lòng tin tuyệt đối.
	Mình thực lực mình rõ ràng, bên ngoài tông trong hàng đệ tử cũng thắng được rất miễn cưỡng, trong đệ tử nồng cốt chỗ trống kia mình đã sớm chú ý tới, nhưng không nghĩ tới mình lại là người thứ nhất lên chiếc khiêu chiến người!

	Ở Thái Tranh xem tới đây chính là cơ hội tốt trời ban, cứ việc mình thay thế người này vị trí sau đó còn biết trải qua 2 trận khiêu chiến, nhưng tỷ lệ nhưng là lớn rất nhiều!

	Đại chấp sự nhìn cố ý muốn khiêu chiến Bắc Phong Thái Tranh cũng là nhíu mày, đã như vậy, vậy thì không thể làm gì khác hơn là để cho Thái Tranh khiêu chiến.

	Vốn chỉ muốn cho Bắc Phong một lần cơ hội, chỉ cần Thái Tranh đi khiêu chiến những người còn lại, tự nhiên sau người cũng biết tránh Bắc Phong.

	Đến khiêu chiến cuối cùng Bắc Phong nếu là còn chưa có xuất hiện, vậy Đại chấp sự cũng không biết ngăn trở những người còn lại đối với Bắc Phong vị trí phát động khiêu chiến.

	Nhưng bây giờ Thái Tranh không chịu lui bước, Đại chấp sự cũng chỉ thuận theo tự nhiên.

	Chẳng qua là Đại chấp sự bây giờ đối với Thái Tranh cùng Bắc Phong hai người đều tràn đầy không thích.

	Nghe Đại chấp sự cùng Thái Tranh đối thoại, không ít người đều là đang suy nghĩ tại sao mình không phải là cái chọn đầu tiên khiêu chiến.

	"Quá vô sỉ, bất quá cái này cũng nói Thái Tranh không phải là một bảo thủ hạng người. "

	"Trực tiếp đạt được một tràng thắng lợi, cứ như vậy Thái Tranh thành vì đệ tử nòng cốt tỷ lệ rất lớn à!"

	Không thiếu ngoại tông đệ tử bàn luận sôi nổi, có thưởng thức, cũng có chán ghét.

	Mỗi một ngoại tông đệ tử đều có thể phát động 3 lần khiêu chiến, đệ tử nòng cốt coi như chiến bại cũng còn có một lần cơ hội khiêu chiến.

	Khiêu chiến trong có thể uống chữa thương đan dược, có thể bị thương quá nặng dưới tình huống đan dược ở có hạn trong thời gian cũng phát huy không được tác dụng quá lớn.

	Trận khiêu chiến đầu tiên đối với thực lực tương cận người mà nói cực kỳ trọng yếu!

	Trận khiêu chiến đầu tiên nếu như liều mạng lưỡng bại câu thương, như vậy thì coi là khiêu chiến thành công tiếp theo còn có 2 trận khiêu chiến cũng sẽ bị những người còn lại đánh bại.

	Hôm nay Thái Tranh khiêu chiến còn chưa tới tới Bắc Phong, dĩ nhiên là trực tiếp thắng lợi, như vậy liền lấy khỏe hẳn trạng thái nghênh đón kế tiếp khiêu chiến!

	Cho dù là thực lực so Thái Tranh cao hơn một bậc người tới khiêu chiến Thái Tranh, bị thương trên người dưới tình huống cũng không nhất định là Thái Tranh đối thủ!Chương 794: Vị trí trống không 
 Converter Dzung Kiều cầu khen thưởng 

	Không thiếu đệ tử nòng cốt đều là có chút lo âu, đối với mình cũng không có lòng tin tuyệt đối.

	Những thứ này ngoại tông đệ tử cố nhiên là một ít người thất bại, nhưng không phải bọn họ không mạnh, mà là đối thủ quá mạnh lớn.

	Đồng thời những người này cũng đang không ngừng tiến bộ, hưởng thụ Vạn Cổ thiên tông tài nguyên, cũng không có tuyệt đối đánh bại bọn họ chắc chắn.

	"Những thứ này ngoại tông đệ tử hơi thở thật là mạnh, đặt ở còn lại tông môn sợ rằng đều là trong đệ tử nồng cốt người xuất sắc!"

	"Ta sẽ không thua! Thật vất vả thiên quân vạn mã qua cầu độc mộc, ta làm sao có thể bị những thứ này người thất bại đạp!"

	Đại chấp sự sau lưng trong đệ tử nồng cốt có chút xôn xao, thật sự là đệ tử nòng cốt tư cách quá trọng yếu.

	"Ừ ? Còn có một người lại có thể không tới?"

	"Không phải là sợ chưa?"

	Không ít người ngắm nhìn bốn phía, làm thấy được vị trí trống ra sau đó, đều có chút đờ đẫn.

	Trọng yếu như vậy cuộc sống lại có thể cũng không sang, ai lòng lớn như vậy à?

	"Làm sao có thể sợ, người nọ nhưng mà thà hơn tám người coi như nhau, một kích liền giết trong nháy mắt Dịch gia 3 anh em, đoán chừng là không có đem lần thi đấu này để ở trong lòng đi, dẫu sao cũng không có nói ngày thi đấu phải trước thời hạn chạy tới, chỉ cần bên ngoài tông đệ tử phát động khiêu chiến thời điểm tại chỗ không lâu được rồi?"

	Một người tự giễu trước nói đến, mình các người coi trọng không dứt thi đấu, ở trong mắt một số người bất quá là đi một chút qua trận mà thôi.

	"Lời nói như vậy, nhưng không khỏi cũng quá mức xương cuồng."

	Lúc trước nói Bắc Phong sợ trên mặt người kia có chút không nén giận được, nghe được sau khi giải thích vẫn là không nhịn được lẩm bẩm một câu.

	Ngoại tông đệ tử số lượng vô cùng kinh khủng, đếm lấy một trăm ngàn kế, nhưng không ít người cũng tự biết mình, rõ ràng mình lên đài cũng bất quá là tự rước lấy, là lấy chân chính khiêu chiến đệ tử nòng cốt người thật ra thì cũng không có nhiều như vậy.

	Đại đa số người đều là qua đến xem náo nhiệt.

	"Lần này Ngọc sư tỷ nhất định có thể khiêu chiến thành công!"

	"Nội tông đệ tử gần đây xem thường bọn ta ngoại tông người, lần này để cho bọn họ xem xem ngoại tông cũng không yếu!"

	Không thiếu ngoại tông đệ tử xì xào bàn tán.

	Lần này khiêu chiến đệ tử nòng cốt vị trí người chỉ có 10 ngàn ra mặt,

	Cùng ngoại tông khổng lồ cơ sở so với nhỏ nhặt không đáng kể.

	Nhưng cái này 10 ngàn ra mặt ngoại tông đệ tử nhưng là vô cùng kinh khủng, từng cái trong thân thể hàm chứa ngập trời khí huyết!

	Ước chừng hơn mười ngàn người khí thế nhưng để cho người sợ hết hồn hết vía, giống như đối mặt là nhóm chuỗi thức ăn chóp đỉnh cướp thức ăn người!

	"Ngươi cùng rút thăm quyết định đối thủ, cuối cùng chỉ có một ngàn người đạt được khiêu chiến tư cách."

	Đại chấp sự trầm giọng mở miệng, vô cùng uy nghiêm.

	Nhưng trong ánh mắt chớp mắt rồi biến mất nụ cười nhưng là bại lộ Đại chấp sự tâm tình rất tốt, dẫu sao những đệ tử này đều là ngoại tông.

	Vạn Cổ thiên tông trong nội tông cao cao tại thượng, ngoại tông chính là rơi vào hạ phong, ngoại tông đệ tử có thể đánh bại nội tông đệ tử nhưng cũng là nhiều chấp sự hỉ văn nhạc kiến.

	Mà đây một nhóm ngoại tông trong hàng đệ tử có thể là có không ít hạt giống tốt, tin tưởng lần thi đấu này sau đó không thiếu nội tông đệ tử nòng cốt cũng biết thay đổi người.

	Đại chấp sự vung tay lên, từng đạo lệnh bài hướng đám người phía dưới bắn nhanh đi, chính xác rơi vào mỗi một người phía trước.

	"Đây chính là Vạn Cổ thiên tông đệ tử trình độ? Bất quá như vậy."

	"Cứ việc rất mạnh, nhưng chúng ta bên trong tông so những người này mạnh đến có khối người."

	Mười hai cao nhất tông môn vị trí lên, có thể rõ ràng xem gặp phía dưới chiến đấu tình huống, không thiếu tiểu bối xì xào bàn tán, hoặc là không rõ ràng, hoặc là thất vọng, diễn cảm không phải là ít.

	"Tiếp nhìn tiếp đi, Vạn Cổ thiên tông có thể sừng sững ở cao nhất trong tông môn há lại là đơn giản như vậy?"

	Dẫn đội trưởng lão nhàn nhạt mở miệng, Vạn Cổ thiên tông cứ việc số người ở cao nhất trong tông môn tối thiểu, nhưng cường giả nhưng lại nhiều nhất, nội tình sâu không lường được, cũng không ai biết Vạn Cổ thiên tông trong còn cất giấu nhiều ít lão quái vật.

	Thời gian chậm rãi trôi qua, một ngày thời gian trôi qua rất nhanh, mà ngoại tông trong một ngàn thí sinh đã chắc chắn, ngồi ở quảng trường bên kia, cùng đệ tử nòng cốt tương đối xa.

	Ngoại tông đệ tử chỗ ngồi trên, trung tâm nhất trống ra một mảng lớn vị trí, trong đó chỉ có một người.

	Này người sắc mặt tái nhợt, giống như bệnh nặng mới khỏi sau hình dáng, hai mắt nhắm nghiền, đối với chung quanh hết thảy cũng không hề quan tâm.

	Ở chàng trai bốn phía, lại có tám người đặt song song, từng cái hơi thở khủng bố, giống như thực chất hóa lượn lờ ở quanh thân.

	Lúc này đã là đêm tối, nhưng lại không có ý chấm dứt, dẫu sao võ giả tinh lực dư thừa, thị lực cũng vượt xa người thường, đêm tối tự nhiên không có ảnh hưởng.

	"Thái Tranh, ngươi muốn khiêu chiến ai?"

	Đại chấp sự xuất hiện ở trên đài cao, thanh âm truyền khắp toàn trường.

	"Đại chấp sự, ta muốn khiêu chiến hắn!"

	Thái Tranh thân thể biến mất không gặp, một khắc sau xuất hiện ở trong quảng trường, hướng về phía giữa không trung Đại chấp sự thi lễ một cái sau đó, đưa ngón tay ra, hướng một nơi chỉ đi.

	Mọi người rối rít theo Thái Tranh ngón tay phương hướng nhìn, nhất thời chính là sững sốt một chút.

	"Tại sao không ai?"

	Mọi người trong đầu nhô ra một cái ý niệm, bất ngờ là Thái Tranh chỉ vị trí không có một bóng người.

	"Ừ ?"

	Đại chấp sự cũng là nhíu mày, đã sớm chú ý tới còn có một vị đệ tử nòng cốt không có tới, thật cho rằng nhập tông sau là có thể vô tư không lo sao?

	"Thái Tranh, lần nữa khiêu chiến một vị đi."

	Đại chấp sự mặc dù đối với Bắc Phong lúc này còn không tới có chút nổi nóng, nhưng vẫn là mở miệng nói đến.

	"Đại chấp sự, hôm nay nhưng mà ngày thi đấu, tông môn cũng không có quy định không cho phép khiêu chiến chưa tới trận người, nói sau như vậy ngày trọng yếu cũng không có đến sân, sợ rằng vị này sư đệ cũng là tự nhận thực lực không đủ, không dám ra sân."

	"Đã như vậy, vậy còn không như ta cướp lấy."

	Thái Tranh híp mắt, rõ ràng Đại chấp sự ý, nhưng Thái Tranh lại không có dựa theo Đại chấp sự lời làm.

	Chuyện này quan đệ tử nòng cốt thân phận, Thái Tranh không hề muốn nhượng bộ!

	Mình thực lực mình rõ ràng, bên ngoài tông trong hàng đệ tử cũng thắng được rất miễn cưỡng, trong đệ tử nồng cốt chỗ trống kia mình đã sớm chú ý tới, nhưng không nghĩ tới mình lại là người thứ nhất lên chiếc khiêu chiến người!

	Ở Thái Tranh xem tới đây chính là cơ hội tốt trời ban, cứ việc mình thay thế người này vị trí sau đó còn biết trải qua 2 trận khiêu chiến, nhưng tỷ lệ nhưng là lớn rất nhiều!

	Đại chấp sự nhìn cố ý muốn khiêu chiến Bắc Phong Thái Tranh cũng là nhíu mày, đã như vậy, vậy thì không thể làm gì khác hơn là để cho Thái Tranh khiêu chiến.

	Vốn chỉ muốn cho Bắc Phong một lần cơ hội, chỉ cần Thái Tranh đi khiêu chiến những người còn lại, tự nhiên sau người cũng biết tránh Bắc Phong.

	Đến khiêu chiến cuối cùng Bắc Phong nếu là còn chưa có xuất hiện, vậy Đại chấp sự cũng không biết ngăn trở những người còn lại đối với Bắc Phong vị trí phát động khiêu chiến.

	Nhưng bây giờ Thái Tranh không chịu lui bước, Đại chấp sự cũng chỉ thuận theo tự nhiên.

	Chẳng qua là Đại chấp sự bây giờ đối với Thái Tranh cùng Bắc Phong hai người đều tràn đầy không thích.

	Nghe Đại chấp sự cùng Thái Tranh đối thoại, không ít người đều là đang suy nghĩ tại sao mình không phải là cái chọn đầu tiên khiêu chiến.

	"Quá vô sỉ, bất quá cái này cũng nói Thái Tranh không phải là một bảo thủ hạng người. "

	"Trực tiếp đạt được một tràng thắng lợi, cứ như vậy Thái Tranh thành vì đệ tử nòng cốt tỷ lệ rất lớn à!"

	Không thiếu ngoại tông đệ tử bàn luận sôi nổi, có thưởng thức, cũng có chán ghét.

	Mỗi một ngoại tông đệ tử đều có thể phát động 3 lần khiêu chiến, đệ tử nòng cốt coi như chiến bại cũng còn có một lần cơ hội khiêu chiến.

	Khiêu chiến trong có thể uống chữa thương đan dược, có thể bị thương quá nặng dưới tình huống đan dược ở có hạn trong thời gian cũng phát huy không được tác dụng quá lớn.

	Trận khiêu chiến đầu tiên đối với thực lực tương cận người mà nói cực kỳ trọng yếu!

	Trận khiêu chiến đầu tiên nếu như liều mạng lưỡng bại câu thương, như vậy thì coi là khiêu chiến thành công tiếp theo còn có 2 trận khiêu chiến cũng sẽ bị những người còn lại đánh bại.

	Hôm nay Thái Tranh khiêu chiến còn chưa tới tới Bắc Phong, dĩ nhiên là trực tiếp thắng lợi, như vậy liền lấy khỏe hẳn trạng thái nghênh đón kế tiếp khiêu chiến!

	Cho dù là thực lực so Thái Tranh cao hơn một bậc người tới khiêu chiến Thái Tranh, bị thương trên người dưới tình huống cũng không nhất định là Thái Tranh đối thủ!
