Chương 509: Chiến! 
 Converter Dzung Kiều cầu phiếu 

	"Chúng ta sự việc trước để một bên, hợp tác!"
	Mà Bắc Phong cũng là gắng gượng vác bốn đầu thỏ lưu manh công kích, bị chấn liên tiếp lui về phía sau, khóe miệng trào máu.

	"Đóng băng ngàn dặm!"

	Lý Duy hai tay đột nhiên đè xuống đất, trên trăm cây to lớn kiên cố cột băng ngay tức thì nhô ra, không thiếu thỏ lưu manh trực tiếp bị đâm tổn thương.

	"Mưa gió chưởng!"

	Một đạo tiếng gào kinh thiên động địa truyền tới, để cho Bắc Phong không khỏi nhín thời giờ hướng tiếng gào truyền tới phương hướng nhìn.

	Một cả người to con, Cát Phi hộ vệ trực tiếp thân hình giương cao 1m, một chưởng đánh ra, uy thế vô lượng!

	Một khắc sau cái này tên hộ vệ liền bị năm sáu đầu thỏ lưu manh một cước đạp chết, để cho Bắc Phong không nói, thanh thế lớn như vậy có chỗ nào dùng.

	Lữ Bố đoàn người vây quanh chung một chỗ, tạo thành một cái đơn giản nhất chiến trận, không cầu có công, nhưng cầu không qua, mặc dù không có nhân viên thương vong, nhưng vẫn là lần lượt tháo chạy, nếu không phải Lữ Bố chống, đã sớm xuất hiện chết.

	Lúc này Bắc Phong cùng Lý Duy lưng tựa lưng, từng đạo cường đại công kích mang đi từng cái sinh mạng!

	Bắc Phong thân thể mạnh mẽ, nhưng là những tên lưu manh này thỏ lực chân quá mạnh mẽ, đánh phải mấy đá Bắc Phong đều cảm giác không gánh nổi.

	Lăn lộn thân ngũ tạng lục phủ giống như lệch vị trí vậy, khí huyết cuồn cuộn.

	"Gấu ưng kích!"

	Bắc Phong càng đánh càng mạnh, thương thế mặc dù rất nặng, nhưng là đánh giết sanh tử như vậy Bắc Phong đối với thân thể nắm trong tay cũng ở đây ổn định leo lên!

	Một kích gấu ưng kích trực tiếp đánh bể chín đầu thỏ lưu manh, chiến quả phi phàm!

	Mà bên kia Lý Duy giống vậy liều mạng, một tòa băng sơn hiện lên đỉnh đầu, ngay tức thì hướng hai mươi lai lịch thỏ lưu manh trấn áp xuống!

	" Ầm!"

	Chừng mười đầu thỏ lưu manh trực tiếp dùng sức đạp một cái, ừ lớn băng sơn giảm xuống tốc độ một lần, rồi sau đó bể tan tành.

	Nhưng đậm đà khí lạnh hay là để cho cái này chừng mười đầu thỏ lưu manh động tác xuất hiện cứng ngắc, bị Bắc Phong đánh bể!

	"Ột ột ột!"

	Ba đầu thỏ lưu manh hướng Bắc Phong đạp tới, tốc độ nhanh, để cho Bắc Phong đều có chút không thấy rõ!

	"Liệt địa rìu!"

	Bắc Phong chân phải hung hăng giẫm một cái mặt đất, dưới chân không có sụp đổ ra một cái hố to, nhưng Bắc Phong hai chân đứng ra nhưng là xuất hiện vô số to bằng bắp đùi vết rách!

	Mấy chục đạo thương màu xanh thú rồng quanh quẩn lưỡi rìu từ trong khe xuất hiện, hướng ba đầu thỏ lưu manh chém tới!

	"Đang đang!"

	Một cái đem lưỡi rìu bị thỏ lưu manh đá bể, nhưng là Bắc Phong chỉ là vì trì hoãn một giây không tới thời gian mà thôi!

	"Chiến rồng rìu!"

	Một khắc sau, Bắc Phong chân trái làm trung tâm, toàn bộ thân thể vặn vẹo đến một cái khoa trương góc độ, chân phải như roi, hung hãn hướng ba đầu thỏ lưu manh quất đi ra ngoài!

	Sáng chói thương màu xanh rìu lớn từ Bắc Phong dưới chân xuất hiện, hướng ba đầu thỏ lưu manh cắt ngang đi!

	"Hô hô!"

	Bắc Phong từng ngụm từng ngụm thở hổn hển, tiêu hao quá lớn.

	Ngắm nhìn bốn phía, trong sân còn dư lại chừng mười đầu thỏ lưu manh, Lý Duy chẳng biết lúc nào nằm trên đất, sống chết không biết.

	"Những thứ yêu thú này giống như là giống như điên, không có nửa điểm cảm giác sợ hãi, không được, mau rời khỏi nơi này, mùi máu tanh càng ngày càng nặng."

	Bắc Phong âm thầm nghĩ trước.

	Đậm đà mùi máu tanh ở trong không khí trôi giạt, Bắc Phong nhất tâm nhị dụng, ngăn cản năm sáu đầu thỏ lưu manh, còn dư lại thỏ lưu manh bị Lữ Bố kềm chế.

	"Mặt trăng! Mặt trời! Lửa!"

	Bắc Phong hai ngón tay hướng mi để tâm một chút, tinh cung trước ba tầng cửa ầm ầm mở!

	Ba đầu cao đến 10m tinh thần xuất hiện, lăn lộn thân tản ra đậm đà thuộc tính chập chờn!

	Ba tôn tinh thần mỗi người đối với một đầu thỏ lưu manh, thái dương tinh trong tay phải xuất hiện một đóa nửa thước cao nhỏ hết sức ngọn lửa, coi như là bị lướt qua một chút, cũng sẽ phải chịu kinh khủng tổn thương!

	Chẳng qua là mấy cái lóe lên bây giờ, cùng thỏ lưu manh lần lượt thay nhau mà qua thái dương tinh trên lòng bàn tay liền xuất hiện một viên đập tim.

	Mà ngọn lửa quân vương chính là như núi bất động, tầng 1 sâm bạch ngọn lửa trên thân thể cháy, không có tự mình động thủ, một cái dài độc giác trăn dung nham ngay tức thì hóa thành một cái lửa giao!

	Nhiệt độ kinh khủng lượn lờ ở trăn dung nham trên thân hình, sau mấy hiệp, một tiếng già dặn giao long chi ngâm, nhất thời thỏ lưu manh dưới chân đột nhiên bộc phát ra một cổ kinh khủng màu vàng nham thạch nóng chảy!Chương 509: Chiến! 
 Converter Dzung Kiều cầu phiếu 

	"Chúng ta sự việc trước để một bên, hợp tác!"

	Lý Duy trên trán gồ lên một cái túi lớn, dáng vẻ không nói được tức cười, quay đầu cùng ngoài ra một vị may mắn còn sống sót võ giả hướng Bắc Phong áp sát.

	"Được !"

	Bắc Phong gật đầu một cái, sáng suốt lựa chọn, lúc này chỉ có liên hiệp chung một chỗ, mới có một chút hy vọng chạy ra khỏi bay lên trời.

	"Ột ột ột!"

	Một đám thỏ lưu manh chậm rãi đến gần, giống như là không gấp trước đi truy đuổi chạy trốn đoàn người, đem Bắc Phong các người vây chung chỗ.

	Cách đó không xa một đầu thân hình cao lớn, nhưng là số tuổi rất già nua thỏ lưu manh sãi bước sao rơi đi tới.

	"Thiên tai!"

	Bắc Phong hư híp mắt, làm thấy được một đầu thỏ lưu manh trong tay ôm đồ sau đó, ngay tức thì ánh mắt sáng lên.

	Không chút do dự phát động thiên tai hồ thần thông, động một cái dùng chính là cấp 3 thiên tai!

	Không cần phải nói nhóm người này yêu thú đều là đối với Bắc Phong đoàn người mang địch ý mãnh liệt, là lấy hoàn toàn không có hạn chế.

	Một đầu núp ở trong hắc vụ, chỉ lộ ra một đôi mắt yêu thú ngưng mắt nhìn vậy một đầu thỏ lưu manh.

	Mà Bắc Phong lại không có dừng lại, cái thứ hai đối tượng chính là sãi bước sao rơi đi tới tướng mạo già nua thỏ lưu manh, ngoài ra tùy ý lựa chọn một đầu thỏ lưu manh.

	Một cổ quỷ dị chập chờn từ trên trời hạ xuống, ngay tức thì càn quét mà qua ba đầu thỏ lưu manh!

	"Ột ột ột!"

	Già nua thỏ lưu manh ngay tức thì nhảy một cái chừng trăm thước cao, đứng ở ngọn cây trên nhìn chung quanh, phương mới cảm giác được liền cường đại ác ý, nhưng là chừng nhìn chung quanh, nhưng là không tìm được chút nào mục tiêu.

	Một đám thỏ lưu manh ngẩng đầu, nhìn về phía bầu trời trên ngọn cây đứng thỏ lưu manh, còn có một đầu thỏ lưu manh cầm trong tay một cây giống như ong nghệ đuôi sau kim vậy nhọn vũ khí, phía trên hiện đầy vô số đảo câu, nhẹ nhàng quét cũng sẽ bị soàn soạt hạ một mảng lớn máu thịt.

	Đầu này thỏ lưu manh hơi thở mạnh, đứng sau bầu trời đầu kia già nua thỏ lưu manh.

	"Ột ột ột!"

	Bầu trời, già nua thỏ lưu manh nghi thần nghi quỷ nửa ngày, nhưng là không có bất kỳ phát hiện gì, trong ánh mắt thoáng qua nghi ngờ, nhưng cuối cùng cũng chỉ là cho rằng là mình ảo giác.

	"Ngâm!"

	Một đầu bất quá 3m chiều rộng màu bạc lớn ưng ở trên bầu trời cao quanh quẩn, tiếng kêu to tràn đầy kim loại cảm nhận, đối với ánh mắt sắc bén nhìn chằm chằm trên ngọn cây thỏ lưu manh.

	Hai cánh dùng sức chấn động một cái, tốc độ nhanh, lên trong nháy mắt vẫn còn ở ngàn thước trên không, một khắc sau liền xuất hiện ở đây đầu già nua thỏ lưu manh phía trước 10m!

	"Ột ột ột!"

	Đầu này già nua thỏ lưu manh thốt nhiên giận dữ, không nói hai lời, thao cả người bắp thịt kinh khủng liền cùng đầu này màu bạc lớn ưng đánh nhau.

	Phía dưới một đám thỏ lưu manh lẩm bẩm kêu, Bắc Phong đoàn người thì giống như là thành người ngoài cuộc đang xem kịch vậy.

	"Thật là mạnh, ta bây giờ còn chưa phải là đối thủ."

	Bắc Phong nhìn phía trên 2 thú đánh giết, so sánh một chút thực lực của mình, lắc đầu một cái.

	"Gia chủ, cái này 2 con yêu thú đều là trăm năm cảnh tột cùng, hẳn coi là nửa bước ngàn năm vương."

	Lữ Bố thần sắc ngưng trọng, cái này 2 con yêu thú mình đối với bất kỳ một đầu cũng không có đem cầm.

	Đinh tai nhức óc tiếng va chạm, tiếng gào thét vang khắp Vân Tiêu, từng cây một như bạch kim chế tạo lông chim từ trên trời hạ xuống, căn căn nặng nề vô cùng, hết xuống mặt đất sau đó, rối rít cắm xuống đất.

	Màu bạc lớn mỏ ưng mỏ vô cùng sắc bén, ngay tức thì đâm vào thỏ lưu manh trong ánh mắt, tha đi ra một con mắt cầu!

	Thỏ lưu manh kêu thảm một tiếng, hai chân ngay tức thì hướng lên đạp một cái! Nhất thời để cho màu bạc lớn ưng một cái móng vuốt gãy lìa!

	Hai người đánh ra chân hỏa, đầy trời máu tươi cùng linh vũ từ trên trời hạ xuống!

	Cuối cùng thỏ lưu manh miễn cưỡng dùng còn sót một cái chân phải đá bể màu bạc lớn ưng đầu, mà màu bạc lớn ưng một cái hoàn hảo móng vuốt cũng là đâm xuyên qua thỏ lưu manh thân thể!

	Lưỡng bại câu thương! Thỏ lưu manh thảm thắng!

	Xoáy 2 con yêu thú từ trăm mét trên bầu trời rơi xuống, dây dưa chung một chỗ, thỏ lưu manh cũng không có khí lực phi hành.

	Phía dưới mấy chục đầu thỏ lưu manh mới vào lúc này giựt mình tỉnh lại, cầm ong nghệ đuôi sau châm thỏ lưu manh ngay tức thì một giẫm mặt đất, vọt tới 2 con yêu thú phía dưới.

	Một đầu con chuột giống vậy to mập yêu thú sợ hết hồn, nhìn mình trong huyệt động đột nhiên nhiều hơn một cây cường tráng chân, lúc này đầu này con chuột bộ dáng yêu thú lấy đánh vỡ toàn bộ tộc quần tốc độ, ôm cái này cái bắp đùi hung hăng cắn một cái!

	Loại này con chuột bộ dáng yêu thú thích nhất thức ăn là một loại kịch độc rắn, loại rắn này lăn lộn trên mình hạ đều là độc, loại độc này sẽ không chết, chỉ sẽ để cho người sống không bằng chết!

	Duy nhất đặc điểm chính là phóng đại trăm mười lần cảm giác đau đớn quan, giác quan đến trình độ này, coi như là gió thổi qua da, cũng biết cảm giác giống như là đao cắt vậy!

	Lúc này một cái chân bước vào con chuột bộ dáng thỏ lưu manh sững sốt một chút, sau đó phát ra một tiếng kinh thiên động địa kêu thảm thiết, ngay tức thì giống như là nhảy lên!

	Cái nhảy này không sao cả, nhưng phía trên chừng 10m già nua thỏ lưu manh coi như thảm.

	Cầm trong tay ong nghệ đuôi sau kim tràn đầy vô số mịn đảo câu vũ khí trực tiếp thọt vào phía trên rớt xuống già nua thỏ lưu manh cái đuôi phía dưới.

	May là Bắc Phong cái này người đầu têu thấy được một màn này cũng là cảm giác hoa cúc căng thẳng, phản xạ tính kẹp kẹp hai chân, cái này cmn nhìn đều đau.

	Ngoài ra mấy đầu thỏ lưu manh chậm một bước, nhìn một màn này trực tiếp ngây ngẩn, vẻ kiêu ngạo ngốc manh nhìn già nua thỏ lưu manh vậy vặn vẹo vô cùng sắc mặt, lấy bọn chúng chỉ số thông minh không biết chuyện gì xảy ra, nhưng nhìn già nua thỏ lưu manh diễn cảm, mấy đầu thỏ lưu manh cảm giác cả người lạnh sưu sưu, có chút sợ hãi.

	"Ột ột ột!"

	Bị con chuột bộ dáng yêu thú cắn thỏ lưu manh rơi trên mặt đất, dùng sức hướng về phía mình bị cắn vết thương xuy khí, càng thổi càng cảm giác đau.

	Một đầu cầm trong tay màu đen tròn bánh vậy thỏ lưu manh đem trong tay màu đen đồ để dưới đất, đặt mông ngồi ở phía trên, hai cái lỗ tai to đóa dùng sức lay động.

	Chẳng biết tại sao, thỏ lưu manh cảm giác mình dưới mông ngồi tròn bánh có chút nóng lên.

	"Ầm!"

	Sau đó không có sau đó, mãnh liệt ánh sáng thoáng qua, một đạo đợt khí để cho vô số cây lớn gãy, một đóa mây hình nấm Nhiễm Nhiễm dâng lên!

	Bụi mù tản đi sau đó, chu vi ba trăm thước mặt đất trực tiếp xuất hiện kết tinh hóa!

	Mấy đầu rách rưới thỏ lưu manh thi thể xuất hiện giữa sân, lăn lộn thân bốc khói mù màu đen.

	"Ừng ực!"

	Lý Duy không nhịn được nuốt nước miếng một cái, quá quỷ dị! Hết thảy các thứ này trùng hợp quá dọa người!

	Lữ Bố các người cũng là cảm giác cổ sau lạnh cả người, giống như là có người ở sau lưng xuy khí vậy.

	Một đám thỏ lưu manh cũng là vẻ kiêu ngạo ngốc manh, tình huống gì?

	Một màn quỷ dị xuất hiện, một đám thỏ lưu manh đỏ mắt cùng Bắc Phong đoàn người đối mặt, trong mắt không có hung ác, ngược lại là mê mang.

	"Ột ột ột!"

	Một khắc sau, đầu óc có hạn thỏ lưu manh nói ra đánh liền đánh, bốn mươi mấy đầu thỏ lưu manh hướng Bắc Phong một đám người nhào tới!

	"Thùy thiên chi dực!"

	Vô cùng sắc bén thùy thiên chi dực ngay tức thì chém giết ba đầu thỏ lưu manh!

	Mà Bắc Phong cũng là gắng gượng vác bốn đầu thỏ lưu manh công kích, bị chấn liên tiếp lui về phía sau, khóe miệng trào máu.

	"Đóng băng ngàn dặm!"

	Lý Duy hai tay đột nhiên đè xuống đất, trên trăm cây to lớn kiên cố cột băng ngay tức thì nhô ra, không thiếu thỏ lưu manh trực tiếp bị đâm tổn thương.

	"Mưa gió chưởng!"

	Một đạo tiếng gào kinh thiên động địa truyền tới, để cho Bắc Phong không khỏi nhín thời giờ hướng tiếng gào truyền tới phương hướng nhìn.

	Một cả người to con, Cát Phi hộ vệ trực tiếp thân hình giương cao 1m, một chưởng đánh ra, uy thế vô lượng!

	Một khắc sau cái này tên hộ vệ liền bị năm sáu đầu thỏ lưu manh một cước đạp chết, để cho Bắc Phong không nói, thanh thế lớn như vậy có chỗ nào dùng.

	Lữ Bố đoàn người vây quanh chung một chỗ, tạo thành một cái đơn giản nhất chiến trận, không cầu có công, nhưng cầu không qua, mặc dù không có nhân viên thương vong, nhưng vẫn là lần lượt tháo chạy, nếu không phải Lữ Bố chống, đã sớm xuất hiện chết.

	Lúc này Bắc Phong cùng Lý Duy lưng tựa lưng, từng đạo cường đại công kích mang đi từng cái sinh mạng!

	Bắc Phong thân thể mạnh mẽ, nhưng là những tên lưu manh này thỏ lực chân quá mạnh mẽ, đánh phải mấy đá Bắc Phong đều cảm giác không gánh nổi.

	Lăn lộn thân ngũ tạng lục phủ giống như lệch vị trí vậy, khí huyết cuồn cuộn.

	"Gấu ưng kích!"

	Bắc Phong càng đánh càng mạnh, thương thế mặc dù rất nặng, nhưng là đánh giết sanh tử như vậy Bắc Phong đối với thân thể nắm trong tay cũng ở đây ổn định leo lên!

	Một kích gấu ưng kích trực tiếp đánh bể chín đầu thỏ lưu manh, chiến quả phi phàm!

	Mà bên kia Lý Duy giống vậy liều mạng, một tòa băng sơn hiện lên đỉnh đầu, ngay tức thì hướng hai mươi lai lịch thỏ lưu manh trấn áp xuống!

	" Ầm!"

	Chừng mười đầu thỏ lưu manh trực tiếp dùng sức đạp một cái, ừ lớn băng sơn giảm xuống tốc độ một lần, rồi sau đó bể tan tành.

	Nhưng đậm đà khí lạnh hay là để cho cái này chừng mười đầu thỏ lưu manh động tác xuất hiện cứng ngắc, bị Bắc Phong đánh bể!

	"Ột ột ột!"

	Ba đầu thỏ lưu manh hướng Bắc Phong đạp tới, tốc độ nhanh, để cho Bắc Phong đều có chút không thấy rõ!

	"Liệt địa rìu!"

	Bắc Phong chân phải hung hăng giẫm một cái mặt đất, dưới chân không có sụp đổ ra một cái hố to, nhưng Bắc Phong hai chân đứng ra nhưng là xuất hiện vô số to bằng bắp đùi vết rách!

	Mấy chục đạo thương màu xanh thú rồng quanh quẩn lưỡi rìu từ trong khe xuất hiện, hướng ba đầu thỏ lưu manh chém tới!

	"Đang đang!"

	Một cái đem lưỡi rìu bị thỏ lưu manh đá bể, nhưng là Bắc Phong chỉ là vì trì hoãn một giây không tới thời gian mà thôi!

	"Chiến rồng rìu!"

	Một khắc sau, Bắc Phong chân trái làm trung tâm, toàn bộ thân thể vặn vẹo đến một cái khoa trương góc độ, chân phải như roi, hung hãn hướng ba đầu thỏ lưu manh quất đi ra ngoài!

	Sáng chói thương màu xanh rìu lớn từ Bắc Phong dưới chân xuất hiện, hướng ba đầu thỏ lưu manh cắt ngang đi!

	"Hô hô!"

	Bắc Phong từng ngụm từng ngụm thở hổn hển, tiêu hao quá lớn.

	Ngắm nhìn bốn phía, trong sân còn dư lại chừng mười đầu thỏ lưu manh, Lý Duy chẳng biết lúc nào nằm trên đất, sống chết không biết.

	"Những thứ yêu thú này giống như là giống như điên, không có nửa điểm cảm giác sợ hãi, không được, mau rời khỏi nơi này, mùi máu tanh càng ngày càng nặng."

	Bắc Phong âm thầm nghĩ trước.

	Đậm đà mùi máu tanh ở trong không khí trôi giạt, Bắc Phong nhất tâm nhị dụng, ngăn cản năm sáu đầu thỏ lưu manh, còn dư lại thỏ lưu manh bị Lữ Bố kềm chế.

	"Mặt trăng! Mặt trời! Lửa!"

	Bắc Phong hai ngón tay hướng mi để tâm một chút, tinh cung trước ba tầng cửa ầm ầm mở!

	Ba đầu cao đến 10m tinh thần xuất hiện, lăn lộn thân tản ra đậm đà thuộc tính chập chờn!

	Ba tôn tinh thần mỗi người đối với một đầu thỏ lưu manh, thái dương tinh trong tay phải xuất hiện một đóa nửa thước cao nhỏ hết sức ngọn lửa, coi như là bị lướt qua một chút, cũng sẽ phải chịu kinh khủng tổn thương!

	Chẳng qua là mấy cái lóe lên bây giờ, cùng thỏ lưu manh lần lượt thay nhau mà qua thái dương tinh trên lòng bàn tay liền xuất hiện một viên đập tim.

	Mà ngọn lửa quân vương chính là như núi bất động, tầng 1 sâm bạch ngọn lửa trên thân thể cháy, không có tự mình động thủ, một cái dài độc giác trăn dung nham ngay tức thì hóa thành một cái lửa giao!

