Ầm ầm!

	Đại địa run rẩy, kịch liệt chấn động.
	Dù sao, chỉ dựa vào đạn hạt nhân coi như có thể dọa lùi hắn, thế nhưng là dọa lùi lần này, kia lần thứ hai đâu?

	Đây cũng không phải là kế lâu dài, đổi lại hắn là Ma đế, hắn tuyệt sẽ không dùng ngu xuẩn như vậy thủ đoạn đến bảo mệnh.

	Vị này Ma đế đàm phán lúc không có chút nào chịu thua, như thế kiên cường, cuối cùng thủ đoạn cũng bất quá là đồng quy vu tận thôi, loại cảm giác này... Tựa như là hắn lúc đầu không có ý định có thể sống sót, sớm đã chuẩn bị dẫn bạo đạn hạt nhân.

	Nếu là như vậy, hắn cần gì phải nói kia vài câu không có chút nào đàm phán ý nghĩa, đến bại lộ hắn ý nghĩ? Nếu như đạn hạt nhân không hề có điềm báo trước bộc phát, cho thương tổn của hắn càng nặng, thậm chí có khả năng giết hắn!

	Nghĩ đến đủ loại này chỗ quái dị, Dodian đột nhiên tỉnh ngộ lại, vị này tự bạo "Ma đế", có lẽ chỉ là một đoạn ghi âm, hay là một cái thế thân thôi!

	Chân chính Ma đế, còn chưa chết!

	Hắn bỗng nhiên ngẩng đầu, quét hướng bốn phía, năng lực nhận biết điên cuồng càn quét, bao phủ phụ cận núi cao cùng rừng rậm, nếu như Ma đế không chết, tất nhiên sẽ chú ý tình huống nơi này.

	Rất nhanh, cảm giác của hắn lĩnh vực khuếch trương đến cực hạn, đem phụ cận mấy trăm dặm động tĩnh cùng tất cả động vật tất cả đều khóa chặt, cũng không có cảm giác được vị kia Ma đế khí tức.

	"Cẩn thận gia hỏa, đã rời đi sao, còn tiện thể xóa đi mùi." Dodian ánh mắt lóe lên, thu hồi lưới cảm giác, mặc kệ như thế nào, hắn có thể trăm phần trăm kết luận, vị này Ma đế không có chết.

	Tất nhiên không chết, tất nhiên sẽ núp trong bóng tối sống tạm, tiếp tục mưu đồ.

	"Trong hoàng thành phi tử đều là Hoang Thần, ngay cả mình phi tử đều chuẩn bị chôn cùng, xem ra Hoang Thần nhất tộc, cũng không phải chỉ có hắn một người, khẳng định còn có kéo dài con cháu mẫu chủng!" Dodian ánh mắt lấp lóe, suy tư một lát, cuối cùng tạm thời đè xuống đối với Ma đế truy cứu, cái sau tránh núp trong bóng tối, lại trí tuệ hơn người, muốn bắt tới gần như không có khả năng, thà rằng như vậy, không bằng trước hoàn thành mình sự tình.

	Bây giờ Ma đế tránh lui, Đế đô cơ hồ đã rơi vào tay của hắn, cái này Địa Cầu thiên hạ, hắn đã cơ hồ hoàn toàn siết trong tay.

	"Đợi khi tìm được Halysa, lúc rảnh rỗi, bồi dưỡng một nhóm Vương giả, lên trời xuống đất, cũng không tin tìm không thấy tung tích của hắn!" Dodian thầm nghĩ trong lòng, coi như không có tìm được vị này Ma đế, hắn cũng không thèm để ý, dù sao lấy hắn bây giờ thân phận, muốn ám sát hắn gần như không có khả năng, coi như Ma đế vận dụng khoa học kỹ thuật sức mạnh, viễn trình phóng ra tên lửa xuyên lục địa đồng dạng vũ khí đến tiến công hắn chỗ khu vực, cũng vô pháp làm bị thương hắn.

	Hắn chỉ cần hưởng thụ chính mình thắng quả, chờ có rảnh liền phái người truy xét Ma đế, để cái sau trở thành chó nhà có tang, tại trong bóng tối ẩn núp đến khó lấy chịu đựng mới thôi.

	Nghĩ thông suốt những này, hắn cảm giác đáy lòng một tia không thoải mái cũng tiêu tán, lúc này quay người, mang theo Neuss cùng Oa Thần bọn người cách bắt, bắt đầu thu phục toàn bộ Đế đô!

==============
Tác giả: Vốn định cuối tháng kết thúc, tháng sau nghỉ ngơi một tuần mở sách mới, hiện tại cái này tiến độ xem ra là không nghỉ ngơi được(-. -). . .Ầm ầm!

	Đại địa run rẩy, kịch liệt chấn động.

	Nóng sáng cột sáng đem toàn bộ Hoàng thành bao phủ ở bên trong, chờ cột sáng tiêu tán, chỉ còn lại có ù ù dâng lên đám mây hình cây nấm khổng lồ, cùng che khuất bầu trời sương mù, mà đã từng phồn hoa như gấm, để vô số Đế đô cư dân đạp lâm nơi đây đều cảm thấy rất cảm thấy vinh quang Hoàng thành, tại bụi mù hạ đã bị san thành bình địa, chỉ còn lại có một phiến đất hoang vu, giống đại địa bị xé mở một khối vết thương máu chảy dầm dề, bốc khói lên, chảy máu.

	Chấn động!

	Rung động dữ dội!

	Dodian có thể cảm nhận được đỉnh đầu cùng chung quanh tất cả đất đai, đều tại co vào rung động, giống như là chấn kinh động vật, tại rút lại chính mình lỗ chân lông.

	Ngoài ra, nhiệt độ nóng bỏng từ bốn phương tám hướng bao trùm tới, đem hắn giác quan hoàn toàn lấp đầy, vây quanh, tựa hồ tắm rửa tại một mảnh nóng hổi nóng bỏng máu tươi bên trong, giờ khắc này hắn cảm giác bản thân là nhỏ bé như vậy, đối với toàn bộ đại địa tới nói, hắn tựa như cơ thể người trên thân một con muỗi, thậm chí liền con muỗi đều không phải, chỉ là một viên nhỏ bé vi khuẩn!

	Hắn trong lồng ngực phần chính máy móc vận chuyển hết tốc lực, hắn tựa hồ có thể nghe được phần chính máy móc vận chuyển lúc tiếng ông ông vang, ở bên ngoài cơ thể hắn tổ chức, điên cuồng phân tách rồi lại tái tạo, phun ra ngọn lửa nóng bỏng, cùng ngoại giới nhiệt độ hỗn hợp, hắn không có chế tạo băng lạnh đến suy yếu cái này nhiệt độ cao khủng khiếp, nếu không không ngừng hòa tan băng lạnh hóa thành hơi nước, đủ để đem liền hắn ở bên trong Neuss bọn người, tất cả đều chưng chín.

	Tương phản, dùng nhiệt độ thấp ngọn lửa lẫn vào bên ngoài nhiệt độ cao bên trong, ngược lại có thể từng bước ngăn cản cái này vụ nổ hạt nhân kinh khủng nhiệt độ cao.

	Tại máy móc một lần lại một lần chế tạo tân sinh cơ thể ngăn cản nhiệt độ cao bên trong, cũng không biết trôi qua bao lâu, bên ngoài nhiệt độ cao dần dần giảm xuống, không có mới đầu như vậy doạ người, cùng lúc đó, Dodian cảm giác Oa Thần mang lấy bọn hắn chui vào tới lòng đất cực sâu vị trí, cách xa bên kia vụ nổ hạt nhân khu trung tâm.

	Đợi đến dần dần khôi phục lại bình tĩnh, Dodian mới khiến cho Oa Thần dẫn bọn hắn từ một chỗ khác rời đi.

	Sưu!

	Oa Thần phân ra một mảnh lá sen xúc thể vòng quanh Dodian cùng Neuss bọn người, trong lòng đất phi tốc tiến lên, một lát sau liền xuất hiện tại bên ngoài mấy trăm dặm một chỗ tầng nham thạch bên trong, sau đó phá đất mà lên.

	Vừa tới tới mặt đất, một cỗ nóng rực gió phất đến, để Dodian che chở bên trong Neuss bọn người cảm giác giống hút vào ngọn lửa, lồng ngực nóng bỏng, cơ hồ muốn thiêu đốt, lúc này khó chịu kịch liệt ho khan.

	Dodian đưa mắt nhìn lại, từ khoảng cách đến xem, nơi này là bên ngoài hoàng thành vùng đất xanh tốt, nhưng giờ phút này tất cả đều là đất khô cằn.

	Tầm mắt chuyển dời đến phía trước vụ nổ hạt nhân khu vực, trong không khí nhiệt độ cao trở nên vặn vẹo.

	Toàn bộ Hoàng thành, toàn đều không thấy, chỉ còn lại có một mảnh mấy chục năm đều không có một ngọn cỏ đất khô cằn!

	Dodian giật mình, Ma đế đại thủ bút, cho dù là hắn cũng cảm thấy giật mình, đột nhiên cảm giác được lòng dạ của mình vẫn là quá nhỏ, nếu như lại lớn một chút, có lẽ liền có thể nghĩ đến điểm này.

	Bất quá, hắn biết được Oa Thần tiềm lực, cho nên tại phát hiện bên trong thành phố chôn giấu tên lửa đạn đạo lúc, cũng không có bối rối, đạn hạt nhân nổ tung với hắn mà nói, cũng không tính nhiều đại uy hiếp, chỉ là đáng tiếc toà này Hoàng thành.

	Đây chính là Ma đế hang ổ, ai cũng không biết nơi này chôn giấu bao nhiêu Hoang Thần nhất tộc bí mật, bây giờ lại tất cả đều theo toàn thành con dân, cùng nhau tan thành mây khói.

	"Ngươi không sao chứ?" Dodian thu hồi ánh mắt, nhìn thoáng qua y nguyên ở vào hoa sen trạng Oa Thần.

	Oa Thần nghe vậy co vào về vài miếng lá sen, từ bên trong lộ ra một tấm to lớn tuyết trắng mặt, khéo léo nói: "Ta không sao, chỉ tiếc thứ này bộc phát quá nhanh, nếu là chậm một chút, ta liền có thể toàn bộ hấp thu ăn hết, khẳng định rất mỹ vị."

	Dodian ngạc nhiên, nuốt ăn đạn hạt nhân?

	Hắn cẩn thận suy nghĩ một chút, đột nhiên cảm giác được, Oa Thần nói tựa hồ cũng không phải hoàn toàn không cách nào làm được sự tình, chỉ cần bọn hắn hấp thu năng lượng tốc độ, có thể đuổi được đạn hạt nhân bộc phát tốc độ, liền có thể đồng bộ chuyển đổi.

	Chỉ là, cái này rất khó, với hắn mà nói là không thể nào, dù sao phần chính máy móc có cực hạn, khó có thể chịu đựng. Nhưng Oa Thần làm vì Chân Thần, tiềm lực vô tận, nhiều hơn rèn luyện, có lẽ tại rất có thể làm được.

	"Thần thật là cái kinh khủng đồ vật a..." Dodian càng nghĩ càng là ngạc nhiên, hắn nghĩ tới Neuss bọn người, quay người dùng Nhìn xuyên xem xét nhìn thoáng qua, phát hiện chỉ có hai vị Aurora thân tín khoảng cách khá xa, chưa kịp kéo đến Oa Thần bên người, bị nhiệt độ cao bốc hơi không thấy, những người còn lại cơ bản đều không có trở ngại, chỉ là có chút bị phỏng thôi, giống Neuss cùng Aurora mấy vị Vương giả, càng là lông tóc không tổn hao gì.

	"Toàn bộ Hoàng thành không thấy."

	"Ông trời ơi."

	"Lão sư, đây chính là vị kia thống trị tất cả cự bích Ma đế làm sao?"

	Neuss bọn người đánh giá chung quanh, nhìn thấy núi cao xa xa cùng rừng rậm, lờ mờ phân biệt nhận ra mình vị trí, đều rung động đến nghẹn ngào, cái này Hoàng thành cho bọn hắn ấn tượng cực kỳ khắc sâu, lộng lẫy, hùng vĩ, bao la hùng vĩ, giờ phút này lại cái gì đều không thừa, cái để lại đầy mặt đất đất khô cằn, như thế thủ bút, quả thực là hủy thiên diệt địa!

	Dodian khẽ gật đầu, đột nhiên trong lòng hơi động, cảm giác được có một tia chỗ quái dị, chính mình tựa hồ sơ hở.

	"Lấy Hoàng thành ngàn vạn người cho ta chôn cùng, vị này Ma đế thủ bút mặc dù khí quyển, phù hợp thân phận của hắn, nhưng trước khi chết cử động, lại có chút quái dị." Dodian hồi tưởng lại lúc trước đủ loại, vị này Ma đế biểu hiện hơi có vẻ táo bạo, toàn vẹn không có trước đó thấy lúc bày mưu nghĩ kế bình tĩnh khí độ, đương nhiên đây có lẽ là bị buộc đến tuyệt cảnh, bại lộ ngụy trang bản tính.

	Rất nhiều người bình tĩnh, chỉ là bởi vì có lưu dư lực thôi.

	Thế nhưng là kỳ quái một điểm lại là, lấy vị này Ma đế tâm tính, không thể lại lưu ở nơi đây chờ chết, cùng hắn đồng quy vu tận.

	Dù sao, chỉ dựa vào đạn hạt nhân coi như có thể dọa lùi hắn, thế nhưng là dọa lùi lần này, kia lần thứ hai đâu?

	Đây cũng không phải là kế lâu dài, đổi lại hắn là Ma đế, hắn tuyệt sẽ không dùng ngu xuẩn như vậy thủ đoạn đến bảo mệnh.

	Vị này Ma đế đàm phán lúc không có chút nào chịu thua, như thế kiên cường, cuối cùng thủ đoạn cũng bất quá là đồng quy vu tận thôi, loại cảm giác này... Tựa như là hắn lúc đầu không có ý định có thể sống sót, sớm đã chuẩn bị dẫn bạo đạn hạt nhân.

	Nếu là như vậy, hắn cần gì phải nói kia vài câu không có chút nào đàm phán ý nghĩa, đến bại lộ hắn ý nghĩ? Nếu như đạn hạt nhân không hề có điềm báo trước bộc phát, cho thương tổn của hắn càng nặng, thậm chí có khả năng giết hắn!

	Nghĩ đến đủ loại này chỗ quái dị, Dodian đột nhiên tỉnh ngộ lại, vị này tự bạo "Ma đế", có lẽ chỉ là một đoạn ghi âm, hay là một cái thế thân thôi!

	Chân chính Ma đế, còn chưa chết!

	Hắn bỗng nhiên ngẩng đầu, quét hướng bốn phía, năng lực nhận biết điên cuồng càn quét, bao phủ phụ cận núi cao cùng rừng rậm, nếu như Ma đế không chết, tất nhiên sẽ chú ý tình huống nơi này.

	Rất nhanh, cảm giác của hắn lĩnh vực khuếch trương đến cực hạn, đem phụ cận mấy trăm dặm động tĩnh cùng tất cả động vật tất cả đều khóa chặt, cũng không có cảm giác được vị kia Ma đế khí tức.

	"Cẩn thận gia hỏa, đã rời đi sao, còn tiện thể xóa đi mùi." Dodian ánh mắt lóe lên, thu hồi lưới cảm giác, mặc kệ như thế nào, hắn có thể trăm phần trăm kết luận, vị này Ma đế không có chết.

	Tất nhiên không chết, tất nhiên sẽ núp trong bóng tối sống tạm, tiếp tục mưu đồ.

	"Trong hoàng thành phi tử đều là Hoang Thần, ngay cả mình phi tử đều chuẩn bị chôn cùng, xem ra Hoang Thần nhất tộc, cũng không phải chỉ có hắn một người, khẳng định còn có kéo dài con cháu mẫu chủng!" Dodian ánh mắt lấp lóe, suy tư một lát, cuối cùng tạm thời đè xuống đối với Ma đế truy cứu, cái sau tránh núp trong bóng tối, lại trí tuệ hơn người, muốn bắt tới gần như không có khả năng, thà rằng như vậy, không bằng trước hoàn thành mình sự tình.

	Bây giờ Ma đế tránh lui, Đế đô cơ hồ đã rơi vào tay của hắn, cái này Địa Cầu thiên hạ, hắn đã cơ hồ hoàn toàn siết trong tay.

	"Đợi khi tìm được Halysa, lúc rảnh rỗi, bồi dưỡng một nhóm Vương giả, lên trời xuống đất, cũng không tin tìm không thấy tung tích của hắn!" Dodian thầm nghĩ trong lòng, coi như không có tìm được vị này Ma đế, hắn cũng không thèm để ý, dù sao lấy hắn bây giờ thân phận, muốn ám sát hắn gần như không có khả năng, coi như Ma đế vận dụng khoa học kỹ thuật sức mạnh, viễn trình phóng ra tên lửa xuyên lục địa đồng dạng vũ khí đến tiến công hắn chỗ khu vực, cũng vô pháp làm bị thương hắn.

	Hắn chỉ cần hưởng thụ chính mình thắng quả, chờ có rảnh liền phái người truy xét Ma đế, để cái sau trở thành chó nhà có tang, tại trong bóng tối ẩn núp đến khó lấy chịu đựng mới thôi.

	Nghĩ thông suốt những này, hắn cảm giác đáy lòng một tia không thoải mái cũng tiêu tán, lúc này quay người, mang theo Neuss cùng Oa Thần bọn người cách bắt, bắt đầu thu phục toàn bộ Đế đô!

==============
Tác giả: Vốn định cuối tháng kết thúc, tháng sau nghỉ ngơi một tuần mở sách mới, hiện tại cái này tiến độ xem ra là không nghỉ ngơi được(-. -). . .Ầm ầm!

	Đại địa run rẩy, kịch liệt chấn động.

	Nóng sáng cột sáng đem toàn bộ Hoàng thành bao phủ ở bên trong, chờ cột sáng tiêu tán, chỉ còn lại có ù ù dâng lên đám mây hình cây nấm khổng lồ, cùng che khuất bầu trời sương mù, mà đã từng phồn hoa như gấm, để vô số Đế đô cư dân đạp lâm nơi đây đều cảm thấy rất cảm thấy vinh quang Hoàng thành, tại bụi mù hạ đã bị san thành bình địa, chỉ còn lại có một phiến đất hoang vu, giống đại địa bị xé mở một khối vết thương máu chảy dầm dề, bốc khói lên, chảy máu.

	Chấn động!

	Rung động dữ dội!

	Dodian có thể cảm nhận được đỉnh đầu cùng chung quanh tất cả đất đai, đều tại co vào rung động, giống như là chấn kinh động vật, tại rút lại chính mình lỗ chân lông.

	Ngoài ra, nhiệt độ nóng bỏng từ bốn phương tám hướng bao trùm tới, đem hắn giác quan hoàn toàn lấp đầy, vây quanh, tựa hồ tắm rửa tại một mảnh nóng hổi nóng bỏng máu tươi bên trong, giờ khắc này hắn cảm giác bản thân là nhỏ bé như vậy, đối với toàn bộ đại địa tới nói, hắn tựa như cơ thể người trên thân một con muỗi, thậm chí liền con muỗi đều không phải, chỉ là một viên nhỏ bé vi khuẩn!

	Hắn trong lồng ngực phần chính máy móc vận chuyển hết tốc lực, hắn tựa hồ có thể nghe được phần chính máy móc vận chuyển lúc tiếng ông ông vang, ở bên ngoài cơ thể hắn tổ chức, điên cuồng phân tách rồi lại tái tạo, phun ra ngọn lửa nóng bỏng, cùng ngoại giới nhiệt độ hỗn hợp, hắn không có chế tạo băng lạnh đến suy yếu cái này nhiệt độ cao khủng khiếp, nếu không không ngừng hòa tan băng lạnh hóa thành hơi nước, đủ để đem liền hắn ở bên trong Neuss bọn người, tất cả đều chưng chín.

	Tương phản, dùng nhiệt độ thấp ngọn lửa lẫn vào bên ngoài nhiệt độ cao bên trong, ngược lại có thể từng bước ngăn cản cái này vụ nổ hạt nhân kinh khủng nhiệt độ cao.

	Tại máy móc một lần lại một lần chế tạo tân sinh cơ thể ngăn cản nhiệt độ cao bên trong, cũng không biết trôi qua bao lâu, bên ngoài nhiệt độ cao dần dần giảm xuống, không có mới đầu như vậy doạ người, cùng lúc đó, Dodian cảm giác Oa Thần mang lấy bọn hắn chui vào tới lòng đất cực sâu vị trí, cách xa bên kia vụ nổ hạt nhân khu trung tâm.

	Đợi đến dần dần khôi phục lại bình tĩnh, Dodian mới khiến cho Oa Thần dẫn bọn hắn từ một chỗ khác rời đi.

	Sưu!

	Oa Thần phân ra một mảnh lá sen xúc thể vòng quanh Dodian cùng Neuss bọn người, trong lòng đất phi tốc tiến lên, một lát sau liền xuất hiện tại bên ngoài mấy trăm dặm một chỗ tầng nham thạch bên trong, sau đó phá đất mà lên.

	Vừa tới tới mặt đất, một cỗ nóng rực gió phất đến, để Dodian che chở bên trong Neuss bọn người cảm giác giống hút vào ngọn lửa, lồng ngực nóng bỏng, cơ hồ muốn thiêu đốt, lúc này khó chịu kịch liệt ho khan.

	Dodian đưa mắt nhìn lại, từ khoảng cách đến xem, nơi này là bên ngoài hoàng thành vùng đất xanh tốt, nhưng giờ phút này tất cả đều là đất khô cằn.

	Tầm mắt chuyển dời đến phía trước vụ nổ hạt nhân khu vực, trong không khí nhiệt độ cao trở nên vặn vẹo.

	Toàn bộ Hoàng thành, toàn đều không thấy, chỉ còn lại có một mảnh mấy chục năm đều không có một ngọn cỏ đất khô cằn!

	Dodian giật mình, Ma đế đại thủ bút, cho dù là hắn cũng cảm thấy giật mình, đột nhiên cảm giác được lòng dạ của mình vẫn là quá nhỏ, nếu như lại lớn một chút, có lẽ liền có thể nghĩ đến điểm này.

	Bất quá, hắn biết được Oa Thần tiềm lực, cho nên tại phát hiện bên trong thành phố chôn giấu tên lửa đạn đạo lúc, cũng không có bối rối, đạn hạt nhân nổ tung với hắn mà nói, cũng không tính nhiều đại uy hiếp, chỉ là đáng tiếc toà này Hoàng thành.

	Đây chính là Ma đế hang ổ, ai cũng không biết nơi này chôn giấu bao nhiêu Hoang Thần nhất tộc bí mật, bây giờ lại tất cả đều theo toàn thành con dân, cùng nhau tan thành mây khói.

	"Ngươi không sao chứ?" Dodian thu hồi ánh mắt, nhìn thoáng qua y nguyên ở vào hoa sen trạng Oa Thần.

	Oa Thần nghe vậy co vào về vài miếng lá sen, từ bên trong lộ ra một tấm to lớn tuyết trắng mặt, khéo léo nói: "Ta không sao, chỉ tiếc thứ này bộc phát quá nhanh, nếu là chậm một chút, ta liền có thể toàn bộ hấp thu ăn hết, khẳng định rất mỹ vị."

	Dodian ngạc nhiên, nuốt ăn đạn hạt nhân?

	Hắn cẩn thận suy nghĩ một chút, đột nhiên cảm giác được, Oa Thần nói tựa hồ cũng không phải hoàn toàn không cách nào làm được sự tình, chỉ cần bọn hắn hấp thu năng lượng tốc độ, có thể đuổi được đạn hạt nhân bộc phát tốc độ, liền có thể đồng bộ chuyển đổi.

	Chỉ là, cái này rất khó, với hắn mà nói là không thể nào, dù sao phần chính máy móc có cực hạn, khó có thể chịu đựng. Nhưng Oa Thần làm vì Chân Thần, tiềm lực vô tận, nhiều hơn rèn luyện, có lẽ tại rất có thể làm được.

	"Thần thật là cái kinh khủng đồ vật a..." Dodian càng nghĩ càng là ngạc nhiên, hắn nghĩ tới Neuss bọn người, quay người dùng Nhìn xuyên xem xét nhìn thoáng qua, phát hiện chỉ có hai vị Aurora thân tín khoảng cách khá xa, chưa kịp kéo đến Oa Thần bên người, bị nhiệt độ cao bốc hơi không thấy, những người còn lại cơ bản đều không có trở ngại, chỉ là có chút bị phỏng thôi, giống Neuss cùng Aurora mấy vị Vương giả, càng là lông tóc không tổn hao gì.

	"Toàn bộ Hoàng thành không thấy."

	"Ông trời ơi."

	"Lão sư, đây chính là vị kia thống trị tất cả cự bích Ma đế làm sao?"

