Chương 775: Sẽ không khởi tựa đề liền 
 Converter Dzung Kiều cầu phiếu 

	Bất quá mình thật giống như thật đúng là sẽ không đem hắn như thế nào.
	Mà làm hắn bộ phim đầu tiên vỗ sau khi ra ngoài, liền được Lý Nhiễm muốn đặt, có thể nói giám đốc Chương một đường đi bộ thật là giống như trong tiểu thuyết mở ra treo vậy xuôi gió xuôi nước, dùng tiểu thuyết lời nói, đó chính là nhân vật chính hào quang đang tác quái.

	Bất quá hắn cũng không khỏi không bội phục mình, bởi vì là mình tựa như đi theo tiểu thuyết nhân vật chính nhân vật vậy, làm Chương Tiểu Vĩ một ngày lấy được lúc này mình cũng không đi theo thăng thiên, bây giờ bất chánh là thế này phải không.

	Nếu như không có Chương Tiểu Vĩ, hỏi dò ở TQ, có tư cách để cho Lý Nhiễm cho hắn người lái xe, phỏng đoán một cái bàn tay cũng có thể đếm rõ ràng, càng không cần phải nói hắn lúc này an nhàn ngồi ở chỗ nầy, hết thảy các thứ này đều là bởi vì là Chương Tiểu Vĩ mà thay đổi.

	Mà mình ở thành phố Vọng Hải mấy chục căn hộ bất chánh thức bằng vào liền Chương Tiểu Vĩ, mới có sao? Bây giờ thành phố Vọng Hải giá phòng.

	Cùng hắn mua thời điểm giá tiền đã tăng 80%, còn nữa là 20%, liền lật gấp đôi, hắn liền chuẩn bị vào lúc đó hậu xuất thủ trước một nửa, đem Chương Tiểu Vĩ năm mươi triệu trước còn.

	"Tiểu Vĩ, chúng ta trước ở chỗ này ăn khuya đi, chờ một chút ta ở đưa các người đi khách sạn!" Lý Nhiễm ngừng xe ở liền một nhà nhà hàng tây cửa, xem ra nàng là thường xuyên tới nơi này, cho nên đối với nơi này có thể nói là quen cửa quen nẻo.

	"Chị Lý, ngài tới rồi!" Làm Lý Nhiễm mới vừa đậu xe xong, đứng ở cửa tiếp đãi một đường chạy chậm đi tới Lý Nhiễm bên cạnh xe, mặt mỉm cười nói, như vậy có thể gặp đối phương là biết Lý Nhiễm bảng số xe.

	" Ừ, ngựa nhỏ, ngày hôm nay ta muốn tiếp đãi khách quý, ngươi cho ta chuẩn bị một gian tĩnh lặng phòng V.I.P đi!" Làm sau khi xe dừng lại, Lý Nhiễm lấy ra một cái màu sắc hơi thiển sắc mắt kiếng mang theo đứng lên.

	Ngựa nhỏ nghe Lý Nhiễm mà nói, không khỏi hướng bên trong xe nhìn một cái, chẳng qua là làm hắn thấy ngồi ở vị trí kế bên tài xế một cái đầu óc tuổi tác nhìn qua so hắn còn nhỏ, tự nhiên liền coi thường.

	Dẫu sao ở hắn xem ra, có thể bị chị Lý gọi là khách quý, điểm thứ nhất người này liền không phù hợp, làm hắn chuẩn bị đi sau khi nhìn người ngồi, chỉ bất quá chỗ phía sau người kia lời nói thiếu chút nữa không đem hắn sặc chết.

	"Giám đốc Chương, các người đi ăn đi, ta ở trên xe cùng các người!" Dương Bác mới vừa cơm nước xong không cơm không bao lâu, cho nên cũng không dự định ở ăn, dẫu sao theo Chương Tiểu Vĩ giá trị con người một năm so một lớn tuổi, hắn có thể cảm giác được cùng hắn ăn cơm chung áp lực cũng càng ngày càng lớn.

	"Cùng đi ăn đi!" Chương Tiểu Vĩ mới vừa mở cửa xe, nghe Dương Bác lời nói chậm chạp một chút.

	Hắn có thể cảm giác đến, Dương Bác ở cùng mình kéo khoảng cách xa, hắn hiện Dương Bác hiện đang cùng mình cùng nhau ăn cơm, rất câu nệ.

	Lý Nhiễm cũng không nói lời nào, dẫu sao ở nàng nhìn lại, Dương Bác tối thiểu bây giờ còn chưa có để cho nàng coi trọng đến nước, mặc dù bộ phim này hắn là vai chính, nhưng là tối thiểu bây giờ còn chưa đỏ lên, dĩ nhiên một cái giải thưởng Kim ngưu nam phối hợp giải thưởng cũng là không thể đưa tới nàng coi trọng.

	"Ta mới vừa ăn rồi, các người. . . !" Dương Bác khổ sở cười nói.

	"Đi cùng đi, coi như uống thức uống, ngươi cũng cho ta ngồi đó bên trong!" Chương Tiểu Vĩ bất đồng Dương Bác nói xong, tức giận nói.

	Dương Bác thấy Chương Tiểu Vĩ đã 'hot', cũng không tốt ở cự tuyệt, ương ương xuống xe đi theo hai người sau lưng.

	Bữa ăn khuya ăn tương đối đơn giản, dẫu sao Lý Nhiễm vì chú trọng vóc người, mà Dương Bác ăn cơm trễ, Chương Tiểu Vĩ lại là ăn cơm tối mới tới, cho nên mấy người căn bản không được ăn thứ gì.

	Ngày thứ hai, Chương Tiểu Vĩ thật sớm đã thức dậy, ở bên trong phòng làm hơn một trăm cái hít đất sau đó, sau đó lại vọt một lần tắm nước nóng, mới đến dưới lầu ăn cái bữa ăn sáng.

	Chương Tiểu Vĩ sở hạ tháp khách sạn là truyền hình vệ tinh Tương Nam dưới cờ khách sạn, mà Chương Tiểu Vĩ đoàn làm phim ăn ở toàn bộ đều có công ty bảo hiểm Đại tây dương phụ trách.

	Bất quá coi như không có công ty Đại tây dương bỏ vốn, có Chương Tiểu Vĩ nhân khí, muốn đến truyền hình vệ tinh Tương Nam cũng biết an bài cho hắn ổn thoả.

	"Giám đốc Chương, sớm à!" Chương Tiểu Vĩ mới vừa bưng một phần bữa ăn sáng tìm một chỗ ngồi xuống tới, liền bị một cái thanh âm quen thuộc gọi lại.

	"Giám đốc Triệu, sớm à, tới, ngồi chung!" Chỉ gặp Triệu xuất xứ từ cũng bưng một phần bữa ăn sáng đi tới.

	"Giám đốc Chương, xấu hổ xấu hổ à! Ngày hôm qua vốn là nói đi phi trường đón ngươi, ngươi cũng biết, làm chúng ta chuyến đi này, ở nơi đó đều có đồng nghiệp và bạn, cái này không ngày hôm qua một xã giao, liền uống nhiều rồi, cho nên không có thể đi đón ngươi, ngươi hẳn sẽ không tức giận đi!" Triệu xuất xứ từ xấu hổ nói, dĩ nhiên như vậy mới có thể có mấy phần thật giả liền một không nhất định.

	"Không có sao, tối ngày hôm qua chị Lý tự mình nhận ta, phỏng đoán coi như ngươi đi, cũng phải lãng phí ngươi ý tốt."

	Chương Tiểu Vĩ vốn cũng không phải là một cái yêu so đo người, cho nên hắn căn bản không đem chuyện này để ở trong lòng, dẫu sao sau chuyện này, mọi người cũng không biết có còn hay không ở cơ hội hợp tác.

	"Ha ha, giám đốc Chương ngươi không tức giận liền quá tốt!" Triệu xuất xứ từ giới cười nói.

	"Giám đốc Chương, buổi trưa hôm nay ta ở vùng lân cận một nhà Đức Phúc lâu đặt tiệc, mời các người đoàn làm phim nhân trung trưa nhất định phải đến sân à!"

	"Có ăn, ta muốn đoàn làm phim người tự nhiên rất vui lòng, chẳng qua là lại để cho ngươi tốn kém à!" Chương Tiểu Vĩ nghe Triệu xuất xứ từ lời nói sau lạnh nhạt nói.

	"Giám đốc Chương, khách khí, cứ nói như vậy, như vậy buổi trưa không gặp không về à!"

	Bữa ăn sáng tương đối đơn giản, đến khi Chương Tiểu Vĩ ăn điểm tâm xong sau đó, đoàn làm phim những người này mới thưa thớt đi xuống.

	Đến khi tất cả mọi người ăn điểm tâm xong sau đó, ngồi lên truyền hình vệ tinh Tương Nam đã sớm ngừng ở bên ngoài xe minibus ở trên.

	Dĩ nhiên ở giữa lại không thiếu được một hồi hàn huyên, mọi người rối rít lấy Chương Tiểu Vĩ làm trung tâm, dính dấp các loại đề tài.

	Có thể nói đối với truyền hình vệ tinh Tương Nam, Chương Tiểu Vĩ đã là quen cửa quen nẻo, dẫu sao hắn ba năm thời gian đã tới 2 lần, tính luôn lần này, chính là lần thứ ba.

	Bất quá mỗi lần tới, truyền hình vệ tinh Tương Nam cho hắn cảm giác đều không cùng, cũng không phải là truyền hình vệ tinh Tương Nam cao ốc lại thêm cao, mà là bởi vì là mỗi lần hắn tới, nghênh đón người hắn nhân viên thì trở nên nhiều.

	"Đây chính là Chương Tiểu Vĩ à! Chúng ta TQ trẻ tuổi nhất đạo diễn!"

	"Không nghĩ tới đạo diễn lớn Chương Tiểu Vĩ lại có thể như thế trẻ tuổi, tự mình so trên Internet lên tấm ảnh còn muốn xấu xí một ít."

	"Xí, phi, ngươi có biết nói chuyện hay không, vậy kêu là so trên Internet tấm ảnh còn có vị nam nhân được không! Một cái liền si mê cô gái nói."

	Chương Tiểu Vĩ chỉ như vậy ở một đám người tiếng than thở trong đi tới ghi âm phát sóng ở giữa.

	"Đạo diễn Chương, để cho ngươi chê cười!" Quan Cửu là từ lầu 1 đem Chương Tiểu Vĩ đoàn người cho tiếp nối, có thể nói như vậy đãi ngộ cũng chỉ có ba đạo diễn lớn mới có đãi ngộ, dĩ nhiên bây giờ Chương Tiểu Vĩ thân phận địa vị cũng đã càng bọn họ.

	"Có tốt không!" Chương Tiểu Vĩ có chút kinh ngạc, chính hắn đều không cảm thấy bản thân có như thế lửa, ở hắn xem ra, đây chính là truyền hình vệ tinh Tương Nam vì để cho mình vui vẻ, đối với chính là như vậy.

	Người chủ trì Quan Cửu đem bọn họ đoàn người dẫn tới phía sau đài, rồi sau đó hắn cũng rời đi đi chuẩn bị cùng tiết mục tương quan một cần phải công việc đi.

	Thâu tiết mục có thể nói là khô khan vô vị, hơn một giờ tiết mục, dùng hai ngày mới thâu hoàn thành, bất quá cũng may bọn họ ăn ở đều có người phụ trách, nếu không phỏng đoán Chương Tiểu Vĩ đều phải đau lòng chết.

	Ngày thứ Hai, Chương Tiểu Vĩ cự tuyệt Lý Nhiễm giữ lại, sáng sớm liền ngồi lên chuyến đi thành phố Vọng Hải tàu cao tốc.

	Tiết mục là ghi chế xong, mà biên tập lại cần thời gian, cũng may bọn họ tiết mục đi qua các phe sau khi thương nghị, đặt ở thứ 6 tuần sau phát hình, cho nên mấy ngày nay bọn họ biên tập lại bộ liền phải khổ cực.

	Cái này hai ngày, Chương Tiểu Vĩ mặc dù ở truyền hình vệ tinh Tương Nam thâu tiết mục, nhưng mà hắn đối với cao ngất ở TQ mở ra lại không có bất kỳ buông lỏng, mỗi ngày đều ở thời thời khắc khắc chú ý cùng cao ngất có liên quan tin tức.

	Lúc này ngồi ở trên tàu cao tốc Chương Tiểu Vĩ, trong tay liền lấy một phần Hồ Nam báo, Hồ Nam báo có thể nói ở Tương Nam tỉnh cũng coi là một tờ báo lớn.

	"Cao ngất đang đánh đoạn cc cố hữu lũng đoạn địa vị, giống vậy cũng hy vọng cao ngất không nên cùng 1 tháng 6 nói chuyện phiếm trang mạng vậy, phù dung sớm nở tối tàn." Đây là Hồ Nam báo viết cùng cao ngất có liên quan đưa tin, phía sau chính là lưu loát mấy trăm chữ bình luận.

	Sau đó Chương Tiểu Vĩ lại rút ra một phần TQ nhật báo Nhân Dân, dĩ nhiên cái này qua báo chí cũng chưa có cùng cao ngất có liên quan đề.

	Bất quá bên trong cũng có để cho Chương Tiểu Vĩ trước mắt sáng lên tin tức, đó chính là Chương Tiểu Vĩ nơi quay phim Binh lính đột kích lần nữa trên bảng nổi danh.

	Chương Tiểu Vĩ kích động nhìn tin tức phía trên, ý tứ đại khái chính là bình luận bộ phim này, chân chính đi vào cơ tầng.

	Mà không phải là muốn dĩ nhiên, cũng chân chính xác nhận một chuyện, vậy chính là quân ta, cũng không phải là dựa vào quan hệ, dựa vào mạng giao thiệp mới có thể lên chức, chỉ cần ngươi có mới có thể có năng lực, phía trên lãnh đạo là nhất định có thể thấy.

	"Ai! Ngươi kế tiếp cao ngất sao?" Ở Chương Tiểu Vĩ chỗ ngồi cách đó không xa, một người con trai hỏi ngồi ở hắn cùng nhau một cô gái.

	. . .

	"Rốt cuộc năm trước không cần ở thấy hắn!" Chương Tiểu Vĩ thở phào nhẹ nhõm, bây giờ Ngỗi Khang Dũng trong tay có 2 cái kịch bản, cách ăn tết còn có chín tháng, dựa theo hắn quay phim độ tiến triển, năm trước thì không cần tới quấy rầy mình.

	Ngỗi Khang Dũng hiệu suất làm việc cũng không tệ lắm, làm hắn bắt được kịch bản sau đó, ngay tại chính hắn facebook ở trên công bố như vậy một cái tin tức.

	"Tiếu Ngạo Giang Hồ bây giờ có công ty quyết định, do tự mình quay phim, mọi người rải hoa chúc mừng đi!" Ngỗi Khang Dũng cũng thật nghịch ngợm, hắn điểm trọng yếu nhất, chính là hắn rốt cuộc không cần ở cho giám đốc Chương chùi đít.

	"Tiếu Ngạo Giang Hồ, đây không phải là Chương Tiểu Vĩ độc quyền sao? Lúc nào biến thành ngươi?"

	"Van cầu đạo điễn Ngỗi, ngươi đừng hủy kinh điển được rồi! Mặc dù không biết ngươi vậy bộ Thần Điêu Hiệp Lữ đập như thế nào, nhưng là chỉ xem diễn viên đơn lại không thể để cho người tâng bốc."

	"Kinh điển là người sáng tạo, Chương Tiểu Vĩ có thể sáng tạo kinh điển, tại sao đạo điễn Ngỗi lại không thể sáng tạo kim điển?" Có chút bạn trên mạng tự nhiên cũng không đầy ý những cái kia một bên ngã lên án, có vài người tự nhiên đứng lên là Ngỗi Khang Dũng lên tiếng ủng hộ, dẫu sao hắn vỗ nhiều điện như vậy coi kịch, người ái mộ tự nhiên là có một chút.

	Bất quá, cái không hoàn toàn thống kê, phần lớn bạn trên mạng đối với Ngỗi Khang Dũng quay phim Tiếu Ngạo Giang Hồ cũng không thế nào coi trọng.

	Chẳng qua là làm Ngỗi Khang Dũng thấy các bạn trên mạng bình luận sau đó, có chút khóc cười không thể, hắn ở trong lòng cũng âm thầm hạ quyết tâm, nhất định phải quay phim một bộ kim điển Tiếu Ngạo Giang Hồ đi ra.

	Dẫu sao giám đốc Chương đã đem cầu cho hắn bày xong, ngươi không thấy Tiếu Ngạo Giang Hồ chi Đông Phương Bất Bại điện ảnh và truyền hình bản phòng bán vé đã phá ba trăm triệu liền sao.

	Nếu như mình có thể đập khá một chút mà nói, tùy tùy tiện tiện tiến vào kinh điển cũng không thành vấn đề.

	Giám đốc Chương quay phim là Tiếu Ngạo Giang Hồ lần bên ngoài phần, có thể nói cùng Tiếu Ngạo Giang Hồ căn bản không có quan hệ.

	Nhưng là hắn bên trong vậy ca khúc kiệt tác lại có thể cầm tới thành tựu Tiếu Ngạo Giang Hồ chủ đề ca nhạc là không thành vấn đề.

	Có một chút có thể khẳng định, đó chính là hắn áp lực rất lớn, cho nên hắn cảm thấy thận trọng lựa chọn diễn viên, hắn biết nếu như một cái không tốt, mình chỉ sợ thật sẽ vạn kiếp bất phục.

	Nếu như mình chẳng qua là tái bản một lần, các khán giả cũng nhiều lắm là làm xem một chuyện tiếu lâm, nếu như mình đập quá thúi mà nói, như vậy sẽ bị người cho phun chết.

	. . .

	Chương Tiểu Vĩ cũng không nghĩ tới cái này Ngỗi Khang Dũng như thế cao giọng, kịch bản này mới vừa bắt vào tay, hắn bên kia đi ngay khoe, đưa đến sách của hắn hữu trong group rất nhiều bạn đọc rối rít @+ hắn, bày tỏ muốn fans chuyển đường.

	Dẫu sao chuyện này quá tổn thương hắn bạn đọc tâm, mặc dù hắn Tiếu Ngạo Giang Hồ là miễn phí cho mọi người xem xem.

	Nhưng là mọi người vẫn là hy vọng Chương Tiểu Vĩ có thể tự mình quay phim, dẫu sao chỉ có tác giả mới có thể sau hiểu lúc ấy cái loại đó ý cảnh.

	Dĩ nhiên, cũng không phải là nói tất cả tác giả đều được, có một ít cũng không được, bọn họ vậy cũng chỉ là một ít sách ngốc tử, nơi đó có hệ thống học qua đạo diễn phương diện này.

	Cho nên coi như bọn họ viết tiểu thuyết ở xinh đẹp, nhưng là ở nếu để cho bọn họ tới quay phim, còn không bằng đi tìm cái đạo diễn chuyên nghiệp tới tốt.

	Nhưng mà những vấn đề này ở Chương Tiểu Vĩ nơi này cũng không có, mặc dù chưa có nghe nói qua hắn từ vậy nơi đạo diễn hệ tốt nghiệp, nhưng là chỗ hắn quay phim thủ pháp, liền liền một ít đạo điễn nổi tiếng cũng tự không xứng với như.

	Cho nên muốn phải đem trong sách ý cảnh hoàn mỹ bày ra, cũng chỉ có thể là giống như Chương Tiểu Vĩ như vậy vừa có đạo diễn lý lịch, lại có tác giả căn cơ người mới có thể hoàn mỹ bày ra.

	Cho nên làm bạn đọc sau khi nghe được tin tức này, thứ.

	Nhưng mà có một chút bọn họ phỏng đoán quên mất, đó chính là Chương Tiểu Vĩ cũng đều có không sai biệt lắm nửa năm thời gian không sách, hắn không còn chưa nhất định, dẫu sao mọi người đều biếtChương 775: Sẽ không khởi tựa đề liền 
 Converter Dzung Kiều cầu phiếu 

	Bất quá mình thật giống như thật đúng là sẽ không đem hắn như thế nào.

	"Ta dự án đều là chuẩn bị xong, nếu ngươi muốn ở tiết mục trong làm quảng cáo mà nói, xem ra tối hôm nay ta phải làm thêm giờ!" Lý Nhiễm rất bất đắc dĩ nói.

	Bọn hắn tiết mục tất cả đều là thâu tốt, cũng không phải là cao hứng vung, cho nên nên có chân bản nàng đã sớm chuẩn bị xong, mà Chương Tiểu Vĩ nếu muốn ở tiết mục trong gia tăng quảng cáo khâu, như vậy thế tất yếu gia tăng chân vốn nội dung.

	"Không cần như thế phiền toái, đến lúc đó tùy tiện nói 2 vấn đề là được!" Chương Tiểu Vĩ cũng không muốn phiền toái Lý Nhiễm, dẫu sao bây giờ cũng hơn 10h, cái này ở hồi trong đài biên soạn kịch bản, đến lúc này một hướng cũng không biết muốn sờ tới khi nào đi.

	". . . ?" Lý Nhiễm không nói gì, Chương Tiểu Vĩ nói cũng có đạo lý, dẫu sao lần này sân nhà cũng không phải là Chương Tiểu Vĩ.

	Lần này là công ty bảo hiểm Đại tây dương xài một người để cho các nàng trong đài lãnh đạo không cách nào cự tuyệt con số tới, cho nên lần này sân nhà chỉ có thể nói là công ty bảo hiểm Đại tây dương.

	"Tiểu Vĩ, ở hiện giờ nói chuyện phiếm thị trường sắp bão hòa dưới tình huống, ngươi đối với chiếm đoạt cc cố hữu thị trường có tính toán gì hay không?"

	"Cái này tạm thời còn không có, đi trước một bước xem một bước đi!" Chương Tiểu Vĩ bình thản nói nói.

	". . . !" Được rồi, Lý Nhiễm hoàn toàn bị Chương Tiểu Vĩ đánh bại, nàng hiện mình cái này ngày nay bị Chương Tiểu Vĩ cho trò chuyện chết.

	Dương Bác một người ngồi ở phía sau, nghe Chương Tiểu Vĩ cùng đại người chủ trì Lý Nhiễm hai người có nói đứt quãng trò chuyện.

	Nói thật hắn vẫn là rất hâm mộ giám đốc Chương, dẫu sao giám đốc Chương vận khí quá tốt, mới xuất đạo thì có Tề Nhạc video GĐ Chu nâng đỡ.

	Mà làm hắn bộ phim đầu tiên vỗ sau khi ra ngoài, liền được Lý Nhiễm muốn đặt, có thể nói giám đốc Chương một đường đi bộ thật là giống như trong tiểu thuyết mở ra treo vậy xuôi gió xuôi nước, dùng tiểu thuyết lời nói, đó chính là nhân vật chính hào quang đang tác quái.

	Bất quá hắn cũng không khỏi không bội phục mình, bởi vì là mình tựa như đi theo tiểu thuyết nhân vật chính nhân vật vậy, làm Chương Tiểu Vĩ một ngày lấy được lúc này mình cũng không đi theo thăng thiên, bây giờ bất chánh là thế này phải không.

	Nếu như không có Chương Tiểu Vĩ, hỏi dò ở TQ, có tư cách để cho Lý Nhiễm cho hắn người lái xe, phỏng đoán một cái bàn tay cũng có thể đếm rõ ràng, càng không cần phải nói hắn lúc này an nhàn ngồi ở chỗ nầy, hết thảy các thứ này đều là bởi vì là Chương Tiểu Vĩ mà thay đổi.

	Mà mình ở thành phố Vọng Hải mấy chục căn hộ bất chánh thức bằng vào liền Chương Tiểu Vĩ, mới có sao? Bây giờ thành phố Vọng Hải giá phòng.

	Cùng hắn mua thời điểm giá tiền đã tăng 80%, còn nữa là 20%, liền lật gấp đôi, hắn liền chuẩn bị vào lúc đó hậu xuất thủ trước một nửa, đem Chương Tiểu Vĩ năm mươi triệu trước còn.

	"Tiểu Vĩ, chúng ta trước ở chỗ này ăn khuya đi, chờ một chút ta ở đưa các người đi khách sạn!" Lý Nhiễm ngừng xe ở liền một nhà nhà hàng tây cửa, xem ra nàng là thường xuyên tới nơi này, cho nên đối với nơi này có thể nói là quen cửa quen nẻo.

	"Chị Lý, ngài tới rồi!" Làm Lý Nhiễm mới vừa đậu xe xong, đứng ở cửa tiếp đãi một đường chạy chậm đi tới Lý Nhiễm bên cạnh xe, mặt mỉm cười nói, như vậy có thể gặp đối phương là biết Lý Nhiễm bảng số xe.

	" Ừ, ngựa nhỏ, ngày hôm nay ta muốn tiếp đãi khách quý, ngươi cho ta chuẩn bị một gian tĩnh lặng phòng V.I.P đi!" Làm sau khi xe dừng lại, Lý Nhiễm lấy ra một cái màu sắc hơi thiển sắc mắt kiếng mang theo đứng lên.

	Ngựa nhỏ nghe Lý Nhiễm mà nói, không khỏi hướng bên trong xe nhìn một cái, chẳng qua là làm hắn thấy ngồi ở vị trí kế bên tài xế một cái đầu óc tuổi tác nhìn qua so hắn còn nhỏ, tự nhiên liền coi thường.

	Dẫu sao ở hắn xem ra, có thể bị chị Lý gọi là khách quý, điểm thứ nhất người này liền không phù hợp, làm hắn chuẩn bị đi sau khi nhìn người ngồi, chỉ bất quá chỗ phía sau người kia lời nói thiếu chút nữa không đem hắn sặc chết.

	"Giám đốc Chương, các người đi ăn đi, ta ở trên xe cùng các người!" Dương Bác mới vừa cơm nước xong không cơm không bao lâu, cho nên cũng không dự định ở ăn, dẫu sao theo Chương Tiểu Vĩ giá trị con người một năm so một lớn tuổi, hắn có thể cảm giác được cùng hắn ăn cơm chung áp lực cũng càng ngày càng lớn.

	"Cùng đi ăn đi!" Chương Tiểu Vĩ mới vừa mở cửa xe, nghe Dương Bác lời nói chậm chạp một chút.

	Hắn có thể cảm giác đến, Dương Bác ở cùng mình kéo khoảng cách xa, hắn hiện Dương Bác hiện đang cùng mình cùng nhau ăn cơm, rất câu nệ.

	Lý Nhiễm cũng không nói lời nào, dẫu sao ở nàng nhìn lại, Dương Bác tối thiểu bây giờ còn chưa có để cho nàng coi trọng đến nước, mặc dù bộ phim này hắn là vai chính, nhưng là tối thiểu bây giờ còn chưa đỏ lên, dĩ nhiên một cái giải thưởng Kim ngưu nam phối hợp giải thưởng cũng là không thể đưa tới nàng coi trọng.

	"Ta mới vừa ăn rồi, các người. . . !" Dương Bác khổ sở cười nói.

	"Đi cùng đi, coi như uống thức uống, ngươi cũng cho ta ngồi đó bên trong!" Chương Tiểu Vĩ bất đồng Dương Bác nói xong, tức giận nói.

	Dương Bác thấy Chương Tiểu Vĩ đã 'hot', cũng không tốt ở cự tuyệt, ương ương xuống xe đi theo hai người sau lưng.

	Bữa ăn khuya ăn tương đối đơn giản, dẫu sao Lý Nhiễm vì chú trọng vóc người, mà Dương Bác ăn cơm trễ, Chương Tiểu Vĩ lại là ăn cơm tối mới tới, cho nên mấy người căn bản không được ăn thứ gì.

	Ngày thứ hai, Chương Tiểu Vĩ thật sớm đã thức dậy, ở bên trong phòng làm hơn một trăm cái hít đất sau đó, sau đó lại vọt một lần tắm nước nóng, mới đến dưới lầu ăn cái bữa ăn sáng.

	Chương Tiểu Vĩ sở hạ tháp khách sạn là truyền hình vệ tinh Tương Nam dưới cờ khách sạn, mà Chương Tiểu Vĩ đoàn làm phim ăn ở toàn bộ đều có công ty bảo hiểm Đại tây dương phụ trách.

	Bất quá coi như không có công ty Đại tây dương bỏ vốn, có Chương Tiểu Vĩ nhân khí, muốn đến truyền hình vệ tinh Tương Nam cũng biết an bài cho hắn ổn thoả.

	"Giám đốc Chương, sớm à!" Chương Tiểu Vĩ mới vừa bưng một phần bữa ăn sáng tìm một chỗ ngồi xuống tới, liền bị một cái thanh âm quen thuộc gọi lại.

	"Giám đốc Triệu, sớm à, tới, ngồi chung!" Chỉ gặp Triệu xuất xứ từ cũng bưng một phần bữa ăn sáng đi tới.

	"Giám đốc Chương, xấu hổ xấu hổ à! Ngày hôm qua vốn là nói đi phi trường đón ngươi, ngươi cũng biết, làm chúng ta chuyến đi này, ở nơi đó đều có đồng nghiệp và bạn, cái này không ngày hôm qua một xã giao, liền uống nhiều rồi, cho nên không có thể đi đón ngươi, ngươi hẳn sẽ không tức giận đi!" Triệu xuất xứ từ xấu hổ nói, dĩ nhiên như vậy mới có thể có mấy phần thật giả liền một không nhất định.

	"Không có sao, tối ngày hôm qua chị Lý tự mình nhận ta, phỏng đoán coi như ngươi đi, cũng phải lãng phí ngươi ý tốt."

	Chương Tiểu Vĩ vốn cũng không phải là một cái yêu so đo người, cho nên hắn căn bản không đem chuyện này để ở trong lòng, dẫu sao sau chuyện này, mọi người cũng không biết có còn hay không ở cơ hội hợp tác.

	"Ha ha, giám đốc Chương ngươi không tức giận liền quá tốt!" Triệu xuất xứ từ giới cười nói.

	"Giám đốc Chương, buổi trưa hôm nay ta ở vùng lân cận một nhà Đức Phúc lâu đặt tiệc, mời các người đoàn làm phim nhân trung trưa nhất định phải đến sân à!"

	"Có ăn, ta muốn đoàn làm phim người tự nhiên rất vui lòng, chẳng qua là lại để cho ngươi tốn kém à!" Chương Tiểu Vĩ nghe Triệu xuất xứ từ lời nói sau lạnh nhạt nói.

	"Giám đốc Chương, khách khí, cứ nói như vậy, như vậy buổi trưa không gặp không về à!"

	Bữa ăn sáng tương đối đơn giản, đến khi Chương Tiểu Vĩ ăn điểm tâm xong sau đó, đoàn làm phim những người này mới thưa thớt đi xuống.

	Đến khi tất cả mọi người ăn điểm tâm xong sau đó, ngồi lên truyền hình vệ tinh Tương Nam đã sớm ngừng ở bên ngoài xe minibus ở trên.

