Chương 671:
 Dzung Kiều cầu khen thưởng 

	"Ngươi không biết nói ở nơi này ăn đi!" Từ Thiểu Kiệt kinh ngạc nhìn Chương Tiểu Vĩ hỏi.
	Mặc dù từ nhỏ đến lớn chưa từng ăn qua như vậy nướng chuỗi, nhưng là hắn không thèm để ý những thứ này.

	"Cám ơn ngươi cậu Từ, lần này không có tìm ngươi hợp tác, bất quá bộ phim tới chúng ta ở hợp tác!" Chương Tiểu Vĩ nhẹ nhàng cắn một khối xâu thịt, bên nhai vừa nói.

	"Bộ phim tới. . . !" Từ Thiểu Kiệt lộ ra mong đợi diễn cảm, dẫu sao bây giờ TQ quen thuộc Chương Tiểu Vĩ người đều biết, hắn là một cái sản lượng cao người.

	"Ừhm!"

	Rất nhanh Chương Tiểu Vĩ liền ăn 2 cái xâu thịt dê, mà Từ Thiểu Kiệt trong tay một chuỗi mới ăn một nửa.

	"Đó không phải là phải chờ tới năm sau?"

	"Không cần, đến khi ta đi trên đầu sự việc xử lý xong, có lẽ năm trước ta thì sẽ chuẩn bị mở vỗ." Dĩ nhiên hai người giọng nói tương đối nhỏ, cho nên những người bên cạnh nếu như không lắng nghe phỏng đoán căn bản không nghe được.

	"Oa, Lamborghini màu đỏ ai! Thật quá đẹp, tới giúp ta vỗ tấm theo." Ven đường đây là đi tới bốn vị nữ tử, xem vậy dáng người xem vậy thân cao, có thể nói cao thấp mập ốm mấy người chiếm hết, nhưng mà cùng xinh đẹp hai chữ căn bản vô duyên.

	"Ngươi chiếc này màu đỏ vượt qua chạy cũng quá cao điều!" Chương Tiểu Vĩ khẽ thở dài.

	"Ngươi muốn là thích sẽ đưa cho ngươi!" Từ Thiểu Kiệt mắt cũng không nháy một cái nói.

	"Không, không, ta xem vẫn là thôi, ta còn không có bằng lái đâu!" Chương Tiểu Vĩ khoát tay lia lịa nói, làm trò đùa không có bằng lái, xinh đẹp nữa xe cũng chỉ là để ở đâu xem.

	"Bằng lái được rồi, ngươi có biết lái xe hay không?"

	"Lái tự nhiên sẽ biết !" Ở kiếp trước lúc này

	Làm một giám đốc tiêu thụ hắn, mặc dù không có mua được cái gì tốt xe, nhưng vẫn có một chiếc đế hào ec8 sung mặt mũi.

	"Tốt lắm, chờ một chút ngươi đem thẻ căn cước chính phản mặt phát cho ta, ta ở một tháng bên trong tuyệt đối đem ngươi bằng lái cho ngươi thu vào tay." Từ Thiểu Kiệt nhẹ nhàng vỗ một cái ngực mình nói.

	". . . !"

	Chương Tiểu Vĩ vốn đang dự định qua hết năm sau lại đi học, bây giờ nghe Từ Thiểu Kiệt mà nói, rất vui vẻ, dù sao có thể đem thời gian tiết kiệm không phải tốt hơn sao.

	"Như thế nào cậu Từ ăn no chưa?" Trên bàn cơm còn dư một đống chuỗi chuỗi, ở Chương Tiểu Vĩ trước mặt lại nhiều nhất.

	Cuối cùng Chương Tiểu Vĩ trả tiền sau đó, ở dưới con mắt mọi người chui vào Lamborghini màu đỏ bên trong.

	"Giám đốc Chương ngươi mở ra một hồi?" Từ Thiểu Kiệt cũng không có lên xe mà là đi tới Chương Tiểu Vĩ bên này.

	"Ta mở?" Nói thật Chương Tiểu Vĩ trước kia cũng không có sờ qua như thế mắc tiền xe xe.

	"Vẫn là ngươi tới đi, vạn nhất bị tra được không tốt!" Chương Tiểu Vĩ rất động tâm, nhưng là hắn nhưng thật rất muốn lái một chút.

	"Ở thành phố Hải Châu không có sao, ngươi mở liền mở đi!" Từ Thiểu Kiệt đem Chương Tiểu Vĩ kéo ra ngoài, mình ngồi ở liền chỗ kế bên người lái.

	"Oanh!" Chỉ là nhẹ nhàng một cước cần ga, liền truyền đến Lamborghini vậy chói tai tiếng nổ.

	Rất nhanh thì đến tình yêu liền liền nhìn phát hình thời gian, Chương Tiểu Vĩ chạy một vòng Lamborghini sau cũng trở về do truyền hình vệ tinh Đông Hải là mình chuẩn bị bên trong khách sạn.

	Chương Tiểu Vĩ tiện tay mở ra máy truyền hình, lúc này truyền hình vệ tinh Đông Hải cũng đang chiếu cái cuối cùng quảng cáo.

	Mặc dù ở biên tập lại lúc này Chương Tiểu Vĩ đã nhìn không dưới hai bên, nhưng là cuối cùng không có cùng ở ti vi nhìn hiệu quả bất đồng.

	Thành phố Tương.

	"Bé Huệ ngươi không phải thích nhất xem truyền hình vệ tinh Tương Nam sao? Ngày hôm nay làm sao đổi được truyền hình vệ tinh Đông Hải?" Mẹ Quan người mặc một bộ áo ngủ đi ra, làm nàng muốn đi ra xem xem cái đó tiết mục lúc này phát hiện con gái đã đem đài truyền hình đổi.

	"Mẹ, hôm nay là Chương Tiểu Vĩ nghệ thuật tiết mục mở màn chiếu cuộc sống!" Quan Tiểu Huệ cũng không quay đầu lại nói.

	"Chương Tiểu Vĩ, hắn lúc nào lại đổi vỗ nghệ thuật?" Mẹ Quan đem mình vậy còn có chút ướt tóc dùng khăn lông khô nhẹ nhàng lau chùi một lần.

	"Không sai biệt lắm có một tháng, chỉ bất quá ngày hôm nay mới phát hình mà thôi."

	"Không sai biệt lắm một tháng, ta làm sao không chú ý tới?"

	" Chị, chị bắt đầu không?" Đột nhiên ở Quan Tiểu Minh bên trong căn phòng xuyên truyền đến Quan Tiểu Minh tiếng gào.

	"Tiểu Minh mau ra đây làm việc ngày mai làm tiếp đi!" Quan Tiểu Huệ một bộ lão đại người giống vậy nói.

	"Hoan nghênh các bạn khán giả trước đài truyền hình thu xem truyền hình vệ tinh Đông Hải tình yêu liền liền xem, tiếp theo xin mời người MC mạnh phi." Máy truyền hình bên trong truyền đến Vương Huy thanh âm.Chương 671:
 Dzung Kiều cầu khen thưởng 

	"Ngươi không biết nói ở nơi này ăn đi!" Từ Thiểu Kiệt kinh ngạc nhìn Chương Tiểu Vĩ hỏi.

	Ở đó chút nướng đương, lúc này đang có tụ ba tụ năm mọi người đang dùng cơm, khi bọn hắn nghe được xe thể thao tiếng nổ kia động cơ thanh ngừng lại sau đó, bọn họ có chút liền tò mò nhìn bước xuống xe 2 người.

	"Thật ra thì nơi này mùi vị cũng không tệ lắm, dĩ nhiên không phải cân nhắc phương diện vệ sinh!" Chương Tiểu Vĩ kéo Từ Thiểu Kiệt ống tay áo chậm rãi đi tới.

	Từ Thiểu Kiệt rất bất đắc dĩ đi theo Chương Tiểu Vĩ sau lưng, hắn từ nhỏ đến lớn có thể nói cũng chưa có ở loại địa phương này ăn cơm.

	"Ông chủ tới mười chuỗi xâu thịt dê, sau đó ở kiểm tra bốn cái đùi gà!" Chương Tiểu Vĩ đem một cái màu đen băng ghế dùng khăn giấy xoa xoa, sau đó tỏ ý đối phương ngồi xuống, mà chính hắn chính là tùy ý ngồi xuống.

	Hiển nhiên Từ Thiểu Kiệt là lần thứ nhất tới loại địa phương này, tay thả cũng không xong giấu ở trong túi quần cũng không phải.

	Còn bên cạnh những người đó cũng chỉ là kinh ngạc một chút, rồi sau đó liền vùi đầu ăn mình đồ.

	"Giám đốc Chương, ngươi thường xuyên đến ăn như vậy đồ sao?" Cậu Từ cảm khái hỏi.

	"Cũng không phải thường xuyên, chẳng qua là thỉnh thoảng." Làm trò đùa, đây cũng là hắn biết Từ Thiểu Kiệt chưa từng ăn qua mới mang hắn tới ăn một bữa.

	"Giám đốc Chương, nếu không chúng ta đổi cái địa phương ăn đi!"

	"Ta đi, ai mở Lamborghini đến cái này ăn sạp ven đường à! Cái này làm ra vẻ x cũng không phải cái này làm ra vẻ pháp à!" Qua đường 2 cái nam thanh âm mặc dù nhỏ, nhưng là vẫn là truyền đến hai người trong tai.

	Chương Tiểu Vĩ lúng túng nhéo một cái mình lỗ mũi, làm sao liền không nghĩ tới một điểm này đâu ?

	Từ Thiểu Kiệt người vốn là cũng là tương đối điệu thấp, lúc này nghe người đi đường mà nói, sắc mặt cũng bị nóng nảy đỏ.

	Vốn là hắn mua máy này sau xe cũng không lái mấy lần, ngày hôm nay nếu không phải vì tiếp Chương Tiểu Vĩ, kêu tài xế có rất nhiều bất tiện mà nói, hắn có thể cũng sẽ không lái chiếc này xe đi ra.

	"Hai vị, các ngươi nướng chuỗi tới, xin hỏi các ngươi hai vị muốn uống rượu sao?" Rất nhanh nướng ông chủ liền đem bọn họ hai người nướng chuỗi đi lên.

	"Không uống cám ơn, cho chúng ta tới 2 hũ đa bảo thêm trà lạnh!" Chương Tiểu Vĩ không uống rượu, mà Từ Thiểu Kiệt còn phải lái xe, cho nên uống thức uống là tốt.

	"Ông chủ cũng là kiểu nịnh hót, chúng ta tới lâu như vậy đều không mang thức ăn lên, hắn bên kia mới đến lại có thể thì có lên!" Bên cạnh ngoài ra một bàn nhỏ giọng đâu nghị luận.

	"Cũng phải ông chủ vì làm ăn ngươi không hiểu sao? Chúng ta không ăn ở nơi này liền không địa phương, dẫu sao vùng lân cận đều là chi phí đắt đỏ nơi, bọn họ lại bất đồng, cùng thời gian lâu dài, bọn họ có thể liền phải đổi chỗ."

	"Giám đốc Chương, ngươi phim mới ta đã cho ngươi sắp xếp xong xuôi, ngày 1 tháng 10 cả nước lên một lượt ánh!" Từ Thiểu Kiệt gặp thức ăn tất cả lên, cũng không nói gì, dẫu sao hắn cũng không phải một cái nhăn nhó người.

	Mặc dù từ nhỏ đến lớn chưa từng ăn qua như vậy nướng chuỗi, nhưng là hắn không thèm để ý những thứ này.

	"Cám ơn ngươi cậu Từ, lần này không có tìm ngươi hợp tác, bất quá bộ phim tới chúng ta ở hợp tác!" Chương Tiểu Vĩ nhẹ nhàng cắn một khối xâu thịt, bên nhai vừa nói.

	"Bộ phim tới. . . !" Từ Thiểu Kiệt lộ ra mong đợi diễn cảm, dẫu sao bây giờ TQ quen thuộc Chương Tiểu Vĩ người đều biết, hắn là một cái sản lượng cao người.

	"Ừhm!"

	Rất nhanh Chương Tiểu Vĩ liền ăn 2 cái xâu thịt dê, mà Từ Thiểu Kiệt trong tay một chuỗi mới ăn một nửa.

	"Đó không phải là phải chờ tới năm sau?"

	"Không cần, đến khi ta đi trên đầu sự việc xử lý xong, có lẽ năm trước ta thì sẽ chuẩn bị mở vỗ." Dĩ nhiên hai người giọng nói tương đối nhỏ, cho nên những người bên cạnh nếu như không lắng nghe phỏng đoán căn bản không nghe được.

	"Oa, Lamborghini màu đỏ ai! Thật quá đẹp, tới giúp ta vỗ tấm theo." Ven đường đây là đi tới bốn vị nữ tử, xem vậy dáng người xem vậy thân cao, có thể nói cao thấp mập ốm mấy người chiếm hết, nhưng mà cùng xinh đẹp hai chữ căn bản vô duyên.

	"Ngươi chiếc này màu đỏ vượt qua chạy cũng quá cao điều!" Chương Tiểu Vĩ khẽ thở dài.

	"Ngươi muốn là thích sẽ đưa cho ngươi!" Từ Thiểu Kiệt mắt cũng không nháy một cái nói.

	"Không, không, ta xem vẫn là thôi, ta còn không có bằng lái đâu!" Chương Tiểu Vĩ khoát tay lia lịa nói, làm trò đùa không có bằng lái, xinh đẹp nữa xe cũng chỉ là để ở đâu xem.

	"Bằng lái được rồi, ngươi có biết lái xe hay không?"

	"Lái tự nhiên sẽ biết !" Ở kiếp trước lúc này

	Làm một giám đốc tiêu thụ hắn, mặc dù không có mua được cái gì tốt xe, nhưng vẫn có một chiếc đế hào ec8 sung mặt mũi.

	"Tốt lắm, chờ một chút ngươi đem thẻ căn cước chính phản mặt phát cho ta, ta ở một tháng bên trong tuyệt đối đem ngươi bằng lái cho ngươi thu vào tay." Từ Thiểu Kiệt nhẹ nhàng vỗ một cái ngực mình nói.

	". . . !"

	Chương Tiểu Vĩ vốn đang dự định qua hết năm sau lại đi học, bây giờ nghe Từ Thiểu Kiệt mà nói, rất vui vẻ, dù sao có thể đem thời gian tiết kiệm không phải tốt hơn sao.

	"Như thế nào cậu Từ ăn no chưa?" Trên bàn cơm còn dư một đống chuỗi chuỗi, ở Chương Tiểu Vĩ trước mặt lại nhiều nhất.

	Cuối cùng Chương Tiểu Vĩ trả tiền sau đó, ở dưới con mắt mọi người chui vào Lamborghini màu đỏ bên trong.

	"Giám đốc Chương ngươi mở ra một hồi?" Từ Thiểu Kiệt cũng không có lên xe mà là đi tới Chương Tiểu Vĩ bên này.

	"Ta mở?" Nói thật Chương Tiểu Vĩ trước kia cũng không có sờ qua như thế mắc tiền xe xe.

	"Vẫn là ngươi tới đi, vạn nhất bị tra được không tốt!" Chương Tiểu Vĩ rất động tâm, nhưng là hắn nhưng thật rất muốn lái một chút.

	"Ở thành phố Hải Châu không có sao, ngươi mở liền mở đi!" Từ Thiểu Kiệt đem Chương Tiểu Vĩ kéo ra ngoài, mình ngồi ở liền chỗ kế bên người lái.

	"Oanh!" Chỉ là nhẹ nhàng một cước cần ga, liền truyền đến Lamborghini vậy chói tai tiếng nổ.

	Rất nhanh thì đến tình yêu liền liền nhìn phát hình thời gian, Chương Tiểu Vĩ chạy một vòng Lamborghini sau cũng trở về do truyền hình vệ tinh Đông Hải là mình chuẩn bị bên trong khách sạn.

	Chương Tiểu Vĩ tiện tay mở ra máy truyền hình, lúc này truyền hình vệ tinh Đông Hải cũng đang chiếu cái cuối cùng quảng cáo.

	Mặc dù ở biên tập lại lúc này Chương Tiểu Vĩ đã nhìn không dưới hai bên, nhưng là cuối cùng không có cùng ở ti vi nhìn hiệu quả bất đồng.

	Thành phố Tương.

	"Bé Huệ ngươi không phải thích nhất xem truyền hình vệ tinh Tương Nam sao? Ngày hôm nay làm sao đổi được truyền hình vệ tinh Đông Hải?" Mẹ Quan người mặc một bộ áo ngủ đi ra, làm nàng muốn đi ra xem xem cái đó tiết mục lúc này phát hiện con gái đã đem đài truyền hình đổi.

	"Mẹ, hôm nay là Chương Tiểu Vĩ nghệ thuật tiết mục mở màn chiếu cuộc sống!" Quan Tiểu Huệ cũng không quay đầu lại nói.

	"Chương Tiểu Vĩ, hắn lúc nào lại đổi vỗ nghệ thuật?" Mẹ Quan đem mình vậy còn có chút ướt tóc dùng khăn lông khô nhẹ nhàng lau chùi một lần.

	"Không sai biệt lắm có một tháng, chỉ bất quá ngày hôm nay mới phát hình mà thôi."

	"Không sai biệt lắm một tháng, ta làm sao không chú ý tới?"

	" Chị, chị bắt đầu không?" Đột nhiên ở Quan Tiểu Minh bên trong căn phòng xuyên truyền đến Quan Tiểu Minh tiếng gào.

	"Tiểu Minh mau ra đây làm việc ngày mai làm tiếp đi!" Quan Tiểu Huệ một bộ lão đại người giống vậy nói.

	"Hoan nghênh các bạn khán giả trước đài truyền hình thu xem truyền hình vệ tinh Đông Hải tình yêu liền liền xem, tiếp theo xin mời người MC mạnh phi." Máy truyền hình bên trong truyền đến Vương Huy thanh âm.Chương 671:
 Dzung Kiều cầu khen thưởng 

	"Ngươi không biết nói ở nơi này ăn đi!" Từ Thiểu Kiệt kinh ngạc nhìn Chương Tiểu Vĩ hỏi.

	Ở đó chút nướng đương, lúc này đang có tụ ba tụ năm mọi người đang dùng cơm, khi bọn hắn nghe được xe thể thao tiếng nổ kia động cơ thanh ngừng lại sau đó, bọn họ có chút liền tò mò nhìn bước xuống xe 2 người.

	"Thật ra thì nơi này mùi vị cũng không tệ lắm, dĩ nhiên không phải cân nhắc phương diện vệ sinh!" Chương Tiểu Vĩ kéo Từ Thiểu Kiệt ống tay áo chậm rãi đi tới.

	Từ Thiểu Kiệt rất bất đắc dĩ đi theo Chương Tiểu Vĩ sau lưng, hắn từ nhỏ đến lớn có thể nói cũng chưa có ở loại địa phương này ăn cơm.

	"Ông chủ tới mười chuỗi xâu thịt dê, sau đó ở kiểm tra bốn cái đùi gà!" Chương Tiểu Vĩ đem một cái màu đen băng ghế dùng khăn giấy xoa xoa, sau đó tỏ ý đối phương ngồi xuống, mà chính hắn chính là tùy ý ngồi xuống.

	Hiển nhiên Từ Thiểu Kiệt là lần thứ nhất tới loại địa phương này, tay thả cũng không xong giấu ở trong túi quần cũng không phải.

	Còn bên cạnh những người đó cũng chỉ là kinh ngạc một chút, rồi sau đó liền vùi đầu ăn mình đồ.

	"Giám đốc Chương, ngươi thường xuyên đến ăn như vậy đồ sao?" Cậu Từ cảm khái hỏi.

	"Cũng không phải thường xuyên, chẳng qua là thỉnh thoảng." Làm trò đùa, đây cũng là hắn biết Từ Thiểu Kiệt chưa từng ăn qua mới mang hắn tới ăn một bữa.

	"Giám đốc Chương, nếu không chúng ta đổi cái địa phương ăn đi!"

	"Ta đi, ai mở Lamborghini đến cái này ăn sạp ven đường à! Cái này làm ra vẻ x cũng không phải cái này làm ra vẻ pháp à!" Qua đường 2 cái nam thanh âm mặc dù nhỏ, nhưng là vẫn là truyền đến hai người trong tai.

	Chương Tiểu Vĩ lúng túng nhéo một cái mình lỗ mũi, làm sao liền không nghĩ tới một điểm này đâu ?

	Từ Thiểu Kiệt người vốn là cũng là tương đối điệu thấp, lúc này nghe người đi đường mà nói, sắc mặt cũng bị nóng nảy đỏ.

	Vốn là hắn mua máy này sau xe cũng không lái mấy lần, ngày hôm nay nếu không phải vì tiếp Chương Tiểu Vĩ, kêu tài xế có rất nhiều bất tiện mà nói, hắn có thể cũng sẽ không lái chiếc này xe đi ra.

	"Hai vị, các ngươi nướng chuỗi tới, xin hỏi các ngươi hai vị muốn uống rượu sao?" Rất nhanh nướng ông chủ liền đem bọn họ hai người nướng chuỗi đi lên.

	"Không uống cám ơn, cho chúng ta tới 2 hũ đa bảo thêm trà lạnh!" Chương Tiểu Vĩ không uống rượu, mà Từ Thiểu Kiệt còn phải lái xe, cho nên uống thức uống là tốt.

	"Ông chủ cũng là kiểu nịnh hót, chúng ta tới lâu như vậy đều không mang thức ăn lên, hắn bên kia mới đến lại có thể thì có lên!" Bên cạnh ngoài ra một bàn nhỏ giọng đâu nghị luận.

	"Cũng phải ông chủ vì làm ăn ngươi không hiểu sao? Chúng ta không ăn ở nơi này liền không địa phương, dẫu sao vùng lân cận đều là chi phí đắt đỏ nơi, bọn họ lại bất đồng, cùng thời gian lâu dài, bọn họ có thể liền phải đổi chỗ."

	"Giám đốc Chương, ngươi phim mới ta đã cho ngươi sắp xếp xong xuôi, ngày 1 tháng 10 cả nước lên một lượt ánh!" Từ Thiểu Kiệt gặp thức ăn tất cả lên, cũng không nói gì, dẫu sao hắn cũng không phải một cái nhăn nhó người.

	Mặc dù từ nhỏ đến lớn chưa từng ăn qua như vậy nướng chuỗi, nhưng là hắn không thèm để ý những thứ này.

	"Cám ơn ngươi cậu Từ, lần này không có tìm ngươi hợp tác, bất quá bộ phim tới chúng ta ở hợp tác!" Chương Tiểu Vĩ nhẹ nhàng cắn một khối xâu thịt, bên nhai vừa nói.

	"Bộ phim tới. . . !" Từ Thiểu Kiệt lộ ra mong đợi diễn cảm, dẫu sao bây giờ TQ quen thuộc Chương Tiểu Vĩ người đều biết, hắn là một cái sản lượng cao người.

	"Ừhm!"

	Rất nhanh Chương Tiểu Vĩ liền ăn 2 cái xâu thịt dê, mà Từ Thiểu Kiệt trong tay một chuỗi mới ăn một nửa.

	"Đó không phải là phải chờ tới năm sau?"

	"Không cần, đến khi ta đi trên đầu sự việc xử lý xong, có lẽ năm trước ta thì sẽ chuẩn bị mở vỗ." Dĩ nhiên hai người giọng nói tương đối nhỏ, cho nên những người bên cạnh nếu như không lắng nghe phỏng đoán căn bản không nghe được.

	"Oa, Lamborghini màu đỏ ai! Thật quá đẹp, tới giúp ta vỗ tấm theo." Ven đường đây là đi tới bốn vị nữ tử, xem vậy dáng người xem vậy thân cao, có thể nói cao thấp mập ốm mấy người chiếm hết, nhưng mà cùng xinh đẹp hai chữ căn bản vô duyên.

	"Ngươi chiếc này màu đỏ vượt qua chạy cũng quá cao điều!" Chương Tiểu Vĩ khẽ thở dài.

	"Ngươi muốn là thích sẽ đưa cho ngươi!" Từ Thiểu Kiệt mắt cũng không nháy một cái nói.

	"Không, không, ta xem vẫn là thôi, ta còn không có bằng lái đâu!" Chương Tiểu Vĩ khoát tay lia lịa nói, làm trò đùa không có bằng lái, xinh đẹp nữa xe cũng chỉ là để ở đâu xem.

	"Bằng lái được rồi, ngươi có biết lái xe hay không?"

	"Lái tự nhiên sẽ biết !" Ở kiếp trước lúc này

	Làm một giám đốc tiêu thụ hắn, mặc dù không có mua được cái gì tốt xe, nhưng vẫn có một chiếc đế hào ec8 sung mặt mũi.

	"Tốt lắm, chờ một chút ngươi đem thẻ căn cước chính phản mặt phát cho ta, ta ở một tháng bên trong tuyệt đối đem ngươi bằng lái cho ngươi thu vào tay." Từ Thiểu Kiệt nhẹ nhàng vỗ một cái ngực mình nói.

	". . . !"

	Chương Tiểu Vĩ vốn đang dự định qua hết năm sau lại đi học, bây giờ nghe Từ Thiểu Kiệt mà nói, rất vui vẻ, dù sao có thể đem thời gian tiết kiệm không phải tốt hơn sao.

	"Như thế nào cậu Từ ăn no chưa?" Trên bàn cơm còn dư một đống chuỗi chuỗi, ở Chương Tiểu Vĩ trước mặt lại nhiều nhất.

	Cuối cùng Chương Tiểu Vĩ trả tiền sau đó, ở dưới con mắt mọi người chui vào Lamborghini màu đỏ bên trong.

	"Giám đốc Chương ngươi mở ra một hồi?" Từ Thiểu Kiệt cũng không có lên xe mà là đi tới Chương Tiểu Vĩ bên này.

	"Ta mở?" Nói thật Chương Tiểu Vĩ trước kia cũng không có sờ qua như thế mắc tiền xe xe.

	"Vẫn là ngươi tới đi, vạn nhất bị tra được không tốt!" Chương Tiểu Vĩ rất động tâm, nhưng là hắn nhưng thật rất muốn lái một chút.

	"Ở thành phố Hải Châu không có sao, ngươi mở liền mở đi!" Từ Thiểu Kiệt đem Chương Tiểu Vĩ kéo ra ngoài, mình ngồi ở liền chỗ kế bên người lái.

	"Oanh!" Chỉ là nhẹ nhàng một cước cần ga, liền truyền đến Lamborghini vậy chói tai tiếng nổ.

	Rất nhanh thì đến tình yêu liền liền nhìn phát hình thời gian, Chương Tiểu Vĩ chạy một vòng Lamborghini sau cũng trở về do truyền hình vệ tinh Đông Hải là mình chuẩn bị bên trong khách sạn.

	Chương Tiểu Vĩ tiện tay mở ra máy truyền hình, lúc này truyền hình vệ tinh Đông Hải cũng đang chiếu cái cuối cùng quảng cáo.

	Mặc dù ở biên tập lại lúc này Chương Tiểu Vĩ đã nhìn không dưới hai bên, nhưng là cuối cùng không có cùng ở ti vi nhìn hiệu quả bất đồng.

	Thành phố Tương.

	"Bé Huệ ngươi không phải thích nhất xem truyền hình vệ tinh Tương Nam sao? Ngày hôm nay làm sao đổi được truyền hình vệ tinh Đông Hải?" Mẹ Quan người mặc một bộ áo ngủ đi ra, làm nàng muốn đi ra xem xem cái đó tiết mục lúc này phát hiện con gái đã đem đài truyền hình đổi.

	"Mẹ, hôm nay là Chương Tiểu Vĩ nghệ thuật tiết mục mở màn chiếu cuộc sống!" Quan Tiểu Huệ cũng không quay đầu lại nói.

	"Chương Tiểu Vĩ, hắn lúc nào lại đổi vỗ nghệ thuật?" Mẹ Quan đem mình vậy còn có chút ướt tóc dùng khăn lông khô nhẹ nhàng lau chùi một lần.

	"Không sai biệt lắm có một tháng, chỉ bất quá ngày hôm nay mới phát hình mà thôi."

	"Không sai biệt lắm một tháng, ta làm sao không chú ý tới?"

	" Chị, chị bắt đầu không?" Đột nhiên ở Quan Tiểu Minh bên trong căn phòng xuyên truyền đến Quan Tiểu Minh tiếng gào.

	"Tiểu Minh mau ra đây làm việc ngày mai làm tiếp đi!" Quan Tiểu Huệ một bộ lão đại người giống vậy nói.

	"Hoan nghênh các bạn khán giả trước đài truyền hình thu xem truyền hình vệ tinh Đông Hải tình yêu liền liền xem, tiếp theo xin mời người MC mạnh phi." Máy truyền hình bên trong truyền đến Vương Huy thanh âm.
